Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.0813528 	0.001000	0.0757892 	0.001000	0.0998392 	0.001000	0.0998392 	0.001000	0.0373717 	0.001000	0.0384175 	
0.002000	0.0938585 	0.002000	0.0819444 	0.002000	0.10789   	0.002000	0.10789   	0.002000	0.0547154 	0.002000	0.027229  	
0.005000	0.130962  	0.005000	0.106196  	0.005000	0.131672  	0.005000	0.131672  	0.005000	0.0905683 	0.005000	0.0156274 	
0.008000	0.162418  	0.008000	0.128631  	0.008000	0.151416  	0.008000	0.151416  	0.008000	0.117285  	0.008000	0.0113466 	
0.010000	0.181171  	0.010000	0.142241  	0.010000	0.16286   	0.010000	0.16286   	0.010000	0.1326    	0.010000	0.00964164	
0.015000	0.212644  	0.015000	0.169151  	0.015000	0.186746  	0.015000	0.186746  	0.015000	0.161995  	0.015000	0.00715661	
0.020000	0.237341  	0.020000	0.186873  	0.020000	0.208497  	0.020000	0.208497  	0.020000	0.181108  	0.020000	0.00576484	
0.025000	0.264221  	0.025000	0.206883  	0.025000	0.229233  	0.025000	0.229233  	0.025000	0.202025  	0.025000	0.00485846	
0.030000	0.286019  	0.030000	0.225207  	0.030000	0.246837  	0.030000	0.246837  	0.030000	0.22099   	0.030000	0.00421661	
0.035000	0.303455  	0.035000	0.241777  	0.035000	0.263349  	0.035000	0.263349  	0.035000	0.238041  	0.035000	0.00373591	
0.040000	0.316831  	0.040000	0.25711   	0.040000	0.278842  	0.040000	0.278842  	0.040000	0.253749  	0.040000	0.00336115	
0.045000	0.326362  	0.045000	0.271242  	0.045000	0.29337   	0.045000	0.29337   	0.045000	0.268182  	0.045000	0.00306   	
0.050000	0.33232   	0.050000	0.284206  	0.050000	0.306976  	0.050000	0.306976  	0.050000	0.281393  	0.050000	0.00281221	
0.055000	0.345538  	0.055000	0.298481  	0.055000	0.319697  	0.055000	0.319697  	0.055000	0.295877  	0.055000	0.00260443	
0.060000	0.356529  	0.060000	0.311838  	0.060000	0.331567  	0.060000	0.331567  	0.060000	0.30941   	0.060000	0.00242746	
0.070000	0.372541  	0.070000	0.335852  	0.070000	0.352888  	0.070000	0.352888  	0.070000	0.333711  	0.070000	0.00214151	
0.080000	0.389706  	0.080000	0.356028  	0.080000	0.371197  	0.080000	0.371197  	0.080000	0.354108  	0.080000	0.00191994	
0.090000	0.402078  	0.090000	0.372944  	0.090000	0.386752  	0.090000	0.386752  	0.090000	0.371202  	0.090000	0.00174277	
0.100000	0.411211  	0.100000	0.386889  	0.100000	0.399809  	0.100000	0.399809  	0.100000	0.385292  	0.100000	0.0015976 	
0.120000	0.417009  	0.120000	0.413019  	0.120000	0.419424  	0.120000	0.419424  	0.120000	0.411646  	0.120000	0.0013733 	
0.140000	0.418016  	0.140000	0.430485  	0.140000	0.431917  	0.140000	0.431917  	0.140000	0.429277  	0.140000	0.00120754	
0.160000	0.418049  	0.160000	0.442281  	0.160000	0.438921  	0.160000	0.438921  	0.160000	0.441201  	0.160000	0.00107965	
0.180000	0.417537  	0.180000	0.448543  	0.180000	0.441797  	0.180000	0.441797  	0.180000	0.447565  	0.180000	0.000977766	
0.200000	0.418642  	0.200000	0.453052  	0.200000	0.441632  	0.200000	0.441632  	0.200000	0.452158  	0.200000	0.000894543	
0.250000	0.410073  	0.250000	0.45244   	0.250000	0.433024  	0.250000	0.433024  	0.250000	0.4517    	0.250000	0.000740293	
0.300000	0.408733  	0.300000	0.452968  	0.300000	0.421554  	0.300000	0.421554  	0.300000	0.452334  	0.300000	0.000633701	
0.350000	0.403981  	0.350000	0.446842  	0.350000	0.408236  	0.350000	0.408236  	0.350000	0.446286  	0.350000	0.000555339	
0.400000	0.397161  	0.400000	0.438172  	0.400000	0.39382   	0.400000	0.39382   	0.400000	0.437676  	0.400000	0.000495144	
0.450000	0.388185  	0.450000	0.42751   	0.450000	0.379181  	0.450000	0.379181  	0.450000	0.427063  	0.450000	0.000447359	
0.500000	0.379458  	0.500000	0.417854  	0.500000	0.365559  	0.500000	0.365559  	0.500000	0.417446  	0.500000	0.000408445	
0.600000	0.348238  	0.600000	0.388693  	0.600000	0.341514  	0.600000	0.341514  	0.600000	0.388344  	0.600000	0.000348765	
0.700000	0.316982  	0.700000	0.360757  	0.700000	0.321181  	0.700000	0.321181  	0.700000	0.360452  	0.700000	0.000305026	
0.800000	0.303169  	0.800000	0.340502  	0.800000	0.30374   	0.800000	0.30374   	0.800000	0.34023   	0.800000	0.000271509	
0.900000	0.288454  	0.900000	0.32027   	0.900000	0.288516  	0.900000	0.288516  	0.900000	0.320025  	0.900000	0.000244956	
1.000000	0.273848  	1.000000	0.300819  	1.000000	0.274316  	1.000000	0.274316  	1.000000	0.300596  	1.000000	0.000223371	
1.250000	0.240349  	1.250000	0.265045  	1.250000	0.245394  	1.250000	0.245394  	1.250000	0.264861  	1.250000	0.000183629	
1.500000	0.208676  	1.500000	0.230634  	1.500000	0.222667  	1.500000	0.222667  	1.500000	0.230478  	1.500000	0.000156382	
1.750000	0.185463  	1.750000	0.206164  	1.750000	0.203909  	1.750000	0.203909  	1.750000	0.206027  	1.750000	0.000136475	
2.000000	0.167514  	2.000000	0.187637  	2.000000	0.188038  	2.000000	0.188038  	2.000000	0.187516  	2.000000	0.00012126	
2.250000	0.153343  	2.250000	0.171882  	2.250000	0.174358  	2.250000	0.174358  	2.250000	0.171773  	2.250000	0.000109233	
2.500000	0.136856  	2.500000	0.158941  	2.500000	0.162462  	2.500000	0.162462  	2.500000	0.158841  	2.500000	9.94741e-05	
3.000000	0.120251  	3.000000	0.138689  	3.000000	0.142854  	3.000000	0.142854  	3.000000	0.138604  	3.000000	8.4574e-05	
3.500000	0.107454  	3.500000	0.12336   	3.500000	0.127445  	3.500000	0.127445  	3.500000	0.123286  	3.500000	7.37088e-05	
4.000000	0.0972743 	4.000000	0.111248  	4.000000	0.115074  	4.000000	0.115074  	4.000000	0.111182  	4.000000	6.54174e-05	
4.500000	0.0889714 	4.500000	0.1014    	4.500000	0.104954  	4.500000	0.104954  	4.500000	0.101341  	4.500000	5.88719e-05	
5.000000	0.0820626 	5.000000	0.0932238 	5.000000	0.0965386 	5.000000	0.0965386 	5.000000	0.0931702 	5.000000	5.35669e-05	
5.500000	0.0762187 	5.500000	0.0864069 	5.500000	0.0894362 	5.500000	0.0894362 	5.500000	0.0863577 	5.500000	4.91759e-05	
6.000000	0.0712073 	6.000000	0.0805738 	6.000000	0.0833643 	6.000000	0.0833643 	6.000000	0.0805283 	6.000000	4.54785e-05	
