Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.135173  	0.001000	0.0748704 	0.001000	0.118062  	0.001000	0.118062  	0.001000	0.0371848 	0.001000	0.0376857 	
0.002000	0.155952  	0.002000	0.0833474 	0.002000	0.131349  	0.002000	0.131349  	0.002000	0.0544417 	0.002000	0.0289057 	
0.005000	0.217602  	0.005000	0.108091  	0.005000	0.159152  	0.005000	0.159152  	0.005000	0.0901153 	0.005000	0.0179757 	
0.008000	0.269868  	0.008000	0.130183  	0.008000	0.179904  	0.008000	0.179904  	0.008000	0.116698  	0.008000	0.0134845 	
0.010000	0.301026  	0.010000	0.143602  	0.010000	0.191603  	0.010000	0.191603  	0.010000	0.131937  	0.010000	0.0116655 	
0.015000	0.353321  	0.015000	0.176424  	0.015000	0.219427  	0.015000	0.219427  	0.015000	0.167565  	0.015000	0.0088589 	
0.020000	0.394356  	0.020000	0.216495  	0.020000	0.255521  	0.020000	0.255521  	0.020000	0.209333  	0.020000	0.00716167	
0.025000	0.43902   	0.025000	0.254911  	0.025000	0.29037   	0.025000	0.29037   	0.025000	0.248819  	0.025000	0.00609223	
0.030000	0.475237  	0.030000	0.290768  	0.030000	0.319619  	0.030000	0.319619  	0.030000	0.285444  	0.030000	0.00532394	
0.035000	0.504208  	0.035000	0.323287  	0.035000	0.346372  	0.035000	0.346372  	0.035000	0.318544  	0.035000	0.00474244	
0.040000	0.526434  	0.040000	0.352929  	0.040000	0.370729  	0.040000	0.370729  	0.040000	0.348644  	0.040000	0.00428536	
0.045000	0.542271  	0.045000	0.3796    	0.045000	0.392783  	0.045000	0.392783  	0.045000	0.375684  	0.045000	0.00391562	
0.050000	0.552169  	0.050000	0.403301  	0.050000	0.412633  	0.050000	0.412633  	0.050000	0.399691  	0.050000	0.00360973	
0.055000	0.574132  	0.055000	0.424118  	0.055000	0.430389  	0.055000	0.430389  	0.055000	0.420766  	0.055000	0.00335203	
0.060000	0.592395  	0.060000	0.442199  	0.060000	0.446171  	0.060000	0.446171  	0.060000	0.439067  	0.060000	0.00313165	
0.070000	0.618999  	0.070000	0.470945  	0.070000	0.472322  	0.070000	0.472322  	0.070000	0.468171  	0.070000	0.00277381	
0.080000	0.647521  	0.080000	0.491303  	0.080000	0.492135  	0.080000	0.492135  	0.080000	0.488808  	0.080000	0.00249494	
0.090000	0.668077  	0.090000	0.50507   	0.090000	0.506651  	0.090000	0.506651  	0.090000	0.502799  	0.090000	0.00227093	
0.100000	0.683252  	0.100000	0.513845  	0.100000	0.516838  	0.100000	0.516838  	0.100000	0.511758  	0.100000	0.00208668	
0.120000	0.692885  	0.120000	0.527779  	0.120000	0.527532  	0.120000	0.527532  	0.120000	0.525978  	0.120000	0.00180067	
0.140000	0.694558  	0.140000	0.532913  	0.140000	0.529608  	0.140000	0.529608  	0.140000	0.531324  	0.140000	0.0015882 	
0.160000	0.694614  	0.160000	0.534424  	0.160000	0.526684  	0.160000	0.526684  	0.160000	0.533     	0.160000	0.0014236 	
0.180000	0.693764  	0.180000	0.532404  	0.180000	0.521033  	0.180000	0.521033  	0.180000	0.531112  	0.180000	0.00129203	
0.200000	0.695598  	0.200000	0.531045  	0.200000	0.514025  	0.200000	0.514025  	0.200000	0.529861  	0.200000	0.00118424	
0.250000	0.681362  	0.250000	0.524389  	0.250000	0.49496   	0.250000	0.49496   	0.250000	0.523405  	0.250000	0.000983684	
