*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.246062  	0.001000	0.133578  	0.001000	0.162119  	0.001000	0.162119  	0.001000	0.0801667 	0.001000	0.0534109
0.002000	0.271539  	0.002000	0.146698  	0.002000	0.181289  	0.002000	0.181289  	0.002000	0.103963  	0.002000	0.0427347
0.005000	0.335076  	0.005000	0.174414  	0.005000	0.218763  	0.005000	0.218763  	0.005000	0.146591  	0.005000	0.0278229
0.008000	0.384415  	0.008000	0.196103  	0.008000	0.246339  	0.008000	0.246339  	0.008000	0.174845  	0.008000	0.0212579
0.010000	0.412235  	0.010000	0.208635  	0.010000	0.261895  	0.010000	0.261895  	0.010000	0.190105  	0.010000	0.0185302
0.015000	0.482886  	0.015000	0.242217  	0.015000	0.299426  	0.015000	0.299426  	0.015000	0.227974  	0.015000	0.0142433
0.020000	0.539464  	0.020000	0.296775  	0.020000	0.350075  	0.020000	0.350075  	0.020000	0.285067  	0.020000	0.0117075
0.025000	0.603092  	0.025000	0.3502    	0.025000	0.399237  	0.025000	0.399237  	0.025000	0.340286  	0.025000	0.0099148
0.030000	0.657136  	0.030000	0.401497  	0.030000	0.441118  	0.030000	0.441118  	0.030000	0.392796  	0.030000	0.0087016
0.035000	0.701619  	0.035000	0.449456  	0.035000	0.479747  	0.035000	0.479747  	0.035000	0.441679  	0.035000	0.00777685
0.040000	0.736695  	0.040000	0.493638  	0.040000	0.515201  	0.040000	0.515201  	0.040000	0.486592  	0.040000	0.00704603
0.045000	0.762542  	0.045000	0.533799  	0.045000	0.547564  	0.045000	0.547564  	0.045000	0.527347  	0.045000	0.00645232
0.050000	0.778514  	0.050000	0.569094  	0.050000	0.576941  	0.050000	0.576941  	0.050000	0.563135  	0.050000	0.00595939
0.055000	0.81149   	0.055000	0.599932  	0.055000	0.603457  	0.055000	0.603457  	0.055000	0.594389  	0.055000	0.00554288
0.060000	0.839289  	0.060000	0.626965  	0.060000	0.627256  	0.060000	0.627256  	0.060000	0.62178   	0.060000	0.00518579
0.070000	0.8809    	0.070000	0.670642  	0.070000	0.667341  	0.070000	0.667341  	0.070000	0.666038  	0.070000	0.00460413
0.080000	0.925307  	0.080000	0.702472  	0.080000	0.698547  	0.080000	0.698547  	0.080000	0.698323  	0.080000	0.00414926
0.090000	0.958398  	0.090000	0.724904  	0.090000	0.722252  	0.090000	0.722252  	0.090000	0.721121  	0.090000	0.00378282
0.100000	0.98302   	0.100000	0.740153  	0.100000	0.739763  	0.100000	0.739763  	0.100000	0.736672  	0.100000	0.00348069
0.120000	0.991841  	0.120000	0.756064  	0.120000	0.76074   	0.120000	0.76074   	0.120000	0.753053  	0.120000	0.00301039
0.140000	0.990741  	0.140000	0.760482  	0.140000	0.768962  	0.140000	0.768962  	0.140000	0.757822  	0.140000	0.00265992
0.160000	0.992144  	0.160000	0.762157  	0.160000	0.769541  	0.160000	0.769541  	0.160000	0.759769  	0.160000	0.00238775
0.180000	0.997983  	0.180000	0.765159  	0.180000	0.765748  	0.180000	0.765748  	0.180000	0.762989  	0.180000	0.00216974
0.200000	1.00316   	0.200000	0.764845  	0.200000	0.759584  	0.200000	0.759584  	0.200000	0.762854  	0.200000	0.00199084
0.250000	0.990898  	0.250000	0.761972  	0.250000	0.740411  	0.250000	0.740411  	0.250000	0.760315  	0.250000	0.00165719
0.300000	0.986818  	0.300000	0.759467  	0.300000	0.720877  	0.300000	0.720877  	0.300000	0.758042  	0.300000	0.00142492
0.350000	0.981146  	0.350000	0.754226  	0.350000	0.707272  	0.350000	0.707272  	0.350000	0.752972  	0.350000	0.00125319
0.400000	0.979838  	0.400000	0.751875  	0.400000	0.694902  	0.400000	0.694902  	0.400000	0.750755  	0.400000	0.00112067
0.450000	0.972951  	0.450000	0.745801  	0.450000	0.681935  	0.450000	0.681935  	0.450000	0.744786  	0.450000	0.00101507
0.500000	0.960614  	0.500000	0.735804  	0.500000	0.668559  	0.500000	0.668559  	0.500000	0.734876  	0.500000	0.000928793
0.600000	0.894791  	0.600000	0.708778  	0.600000	0.640823  	0.600000	0.640823  	0.600000	0.707982  	0.600000	0.000795958
0.700000	0.825855  	0.700000	0.678585  	0.700000	0.614996  	0.700000	0.614996  	0.700000	0.677887  	0.700000	0.000698166
0.800000	0.787031  	0.800000	0.645991  	0.800000	0.590967  	0.800000	0.590967  	0.800000	0.645368  	0.800000	0.00062296
0.900000	0.750276  	0.900000	0.615822  	0.900000	0.568601  	0.900000	0.568601  	0.900000	0.615259  	0.900000	0.000563201
1.000000	0.715934  	1.000000	0.588084  	1.000000	0.547753  	1.000000	0.547753  	1.000000	0.58757   	1.000000	0.000514496
1.250000	0.636206  	1.250000	0.525694  	1.250000	0.499168  	1.250000	0.499168  	1.250000	0.525269  	1.250000	0.0004245
1.500000	0.571848  	1.500000	0.476147  	1.500000	0.459096  	1.500000	0.459096  	1.500000	0.475784  	1.500000	0.000362535
1.750000	0.519288  	1.750000	0.436067  	1.750000	0.425358  	1.750000	0.425358  	1.750000	0.43575   	1.750000	0.000317111
2.000000	0.473065  	2.000000	0.400536  	2.000000	0.396349  	2.000000	0.396349  	2.000000	0.400254  	2.000000	0.000282298
2.250000	0.434949  	2.250000	0.370727  	2.250000	0.371087  	2.250000	0.371087  	2.250000	0.370472  	2.250000	0.000254715
2.500000	0.394855  	2.500000	0.346129  	2.500000	0.348891  	2.500000	0.348891  	2.500000	0.345897  	2.500000	0.00023229
3.000000	0.348533  	3.000000	0.307296  	3.000000	0.311795  	3.000000	0.311795  	3.000000	0.307098  	3.000000	0.000197967
3.500000	0.312477  	3.500000	0.277508  	3.500000	0.282064  	3.500000	0.282064  	3.500000	0.277335  	3.500000	0.00017287
4.000000	0.283579  	4.000000	0.25365   	4.000000	0.257773  	4.000000	0.257773  	4.000000	0.253497  	4.000000	0.000153674
4.500000	0.259876  	4.500000	0.233996  	4.500000	0.23759   	4.500000	0.23759   	4.500000	0.233857  	4.500000	0.000138491
5.000000	0.240064  	5.000000	0.217474  	5.000000	0.220569  	5.000000	0.220569  	5.000000	0.217347  	5.000000	0.000126165
5.500000	0.223246  	5.500000	0.203365  	5.500000	0.206025  	5.500000	0.206025  	5.500000	0.203249  	5.500000	0.000115948
6.000000	0.20878   	6.000000	0.191163  	6.000000	0.193453  	6.000000	0.193453  	6.000000	0.191055  	6.000000	0.000107334
6.500000	0.196198  	6.500000	0.180495  	6.500000	0.182473  	6.500000	0.182473  	6.500000	0.180395  	6.500000	9.99673e-05
7.000000	0.18515   	7.000000	0.171083  	7.000000	0.172797  	7.000000	0.172797  	7.000000	0.170989  	7.000000	9.35919e-05
7.500000	0.175367  	7.500000	0.162711  	7.500000	0.164202  	7.500000	0.164202  	7.500000	0.162623  	7.500000	8.80174e-05
8.000000	0.16664   	8.000000	0.155212  	8.000000	0.156512  	8.000000	0.156512  	8.000000	0.155129  	8.000000	8.30994e-05
8.500000	0.158805  	8.500000	0.148452  	8.500000	0.149587  	8.500000	0.149587  	8.500000	0.148373  	8.500000	7.87267e-05
9.000000	0.151728  	9.000000	0.142324  	9.000000	0.143317  	9.000000	0.143317  	9.000000	0.142249  	9.000000	7.4812e-05
9.500000	0.145304  	9.500000	0.13674   	9.500000	0.137609  	9.500000	0.137609  	9.500000	0.136669  	9.500000	7.12859e-05
10.000000	0.139445  	10.000000	0.132223  	10.000000	0.132389  	10.000000	0.132389  	10.000000	0.132155  	10.000000	6.80923e-05
11.000000	0.129142  	11.000000	0.12308   	11.000000	0.122968  	11.000000	0.12301   	11.000000	0.123018  	11.000000	6.25284e-05
12.000000	0.12037   	12.000000	0.115191  	12.000000	0.114893  	12.000000	0.114962  	12.000000	0.115133  	12.000000	5.78418e-05
13.000000	0.112806  	13.000000	0.108315  	13.000000	0.107886  	13.000000	0.107971  	13.000000	0.108261  	13.000000	5.38374e-05
14.000000	0.106214  	14.000000	0.102269  	14.000000	0.10174   	14.000000	0.101835  	14.000000	0.102218  	14.000000	5.03745e-05
15.000000	0.100414  	15.000000	0.0969097 	15.000000	0.0963001 	15.000000	0.0963997 	15.000000	0.0968623 	15.000000	4.73487e-05
16.000000	0.0952702 	16.000000	0.0921267 	16.000000	0.0914479 	16.000000	0.0915486 	16.000000	0.092082  	16.000000	4.46809e-05
17.000000	0.0906748 	17.000000	0.087831  	17.000000	0.0870904 	17.000000	0.0871888 	17.000000	0.0877887 	17.000000	4.23104e-05
18.000000	0.0865434 	18.000000	0.0839512 	18.000000	0.0831517 	18.000000	0.0832467 	18.000000	0.0839111 	18.000000	4.01893e-05
19.000000	0.0828081 	19.000000	0.0804292 	19.000000	0.0795711 	19.000000	0.0796632 	19.000000	0.0803909 	19.000000	3.82798e-05
20.000000	0.0794134 	20.000000	0.077217  	20.000000	0.0762994 	20.000000	0.0763899 	20.000000	0.0771805 	20.000000	3.65512e-05
21.000000	0.0763141 	21.000000	0.0742752 	21.000000	0.0732989 	21.000000	0.073387  	21.000000	0.0742403 	21.000000	3.49785e-05
22.000000	0.0734726 	22.000000	0.0715707 	22.000000	0.0705395 	22.000000	0.0706215 	22.000000	0.0715371 	22.000000	3.35415e-05
23.000000	0.0708575 	23.000000	0.0690754 	23.000000	0.0679917 	23.000000	0.0680655 	23.000000	0.0690432 	23.000000	3.22228e-05
24.000000	0.0684423 	24.000000	0.0667658 	24.000000	0.0656286 	24.000000	0.0656956 	24.000000	0.0667348 	24.000000	3.10084e-05
25.000000	0.0662045 	25.000000	0.0646216 	25.000000	0.0634297 	25.000000	0.0634918 	25.000000	0.0645917 	25.000000	2.98861e-05
27.000000	0.062187  	27.000000	0.0607622 	27.000000	0.0594648 	27.000000	0.0595159 	27.000000	0.0607343 	27.000000	2.78783e-05
29.000000	0.0586812 	29.000000	0.0573844 	29.000000	0.0559881 	29.000000	0.0560266 	29.000000	0.0573583 	29.000000	2.61338e-05
31.000000	0.0555936 	31.000000	0.0544024 	31.000000	0.0530238 	31.000000	0.0530472 	31.000000	0.0543778 	31.000000	2.46032e-05
33.000000	0.0528523 	33.000000	0.0517494 	33.000000	0.0504873 	33.000000	0.0504965 	33.000000	0.0517262 	33.000000	2.3249e-05
35.000000	0.0504012 	35.000000	0.0493734 	35.000000	0.0482076 	35.000000	0.0482106 	35.000000	0.0493514 	35.000000	2.2042e-05
38.000000	0.0471736 	38.000000	0.0462394 	38.000000	0.0452037 	38.000000	0.0451928 	38.000000	0.0462189 	38.000000	2.04583e-05
41.000000	0.0443851 	41.000000	0.0435274 	41.000000	0.0425975 	41.000000	0.0425783 	41.000000	0.0435083 	41.000000	1.90953e-05
44.000000	0.0419502 	44.000000	0.0411566 	44.000000	0.0403135 	44.000000	0.0402898 	44.000000	0.0411387 	44.000000	1.79094e-05
47.000000	0.0398045 	47.000000	0.0390657 	47.000000	0.0382972 	47.000000	0.038269  	47.000000	0.0390488 	47.000000	1.68676e-05
50.000000	0.0378984 	50.000000	0.0372072 	50.000000	0.0365015 	50.000000	0.0364705 	50.000000	0.0371913 	50.000000	1.5945e-05
