Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.817844  	0.001000	0.16202   	0.001000	0.133193  	0.001000	0.133193  	0.001000	0.113105  	0.001000	0.0489147 	
0.002000	0.887789  	0.002000	0.203748  	0.002000	0.166272  	0.002000	0.166272  	0.002000	0.156663  	0.002000	0.0470843 	
0.005000	1.07017   	0.005000	0.279825  	0.005000	0.227286  	0.005000	0.227286  	0.005000	0.24099   	0.005000	0.0388348 	
0.008000	1.21665   	0.008000	0.333529  	0.008000	0.271339  	0.008000	0.271339  	0.008000	0.300563  	0.008000	0.0329661 	
0.010000	1.30084   	0.010000	0.363855  	0.010000	0.296567  	0.010000	0.296567  	0.010000	0.333798  	0.010000	0.0300574 	
0.015000	1.51476   	0.015000	0.428733  	0.015000	0.351263  	0.015000	0.351263  	0.015000	0.403875  	0.015000	0.024858  	
0.020000	1.68581   	0.020000	0.48373   	0.020000	0.398284  	0.020000	0.398284  	0.020000	0.462347  	0.020000	0.0213837 	
0.025000	1.87471   	0.025000	0.533639  	0.025000	0.443167  	0.025000	0.443167  	0.025000	0.514767  	0.025000	0.0188729 	
0.030000	2.03485   	0.030000	0.580579  	0.030000	0.53084   	0.030000	0.53084   	0.030000	0.563619  	0.030000	0.0169595 	
0.035000	2.16651   	0.035000	0.625528  	0.035000	0.591229  	0.035000	0.591229  	0.035000	0.610083  	0.035000	0.0154451 	
0.040000	2.27028   	0.040000	0.667642  	0.040000	0.63604   	0.040000	0.63604   	0.040000	0.653431  	0.040000	0.0142117 	
0.045000	2.34725   	0.045000	0.706694  	0.045000	0.673757  	0.045000	0.673757  	0.045000	0.69351   	0.045000	0.0131846 	
0.050000	2.39899   	0.050000	0.742738  	0.050000	0.707998  	0.050000	0.707998  	0.050000	0.730424  	0.050000	0.012314  	
0.055000	2.50342   	0.055000	0.77594   	0.055000	0.740004  	0.055000	0.740004  	0.055000	0.764375  	0.055000	0.0115652 	
0.060000	2.59237   	0.060000	0.806501  	0.060000	0.770139  	0.060000	0.770139  	0.060000	0.795588  	0.060000	0.0109131 	
0.070000	2.72824   	0.070000	0.860494  	0.070000	0.825106  	0.070000	0.825106  	0.070000	0.850664  	0.070000	0.00983032	
0.080000	2.87405   	0.080000	0.906177  	0.080000	0.873221  	0.080000	0.873221  	0.080000	0.897212  	0.080000	0.00896477	
0.090000	2.98859   	0.090000	0.944776  	0.090000	0.9149    	0.090000	0.9149    	0.090000	0.936522  	0.090000	0.00825485	
0.100000	3.08046   	0.100000	0.978382  	0.100000	0.950656  	0.100000	0.950656  	0.100000	0.970793  	0.100000	0.00758931	
0.120000	3.13624   	0.120000	1.03286   	0.120000	1.00732   	0.120000	1.00732   	0.120000	1.0262    	0.120000	0.0066583 	
0.140000	3.15841   	0.140000	1.07075   	0.140000	1.04801   	0.140000	1.04801   	0.140000	1.0648    	0.140000	0.00594907	
0.160000	3.16625   	0.160000	1.09665   	0.160000	1.07682   	0.160000	1.07682   	0.160000	1.09126   	0.160000	0.00538883	
0.180000	3.16558   	0.180000	1.10891   	0.180000	1.09697   	0.180000	1.09697   	0.180000	1.10397   	0.180000	0.00493387	
0.200000	3.17249   	0.200000	1.11534   	0.200000	1.11086   	0.200000	1.11086   	0.200000	1.11078   	0.200000	0.00455624	
0.250000	3.11458   	0.250000	1.12068   	0.250000	1.12862   	0.250000	1.12862   	0.250000	1.11684   	0.250000	0.00384114	
0.300000	3.12736   	0.300000	1.13239   	0.300000	1.13347   	0.300000	1.13347   	0.300000	1.12905   	0.300000	0.00333449	
0.350000	3.15079   	0.350000	1.14936   	0.350000	1.13241   	0.350000	1.13241   	0.350000	1.14641   	0.350000	0.00295492	
0.400000	3.14529   	0.400000	1.1531    	0.400000	1.12846   	0.400000	1.12846   	0.400000	1.15044   	0.400000	0.00265891	
0.450000	3.12792   	0.450000	1.15093   	0.450000	1.13304   	0.450000	1.13304   	0.450000	1.14851   	0.450000	0.002421  	
0.500000	3.11915   	0.500000	1.1514    	0.500000	1.13356   	0.500000	1.13356   	0.500000	1.14917   	0.500000	0.0022252 	
0.600000	2.98055   	0.600000	1.15265   	0.600000	1.12644   	0.600000	1.12644   	0.600000	1.15073   	0.600000	0.00192111	
0.700000	2.82485   	0.700000	1.14784   	0.700000	1.10989   	0.700000	1.10989   	0.700000	1.14615   	0.700000	0.00169506	
0.800000	2.76476   	0.800000	1.13729   	0.800000	1.08962   	0.800000	1.08962   	0.800000	1.13577   	0.800000	0.00151985	
0.900000	2.69837   	0.900000	1.12378   	0.900000	1.06824   	0.900000	1.06824   	0.900000	1.1224    	0.900000	0.00137974	
1.000000	2.62857   	1.000000	1.10897   	1.000000	1.0464    	1.000000	1.0464    	1.000000	1.10771   	1.000000	0.00126492	
1.250000	2.42931   	1.250000	1.05697   	1.250000	0.9907    	1.250000	0.9907    	1.250000	1.05592   	1.250000	0.00105116	
1.500000	2.22414   	1.500000	0.988381  	1.500000	0.934579  	1.500000	0.934579  	1.500000	0.987478  	1.500000	0.000902679	
1.750000	2.04905   	1.750000	0.928915  	1.750000	0.885282  	1.750000	0.885282  	1.750000	0.928122  	1.750000	0.000793081	
2.000000	1.88615   	2.000000	0.868646  	2.000000	0.841157  	2.000000	0.841157  	2.000000	0.867937  	2.000000	0.000708618	
2.250000	1.75065   	2.250000	0.817278  	2.250000	0.801309  	2.250000	0.801309  	2.250000	0.816637  	2.250000	0.000641386	
2.500000	1.63039   	2.500000	0.774389  	2.500000	0.765136  	2.500000	0.765136  	2.500000	0.773802  	2.500000	0.000586508	
3.000000	1.45291   	3.000000	0.705058  	3.000000	0.702049  	3.000000	0.702049  	3.000000	0.704556  	3.000000	0.000502112	
3.500000	1.3119    	3.500000	0.649702  	3.500000	0.649032  	3.500000	0.649032  	3.500000	0.649262  	3.500000	0.00044006	
4.000000	1.19715   	4.000000	0.604108  	4.000000	0.603968  	4.000000	0.603968  	4.000000	0.603716  	4.000000	0.000392388	
4.500000	1.1019    	4.500000	0.565641  	4.500000	0.565248  	4.500000	0.565248  	4.500000	0.565286  	4.500000	0.000354541	
5.000000	1.02152   	5.000000	0.532543  	5.000000	0.531646  	5.000000	0.531646  	5.000000	0.53222   	5.000000	0.000323718	
5.500000	0.952754  	5.500000	0.503664  	5.500000	0.502214  	5.500000	0.502214  	5.500000	0.503366  	5.500000	0.000298097	
6.000000	0.893219  	6.000000	0.478192  	6.000000	0.476219  	6.000000	0.476219  	6.000000	0.477915  	6.000000	0.000276442	
6.500000	0.841152  	6.500000	0.455525  	6.500000	0.453085  	6.500000	0.453085  	6.500000	0.455267  	6.500000	0.000257883	
7.000000	0.795214  	7.000000	0.435203  	7.000000	0.432358  	7.000000	0.432358  	7.000000	0.434961  	7.000000	0.00024179	
7.500000	0.754368  	7.500000	0.416866  	7.500000	0.413673  	7.500000	0.413673  	7.500000	0.416638  	7.500000	0.000227692	
8.000000	0.717801  	8.000000	0.400226  	8.000000	0.396735  	8.000000	0.396735  	8.000000	0.40001   	8.000000	0.000215234	
8.500000	0.684864  	8.500000	0.385049  	8.500000	0.381304  	8.500000	0.381304  	8.500000	0.384845  	8.500000	0.00020414	
9.000000	0.655036  	9.000000	0.371144  	9.000000	0.367182  	9.000000	0.367182  	9.000000	0.37095   	9.000000	0.000194195	
9.500000	0.62789   	9.500000	0.358352  	9.500000	0.354204  	9.500000	0.354204  	9.500000	0.358167  	9.500000	0.000185225	
10.000000	0.603074  	10.000000	0.348836  	10.000000	0.342232  	10.000000	0.342232  	10.000000	0.348659  	10.000000	0.000177091	
11.000000	0.559313  	11.000000	0.329678  	11.000000	0.321981  	11.000000	0.322332  	11.000000	0.329515  	11.000000	0.000162895	
12.000000	0.521929  	12.000000	0.312379  	12.000000	0.304295  	12.000000	0.304876  	12.000000	0.312228  	12.000000	0.000150914	
13.000000	0.489605  	13.000000	0.296756  	13.000000	0.288708  	13.000000	0.289438  	13.000000	0.296615  	13.000000	0.000140658	
14.000000	0.461366  	14.000000	0.282619  	14.000000	0.274852  	14.000000	0.275679  	14.000000	0.282487  	14.000000	0.000131775	
15.000000	0.436473  	15.000000	0.269792  	15.000000	0.262444  	15.000000	0.263334  	15.000000	0.269668  	15.000000	0.000124  	
16.000000	0.414356  	16.000000	0.258118  	16.000000	0.251273  	16.000000	0.252192  	16.000000	0.258001  	16.000000	0.000117137	
17.000000	0.394568  	17.000000	0.247458  	17.000000	0.241161  	17.000000	0.242081  	17.000000	0.247347  	17.000000	0.00011103	
18.000000	0.376755  	18.000000	0.237692  	18.000000	0.231944  	18.000000	0.232861  	18.000000	0.237587  	18.000000	0.000105559	
19.000000	0.360631  	19.000000	0.228717  	19.000000	0.223508  	19.000000	0.224417  	19.000000	0.228616  	19.000000	0.000100629	
20.000000	0.345963  	20.000000	0.220443  	20.000000	0.215765  	20.000000	0.216652  	20.000000	0.220347  	20.000000	9.61611e-05	
21.000000	0.332559  	21.000000	0.212794  	21.000000	0.208603  	21.000000	0.209457  	21.000000	0.212702  	21.000000	9.20926e-05	
22.000000	0.320261  	22.000000	0.205702  	22.000000	0.201973  	22.000000	0.202792  	22.000000	0.205614  	22.000000	8.83712e-05	
23.000000	0.308934  	23.000000	0.19911   	23.000000	0.195844  	23.000000	0.19663   	23.000000	0.199025  	23.000000	8.49537e-05	
24.000000	0.298465  	24.000000	0.192966  	24.000000	0.190136  	24.000000	0.190892  	24.000000	0.192885  	24.000000	8.18036e-05	
25.000000	0.288761  	25.000000	0.187229  	25.000000	0.184808  	25.000000	0.185534  	25.000000	0.18715   	25.000000	7.88903e-05	
27.000000	0.271325  	27.000000	0.176818  	27.000000	0.175154  	27.000000	0.175812  	27.000000	0.176745  	27.000000	7.3673e-05	
29.000000	0.256096  	29.000000	0.167623  	29.000000	0.166646  	29.000000	0.167221  	29.000000	0.167554  	29.000000	6.91336e-05	
31.000000	0.242673  	31.000000	0.159441  	31.000000	0.158818  	31.000000	0.159289  	31.000000	0.159375  	31.000000	6.51461e-05	
33.000000	0.230749  	33.000000	0.152113  	33.000000	0.151562  	33.000000	0.151938  	33.000000	0.152051  	33.000000	6.16141e-05	
35.000000	0.220082  	35.000000	0.145511  	35.000000	0.145045  	35.000000	0.145337  	35.000000	0.145453  	35.000000	5.84628e-05	
38.000000	0.206027  	38.000000	0.136751  	38.000000	0.136416  	38.000000	0.136601  	38.000000	0.136696  	38.000000	5.43229e-05	
41.000000	0.193877  	41.000000	0.129121  	41.000000	0.128918  	41.000000	0.129011  	41.000000	0.12907   	41.000000	5.07553e-05	
44.000000	0.183263  	44.000000	0.122416  	44.000000	0.12231   	44.000000	0.122349  	44.000000	0.122368  	44.000000	4.76474e-05	
47.000000	0.173907  	47.000000	0.116474  	47.000000	0.116471  	47.000000	0.116451  	47.000000	0.116429  	47.000000	4.49144e-05	
50.000000	0.165593  	50.000000	0.111172  	50.000000	0.111256  	50.000000	0.11119   	50.000000	0.11113   	50.000000	4.24915e-05	
55.000000	0.153612  	55.000000	0.103497  	55.000000	0.103684  	55.000000	0.103573  	55.000000	0.103458  	55.000000	3.90094e-05	
60.000000	0.143492  	60.000000	0.0969846 	60.000000	0.0972514 	60.000000	0.0971049 	60.000000	0.0969485 	60.000000	3.60773e-05	
65.000000	0.134822  	65.000000	0.0913863 	65.000000	0.0917027 	65.000000	0.0915397 	65.000000	0.0913528 	65.000000	3.35728e-05	
70.000000	0.127307  	70.000000	0.0865208 	70.000000	0.0868904 	70.000000	0.0866971 	70.000000	0.0864894 	70.000000	3.14073e-05	
75.000000	0.120726  	75.000000	0.0822515 	75.000000	0.0826422 	75.000000	0.0824424 	75.000000	0.082222  	75.000000	2.95157e-05	
80.000000	0.114911  	80.000000	0.0784742 	80.000000	0.0788908 	80.000000	0.078673  	80.000000	0.0784464 	80.000000	2.78482e-05	
85.000000	0.109734  	85.000000	0.0751077 	85.000000	0.0755296 	85.000000	0.0753091 	85.000000	0.0750813 	85.000000	2.63668e-05	
90.000000	0.105093  	90.000000	0.0720877 	90.000000	0.0725222 	90.000000	0.0722876 	90.000000	0.0720627 	90.000000	2.50416e-05	
95.000000	0.100906  	95.000000	0.069363  	95.000000	0.0697929 	95.000000	0.0695579 	95.000000	0.0693391 	95.000000	2.38486e-05	
100.000000	0.0971093 	100.000000	0.0668917 	100.000000	0.0673147 	100.000000	0.0670793 	100.000000	0.066869  	100.000000	2.27689e-05	
105.000000	0.093649  	105.000000	0.0646399 	105.000000	0.065053  	105.000000	0.0648182 	105.000000	0.0646181 	105.000000	2.17868e-05	
110.000000	0.0904814 	110.000000	0.0625793 	110.000000	0.0629901 	110.000000	0.0627468 	110.000000	0.0625584 	110.000000	2.08894e-05	
115.000000	0.0875699 	115.000000	0.0606863 	115.000000	0.0610881 	115.000000	0.060842  	115.000000	0.0606662 	115.000000	2.00661e-05	
120.000000	0.084884  	120.000000	0.0589411 	120.000000	0.0593284 	120.000000	0.0590842 	120.000000	0.0589218 	120.000000	1.9308e-05	
