*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - Range straggling - method [0] - LISE	Energy (MeV/u)6	5 - Range straggling - method [1] - Atima	Energy (MeV/u)7	6 - Lateral range - method [0] - LISE	Energy (MeV/u)8	7 - Lateral range - method [1] - Atima	Energy (MeV/u)9	8 - Lateral range - method [2] - PDG	
0.001000	0.0425099 	0.001000	0.0425099 	0.001000	0.0323747 	0.001000	0.0323747 	0.001000	0         	0.001000	0         	0.001000	6.29208e-05	0.001000	0.000102355	0.001000	4.52955e-05
0.002000	0.0859163 	0.002000	0.0850198 	0.002000	0.0647494 	0.002000	0.0647494 	0.002000	0.00790459	0.002000	0.00790459	0.002000	0.000184252	0.002000	0.000289538	0.002000	0.000138509
0.005000	0.179688  	0.005000	0.176855  	0.005000	0.133947  	0.005000	0.133947  	0.005000	0.00888404	0.005000	0.00888404	0.005000	0.000534175	0.005000	0.00082092	0.005000	0.000411697
0.008000	0.251283  	0.008000	0.246971  	0.008000	0.186462  	0.008000	0.186462  	0.008000	0.00890791	0.008000	0.00890791	0.008000	0.000861113	0.008000	0.00130702	0.008000	0.000672354
0.010000	0.29267   	0.010000	0.287503  	0.010000	0.216755  	0.010000	0.216755  	0.010000	0.00898356	0.010000	0.00898356	0.010000	0.00107381	0.010000	0.00162036	0.010000	0.000843396
0.015000	0.379061  	0.015000	0.37211   	0.015000	0.282566  	0.015000	0.282566  	0.015000	0.00933764	0.015000	0.00933764	0.015000	0.00159788	0.015000	0.00238619	0.015000	0.00126787
0.020000	0.448722  	0.020000	0.440332  	0.020000	0.339205  	0.020000	0.339205  	0.020000	0.00978977	0.020000	0.00978977	0.020000	0.00211534	0.020000	0.00313615	0.020000	0.00168999
0.025000	0.50839   	0.025000	0.498768  	0.025000	0.389841  	0.025000	0.389841  	0.025000	0.0102556 	0.025000	0.0102556 	0.025000	0.00263117	0.025000	0.0038793 	0.025000	0.00211291
0.030000	0.561506  	0.030000	0.550787  	0.030000	0.43647   	0.030000	0.43647   	0.030000	0.0107142 	0.030000	0.0107142 	0.030000	0.00315165	0.030000	0.0046252 	0.030000	0.00254151
0.035000	0.610094  	0.035000	0.598372  	0.035000	0.480458  	0.035000	0.480458  	0.035000	0.0111667 	0.035000	0.0111667 	0.035000	0.00368241	0.035000	0.00538198	0.035000	0.0029804
