*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - Range straggling - method [0] - LISE	Energy (MeV/u)6	5 - Range straggling - method [1] - Atima	Energy (MeV/u)7	6 - Lateral range - method [0] - LISE	Energy (MeV/u)8	7 - Lateral range - method [1] - Atima	Energy (MeV/u)9	8 - Lateral range - method [2] - PDG	
0.001000	0.101972  	0.001000	0.101972  	0.001000	0.111273  	0.001000	0.111273  	0.001000	0         	0.001000	0         	0.001000	0.000589215	0.001000	0.000882962	0.001000	0.000521291
0.002000	0.205507  	0.002000	0.203943  	0.002000	0.222546  	0.002000	0.222546  	0.002000	0.0309921 	0.002000	0.0309921 	0.002000	0.00172597	0.002000	0.00249926	0.002000	0.00156459
0.005000	0.389175  	0.005000	0.384838  	0.005000	0.421852  	0.005000	0.421852  	0.005000	0.0335802 	0.005000	0.0335802 	0.005000	0.00432281	0.005000	0.00618676	0.005000	0.00394971
0.008000	0.510513  	0.008000	0.504344  	0.008000	0.55422   	0.008000	0.55422   	0.008000	0.0336147 	0.008000	0.0336147 	0.008000	0.00633933	0.008000	0.00901054	0.008000	0.00581815
0.010000	0.576488  	0.010000	0.569323  	0.010000	0.62632   	0.010000	0.62632   	0.010000	0.0337121 	0.010000	0.0337121 	0.010000	0.00756672	0.010000	0.0107195 	0.010000	0.00695941
0.015000	0.711938  	0.015000	0.702727  	0.015000	0.775948  	0.015000	0.775948  	0.015000	0.0341153 	0.015000	0.0341153 	0.015000	0.0104889 	0.015000	0.0147667 	0.015000	0.00968523
0.020000	0.824459  	0.020000	0.813548  	0.020000	0.899288  	0.020000	0.899288  	0.020000	0.0345848 	0.020000	0.0345848 	0.020000	0.0133187 	0.020000	0.0183024 	0.020000	0.012333
0.025000	0.923216  	0.025000	0.910814  	0.025000	1.0064    	0.025000	1.0064    	0.025000	0.0350438 	0.025000	0.0350438 	0.025000	0.0161432 	0.025000	0.0215489 	0.025000	0.0149824
0.030000	1.01198   	0.030000	0.998238  	0.030000	1.09777   	0.030000	1.09777   	0.030000	0.0354156 	0.030000	0.0354156 	0.030000	0.0188982 	0.030000	0.024494  	0.030000	0.0175674
0.035000	1.09324   	0.035000	1.07827   	0.035000	1.17714   	0.035000	1.17714   	0.035000	0.0357114 	0.035000	0.0357114 	0.035000	0.0215962 	0.035000	0.0272169 	0.035000	0.0200998
0.040000	1.16876   	0.040000	1.15265   	0.040000	1.25017   	0.040000	1.25017   	0.040000	0.0359795 	0.040000	0.0359795 	0.040000	0.0243279 	0.040000	0.0298452 	0.040000	0.0226682
0.045000	1.23982   	0.045000	1.22263   	0.045000	1.31913   	0.045000	1.31913   	0.045000	0.0362346 	0.045000	0.0362346 	0.045000	0.0271374 	0.045000	0.0324355 	0.045000	0.0253151
0.050000	1.30734   	0.050000	1.28914   	0.050000	1.38508   	0.050000	1.38508   	0.050000	0.0364814 	0.050000	0.0365282 	0.050000	0.0300136 	0.050000	0.0349816 	0.050000	0.0280297
0.055000	1.37201   	0.055000	1.35283   	0.055000	1.44857   	0.055000	1.44857   	0.055000	0.0367216 	0.055000	0.0368331 	0.055000	0.032975  	0.055000	0.0375146 	0.055000	0.0308296
0.060000	1.43435   	0.060000	1.41423   	0.060000	1.51002   	0.060000	1.51002   	0.060000	0.0369561 	0.060000	0.0371231 	0.060000	0.0356965 	0.060000	0.0400346 	0.060000	0.0337104
0.070000	1.55357   	0.070000	1.53165   	0.070000	1.62794   	0.070000	1.62794   	0.070000	0.0374108 	0.070000	0.0376682 	0.070000	0.0408073 	0.070000	0.0450481 	0.070000	0.0397044
0.080000	1.6673    	0.080000	1.64367   	0.080000	1.74067   	0.080000	1.74067   	0.080000	0.0378512 	0.080000	0.0381788 	0.080000	0.0459206 	0.080000	0.0500506 	0.080000	0.0449667
0.090000	1.77709   	0.090000	1.7518    	0.090000	1.84953   	0.090000	1.84953   	0.090000	0.0382826 	0.090000	0.0386656 	0.090000	0.0508573 	0.090000	0.0549044 	0.090000	0.0499057
0.100000	1.88401   	0.100000	1.8571    	0.100000	1.95552   	0.100000	1.95552   	0.100000	0.0387094 	0.100000	0.0391365 	0.100000	0.0554551 	0.100000	0.0594618 	0.100000	0.0545223
0.120000	2.09221   	0.120000	2.06215   	0.120000	2.16166   	0.120000	2.16166   	0.120000	0.0395637 	0.120000	0.0400536 	0.120000	0.0641725 	0.120000	0.0681917 	0.120000	0.063276
0.140000	2.29622   	0.140000	2.26309   	0.140000	2.36331   	0.140000	2.36331   	0.140000	0.0404375 	0.140000	0.0409636 	0.140000	0.0718014 	0.140000	0.0758809 	0.140000	0.0709369
0.160000	2.49876   	0.160000	2.46257   	0.160000	2.56314   	0.160000	2.56314   	0.160000	0.0413479 	0.160000	0.041888  	0.160000	0.0782781 	0.160000	0.0824576 	0.160000	0.0774348
0.180000	2.7016    	0.180000	2.66235   	0.180000	2.76296   	0.180000	2.76296   	0.180000	0.0423074 	0.180000	0.0428413 	0.180000	0.083822  	0.180000	0.088158  	0.180000	0.0829833
0.200000	2.90596   	0.200000	2.86362   	0.200000	2.96399   	0.200000	2.96399   	0.200000	0.0433257 	0.200000	0.043834  	0.200000	0.0885293 	0.200000	0.0930757 	0.200000	0.0876828
0.250000	3.4285    	0.250000	3.37826   	0.250000	3.47695   	0.250000	3.47695   	0.250000	0.0461735 	0.250000	0.0465307 	0.250000	0.100351  	0.250000	0.105522  	0.250000	0.0994891
0.300000	3.97309   	0.300000	3.91463   	0.300000	4.01035   	0.300000	4.01035   	0.300000	0.0495064 	0.300000	0.0495815 	0.300000	0.111484  	0.300000	0.117425  	0.300000	0.110589
0.350000	4.54325   	0.350000	4.47618   	0.350000	4.56783   	0.350000	4.56783   	0.350000	0.0533582 	0.350000	0.0530118 	0.350000	0.121408  	0.350000	0.128262  	0.350000	0.120468
0.400000	5.14052   	0.400000	5.06443   	0.400000	5.1511    	0.400000	5.1511    	0.400000	0.0577373 	0.400000	0.0568246 	0.400000	0.131405  	0.400000	0.13922   	0.400000	0.130417
0.450000	5.76554   	0.450000	5.68002   	0.450000	5.76092   	0.450000	5.76092   	0.450000	0.0626365 	0.450000	0.0610104 	0.450000	0.141066  	0.450000	0.149913  	0.450000	0.140033
0.500000	6.41848   	0.500000	6.32309   	0.500000	6.39754   	0.500000	6.39754   	0.500000	0.0680393 	0.500000	0.065553  	0.500000	0.150678  	0.500000	0.160585  	0.500000	0.1496
0.600000	7.80753   	0.600000	7.69117   	0.600000	7.75102   	0.600000	7.75102   	0.600000	0.0802702 	0.600000	0.0756312 	0.600000	0.169545  	0.600000	0.181698  	0.600000	0.168381
0.700000	9.3055    	0.700000	9.16652   	0.700000	9.20995   	0.700000	9.20995   	0.700000	0.0942509 	0.700000	0.0869003 	0.700000	0.188452  	0.700000	0.20291   	0.700000	0.187216
0.800000	10.9093   	0.800000	10.7461   	0.800000	10.7718   	0.800000	10.7718   	0.800000	0.109815  	0.800000	0.0992145 	0.800000	0.207743  	0.800000	0.224562  	0.800000	0.206455
0.900000	12.6158   	0.900000	12.4269   	0.900000	12.4337   	0.900000	12.4337   	0.900000	0.126822  	0.900000	0.112452  	0.900000	0.227448  	0.900000	0.246659  	0.900000	0.226133
1.000000	14.422    	1.000000	14.2058   	1.000000	14.193    	1.000000	14.193    	1.000000	0.14516   	1.000000	0.126516  	1.000000	0.24782   	1.000000	0.269419  	1.000000	0.246504
1.250000	19.3561   	1.250000	19.0653   	1.250000	19.0016   	1.250000	19.0016   	1.250000	0.19631   	1.250000	0.164846  	1.250000	0.301299  	1.250000	0.328777  	1.250000	0.300094
1.500000	24.8613   	1.500000	24.4874   	1.500000	24.3718   	1.500000	24.3718   	1.500000	0.254381  	1.500000	0.207167  	1.500000	0.358972  	1.500000	0.392062  	1.500000	0.358045
1.750000	30.9118   	1.750000	30.4465   	1.750000	30.28     	1.750000	30.28     	1.750000	0.318881  	1.750000	0.253065  	1.750000	0.421717  	1.750000	0.459953  	1.750000	0.421228
2.000000	37.4882   	2.000000	36.9236   	2.000000	36.7084   	2.000000	36.7084   	2.000000	0.389519  	2.000000	0.302286  	2.000000	0.489676  	2.000000	0.532543  	2.000000	0.48977
2.250000	44.5749   	2.250000	43.9034   	2.250000	43.6429   	2.250000	43.6429   	2.250000	0.466102  	2.250000	0.354668  	2.250000	0.562794  	2.250000	0.60974   	2.250000	0.563608
2.500000	52.1666   	2.500000	51.373    	2.500000	51.0714   	2.500000	51.0714   	2.500000	0.548487  	2.500000	0.410109  	2.500000	0.640963  	2.500000	0.69142   	2.500000	0.642624
3.000000	69.0181   	3.000000	67.7383   	3.000000	67.3701   	3.000000	67.3701   	3.000000	0.730178  	3.000000	0.529846  	3.000000	0.812014  	3.000000	0.867764  	3.000000	0.815716
3.500000	87.6119   	3.500000	85.9422   	3.500000	85.5321   	3.500000	85.5321   	3.500000	0.93372   	3.500000	0.660835  	3.500000	1.00201   	3.500000	1.06072   	3.500000	1.00817
4.000000	107.895   	4.000000	105.918   	4.000000	105.495   	4.000000	105.495   	4.000000	1.15832   	4.000000	0.802463  	4.000000	1.21017   	4.000000	1.26951   	4.000000	1.21918
4.500000	129.823   	4.500000	127.608   	4.500000	127.202   	4.500000	127.202   	4.500000	1.40324   	4.500000	0.954243  	4.500000	1.43581   	4.500000	1.49341   	4.500000	1.44803
5.000000	153.356   	5.000000	150.959   	5.000000	150.606   	5.000000	150.606   	5.000000	1.66782   	5.000000	1.11574   	5.000000	1.67827   	5.000000	1.73178   	5.000000	1.69404
5.500000	178.462   	5.500000	175.924   	5.500000	175.66    	5.500000	175.66    	5.500000	1.95144   	5.500000	1.28656   	5.500000	1.93699   	5.500000	1.98404   	5.500000	1.95663
6.000000	205.109   	6.000000	202.461   	6.000000	202.324   	6.000000	202.324   	6.000000	2.25356   	6.000000	1.46636   	6.000000	2.21145   	6.000000	2.24965   	6.000000	2.23525
6.500000	233.269   	6.500000	230.533   	6.500000	230.563   	6.500000	230.563   	6.500000	2.57368   	6.500000	1.65481   	6.500000	2.50119   	6.500000	2.52816   	6.500000	2.52946
7.000000	262.92    	7.000000	260.105   	7.000000	260.343   	7.000000	260.343   	7.000000	2.91136   	7.000000	1.85166   	7.000000	2.80578   	7.000000	2.81914   	7.000000	2.8388
7.500000	294.037   	7.500000	291.145   	7.500000	291.634   	7.500000	291.634   	7.500000	3.26621   	7.500000	2.05666   	7.500000	3.12486   	7.500000	3.12223   	7.500000	3.16289
8.000000	326.6     	8.000000	323.625   	8.000000	324.408   	8.000000	324.408   	8.000000	3.63786   	8.000000	2.26959   	8.000000	3.45808   	8.000000	3.43709   	8.000000	3.50141
8.500000	360.589   	8.500000	357.519   	8.500000	358.641   	8.500000	358.641   	8.500000	4.02601   	8.500000	2.49028   	8.500000	3.80516   	8.500000	3.76341   	8.500000	3.85404
9.000000	395.986   	9.000000	392.802   	9.000000	394.31    	9.000000	394.31    	9.000000	4.43035   	9.000000	2.71855   	9.000000	4.1658    	9.000000	4.10093   	9.000000	4.22049
9.500000	432.775   	9.500000	429.453   	9.500000	431.392   	9.500000	431.392   	9.500000	4.85061   	9.500000	2.95421   	9.500000	4.53976   	9.500000	4.44939   	9.500000	4.60052
10.000000	470.938   	10.000000	467.443   	10.000000	469.868   	10.000000	469.868   	10.000000	5.28656   	10.000000	3.19706   	10.000000	4.92681   	10.000000	4.80856   	10.000000	4.99389
11.000000	551.333   	11.000000	546.604   	11.000000	550.829   	11.000000	550.825   	11.000000	6.20132   	11.000000	3.70439   	11.000000	5.73779   	11.000000	5.5569    	11.000000	5.81823
12.000000	637.057   	12.000000	630.453   	12.000000	636.954   	12.000000	636.939   	12.000000	7.17025   	12.000000	4.24546   	12.000000	6.59555   	12.000000	6.343     	12.000000	6.69028
13.000000	728.012   	13.000000	718.986   	13.000000	728.125   	13.000000	728.093   	13.000000	8.19253   	13.000000	4.81915   	13.000000	7.49848   	13.000000	7.16534   	13.000000	7.60842
14.000000	824.104   	14.000000	812.189   	14.000000	824.231   	14.000000	824.18    	14.000000	9.26723   	14.000000	5.42247   	14.000000	8.44529   	14.000000	8.02269   	14.000000	8.57135
15.000000	925.249   	15.000000	910.04    	15.000000	925.177   	15.000000	925.107   	15.000000	10.3935   	15.000000	6.05341   	15.000000	9.43491   	15.000000	8.91404   	15.000000	9.57802
16.000000	1031.37   	16.000000	1012.51   	16.000000	1030.88   	16.000000	1030.79   	16.000000	11.5707   	16.000000	6.71066   	16.000000	10.4665   	16.000000	9.83859   	16.000000	10.6275
17.000000	1142.39   	17.000000	1119.58   	17.000000	1141.25   	17.000000	1141.14   	17.000000	12.7979   	17.000000	7.39324   	17.000000	11.5391   	17.000000	10.7956   	17.000000	11.7191
18.000000	1258.24   	18.000000	1231.21   	18.000000	1256.23   	18.000000	1256.09   	18.000000	14.0742   	18.000000	8.10005   	18.000000	12.6522   	18.000000	11.7843   	18.000000	12.852
19.000000	1378.86   	19.000000	1347.36   	19.000000	1375.73   	19.000000	1375.58   	19.000000	15.399    	19.000000	8.83      	19.000000	13.8049   	19.000000	12.8041   	19.000000	14.0254
20.000000	1504.19   	20.000000	1468.02   	20.000000	1499.7    	20.000000	1499.53   	20.000000	16.7717   	20.000000	9.58237   	20.000000	14.9966   	20.000000	13.8546   	20.000000	15.2389
21.000000	1634.16   	21.000000	1593.14   	21.000000	1628.08   	21.000000	1627.9    	21.000000	18.1917   	21.000000	10.3567   	21.000000	16.227    	21.000000	14.9351   	21.000000	16.492
22.000000	1768.73   	22.000000	1722.7    	22.000000	1760.82   	22.000000	1760.62   	22.000000	19.6584   	22.000000	11.1526   	22.000000	17.4954   	22.000000	16.0453   	22.000000	17.7841
23.000000	1907.84   	23.000000	1856.66   	23.000000	1897.86   	23.000000	1897.65   	23.000000	21.1711   	23.000000	11.9692   	23.000000	18.8012   	23.000000	17.1847   	23.000000	19.1147
24.000000	2051.44   	24.000000	1994.99   	24.000000	2039.13   	24.000000	2038.93   	24.000000	22.7287   	24.000000	12.8062   	24.000000	20.1439   	24.000000	18.3526   	24.000000	20.483
25.000000	2199.48   	25.000000	2137.66   	25.000000	2184.6    	25.000000	2184.41   	25.000000	24.3308   	25.000000	13.6632   	25.000000	21.5229   	25.000000	19.5487   	25.000000	21.8888
27.000000	2508.71   	27.000000	2435.89   	27.000000	2487.9    	27.000000	2487.77   	27.000000	27.6659   	27.000000	15.4348   	27.000000	24.388    	27.000000	22.0237   	27.000000	24.8106
29.000000	2835.19   	29.000000	2751.11   	29.000000	2807.41   	29.000000	2807.4    	29.000000	31.1717   	29.000000	17.2806   	29.000000	27.3928   	29.000000	24.6064   	29.000000	27.8765
31.000000	3178.59   	31.000000	3083.08   	31.000000	3142.93   	31.000000	3143.06   	31.000000	34.8488   	31.000000	19.2018   	31.000000	30.5358   	31.000000	27.2957   	31.000000	31.0852
33.000000	3538.61   	33.000000	3431.58   	33.000000	3494.83   	33.000000	3495.14   	33.000000	38.7132   	33.000000	21.2057   	33.000000	33.8232   	33.000000	30.0962   	33.000000	34.443
35.000000	3914.97   	35.000000	3796.39   	35.000000	3862.95   	35.000000	3863.49   	35.000000	42.7634   	35.000000	23.2916   	35.000000	37.2536   	35.000000	33.0077   	35.000000	37.9498
38.000000	4509.57   	38.000000	4373.72   	38.000000	4445.04   	38.000000	4445.96   	38.000000	49.1777   	38.000000	26.5706   	38.000000	42.6663   	38.000000	37.5797   	38.000000	43.4857
41.000000	5139.49   	41.000000	4986.58   	41.000000	5062.29   	41.000000	5063.7    	41.000000	55.984    	41.000000	30.0192   	41.000000	48.3927   	41.000000	42.391    	41.000000	49.3478
44.000000	5803.97   	44.000000	5634.3    	44.000000	5714.07   	44.000000	5715.98   	44.000000	63.1736   	44.000000	33.6346   	44.000000	54.4272   	44.000000	47.4387   	44.000000	55.531
47.000000	6502.29   	47.000000	6316.25   	47.000000	6399.69   	47.000000	6402.15   	47.000000	70.7335   	47.000000	37.4121   	47.000000	60.7625   	47.000000	52.7168   	47.000000	62.0286
