Energy (MeV/u)	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	2 - ATIMA 1.2  LS-theory (recommended for high energy)	3 - ATIMA 1.2  without LS-correction	4 - Range straggling - method [0] - LISE	5 - Range straggling - method [1] - Atima	6 - Lateral range - method [0] - LISE	7 - Lateral range - method [1] - Atima	8 - Lateral range - method [2] - PDG
0.001000	0.0593346 	0.0593346 	0.0543274 	0.0543274 	-	-	0.000138632	0.000222509	0.000104425
93.633957	17867     	17687.6   	17973.4   	17992.2   	129.423   	62.8732   	41.4629   	35.8808   	41.2187   
187.266914	59762.5   	59157.3   	60003.2   	60163.4   	416.718   	195       	133.78    	112.832   	136.525   
280.899871	118379    	116985    	118703    	119111    	790.11    	368.618   	255.565   	214.81    	267.213   
374.532828	189148    	186886    	189738    	190482    	1210.35   	569.852   	394.806   	333.145   	422.06    
468.165785	269337    	265975    	270130    	271276    	1654.04   	790.362   	544.02    	462.21    	593.427   
561.798742	357019    	352244    	357783    	359386    	2106.99   	1024.93   	698.459   	598.234   	776.045   
655.431699	450703    	444180    	451127    	453228    	2560.38   	1270.06   	855.005   	738.557   	966.094   
749.064655	549224    	540629    	548975    	551610    	3008.85   	1523.35   	1011.63   	881.302   	1160.82   
842.697612	651645    	640689    	650411    	653609    	3449.13   	1783.1    	1167.01   	1025.12   	1358.21   
936.330569	757246    	743683    	754710    	758491    	3878.64   	2047.79   	1320.15   	1168.96   	1556.65   
1029.963526	865396    	849030    	861298    	865674    	4296.38   	2316.71   	1470.49   	1312.1    	1755.02   
1123.596483	975567    	956258    	969723    	974714    	4702.04   	2588.89   	1617.7    	1454.02   	1952.5    
1217.229440	1.08734e+06	1.065e+06 	1.07966e+06	1.08528e+06	5095.73   	2864.33   	1761.63   	1594.39   	2148.55   
1310.862397	1.20035e+06	1.17494e+06	1.19084e+06	1.19708e+06	5477.62   	3142.78   	1902.19   	1732.97   	2342.73   
1404.495354	1.31428e+06	1.2858e+06	1.303e+06 	1.30988e+06	5848.15   	3423.88   	2039.42   	1869.62   	2534.76   
1498.128311	1.42887e+06	1.39737e+06	1.41599e+06	1.4235e+06	6207.76   	3707.45   	2173.34   	2004.22   	2724.43   
1591.761268	1.54389e+06	1.50947e+06	1.52963e+06	1.53778e+06	6556.77   	3993.38   	2304.01   	2136.68   	2911.59   
1685.394225	1.65915e+06	1.62192e+06	1.6438e+06	1.6526e+06	6895.76   	4281.37   	2431.54   	2267      	3096.14   
1779.027182	1.77447e+06	1.7346e+06	1.7584e+06	1.76784e+06	7224.88   	4571.29   	2555.93   	2395.09   	3277.95   
1872.660139	1.88972e+06	1.84737e+06	1.87331e+06	1.88341e+06	7545.21   	4863.1    	2677.47   	2521.1    	3457.16   
1966.293096	2.00476e+06	1.96016e+06	1.98849e+06	1.99924e+06	7856.96   	5156.93   	2796.22   	2645      	3633.71   
2059.926052	2.11945e+06	2.07285e+06	2.10388e+06	2.11527e+06	8159.66   	5453.03   	2911.97   	2766.59   	3807.31   
