Energy (MeV/u)	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	2 - ATIMA 1.2  LS-theory (recommended for high energy)	3 - ATIMA 1.2  without LS-correction	4 - Range straggling - method [0] - LISE	5 - Range straggling - method [1] - Atima	6 - Lateral range - method [0] - LISE	7 - Lateral range - method [1] - Atima	8 - Lateral range - method [2] - PDG
0.001000	0.0774939 	0.0774939 	0.0949992 	0.0949992 	-	-	0.000458758	0.000696432	0.000405489
93.633957	11009.2   	10818.5   	10817.1   	10826.8   	54.6359   	27.178    	44.2938   	38.303    	46.1288   
187.266914	35804.6   	35368.6   	35223.3   	35343.7   	171.114   	81.6044   	138.307   	116.591   	147.526   
280.899871	70024.1   	69176.2   	68932.7   	69248.1   	320.187   	151.729   	260.377   	218.79    	284.211   
374.532828	111026    	109710    	109453    	110029    	486.319   	232.073   	398.552   	336.254   	444.44    
468.165785	157257    	155302    	155083    	155972    	660.391   	319.313   	545.51    	463.451   	620.354   
561.798742	207626    	204807    	204627    	205867    	836.881   	411.433   	696.631   	596.683   	806.549   
655.431699	261298    	257378    	257194    	258815    	1012.44   	507.038   	848.926   	733.368   	999.157   
749.064655	317619    	312372    	312122    	314150    	1185.16   	605.332   	1000.52   	871.74    	1195.47   
842.697612	376067    	369296    	368913    	371363    	1353.98   	705.625   	1150.26   	1010.58   	1393.59   
936.330569	436241    	427777    	427190    	430079    	1518.2    	807.524   	1297.36   	1149.01   	1592.09   
1029.963526	497790    	487502    	486647    	489986    	1677.56   	910.731   	1441.37   	1286.39   	1789.95   
1123.596483	560422    	548216    	547042    	550837    	1831.99   	1015.08   	1582.07   	1422.31   	1986.46   
1217.229440	623905    	609720    	608185    	612445    	1981.48   	1120.42   	1719.3    	1556.45   	2181.05   
1310.862397	688036    	671847    	669924    	674654    	2126.12   	1226.63   	1853.01   	1688.59   	2373.33   
1404.495354	752640    	734450    	732131    	737335    	2266.14   	1333.57   	1983.27   	1818.61   	2563.08   
1498.128311	817572    	797416    	794712    	800387    	2401.73   	1441.22   	2110.14   	1946.44   	2750.11   
1591.761268	882709    	860645    	857579    	863728    	2533.03   	1549.5    	2233.68   	2072.02   	2934.28   
1685.394225	947942    	924050    	920660    	927284    	2660.28   	1658.4    	2354.03   	2195.33   	3115.55   
1779.027182	1.01318e+06	987562    	983903    	991005    	2783.57   	1767.92   	2471.2    	2316.33   	3293.77   
1872.660139	1.07833e+06	1.05112e+06	1.04725e+06	1.05483e+06	2903.32   	1877.95   	2585.49   	2435.16   	3469.14   
1966.293096	1.14334e+06	1.11466e+06	1.11068e+06	1.11873e+06	3019.63   	1988.46   	2696.96   	2551.8    	3641.59   
2059.926052	1.20813e+06	1.17814e+06	1.17415e+06	1.18268e+06	3132.32   	2099.52   	2805.42   	2666.07   	3810.85   
2153.559009	1.27267e+06	1.24153e+06	1.23763e+06	1.24663e+06	3242.24   	2211.04   	2911.55   	2778.45   	3977.56   
2247.191966	1.33692e+06	1.3048e+06	1.3011e+06	1.31057e+06	3349.24   	2323.1    	3015.21   	2888.8    	4141.51   
2340.824923	1.40083e+06	1.36791e+06	1.36454e+06	1.37448e+06	3453.47   	2435.7    	3116.51   	2997.17   	4302.74   
2434.457880	1.46437e+06	1.43084e+06	1.42794e+06	1.43835e+06	3555.06   	2548.84   	3215.54   	3103.62   	4461.33   
2528.090837	1.52751e+06	1.49357e+06	1.49128e+06	1.50215e+06	3654.14   	2662.48   	3312.41   	3208.19   	4617.34   
2621.723794	1.59023e+06	1.55607e+06	1.55455e+06	1.56588e+06	3750.82   	2776.61   	3407.2    	3310.93   	4770.81   
2715.356751	1.6525e+06	1.61834e+06	1.61773e+06	1.62952e+06	3845.2    	2891.2    	3499.99   	3411.9    	4921.82   
2808.989708	1.71432e+06	1.68036e+06	1.68082e+06	1.69307e+06	3937.4    	3006.25   	3590.88   	3511.15   	5070.43   
2902.622665	1.77566e+06	1.74211e+06	1.74381e+06	1.75651e+06	4027.52   	3121.76   	3679.94   	3608.74   	5216.71   
2996.255622	1.83648e+06	1.80357e+06	1.80669e+06	1.81985e+06	4115.58   	3237.75   	3767.19   	3704.65   	5360.63   
3089.888579	1.89654e+06	1.86459e+06	1.86939e+06	1.88301e+06	4200.8    	3354.47   	3851.9    	3798.18   	5501.2    
3183.521536	1.95655e+06	1.92559e+06	1.93209e+06	1.94616e+06	4285.89   	3471.21   	3936.5    	3891.62   	5641.64   
3277.154493	2.01566e+06	1.98606e+06	1.99459e+06	2.0091e+06	4367.98   	3588.78   	4018.42   	3982.49   	5778.45   
3370.787449	2.07457e+06	2.04642e+06	2.05704e+06	2.072e+06 	4449.43   	3706.53   	4099.76   	4072.81   	5914.48   
3464.420406	2.13271e+06	2.10632e+06	2.11932e+06	2.13472e+06	4528.59   	3824.96   	4179.04   	4161.13   	6047.68   
3558.053363	2.19049e+06	2.16602e+06	2.18152e+06	2.19736e+06	4606.72   	3943.7    	4257.39   	4248.55   	6179.58   
3651.686320	2.24765e+06	2.22534e+06	2.24357e+06	2.25985e+06	4683.18   	4063      	4334.22   	4334.47   	6309.36   
3745.319277	2.3043e+06	2.28435e+06	2.3055e+06	2.32222e+06	4758.28   	4182.74   	4409.83   	4419.18   	6437.4    
3838.952234	2.36047e+06	2.34308e+06	2.36733e+06	2.38449e+06	4832.22   	4302.89   	4484.39   	4502.83   	6563.93   
3932.585191	2.41598e+06	2.40141e+06	2.42901e+06	2.44659e+06	4904.55   	4423.63   	4557.47   	4585      	6688.34   
4026.218148	2.47117e+06	2.45954e+06	2.49061e+06	2.50862e+06	4976.16   	4544.64   	4629.91   	4666.51   	6811.8    
4119.851105	2.52555e+06	2.51718e+06	2.55202e+06	2.57046e+06	5045.93   	4666.35   	4700.67   	4746.31   	6932.81   
4213.484062	2.57977e+06	2.57471e+06	2.6134e+06	2.63227e+06	5115.37   	4788.21   	4771.11   	4825.78   	7053.35   
4307.117019	2.63302e+06	2.63166e+06	2.67455e+06	2.69385e+06	5182.79   	4910.92   	4839.72   	4903.36   	7171.16   
4400.749976	2.68627e+06	2.6886e+06	2.7357e+06	2.75542e+06	5250.19   	5033.63   	4908.32   	4980.92   	7288.94   
4494.382933	2.73842e+06	2.74485e+06	2.7966e+06	2.81674e+06	5315.44   	5157.31   	4974.94   	5056.41   	7403.74   
4588.015890	2.79058e+06	2.80111e+06	2.8575e+06	2.87806e+06	5380.68   	5280.99   	5041.56   	5131.9    	7518.54   
4681.648846	2.84178e+06	2.85677e+06	2.91819e+06	2.93916e+06	5444.17   	5405.51   	5106.57   	5205.68   	7630.86   
4775.281803	2.89284e+06	2.91234e+06	2.97884e+06	3.00022e+06	5507.39   	5530.17   	5171.34   	5279.22   	7742.82   
4868.914760	2.94312e+06	2.96742e+06	3.0393e+06	3.0611e+06	5569.24   	5655.53   	5234.85   	5351.39   	7852.82   
4962.547717	2.99311e+06	3.02231e+06	3.09971e+06	3.12192e+06	5630.59   	5781.16   	5297.91   	5423.08   	7962.11   
5056.180674	3.0424e+06	3.07676e+06	3.15995e+06	3.18257e+06	5690.76   	5907.43   	5359.89   	5493.61   	8069.7    
5149.813631	3.09122e+06	3.1309e+06	3.22009e+06	3.24311e+06	5750.15   	6034.13   	5421.16   	5563.36   	8176.17   
5243.446588	3.14004e+06	3.18505e+06	3.28022e+06	3.30365e+06	5809.55   	6160.84   	5482.43   	5633.11   	8282.63   
5337.079545	3.18767e+06	3.23843e+06	3.34008e+06	3.36392e+06	5867.07   	6288.65   	5541.99   	5700.98   	8386.36   
5430.712502	3.23522e+06	3.29175e+06	3.39993e+06	3.42416e+06	5924.44   	6416.55   	5601.42   	5768.71   	8489.89   
5524.345459	3.28229e+06	3.34476e+06	3.45966e+06	3.4843e+06	5981.12   	6544.91   	5660.22   	5835.73   	8592.37   
