*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.167618  	0.001000	0.0262539 	0.001000	0.0271861 	0.001000	0.0271861 	0.001000	0.0250663 	0.001000	0.00118765	
0.002000	0.203755  	0.002000	0.0354735 	0.002000	0.0367469 	0.002000	0.0367469 	0.002000	0.0342416 	0.002000	0.00123198	
0.005000	0.270744  	0.005000	0.0528591 	0.005000	0.0547823 	0.005000	0.0547823 	0.005000	0.0517162 	0.005000	0.00114294	
0.008000	0.315894  	0.008000	0.0649306 	0.008000	0.0673068 	0.008000	0.0673068 	0.008000	0.063897  	0.008000	0.00103359	
0.010000	0.340318  	0.010000	0.0716169 	0.010000	0.074244  	0.010000	0.074244  	0.010000	0.0706464 	0.010000	0.000970441	
0.015000	0.41088   	0.015000	0.0842131 	0.015000	0.0887847 	0.015000	0.0887847 	0.015000	0.0833688 	0.015000	0.000844324	
0.020000	0.468611  	0.020000	0.0944648 	0.020000	0.100846  	0.020000	0.100846  	0.020000	0.0937139 	0.020000	0.000750915	
0.025000	0.516328  	0.025000	0.103078  	0.025000	0.111346  	0.025000	0.111346  	0.025000	0.1024    	0.025000	0.000678879	
0.030000	0.55552   	0.030000	0.110429  	0.030000	0.117342  	0.030000	0.117342  	0.030000	0.109808  	0.030000	0.000621412	
0.035000	0.58716   	0.035000	0.116752  	0.035000	0.122442  	0.035000	0.122442  	0.035000	0.116177  	0.035000	0.000574325	
0.040000	0.612014  	0.040000	0.122207  	0.040000	0.126806  	0.040000	0.126806  	0.040000	0.121672  	0.040000	0.000534916	
0.045000	0.630766  	0.045000	0.126917  	0.045000	0.130549  	0.045000	0.130549  	0.045000	0.126416  	0.045000	0.000501361	
0.050000	0.644075  	0.050000	0.130976  	0.050000	0.133758  	0.050000	0.133758  	0.050000	0.130504  	0.050000	0.000472383	
0.055000	0.652589  	0.055000	0.134462  	0.055000	0.136504  	0.055000	0.136504  	0.055000	0.134015  	0.055000	0.00044706	
0.060000	0.656944  	0.060000	0.13744   	0.060000	0.138842  	0.060000	0.138842  	0.060000	0.137015  	0.060000	0.000424707	
0.070000	0.655609  	0.070000	0.142086  	0.070000	0.142478  	0.070000	0.142478  	0.070000	0.141699  	0.070000	0.000386951	
0.080000	0.644542  	0.080000	0.145286  	0.080000	0.144969  	0.080000	0.144969  	0.080000	0.144929  	0.080000	0.000356186	
0.090000	0.62742   	0.090000	0.147328  	0.090000	0.146545  	0.090000	0.146545  	0.090000	0.146997  	0.090000	0.000330556	
0.100000	0.607033  	0.100000	0.148446  	0.100000	0.147385  	0.100000	0.147385  	0.100000	0.148137  	0.100000	0.00030882	
0.120000	0.563635  	0.120000	0.148631  	0.120000	0.147403  	0.120000	0.147403  	0.120000	0.148357  	0.120000	0.000273825	
0.140000	0.522932  	0.140000	0.146966  	0.140000	0.145879  	0.140000	0.145879  	0.140000	0.14672   	0.140000	0.000246759	
