*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.0294465 	0.001000	0.029881  	0.001000	0.0381086 	0.001000	0.0381086 	0.001000	0.0242856 	0.001000	0.00559537	
0.002000	0.0346838 	0.002000	0.0350383 	0.002000	0.043242  	0.002000	0.043242  	0.002000	0.0312794 	0.002000	0.00375885	
0.005000	0.0452429 	0.005000	0.0457957 	0.005000	0.0532919 	0.005000	0.0532919 	0.005000	0.0437497 	0.005000	0.00204599	
0.008000	0.0525865 	0.008000	0.0534373 	0.008000	0.0601415 	0.008000	0.0601415 	0.008000	0.0519894 	0.008000	0.00144794	
0.010000	0.0565937 	0.010000	0.057661  	0.010000	0.0638569 	0.010000	0.0638569 	0.010000	0.0564341 	0.010000	0.00122684	
0.015000	0.0682213 	0.015000	0.0659906 	0.015000	0.0714316 	0.015000	0.0714316 	0.015000	0.0650897 	0.015000	0.000900871	
0.020000	0.0777557 	0.020000	0.0727381 	0.020000	0.077506  	0.020000	0.077506  	0.020000	0.0720183 	0.020000	0.000719806	
0.025000	0.0856435 	0.025000	0.0783817 	0.025000	0.0826545 	0.025000	0.0826545 	0.025000	0.0777784 	0.025000	0.000603243	
0.030000	0.0921252 	0.030000	0.0831757 	0.030000	0.0863146 	0.030000	0.0863146 	0.030000	0.0826544 	0.030000	0.000521358	
0.035000	0.0973591 	0.035000	0.0872759 	0.035000	0.0893726 	0.035000	0.0893726 	0.035000	0.0868155 	0.035000	0.000460398	
0.040000	0.101471  	0.040000	0.0907871 	0.040000	0.0919366 	0.040000	0.0919366 	0.040000	0.090374  	0.040000	0.000413095	
0.045000	0.104573  	0.045000	0.0937859 	0.045000	0.0940843 	0.045000	0.0940843 	0.045000	0.0934107 	0.045000	0.00037523	
0.050000	0.106774  	0.050000	0.0963313 	0.050000	0.0958741 	0.050000	0.0958741 	0.050000	0.0959871 	0.050000	0.000344175	
0.055000	0.108181  	0.055000	0.0984713 	0.055000	0.0973521 	0.055000	0.0973521 	0.055000	0.0981531 	0.055000	0.000318206	
0.060000	0.1089    	0.060000	0.100247  	0.060000	0.098556  	0.060000	0.098556  	0.060000	0.0999505 	0.060000	0.00029614	
0.070000	0.108674  	0.070000	0.102841  	0.070000	0.100262  	0.070000	0.100262  	0.070000	0.10258   	0.070000	0.000260594	
0.080000	0.106837  	0.080000	0.104357  	0.080000	0.101196  	0.080000	0.101196  	0.080000	0.104124  	0.080000	0.000233143	
0.090000	0.103997  	0.090000	0.104998  	0.090000	0.101512  	0.090000	0.101512  	0.090000	0.104787  	0.090000	0.000211256	
0.100000	0.100616  	0.100000	0.104937  	0.100000	0.101336  	0.100000	0.101336  	0.100000	0.104744  	0.100000	0.000193364	
0.120000	0.0934207 	0.120000	0.103281  	0.120000	0.0998869 	0.120000	0.0998869 	0.120000	0.103115  	0.120000	0.000165801	
0.140000	0.0866731 	0.140000	0.100316  	0.140000	0.0974606 	0.140000	0.0974606 	0.140000	0.10017   	0.140000	0.000145495	
0.160000	0.0808154 	0.160000	0.0966741 	0.160000	0.0944717 	0.160000	0.0944717 	0.160000	0.0965442 	0.160000	0.00012987	
0.180000	0.0758663 	0.180000	0.092763  	0.180000	0.0912008 	0.180000	0.0912008 	0.180000	0.0926456 	0.180000	0.000117448	
0.200000	0.0717021 	0.200000	0.0888313 	0.200000	0.087834  	0.200000	0.087834  	0.200000	0.088724  	0.200000	0.000107321	
0.250000	0.0637939 	0.250000	0.0796913 	0.250000	0.0796779 	0.250000	0.0796779 	0.250000	0.0796027 	0.250000	8.85963e-05	
0.300000	0.0581551 	0.300000	0.0719931 	0.300000	0.072451  	0.300000	0.072451  	0.300000	0.0719174 	0.300000	7.56957e-05	
0.350000	0.0538254 	0.350000	0.0656829 	0.350000	0.0663022 	0.350000	0.0663022 	0.350000	0.0656166 	0.350000	6.6234e-05	
0.400000	0.0503144 	0.400000	0.0605057 	0.400000	0.0611297 	0.400000	0.0611297 	0.400000	0.0604468 	0.400000	5.89795e-05	
0.450000	0.0473595 	0.450000	0.0562109 	0.450000	0.0567723 	0.450000	0.0567723 	0.450000	0.0561577 	0.450000	5.32296e-05	
0.500000	0.0448091 	0.500000	0.052597  	0.500000	0.0530749 	0.500000	0.0530749 	0.500000	0.0525484 	0.500000	4.85535e-05	
0.600000	0.0405754 	0.600000	0.0468422 	0.600000	0.0471665 	0.600000	0.0471665 	0.600000	0.0468008 	0.600000	4.1394e-05	
0.700000	0.037163  	0.700000	0.0424356 	0.700000	0.0426564 	0.700000	0.0426564 	0.700000	0.0423995 	0.700000	3.61565e-05	
0.800000	0.0343327 	0.800000	0.0389242 	0.800000	0.0390871 	0.800000	0.0390871 	0.800000	0.0388921 	0.800000	3.21493e-05	
0.900000	0.0319379 	0.900000	0.0360403 	0.900000	0.0361767 	0.900000	0.0361767 	0.900000	0.0360113 	0.900000	2.89789e-05	
1.000000	0.0298806 	1.000000	0.0336163 	1.000000	0.033746  	1.000000	0.033746  	1.000000	0.0335899 	1.000000	2.64044e-05	
1.250000	0.0258029 	1.250000	0.0289259 	1.250000	0.0290776 	1.250000	0.0290776 	1.250000	0.0289042 	1.250000	2.16715e-05	
1.500000	0.022765  	1.500000	0.0255025 	1.500000	0.0256905 	1.500000	0.0256905 	1.500000	0.0254841 	1.500000	1.84327e-05	
1.750000	0.0204069 	1.750000	0.0228722 	1.750000	0.0230924 	1.750000	0.0230924 	1.750000	0.0228561 	1.750000	1.60698e-05	
2.000000	0.018519  	2.000000	0.0207776 	2.000000	0.0210224 	2.000000	0.0210224 	2.000000	0.0207634 	2.000000	1.4266e-05	
2.250000	0.016971  	2.250000	0.0190647 	2.250000	0.0193268 	2.250000	0.0193268 	2.250000	0.0190518 	2.250000	1.28416e-05	
2.500000	0.0156087 	2.500000	0.0176344 	2.500000	0.0179082 	2.500000	0.0179082 	2.500000	0.0176227 	2.500000	1.16868e-05	
3.000000	0.0136292 	3.000000	0.0153749 	3.000000	0.0156599 	3.000000	0.0156599 	3.000000	0.015365  	3.000000	9.92557e-06	
3.500000	0.0121269 	3.500000	0.0136644 	3.500000	0.0139505 	3.500000	0.0139505 	3.500000	0.0136558 	3.500000	8.64283e-06	
4.000000	0.0109444 	4.000000	0.0123203 	4.000000	0.0126022 	4.000000	0.0126022 	4.000000	0.0123126 	4.000000	7.66494e-06	
4.500000	0.00998762	4.500000	0.0112336 	4.500000	0.0115085 	4.500000	0.0115085 	4.500000	0.0112268 	4.500000	6.89363e-06	
5.000000	0.00919619	5.000000	0.0103354 	5.000000	0.0106019 	5.000000	0.0106019 	5.000000	0.0103292 	5.000000	6.26895e-06	
5.500000	0.00852985	5.500000	0.00957948	5.500000	0.00983695	5.500000	0.00983695	5.500000	0.00957373	5.500000	5.75224e-06	
6.000000	0.00796053	6.000000	0.00893374	6.000000	0.00918213	6.000000	0.00918213	6.000000	0.00892843	6.000000	5.3174e-06	
6.500000	0.00746806	6.500000	0.00837522	6.500000	0.00861468	6.500000	0.00861468	6.500000	0.00837028	6.500000	4.94617e-06	
7.000000	0.00703756	7.000000	0.00788698	7.000000	0.00811781	7.000000	0.00811781	7.000000	0.00788236	7.000000	4.62537e-06	
7.500000	0.00665781	7.500000	0.00745625	7.500000	0.00767882	7.500000	0.00767882	7.500000	0.0074519 	7.500000	4.34525e-06	
8.000000	0.00632014	8.000000	0.0070732 	8.000000	0.00728792	8.000000	0.00728792	8.000000	0.0070691 	8.000000	4.09843e-06	
8.500000	0.0060178 	8.500000	0.00673016	8.500000	0.00693743	8.500000	0.00693743	8.500000	0.00672628	8.500000	3.87924e-06	
9.000000	0.00574541	9.000000	0.00642103	9.000000	0.00662126	9.000000	0.00662126	9.000000	0.00641734	9.000000	3.68322e-06	
9.500000	0.00549864	9.500000	0.0061409 	9.500000	0.00633448	9.500000	0.00633448	9.500000	0.0061374 	9.500000	3.50684e-06	
10.000000	0.00527398	10.000000	0.00606589	10.000000	0.00607309	10.000000	0.00607309	10.000000	0.00606255	10.000000	3.34724e-06	
11.000000	0.00487984	11.000000	0.00561701	11.000000	0.00560898	11.000000	0.00560902	11.000000	0.00561394	11.000000	3.06954e-06	
