*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.0752288 	0.001000	0.0434703 	0.001000	0.0424999 	0.001000	0.0424999 	0.001000	0.0270165 	0.001000	0.0164538 	
0.002000	0.0961262 	0.002000	0.0596169 	0.002000	0.0579373 	0.002000	0.0579373 	0.002000	0.0467524 	0.002000	0.0128645 	
0.005000	0.14872   	0.005000	0.0997506 	0.005000	0.09646   	0.005000	0.09646   	0.005000	0.0915846 	0.005000	0.00816594	
0.008000	0.188137  	0.008000	0.131619  	0.008000	0.127111  	0.008000	0.127111  	0.008000	0.125443  	0.008000	0.00617585	
0.010000	0.209882  	0.010000	0.149861  	0.010000	0.144669  	0.010000	0.144669  	0.010000	0.1445    	0.010000	0.00536076	
0.015000	0.267782  	0.015000	0.187305  	0.015000	0.182181  	0.015000	0.182181  	0.015000	0.183212  	0.015000	0.00409292	
0.020000	0.31622   	0.020000	0.216519  	0.020000	0.21392   	0.020000	0.21392   	0.020000	0.213169  	0.020000	0.00335035	
0.025000	0.357522  	0.025000	0.239861  	0.025000	0.242135  	0.025000	0.242135  	0.025000	0.237031  	0.025000	0.00283014	
0.030000	0.39293   	0.030000	0.258765  	0.030000	0.259217  	0.030000	0.259217  	0.030000	0.256287  	0.030000	0.00247787	
0.035000	0.423192  	0.035000	0.274119  	0.035000	0.273301  	0.035000	0.273301  	0.035000	0.271909  	0.035000	0.00221044	
0.040000	0.448829  	0.040000	0.286593  	0.040000	0.284991  	0.040000	0.284991  	0.040000	0.284594  	0.040000	0.00199974	
0.045000	0.470255  	0.045000	0.296713  	0.045000	0.294725  	0.045000	0.294725  	0.045000	0.294884  	0.045000	0.00182898	
0.050000	0.487844  	0.050000	0.304902  	0.050000	0.302835  	0.050000	0.302835  	0.050000	0.303214  	0.050000	0.00168749	
0.055000	0.501957  	0.055000	0.31151   	0.055000	0.309586  	0.055000	0.309586  	0.055000	0.309942  	0.055000	0.00156813	
0.060000	0.512954  	0.060000	0.31683   	0.060000	0.315193  	0.060000	0.315193  	0.060000	0.315364  	0.060000	0.00146595	
0.070000	0.527019  	0.070000	0.324526  	0.070000	0.323664  	0.070000	0.323664  	0.070000	0.323227  	0.070000	0.00129981	
0.080000	0.53277   	0.080000	0.329451  	0.080000	0.329368  	0.080000	0.329368  	0.080000	0.328281  	0.080000	0.00117013	
0.090000	0.53263   	0.090000	0.332571  	0.090000	0.333104  	0.090000	0.333104  	0.090000	0.331505  	0.090000	0.00106583	
0.100000	0.528579  	0.100000	0.33451   	0.100000	0.33544   	0.100000	0.33544   	0.100000	0.33353   	0.100000	0.000979954	
0.120000	0.514365  	0.120000	0.336266  	0.120000	0.337394  	0.120000	0.337394  	0.120000	0.335419  	0.120000	0.000846485	
0.140000	0.49758   	0.140000	0.336373  	0.140000	0.337179  	0.140000	0.337179  	0.140000	0.335626  	0.140000	0.000747196	
0.160000	0.481394  	0.160000	0.335457  	0.160000	0.335722  	0.160000	0.335722  	0.160000	0.334787  	0.160000	0.000670196	
0.180000	0.466808  	0.180000	0.333771  	0.180000	0.333466  	0.180000	0.333466  	0.180000	0.333162  	0.180000	0.000608589	
0.200000	0.453895  	0.200000	0.331446  	0.200000	0.330635  	0.200000	0.330635  	0.200000	0.330888  	0.200000	0.000558082	
0.250000	0.42724   	0.250000	0.323437  	0.250000	0.321804  	0.250000	0.321804  	0.250000	0.322973  	0.250000	0.000464006	
0.300000	0.405472  	0.300000	0.313276  	0.300000	0.311361  	0.300000	0.311361  	0.300000	0.312878  	0.300000	0.000398614	
0.350000	0.386281  	0.350000	0.301996  	0.350000	0.300118  	0.350000	0.300118  	0.350000	0.301646  	0.350000	0.000350324	
0.400000	0.368704  	0.400000	0.290342  	0.400000	0.288658  	0.400000	0.288658  	0.400000	0.290029  	0.400000	0.000313093	
0.450000	0.352381  	0.450000	0.2788    	0.450000	0.277371  	0.450000	0.277371  	0.450000	0.278516  	0.450000	0.000283449	
0.500000	0.337174  	0.500000	0.267659  	0.500000	0.266497  	0.500000	0.266497  	0.500000	0.267399  	0.500000	0.000259245	
0.600000	0.309847  	0.600000	0.247117  	0.600000	0.246435  	0.600000	0.246435  	0.600000	0.246895  	0.600000	0.000222009	
0.700000	0.286254  	0.700000	0.229116  	0.700000	0.228807  	0.700000	0.228807  	0.700000	0.228921  	0.700000	0.000194621	
0.800000	0.265885  	0.800000	0.213495  	0.800000	0.213457  	0.800000	0.213457  	0.800000	0.213321  	0.800000	0.000173573	
0.900000	0.248229  	0.900000	0.199932  	0.900000	0.200085  	0.900000	0.200085  	0.900000	0.199775  	0.900000	0.000156859	
1.000000	0.232828  	1.000000	0.188097  	1.000000	0.188381  	1.000000	0.188381  	1.000000	0.187954  	1.000000	0.000143243	
1.250000	0.201837  	1.250000	0.164277  	1.250000	0.164722  	1.250000	0.164722  	1.250000	0.164159  	1.250000	0.000118103	
1.500000	0.178436  	1.500000	0.146276  	1.500000	0.146754  	1.500000	0.146754  	1.500000	0.146175  	1.500000	0.000100807	
1.750000	0.160108  	1.750000	0.132151  	1.750000	0.132604  	1.750000	0.132604  	1.750000	0.132063  	1.750000	8.81373e-05	
2.000000	0.145337  	2.000000	0.120736  	2.000000	0.121139  	2.000000	0.121139  	2.000000	0.120657  	2.000000	7.84322e-05	
2.250000	0.133162  	2.250000	0.111298  	2.250000	0.111642  	2.250000	0.111642  	2.250000	0.111227  	2.250000	7.07462e-05	
2.500000	0.120886  	2.500000	0.103352  	2.500000	0.103635  	2.500000	0.103635  	2.500000	0.103288  	2.500000	6.44997e-05	
3.000000	0.105516  	3.000000	0.0906896 	3.000000	0.0908578 	3.000000	0.0908578 	3.000000	0.0906347 	3.000000	5.4944e-05	
3.500000	0.0938639 	3.500000	0.0810285 	3.500000	0.0810984 	3.500000	0.0810984 	3.500000	0.0809806 	3.500000	4.79604e-05	
4.000000	0.0847002 	4.000000	0.0734008 	4.000000	0.0733888 	4.000000	0.0733888 	4.000000	0.0733582 	4.000000	4.26213e-05	
4.500000	0.0772883 	4.500000	0.0672164 	4.500000	0.0671367 	4.500000	0.0671367 	4.500000	0.067178  	4.500000	3.84e-05  	
5.000000	0.0711596 	5.000000	0.062094  	5.000000	0.0619585 	5.000000	0.0619585 	5.000000	0.0620591 	5.000000	3.49741e-05	
5.500000	0.0660007 	5.500000	0.0577764 	5.500000	0.0575944 	5.500000	0.0575944 	5.500000	0.0577443 	5.500000	3.21351e-05	
