*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.537655  	0.001000	0.0481012 	0.001000	0.0486168 	0.001000	0.0486168 	0.001000	0.0341683 	0.001000	0.0139329 	
0.002000	0.687007  	0.002000	0.0732319 	0.002000	0.0741239 	0.002000	0.0741239 	0.002000	0.0591287 	0.002000	0.0141032 	
0.005000	1.06289   	0.005000	0.128389  	0.005000	0.130136  	0.005000	0.130136  	0.005000	0.115829  	0.005000	0.0125603 	
0.008000	1.3446    	0.008000	0.169743  	0.008000	0.172136  	0.008000	0.172136  	0.008000	0.15865   	0.008000	0.0110933 	
0.010000	1.50001   	0.010000	0.19305   	0.010000	0.195806  	0.010000	0.195806  	0.010000	0.182753  	0.010000	0.0102976 	
0.015000	1.91382   	0.015000	0.237879  	0.015000	0.245928  	0.015000	0.245928  	0.015000	0.2291    	0.015000	0.00877898	
0.020000	2.26      	0.020000	0.274519  	0.020000	0.288104  	0.020000	0.288104  	0.020000	0.266818  	0.020000	0.00770091	
0.025000	2.55519   	0.025000	0.306135  	0.025000	0.32556   	0.025000	0.32556   	0.025000	0.299243  	0.025000	0.00689186	
0.030000	2.80824   	0.030000	0.334338  	0.030000	0.350293  	0.030000	0.350293  	0.030000	0.328079  	0.030000	0.00625891	
0.035000	3.02452   	0.035000	0.360055  	0.035000	0.372633  	0.035000	0.372633  	0.035000	0.354307  	0.035000	0.00574796	
0.040000	3.20775   	0.040000	0.383856  	0.040000	0.393197  	0.040000	0.393197  	0.040000	0.378531  	0.040000	0.00532537	
0.045000	3.36088   	0.045000	0.406113  	0.045000	0.412376  	0.045000	0.412376  	0.045000	0.401144  	0.045000	0.00496904	
0.050000	3.48659   	0.050000	0.427074  	0.050000	0.43043   	0.050000	0.43043   	0.050000	0.42241   	0.050000	0.00466382	
0.055000	3.58745   	0.055000	0.446911  	0.055000	0.447536  	0.055000	0.447536  	0.055000	0.442512  	0.055000	0.00439896	
0.060000	3.66605   	0.060000	0.465746  	0.060000	0.463815  	0.060000	0.463815  	0.060000	0.46158   	0.060000	0.00416658	
0.070000	3.76657   	0.070000	0.500735  	0.070000	0.494218  	0.070000	0.494218  	0.070000	0.496958  	0.070000	0.00377704	
0.080000	3.80767   	0.080000	0.532498  	0.080000	0.522083  	0.080000	0.522083  	0.080000	0.529036  	0.080000	0.00346233	
0.090000	3.80667   	0.090000	0.561305  	0.090000	0.547653  	0.090000	0.547653  	0.090000	0.558103  	0.090000	0.00320198	
0.100000	3.77771   	0.100000	0.587337  	0.100000	0.571077  	0.100000	0.571077  	0.100000	0.584354  	0.100000	0.00298249	
0.120000	3.67613   	0.120000	0.631632  	0.120000	0.611879  	0.120000	0.611879  	0.120000	0.629001  	0.120000	0.00263158	
0.140000	3.55617   	0.140000	0.666437  	0.140000	0.645162  	0.140000	0.645162  	0.140000	0.664074  	0.140000	0.00236227	
0.160000	3.44049   	0.160000	0.692807  	0.160000	0.671564  	0.160000	0.671564  	0.160000	0.690678  	0.160000	0.00212842	
0.180000	3.33624   	0.180000	0.71191   	0.180000	0.691835  	0.180000	0.691835  	0.180000	0.709955  	0.180000	0.00195562	
0.200000	3.24396   	0.200000	0.724848  	0.200000	0.706699  	0.200000	0.706699  	0.200000	0.723036  	0.200000	0.00181133	
0.250000	3.05345   	0.250000	0.736931  	0.250000	0.724997  	0.250000	0.724997  	0.250000	0.735395  	0.250000	0.00153593	
0.300000	2.89788   	0.300000	0.730394  	0.300000	0.724406  	0.300000	0.724406  	0.300000	0.729055  	0.300000	0.00133909	
0.350000	2.76072   	0.350000	0.714264  	0.350000	0.712731  	0.350000	0.712731  	0.350000	0.713073  	0.350000	0.00119065	
0.400000	2.6351    	0.400000	0.693912  	0.400000	0.695221  	0.400000	0.695221  	0.400000	0.692838  	0.400000	0.00107431	
0.450000	2.51844   	0.450000	0.672299  	0.450000	0.675143  	0.450000	0.675143  	0.450000	0.671319  	0.450000	0.000980417	
0.500000	2.40976   	0.500000	0.650952  	0.500000	0.654411  	0.500000	0.654411  	0.500000	0.650049  	0.500000	0.000902884	
0.600000	2.21446   	0.600000	0.611509  	0.600000	0.61469   	0.600000	0.61469   	0.600000	0.610727  	0.600000	0.000781977	
0.700000	2.04584   	0.700000	0.57733   	0.700000	0.57948   	0.700000	0.57948   	0.700000	0.576638  	0.700000	0.000691698	
0.800000	1.90026   	0.800000	0.547959  	0.800000	0.549036  	0.800000	0.549036  	0.800000	0.547337  	0.800000	0.00062148	
0.900000	1.77408   	0.900000	0.522536  	0.900000	0.52273   	0.900000	0.52273   	0.900000	0.521971  	0.900000	0.000565164	
