*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.125567  	0.001000	0.0233432 	0.001000	0.0215084 	0.001000	0.0215084 	0.001000	0.0178752 	0.001000	0.00546806
0.002000	0.160448  	0.002000	0.0361926 	0.002000	0.0330173 	0.002000	0.0330173 	0.002000	0.0309332 	0.002000	0.00525946
0.005000	0.248233  	0.005000	0.064929  	0.005000	0.0587086 	0.005000	0.0587086 	0.005000	0.0605959 	0.005000	0.00433313
0.008000	0.314026  	0.008000	0.086674  	0.008000	0.0781539 	0.008000	0.0781539 	0.008000	0.0829977 	0.008000	0.00367629
0.010000	0.350322  	0.010000	0.0989581 	0.010000	0.0891435 	0.010000	0.0891435 	0.010000	0.095607  	0.010000	0.0033511
0.015000	0.446963  	0.015000	0.126039  	0.015000	0.112445  	0.015000	0.112445  	0.015000	0.123268  	0.015000	0.00277028
0.020000	0.527814  	0.020000	0.146002  	0.020000	0.132061  	0.020000	0.132061  	0.020000	0.14362   	0.020000	0.00238249
0.025000	0.596753  	0.025000	0.164097  	0.025000	0.149477  	0.025000	0.149477  	0.025000	0.161994  	0.025000	0.00210235
0.030000	0.655852  	0.030000	0.180783  	0.030000	0.179508  	0.030000	0.179508  	0.030000	0.178894  	0.030000	0.00188895
0.035000	0.706364  	0.035000	0.195876  	0.035000	0.199286  	0.035000	0.199286  	0.035000	0.194156  	0.035000	0.00172008
0.040000	0.749156  	0.040000	0.209352  	0.040000	0.213042  	0.040000	0.213042  	0.040000	0.207769  	0.040000	0.00158258
0.045000	0.784918  	0.045000	0.221312  	0.045000	0.223884  	0.045000	0.223884  	0.045000	0.219844  	0.045000	0.0014681
0.050000	0.814277  	0.050000	0.231908  	0.050000	0.233198  	0.050000	0.233198  	0.050000	0.230537  	0.050000	0.00137107
