*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.0646266 	0.001000	0.0323537 	0.001000	0.0385903 	0.001000	0.0385903 	0.001000	0.0180655 	0.001000	0.0142883 	
0.002000	0.0825789 	0.002000	0.0425534 	0.002000	0.0533454 	0.002000	0.0533454 	0.002000	0.0312625 	0.002000	0.0112909 	
0.005000	0.12776   	0.005000	0.0684916 	0.005000	0.0896322 	0.005000	0.0896322 	0.005000	0.061241  	0.005000	0.00725063	
0.008000	0.161623  	0.008000	0.0893905 	0.008000	0.118346  	0.008000	0.118346  	0.008000	0.0838813 	0.008000	0.00550914	
0.010000	0.180303  	0.010000	0.101416  	0.010000	0.134771  	0.010000	0.134771  	0.010000	0.0966249 	0.010000	0.00479123	
0.015000	0.230042  	0.015000	0.137626  	0.015000	0.169832  	0.015000	0.169832  	0.015000	0.133957  	0.015000	0.00366931	
0.020000	0.271655  	0.020000	0.170044  	0.020000	0.199478  	0.020000	0.199478  	0.020000	0.167035  	0.020000	0.00300926	
0.025000	0.307136  	0.025000	0.198984  	0.025000	0.225826  	0.025000	0.225826  	0.025000	0.196439  	0.025000	0.00254501	
0.030000	0.337553  	0.030000	0.224733  	0.030000	0.246391  	0.030000	0.246391  	0.030000	0.222502  	0.030000	0.00223066	
0.035000	0.363551  	0.035000	0.247448  	0.035000	0.264154  	0.035000	0.264154  	0.035000	0.245456  	0.035000	0.00199158	
0.040000	0.385574  	0.040000	0.267307  	0.040000	0.279558  	0.040000	0.279558  	0.040000	0.265504  	0.040000	0.00180295	
0.045000	0.403981  	0.045000	0.284496  	0.045000	0.292925  	0.045000	0.292925  	0.045000	0.282846  	0.045000	0.00164992	
0.050000	0.419091  	0.050000	0.299214  	0.050000	0.304505  	0.050000	0.304505  	0.050000	0.297691  	0.050000	0.001523  	
0.055000	0.431215  	0.055000	0.311674  	0.055000	0.3145    	0.055000	0.3145    	0.055000	0.310258  	0.055000	0.00141586	
0.060000	0.440662  	0.060000	0.322093  	0.060000	0.323084  	0.060000	0.323084  	0.060000	0.320769  	0.060000	0.00132408	
0.070000	0.452745  	0.070000	0.33768   	0.070000	0.336593  	0.070000	0.336593  	0.070000	0.336505  	0.070000	0.00117472	
0.080000	0.457686  	0.080000	0.34763   	0.080000	0.346044  	0.080000	0.346044  	0.080000	0.346572  	0.080000	0.00105804	
0.090000	0.457565  	0.090000	0.353378  	0.090000	0.352263  	0.090000	0.352263  	0.090000	0.352414  	0.090000	0.000964126	
0.100000	0.454085  	0.100000	0.356086  	0.100000	0.355931  	0.100000	0.355931  	0.100000	0.355199  	0.100000	0.000886751	
0.120000	0.441874  	0.120000	0.355725  	0.120000	0.357747  	0.120000	0.357747  	0.120000	0.354959  	0.120000	0.000766413	
0.140000	0.427454  	0.140000	0.351202  	0.140000	0.354805  	0.140000	0.354805  	0.140000	0.350525  	0.140000	0.000676822	
0.160000	0.41355   	0.160000	0.344876  	0.160000	0.349209  	0.160000	0.349209  	0.160000	0.344269  	0.160000	0.000607299	
0.180000	0.401019  	0.180000	0.337871  	0.180000	0.34224   	0.180000	0.34224   	0.180000	0.33732   	0.180000	0.000551646	
0.200000	0.389927  	0.200000	0.330699  	0.200000	0.334656  	0.200000	0.334656  	0.200000	0.330193  	0.200000	0.000506  	
0.250000	0.367028  	0.250000	0.313197  	0.250000	0.315393  	0.250000	0.315393  	0.250000	0.312776  	0.250000	0.000420929	
0.300000	0.348327  	0.300000	0.296834  	0.300000	0.297388  	0.300000	0.297388  	0.300000	0.296472  	0.300000	0.000361755	
0.350000	0.331841  	0.350000	0.28167   	0.350000	0.281116  	0.350000	0.281116  	0.350000	0.281352  	0.350000	0.000318034	
0.400000	0.316742  	0.400000	0.267665  	0.400000	0.266485  	0.400000	0.266485  	0.400000	0.26738   	0.400000	0.000284312	
0.450000	0.302719  	0.450000	0.254773  	0.450000	0.253308  	0.450000	0.253308  	0.450000	0.254516  	0.450000	0.000257452	
0.500000	0.289655  	0.500000	0.242939  	0.500000	0.241405  	0.500000	0.241405  	0.500000	0.242704  	0.500000	0.000235514	
0.600000	0.26618   	0.600000	0.222159  	0.600000	0.220816  	0.600000	0.220816  	0.600000	0.221957  	0.600000	0.000201753	
0.700000	0.245912  	0.700000	0.204698  	0.700000	0.203701  	0.700000	0.203701  	0.700000	0.204521  	0.700000	0.00017691	
0.800000	0.228414  	0.800000	0.18994   	0.800000	0.189296  	0.800000	0.189296  	0.800000	0.189782  	0.800000	0.000157812	
0.900000	0.213246  	0.900000	0.177355  	0.900000	0.177022  	0.900000	0.177022  	0.900000	0.177212  	0.900000	0.000142642	
1.000000	0.200015  	1.000000	0.166514  	1.000000	0.166439  	1.000000	0.166439  	1.000000	0.166384  	1.000000	0.000130282	
1.250000	0.173392  	1.250000	0.145014  	1.250000	0.145383  	1.250000	0.145383  	1.250000	0.144907  	1.250000	0.000107451	
1.500000	0.153288  	1.500000	0.128989  	1.500000	0.1296    	1.500000	0.1296    	1.500000	0.128897  	1.500000	9.1739e-05	
1.750000	0.137544  	1.750000	0.116516  	1.750000	0.117251  	1.750000	0.117251  	1.750000	0.116436  	1.750000	8.02251e-05	
2.000000	0.124854  	2.000000	0.106489  	2.000000	0.10728   	2.000000	0.10728   	2.000000	0.106417  	2.000000	7.14034e-05	
2.250000	0.114395  	2.250000	0.0982253 	2.250000	0.0990326 	2.250000	0.0990326 	2.250000	0.0981609 	2.250000	6.44156e-05	
2.500000	0.10385   	2.500000	0.0912833 	2.500000	0.0920838 	2.500000	0.0920838 	2.500000	0.0912246 	2.500000	5.87356e-05	
3.000000	0.0906449 	3.000000	0.0802414 	3.000000	0.0809939 	3.000000	0.0809939 	3.000000	0.0801914 	3.000000	5.00445e-05	
3.500000	0.0806354 	3.500000	0.0718269 	3.500000	0.0725143 	3.500000	0.0725143 	3.500000	0.0717832 	3.500000	4.36911e-05	
4.000000	0.0727631 	4.000000	0.0651852 	4.000000	0.0658055 	4.000000	0.0658055 	4.000000	0.0651464 	4.000000	3.88329e-05	
4.500000	0.0663958 	4.500000	0.0597991 	4.500000	0.0603557 	4.500000	0.0603557 	4.500000	0.0597641 	4.500000	3.49911e-05	
5.000000	0.0611309 	5.000000	0.0553356 	5.000000	0.0558341 	5.000000	0.0558341 	5.000000	0.0553038 	5.000000	3.18728e-05	
5.500000	0.056699  	5.500000	0.0515709 	5.500000	0.0520168 	5.500000	0.0520168 	5.500000	0.0515416 	5.500000	2.92884e-05	
6.000000	0.0529131 	6.000000	0.0483481 	6.000000	0.048747  	6.000000	0.048747  	6.000000	0.048321  	6.000000	2.71097e-05	
6.500000	0.0496386 	6.500000	0.0455547 	6.500000	0.0459114 	6.500000	0.0459114 	6.500000	0.0455294 	6.500000	2.52469e-05	
7.000000	0.0467764 	7.000000	0.0431073 	7.000000	0.0434263 	7.000000	0.0434263 	7.000000	0.0430837 	7.000000	2.36348e-05	
7.500000	0.0442517 	7.500000	0.0409432 	7.500000	0.0412283 	7.500000	0.0412283 	7.500000	0.040921  	7.500000	2.22254e-05	
