*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.466668  	0.001000	0.085958  	0.001000	0.0746269 	0.001000	0.0746269 	0.001000	0.068268  	0.001000	0.0176901 	
0.002000	0.521039  	0.002000	0.11201   	0.002000	0.0979719 	0.002000	0.0979719 	0.002000	0.0945586 	0.002000	0.0174513 	
0.005000	0.648168  	0.005000	0.16039   	0.005000	0.142247  	0.005000	0.142247  	0.005000	0.145456  	0.005000	0.0149334 	
0.008000	0.745066  	0.008000	0.194328  	0.008000	0.173956  	0.008000	0.173956  	0.008000	0.181413  	0.008000	0.0129149 	
0.010000	0.799837  	0.010000	0.213347  	0.010000	0.191923  	0.010000	0.191923  	0.010000	0.201473  	0.010000	0.011874  	
0.015000	0.937241  	0.015000	0.253728  	0.015000	0.230473  	0.015000	0.230473  	0.015000	0.24377   	0.015000	0.00995863	
0.020000	1.04742   	0.020000	0.287706  	0.020000	0.263271  	0.020000	0.263271  	0.020000	0.279062  	0.020000	0.00864378	
0.025000	1.17119   	0.025000	0.318547  	0.025000	0.293096  	0.025000	0.293096  	0.025000	0.310869  	0.025000	0.00767741	
0.030000	1.2763    	0.030000	0.348022  	0.030000	0.349545  	0.030000	0.349545  	0.030000	0.34109   	0.030000	0.00693232	
0.035000	1.3628    	0.035000	0.378049  	0.035000	0.387393  	0.035000	0.387393  	0.035000	0.371712  	0.035000	0.00633738	
0.040000	1.431     	0.040000	0.406438  	0.040000	0.414821  	0.040000	0.414821  	0.040000	0.400588  	0.040000	0.0058495 	
0.045000	1.48126   	0.045000	0.432744  	0.045000	0.43757   	0.045000	0.43757   	0.045000	0.427303  	0.045000	0.00544097	
0.050000	1.51233   	0.050000	0.456979  	0.050000	0.458049  	0.050000	0.458049  	0.050000	0.451886  	0.050000	0.00509305	
0.055000	1.57642   	0.055000	0.47908   	0.055000	0.477076  	0.055000	0.477076  	0.055000	0.474287  	0.055000	0.0047926 	
0.060000	1.63046   	0.060000	0.498252  	0.060000	0.494886  	0.060000	0.494886  	0.060000	0.493721  	0.060000	0.00453011	
