*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.149487  	0.001000	0.134919  	0.001000	0.1415    	0.001000	0.1415    	0.001000	0.0764777 	0.001000	0.0584415
0.002000	0.164217  	0.002000	0.142905  	0.002000	0.151775  	0.002000	0.151775  	0.002000	0.100206  	0.002000	0.0426991
0.005000	0.202008  	0.005000	0.168619  	0.005000	0.182185  	0.005000	0.182185  	0.005000	0.143358  	0.005000	0.0252608
0.008000	0.231578  	0.008000	0.190923  	0.008000	0.207998  	0.008000	0.207998  	0.008000	0.172338  	0.008000	0.0185843
0.010000	0.248278  	0.010000	0.204026  	0.010000	0.223121  	0.010000	0.223121  	0.010000	0.1881    	0.010000	0.0159261
0.015000	0.29074   	0.015000	0.232212  	0.015000	0.255178  	0.015000	0.255178  	0.015000	0.220362  	0.015000	0.0118506
0.020000	0.324762  	0.020000	0.256204  	0.020000	0.285874  	0.020000	0.285874  	0.020000	0.246609  	0.020000	0.00959442
0.025000	0.363038  	0.025000	0.284481  	0.025000	0.315453  	0.025000	0.315453  	0.025000	0.276368  	0.025000	0.00811391
0.030000	0.395552  	0.030000	0.311303  	0.030000	0.340907  	0.030000	0.340907  	0.030000	0.304243  	0.030000	0.00706007
0.035000	0.422316  	0.035000	0.336427  	0.035000	0.364963  	0.035000	0.364963  	0.035000	0.33016   	0.035000	0.0062678
0.040000	0.443419  	0.040000	0.359868  	0.040000	0.387689  	0.040000	0.387689  	0.040000	0.35422   	0.040000	0.00564828
0.045000	0.45897   	0.045000	0.38164   	0.045000	0.409138  	0.045000	0.409138  	0.045000	0.376491  	0.045000	0.00514924
0.050000	0.46858   	0.050000	0.401166  	0.050000	0.429355  	0.050000	0.429355  	0.050000	0.396428  	0.050000	0.00473781
0.055000	0.488423  	0.055000	0.422322  	0.055000	0.44838   	0.055000	0.44838   	0.055000	0.41793   	0.055000	0.00439221
0.060000	0.505151  	0.060000	0.442228  	0.060000	0.466252  	0.060000	0.466252  	0.060000	0.43813   	0.060000	0.00409742
0.070000	0.53019   	0.070000	0.478333  	0.070000	0.498685  	0.070000	0.498685  	0.070000	0.474713  	0.070000	0.00362023
0.080000	0.556913  	0.080000	0.509103  	0.080000	0.52696   	0.080000	0.52696   	0.080000	0.505854  	0.080000	0.00324968
0.090000	0.576825  	0.090000	0.535307  	0.090000	0.551394  	0.090000	0.551394  	0.090000	0.532354  	0.090000	0.00295287
0.100000	0.591642  	0.100000	0.557311  	0.100000	0.572311  	0.100000	0.572311  	0.100000	0.554602  	0.100000	0.00270933
0.120000	0.596948  	0.120000	0.591636  	0.120000	0.604882  	0.120000	0.604882  	0.120000	0.589304  	0.120000	0.0023324
0.140000	0.596284  	0.140000	0.614298  	0.140000	0.627153  	0.140000	0.627153  	0.140000	0.612245  	0.140000	0.00205328
0.160000	0.597127  	0.160000	0.630905  	0.160000	0.641341  	0.160000	0.641341  	0.160000	0.629068  	0.160000	0.00183761
0.180000	0.60064   	0.180000	0.644718  	0.180000	0.649324  	0.180000	0.649324  	0.180000	0.643052  	0.180000	0.00166556
0.200000	0.603754  	0.200000	0.652638  	0.200000	0.652635  	0.200000	0.652635  	0.200000	0.651113  	0.200000	0.00152488
0.250000	0.596373  	0.250000	0.657505  	0.250000	0.647794  	0.250000	0.647794  	0.250000	0.656241  	0.250000	0.00126374
0.300000	0.593916  	0.300000	0.656185  	0.300000	0.633172  	0.300000	0.633172  	0.300000	0.655102  	0.300000	0.00108297
0.350000	0.590501  	0.350000	0.65057   	0.350000	0.619025  	0.350000	0.619025  	0.350000	0.64962   	0.350000	0.000949888
0.400000	0.589714  	0.400000	0.647506  	0.400000	0.603983  	0.400000	0.603983  	0.400000	0.646658  	0.400000	0.000847548
0.450000	0.585569  	0.450000	0.641896  	0.450000	0.587961  	0.450000	0.587961  	0.450000	0.64113   	0.450000	0.000766231
0.500000	0.578143  	0.500000	0.633741  	0.500000	0.571821  	0.500000	0.571821  	0.500000	0.633041  	0.500000	0.000699957
0.600000	0.538528  	0.600000	0.598079  	0.600000	0.540369  	0.600000	0.540369  	0.600000	0.59748   	0.600000	0.000598221
0.700000	0.497039  	0.700000	0.562946  	0.700000	0.512793  	0.700000	0.512793  	0.700000	0.562423  	0.700000	0.000523577
0.800000	0.473672  	0.800000	0.528536  	0.800000	0.488489  	0.800000	0.488489  	0.800000	0.52807   	0.800000	0.000466327
0.900000	0.451551  	0.900000	0.497551  	0.900000	0.466818  	0.900000	0.466818  	0.900000	0.49713   	0.900000	0.000420941
1.000000	0.430882  	1.000000	0.46955   	1.000000	0.44727   	1.000000	0.44727   	1.000000	0.469166  	1.000000	0.000384021
1.250000	0.382898  	1.250000	0.418792  	1.250000	0.40361   	1.250000	0.40361   	1.250000	0.418476  	1.250000	0.000315984
1.500000	0.344164  	1.500000	0.378963  	1.500000	0.368637  	1.500000	0.368637  	1.500000	0.378694  	1.500000	0.00026929
1.750000	0.312531  	1.750000	0.346955  	1.750000	0.33966   	1.750000	0.33966   	1.750000	0.34672   	1.750000	0.000235146
2.000000	0.284712  	2.000000	0.318731  	2.000000	0.314991  	2.000000	0.314991  	2.000000	0.318522  	2.000000	0.000209032
2.250000	0.261772  	2.250000	0.293295  	2.250000	0.293653  	2.250000	0.293653  	2.250000	0.293107  	2.250000	0.000188377
2.500000	0.237641  	2.500000	0.272307  	2.500000	0.274996  	2.500000	0.274996  	2.500000	0.272136  	2.500000	0.000171609
3.000000	0.209763  	3.000000	0.239225  	3.000000	0.24398   	3.000000	0.24398   	3.000000	0.239079  	3.000000	0.000145993
3.500000	0.188062  	3.500000	0.213941  	3.500000	0.21926   	3.500000	0.21926   	3.500000	0.213814  	3.500000	0.0001273
4.000000	0.170671  	4.000000	0.193786  	4.000000	0.199153  	4.000000	0.199153  	4.000000	0.193673  	4.000000	0.000113027
4.500000	0.156405  	4.500000	0.177265  	4.500000	0.182512  	4.500000	0.182512  	4.500000	0.177163  	4.500000	0.000101754
5.000000	0.144481  	5.000000	0.163446  	5.000000	0.168528  	5.000000	0.168528  	5.000000	0.163353  	5.000000	9.26132e-05
5.500000	0.134359  	5.500000	0.151853  	5.500000	0.156619  	5.500000	0.156619  	5.500000	0.151767  	5.500000	8.50449e-05
6.000000	0.125653  	6.000000	0.141874  	6.000000	0.146358  	6.000000	0.146358  	6.000000	0.141795  	6.000000	7.86701e-05
6.500000	0.118081  	6.500000	0.133191  	6.500000	0.137424  	6.500000	0.137424  	6.500000	0.133118  	6.500000	7.32233e-05
7.000000	0.111432  	7.000000	0.125564  	7.000000	0.129575  	7.000000	0.129575  	7.000000	0.125495  	7.000000	6.85131e-05
7.500000	0.105544  	7.500000	0.118809  	7.500000	0.122623  	7.500000	0.122623  	7.500000	0.118745  	7.500000	6.43973e-05
8.000000	0.100291  	8.000000	0.112783  	8.000000	0.11642   	8.000000	0.11642   	8.000000	0.112722  	8.000000	6.07687e-05
8.500000	0.0955756 	8.500000	0.107373  	8.500000	0.110851  	8.500000	0.110851  	8.500000	0.107315  	8.500000	5.75444e-05
9.000000	0.0913168 	9.000000	0.102487  	9.000000	0.105822  	9.000000	0.105822  	9.000000	0.102433  	9.000000	5.46594e-05
9.500000	0.0874505 	9.500000	0.0980524 	9.500000	0.101256  	9.500000	0.101256  	9.500000	0.0980003 	9.500000	5.20621e-05
10.000000	0.083924  	10.000000	0.0968843 	10.000000	0.0970908 	10.000000	0.0970908 	10.000000	0.0968346 	10.000000	4.97109e-05
11.000000	0.0777234 	11.000000	0.0897563 	11.000000	0.089685  	11.000000	0.0897117 	11.000000	0.0897107 	11.000000	4.56173e-05
12.000000	0.072444  	12.000000	0.0836696 	12.000000	0.0833958 	12.000000	0.083439  	12.000000	0.0836275 	12.000000	4.2172e-05
13.000000	0.0678918 	13.000000	0.0784101 	13.000000	0.0779878 	13.000000	0.078041  	13.000000	0.0783708 	13.000000	3.92304e-05
14.000000	0.0639242 	14.000000	0.0738183 	14.000000	0.0732874 	14.000000	0.0733467 	14.000000	0.0737816 	14.000000	3.66882e-05
15.000000	0.0604337 	15.000000	0.0697736 	15.000000	0.0691646 	15.000000	0.0692272 	15.000000	0.0697392 	15.000000	3.44682e-05
16.000000	0.0573378 	16.000000	0.0661827 	16.000000	0.0655203 	16.000000	0.0655835 	16.000000	0.0661502 	16.000000	3.2512e-05
17.000000	0.0545721 	17.000000	0.0629725 	17.000000	0.0622765 	17.000000	0.0623383 	17.000000	0.0629417 	17.000000	3.07747e-05
