*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.248382  	0.001000	0.13678   	0.001000	0.165321  	0.001000	0.165321  	0.001000	0.0801667 	0.001000	0.0566132
0.002000	0.272857  	0.002000	0.148779  	0.002000	0.18337   	0.002000	0.18337   	0.002000	0.103963  	0.002000	0.0448154
0.005000	0.335649  	0.005000	0.175426  	0.005000	0.219775  	0.005000	0.219775  	0.005000	0.146591  	0.005000	0.0288345
0.008000	0.384781  	0.008000	0.196771  	0.008000	0.247007  	0.008000	0.247007  	0.008000	0.174845  	0.008000	0.0219258
0.010000	0.412529  	0.010000	0.20918   	0.010000	0.26244   	0.010000	0.26244   	0.010000	0.190105  	0.010000	0.0190747
0.015000	0.483082  	0.015000	0.24259   	0.015000	0.299798  	0.015000	0.299798  	0.015000	0.227974  	0.015000	0.0146156
0.020000	0.539611  	0.020000	0.297057  	0.020000	0.350358  	0.020000	0.350358  	0.020000	0.285067  	0.020000	0.0119903
0.025000	0.60321   	0.025000	0.350428  	0.025000	0.399464  	0.025000	0.399464  	0.025000	0.340286  	0.025000	0.0101425
0.030000	0.657234  	0.030000	0.401687  	0.030000	0.441308  	0.030000	0.441308  	0.030000	0.392796  	0.030000	0.00889133
0.035000	0.701703  	0.035000	0.449618  	0.035000	0.47991   	0.035000	0.47991   	0.035000	0.441679  	0.035000	0.00793947
0.040000	0.736768  	0.040000	0.493781  	0.040000	0.515343  	0.040000	0.515343  	0.040000	0.486592  	0.040000	0.00718832
0.045000	0.762607  	0.045000	0.533925  	0.045000	0.54769   	0.045000	0.54769   	0.045000	0.527347  	0.045000	0.0065788
0.050000	0.778573  	0.050000	0.569208  	0.050000	0.577055  	0.050000	0.577055  	0.050000	0.563135  	0.050000	0.00607323
0.055000	0.811544  	0.055000	0.600036  	0.055000	0.603561  	0.055000	0.603561  	0.055000	0.594389  	0.055000	0.00564637
0.060000	0.839338  	0.060000	0.62706   	0.060000	0.627351  	0.060000	0.627351  	0.060000	0.62178   	0.060000	0.00528066
0.070000	0.880942  	0.070000	0.670724  	0.070000	0.667422  	0.070000	0.667422  	0.070000	0.666038  	0.070000	0.00468544
0.080000	0.925344  	0.080000	0.702543  	0.080000	0.698618  	0.080000	0.698618  	0.080000	0.698323  	0.080000	0.00422041
0.090000	0.95843   	0.090000	0.724967  	0.090000	0.722315  	0.090000	0.722315  	0.090000	0.721121  	0.090000	0.00384606
0.100000	0.983049  	0.100000	0.74021   	0.100000	0.73982   	0.100000	0.73982   	0.100000	0.736672  	0.100000	0.00353761
0.120000	0.991866  	0.120000	0.756111  	0.120000	0.760788  	0.120000	0.760788  	0.120000	0.753053  	0.120000	0.00305782
0.140000	0.990762  	0.140000	0.760522  	0.140000	0.769003  	0.140000	0.769003  	0.140000	0.757822  	0.140000	0.00270058
0.160000	0.992162  	0.160000	0.762193  	0.160000	0.769577  	0.160000	0.769577  	0.160000	0.759769  	0.160000	0.00242333
0.180000	0.998     	0.180000	0.76519   	0.180000	0.765779  	0.180000	0.765779  	0.180000	0.762989  	0.180000	0.00220136
0.200000	1.00317   	0.200000	0.764873  	0.200000	0.759612  	0.200000	0.759612  	0.200000	0.762854  	0.200000	0.0020193
0.250000	0.99091   	0.250000	0.761995  	0.250000	0.740434  	0.250000	0.740434  	0.250000	0.760315  	0.250000	0.00167996
0.300000	0.986828  	0.300000	0.759486  	0.300000	0.720896  	0.300000	0.720896  	0.300000	0.758042  	0.300000	0.00144389
0.350000	0.981154  	0.350000	0.754242  	0.350000	0.707289  	0.350000	0.707289  	0.350000	0.752972  	0.350000	0.00126945
0.400000	0.979846  	0.400000	0.75189   	0.400000	0.694916  	0.400000	0.694916  	0.400000	0.750755  	0.400000	0.0011349
0.450000	0.972958  	0.450000	0.745814  	0.450000	0.681948  	0.450000	0.681948  	0.450000	0.744786  	0.450000	0.00102772
0.500000	0.96062   	0.500000	0.735816  	0.500000	0.66857   	0.500000	0.66857   	0.500000	0.734876  	0.500000	0.000940177
0.600000	0.894796  	0.600000	0.708787  	0.600000	0.640833  	0.600000	0.640833  	0.600000	0.707982  	0.600000	0.000805444
0.700000	0.82586   	0.700000	0.678593  	0.700000	0.615004  	0.700000	0.615004  	0.700000	0.677887  	0.700000	0.000706298
0.800000	0.787035  	0.800000	0.645998  	0.800000	0.590975  	0.800000	0.590975  	0.800000	0.645368  	0.800000	0.000630075
0.900000	0.750279  	0.900000	0.615828  	0.900000	0.568607  	0.900000	0.568607  	0.900000	0.615259  	0.900000	0.000569525
1.000000	0.715937  	1.000000	0.58809   	1.000000	0.547759  	1.000000	0.547759  	1.000000	0.58757   	1.000000	0.000520188
1.250000	0.636208  	1.250000	0.525698  	1.250000	0.499172  	1.250000	0.499172  	1.250000	0.525269  	1.250000	0.000429053
1.500000	0.57185   	1.500000	0.476151  	1.500000	0.4591    	1.500000	0.4591    	1.500000	0.475784  	1.500000	0.00036633
1.750000	0.51929   	1.750000	0.43607   	1.750000	0.425361  	1.750000	0.425361  	1.750000	0.43575   	1.750000	0.000320364
2.000000	0.473066  	2.000000	0.400539  	2.000000	0.396351  	2.000000	0.396351  	2.000000	0.400254  	2.000000	0.000285144
2.250000	0.43495   	2.250000	0.370729  	2.250000	0.371089  	2.250000	0.371089  	2.250000	0.370472  	2.250000	0.000257245
2.500000	0.394855  	2.500000	0.346131  	2.500000	0.348893  	2.500000	0.348893  	2.500000	0.345897  	2.500000	0.000234566
3.000000	0.348533  	3.000000	0.307298  	3.000000	0.311797  	3.000000	0.311797  	3.000000	0.307098  	3.000000	0.000199865
3.500000	0.312477  	3.500000	0.27751   	3.500000	0.282066  	3.500000	0.282066  	3.500000	0.277335  	3.500000	0.000174496
4.000000	0.283579  	4.000000	0.253652  	4.000000	0.257774  	4.000000	0.257774  	4.000000	0.253497  	4.000000	0.000155097
4.500000	0.259876  	4.500000	0.233997  	4.500000	0.237591  	4.500000	0.237591  	4.500000	0.233857  	4.500000	0.000139756
5.000000	0.240064  	5.000000	0.217475  	5.000000	0.22057   	5.000000	0.22057   	5.000000	0.217347  	5.000000	0.000127303
5.500000	0.223246  	5.500000	0.203366  	5.500000	0.206026  	5.500000	0.206026  	5.500000	0.203249  	5.500000	0.000116983
6.000000	0.20878   	6.000000	0.191163  	6.000000	0.193453  	6.000000	0.193453  	6.000000	0.191055  	6.000000	0.000108282
6.500000	0.196198  	6.500000	0.180496  	6.500000	0.182474  	6.500000	0.182474  	6.500000	0.180395  	6.500000	0.000100843
7.000000	0.18515   	7.000000	0.171083  	7.000000	0.172798  	7.000000	0.172798  	7.000000	0.170989  	7.000000	9.44051e-05
7.500000	0.175367  	7.500000	0.162712  	7.500000	0.164203  	7.500000	0.164203  	7.500000	0.162623  	7.500000	8.87763e-05
8.000000	0.16664   	8.000000	0.155212  	8.000000	0.156512  	8.000000	0.156512  	8.000000	0.155129  	8.000000	8.38109e-05
8.500000	0.158805  	8.500000	0.148452  	8.500000	0.149588  	8.500000	0.149588  	8.500000	0.148373  	8.500000	7.93963e-05
9.000000	0.151728  	9.000000	0.142324  	9.000000	0.143317  	9.000000	0.143317  	9.000000	0.142249  	9.000000	7.54444e-05
9.500000	0.145304  	9.500000	0.136741  	9.500000	0.137609  	9.500000	0.137609  	9.500000	0.136669  	9.500000	7.1885e-05
10.000000	0.139445  	10.000000	0.132223  	10.000000	0.132389  	10.000000	0.132389  	10.000000	0.132155  	10.000000	6.86615e-05
11.000000	0.129142  	11.000000	0.123081  	11.000000	0.122968  	11.000000	0.123011  	11.000000	0.123018  	11.000000	6.30458e-05
12.000000	0.12037   	12.000000	0.115192  	12.000000	0.114894  	12.000000	0.114963  	12.000000	0.115133  	12.000000	5.83161e-05
