Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.296162  	0.001000	0.271539  	0.001000	0.275895  	0.001000	0.275895  	0.001000	0.139976  	0.001000	0.131563  	
0.002000	0.320369  	0.002000	0.285403  	0.002000	0.291536  	0.002000	0.291536  	0.002000	0.183413  	0.002000	0.10199   	
0.005000	0.382557  	0.005000	0.326575  	0.005000	0.336863  	0.005000	0.336863  	0.005000	0.262413  	0.005000	0.064162  	
0.008000	0.43299   	0.008000	0.363824  	0.008000	0.377521  	0.008000	0.377521  	0.008000	0.31547   	0.008000	0.0483549 	
0.010000	0.462127  	0.010000	0.386239  	0.010000	0.401983  	0.010000	0.401983  	0.010000	0.344326  	0.010000	0.0419125 	
0.015000	0.531876  	0.015000	0.433635  	0.015000	0.455793  	0.015000	0.455793  	0.015000	0.401708  	0.015000	0.0319266 	
0.020000	0.58593   	0.020000	0.470357  	0.020000	0.510631  	0.020000	0.510631  	0.020000	0.444431  	0.020000	0.0259258 	
0.025000	0.647589  	0.025000	0.514138  	0.025000	0.564671  	0.025000	0.564671  	0.025000	0.492113  	0.025000	0.0220248 	
0.030000	0.700742  	0.030000	0.557274  	0.030000	0.612133  	0.030000	0.612133  	0.030000	0.538005  	0.030000	0.0192681 	
0.035000	0.744438  	0.035000	0.59806   	0.035000	0.65755   	0.035000	0.65755   	0.035000	0.580882  	0.035000	0.0171779 	
0.040000	0.778905  	0.040000	0.636451  	0.040000	0.700939  	0.040000	0.700939  	0.040000	0.620918  	0.040000	0.0155328 	
0.045000	0.804515  	0.045000	0.672465  	0.045000	0.742323  	0.045000	0.742323  	0.045000	0.658265  	0.045000	0.0142006 	
