Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	1.12509   	0.001000	0.212456  	0.001000	0.192911  	0.001000	0.192911  	0.001000	0.119975  	0.001000	0.0924814 	
0.002000	1.16453   	0.002000	0.257075  	0.002000	0.232924  	0.002000	0.232924  	0.002000	0.166178  	0.002000	0.0908967 	
0.005000	1.31093   	0.005000	0.332972  	0.005000	0.301909  	0.005000	0.301909  	0.005000	0.255626  	0.005000	0.0773459 	
0.008000	1.44924   	0.008000	0.385515  	0.008000	0.35075   	0.008000	0.35075   	0.008000	0.318817  	0.008000	0.0666979 	
0.010000	1.53284   	0.010000	0.415313  	0.010000	0.378822  	0.010000	0.378822  	0.010000	0.35407   	0.010000	0.0612423 	
0.015000	1.79736   	0.015000	0.479653  	0.015000	0.440204  	0.015000	0.440204  	0.015000	0.428403  	0.015000	0.0512501 	
0.020000	2.03226   	0.020000	0.534847  	0.020000	0.493545  	0.020000	0.493545  	0.020000	0.490426  	0.020000	0.0444205 	
0.025000	2.2985    	0.025000	0.594841  	0.025000	0.550223  	0.025000	0.550223  	0.025000	0.555427  	0.025000	0.0394146 	
0.030000	2.53625   	0.030000	0.667322  	0.030000	0.667501  	0.030000	0.667501  	0.030000	0.63176   	0.030000	0.0355622 	
0.035000	2.74234   	0.035000	0.738454  	0.035000	0.753733  	0.035000	0.753733  	0.035000	0.705964  	0.035000	0.0324905 	
0.040000	2.9101    	0.040000	0.806855  	0.040000	0.821472  	0.040000	0.821472  	0.040000	0.77688   	0.040000	0.0299744 	
0.045000	3.04086   	0.045000	0.871887  	0.045000	0.880555  	0.045000	0.880555  	0.045000	0.844018  	0.045000	0.0278693 	
0.050000	3.1388    	0.050000	0.931748  	0.050000	0.935291  	0.050000	0.935291  	0.050000	0.90567   	0.050000	0.026078  	
0.055000	3.30523   	0.055000	0.986394  	0.055000	0.987157  	0.055000	0.987157  	0.055000	0.961862  	0.055000	0.024532  	
0.060000	3.45182   	0.060000	1.0377    	0.060000	1.03656   	0.060000	1.03656   	0.060000	1.01452   	0.060000	0.0231821 	
0.070000	3.68917   	0.070000	1.13092   	0.070000	1.1282    	0.070000	1.1282    	0.070000	1.10999   	0.070000	0.0209324 	
0.080000	3.93952   	0.080000	1.21271   	0.080000	1.21033   	0.080000	1.21033   	0.080000	1.19358   	0.080000	0.019127  	
0.090000	4.14995   	0.090000	1.28433   	0.090000	1.2833    	0.090000	1.2833    	0.090000	1.26669   	0.090000	0.0176414 	
0.100000	4.32526   	0.100000	1.3497    	0.100000	1.34775   	0.100000	1.34775   	0.100000	1.33331   	0.100000	0.0163945 	
0.120000	4.48965   	0.120000	1.45816   	0.120000	1.45413   	0.120000	1.45413   	0.120000	1.44388   	0.120000	0.014278  	
0.140000	4.59613   	0.140000	1.54075   	0.140000	1.53612   	0.140000	1.53612   	0.140000	1.52797   	0.140000	0.0127827 	
0.160000	4.67639   	0.160000	1.60366   	0.160000	1.59925   	0.160000	1.59925   	0.160000	1.59206   	0.160000	0.0115975 	
0.180000	4.73913   	0.180000	1.64692   	0.180000	1.64816   	0.180000	1.64816   	0.180000	1.63629   	0.180000	0.0106324 	
0.200000	4.80634   	0.200000	1.67878   	0.200000	1.68644   	0.200000	1.68644   	0.200000	1.66895   	0.200000	0.00982965	
0.250000	4.83633   	0.250000	1.73267   	0.250000	1.75166   	0.250000	1.75166   	0.250000	1.72436   	0.250000	0.00830504	
0.300000	4.90777   	0.300000	1.7732    	0.300000	1.79154   	0.300000	1.79154   	0.300000	1.76598   	0.300000	0.00722135	
0.350000	4.98561   	0.350000	1.81205   	0.350000	1.81794   	0.350000	1.81794   	0.350000	1.80564   	0.350000	0.00640749	
0.400000	5.0381    	0.400000	1.83807   	0.400000	1.83627   	0.400000	1.83627   	0.400000	1.8323    	0.400000	0.00577161	
0.450000	5.06832   	0.450000	1.85563   	0.450000	1.86617   	0.450000	1.86617   	0.450000	1.85037   	0.450000	0.00525973	
0.500000	5.09      	0.500000	1.87004   	0.500000	1.8936    	0.500000	1.8936    	0.500000	1.86521   	0.500000	0.00483795	
0.600000	4.92304   	0.600000	1.89026   	0.600000	1.92699   	0.600000	1.92699   	0.600000	1.88608   	0.600000	0.00418186	
0.700000	4.74645   	0.700000	1.91009   	0.700000	1.94071   	0.700000	1.94071   	0.700000	1.9064    	0.700000	0.00369334	
0.800000	4.72102   	0.800000	1.92005   	0.800000	1.93262   	0.800000	1.93262   	0.800000	1.91673   	0.800000	0.0033142 	
0.900000	4.64168   	0.900000	1.90798   	0.900000	1.91717   	0.900000	1.91717   	0.900000	1.90497   	0.900000	0.00301066	
