Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.608829  	0.001000	0.365816  	0.001000	0.416552  	0.001000	0.416552  	0.001000	0.136945  	0.001000	0.228871  	
0.002000	0.618301  	0.002000	0.373183  	0.002000	0.434796  	0.002000	0.434796  	0.002000	0.177596  	0.002000	0.195587  	
0.005000	0.675164  	0.005000	0.38791   	0.005000	0.467144  	0.005000	0.467144  	0.005000	0.250415  	0.005000	0.137495  	
0.008000	0.736294  	0.008000	0.407137  	0.008000	0.497048  	0.008000	0.497048  	0.008000	0.29868   	0.008000	0.108457  	
0.010000	0.774527  	0.010000	0.420555  	0.010000	0.515962  	0.010000	0.515962  	0.010000	0.324748  	0.010000	0.0958064 	
0.015000	0.912506  	0.015000	0.467843  	0.015000	0.571779  	0.015000	0.571779  	0.015000	0.392612  	0.015000	0.0752307 	
0.020000	1.04607   	0.020000	0.579932  	0.020000	0.673995  	0.020000	0.673995  	0.020000	0.517277  	0.020000	0.0626545 	
0.025000	1.19884   	0.025000	0.698005  	0.025000	0.780628  	0.025000	0.780628  	0.025000	0.643949  	0.025000	0.0540552 	
0.030000	1.33896   	0.030000	0.817547  	0.030000	0.878136  	0.030000	0.878136  	0.030000	0.769796  	0.030000	0.047751  	
0.035000	1.46349   	0.035000	0.935372  	0.035000	0.972536  	0.035000	0.972536  	0.035000	0.892468  	0.035000	0.0429037 	
0.040000	1.57053   	0.040000	1.04878   	0.040000	1.0626    	0.040000	1.0626    	0.040000	1.01011   	0.040000	0.0386785 	
0.045000	1.65809   	0.045000	1.1569    	0.045000	1.14854   	0.045000	1.14854   	0.045000	1.12134   	0.045000	0.0355633 	
0.050000	1.71219   	0.050000	1.25098   	0.050000	1.22959   	0.050000	1.22959   	0.050000	1.21802   	0.050000	0.0329589 	
0.055000	1.80384   	0.055000	1.33247   	0.055000	1.30555   	0.055000	1.30555   	0.055000	1.30173   	0.055000	0.0307454 	
0.060000	1.88494   	0.060000	1.40661   	0.060000	1.37638   	0.060000	1.37638   	0.060000	1.37777   	0.060000	0.0288384 	
0.070000	2.01736   	0.070000	1.53379   	0.070000	1.50288   	0.070000	1.50288   	0.070000	1.50807   	0.070000	0.0257134 	
0.080000	2.1576    	0.080000	1.63573   	0.080000	1.61028   	0.080000	1.61028   	0.080000	1.61248   	0.080000	0.0232533 	
0.090000	2.27274   	0.090000	1.71663   	0.090000	1.70045   	0.090000	1.70045   	0.090000	1.69537   	0.090000	0.0212608 	
0.100000	2.36251   	0.100000	1.77948   	0.100000	1.77558   	0.100000	1.77558   	0.100000	1.75987   	0.100000	0.0196107 	
0.120000	2.42334   	0.120000	1.84607   	0.120000	1.88936   	0.120000	1.88936   	0.120000	1.82904   	0.120000	0.0170286 	
0.140000	2.46434   	0.140000	1.88927   	0.140000	1.9672    	0.140000	1.9672    	0.140000	1.87418   	0.140000	0.0150933 	
0.160000	2.50132   	0.160000	1.92045   	0.160000	2.02095   	0.160000	2.02095   	0.160000	1.90686   	0.160000	0.0135837 	
0.180000	2.54083   	0.180000	1.94541   	0.180000	2.05888   	0.180000	2.05888   	0.180000	1.93304   	0.180000	0.01237   	
0.200000	2.60319   	0.200000	1.97983   	0.200000	2.08647   	0.200000	2.08647   	0.200000	1.96846   	0.200000	0.0113709 	
0.250000	2.67279   	0.250000	2.04987   	0.250000	2.13035   	0.250000	2.13035   	0.250000	2.04037   	0.250000	0.00949996	
0.300000	2.73475   	0.300000	2.0989    	0.300000	2.15653   	0.300000	2.15653   	0.300000	2.09071   	0.300000	0.00819118	
0.350000	2.8017    	0.350000	2.14541   	0.350000	2.174     	0.350000	2.174     	0.350000	2.13819   	0.350000	0.00721997	
0.400000	2.85806   	0.400000	2.18331   	0.400000	2.20046   	0.400000	2.20046   	0.400000	2.17684   	0.400000	0.00646828	
0.450000	2.89723   	0.450000	2.2084    	0.450000	2.23604   	0.450000	2.23604   	0.450000	2.20253   	0.450000	0.00586782	
