*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	4.13429   	0.001000	0.817355  	0.001000	0.795568  	0.001000	0.795568  	0.001000	0.247755  	0.001000	0.5696
0.002000	4.18166   	0.002000	0.915467  	0.002000	0.891861  	0.002000	0.891861  	0.002000	0.343168  	0.002000	0.5723
0.005000	4.3393    	0.005000	1.03167   	0.005000	1.00904   	0.005000	1.00904   	0.005000	0.527883  	0.005000	0.503782
0.008000	4.56776   	0.008000	1.10055   	0.008000	1.08128   	0.008000	1.08128   	0.008000	0.658377  	0.008000	0.442178
0.010000	4.72716   	0.010000	1.14046   	0.010000	1.12383   	0.010000	1.12383   	0.010000	0.731176  	0.010000	0.409288
0.015000	5.3471    	0.015000	1.2319    	0.015000	1.22235   	0.015000	1.22235   	0.015000	0.884678  	0.015000	0.347219
0.020000	5.94108   	0.020000	1.35484   	0.020000	1.35669   	0.020000	1.35669   	0.020000	1.05123   	0.020000	0.303609
0.025000	6.64765   	0.025000	1.50306   	0.025000	1.523     	0.025000	1.523     	0.025000	1.23196   	0.025000	0.271091
0.030000	7.29674   	0.030000	1.65451   	0.030000	1.66259   	0.030000	1.66259   	0.030000	1.40874   	0.030000	0.245764
0.035000	7.86927   	0.035000	1.80681   	0.035000	1.80347   	0.035000	1.80347   	0.035000	1.58143   	0.035000	0.225388
0.040000	8.36466   	0.040000	1.95834   	0.040000	1.94419   	0.040000	1.94419   	0.040000	1.74976   	0.040000	0.20858
0.045000	8.77337   	0.045000	2.10792   	0.045000	2.08373   	0.045000	2.08373   	0.045000	1.91348   	0.045000	0.194437
0.050000	9.09447   	0.050000	2.25471   	0.050000	2.22135   	0.050000	2.22135   	0.050000	2.07236   	0.050000	0.182345
0.055000	9.61454   	0.055000	2.39808   	0.055000	2.35652   	0.055000	2.35652   	0.055000	2.22622   	0.055000	0.171867
0.060000	10.0831   	0.060000	2.5376    	0.060000	2.48884   	0.060000	2.48884   	0.060000	2.37492   	0.060000	0.162686
0.070000	10.8709   	0.070000	2.80393   	0.070000	2.7438    	0.070000	2.7438    	0.070000	2.65661   	0.070000	0.147321
0.080000	11.7086   	0.080000	3.05233   	0.080000	2.9848    	0.080000	2.9848    	0.080000	2.9174    	0.080000	0.13493
0.090000	12.4182   	0.090000	3.28257   	0.090000	3.21123   	0.090000	3.21123   	0.090000	3.15787   	0.090000	0.124694
0.100000	13.0261   	0.100000	3.49512   	0.100000	3.42308   	0.100000	3.42308   	0.100000	3.37904   	0.100000	0.116074
0.120000	13.702    	0.120000	3.87101   	0.120000	3.80475   	0.120000	3.80475   	0.120000	3.76869   	0.120000	0.102315
0.140000	14.2303   	0.140000	4.19111   	0.140000	4.13417   	0.140000	4.13417   	0.140000	4.10019   	0.140000	0.0909118
0.160000	14.714    	0.160000	4.4746    	0.160000	4.41986   	0.160000	4.41986   	0.160000	4.39195   	0.160000	0.0826434
0.180000	15.1758   	0.180000	4.71783   	0.180000	4.66757   	0.180000	4.66757   	0.180000	4.64194   	0.180000	0.0758879
0.200000	15.637    	0.200000	4.92866   	0.200000	4.88348   	0.200000	4.88348   	0.200000	4.85841   	0.200000	0.0702532
0.250000	16.2823   	0.250000	5.35243   	0.250000	5.31727   	0.250000	5.31727   	0.250000	5.29292   	0.250000	0.0595133
0.300000	17.1195   	0.300000	5.74469   	0.300000	5.64556   	0.300000	5.64556   	0.300000	5.69284   	0.300000	0.0518486
0.350000	17.9006   	0.350000	6.08487   	0.350000	5.90575   	0.350000	5.90575   	0.350000	6.03879   	0.350000	0.0460754
0.400000	18.5505   	0.400000	6.35978   	0.400000	6.17424   	0.400000	6.17424   	0.400000	6.31823   	0.400000	0.0415542
0.450000	19.084    	0.450000	6.58639   	0.450000	6.62103   	0.450000	6.62103   	0.450000	6.54848   	0.450000	0.0379079
0.500000	19.6541   	0.500000	6.81722   	0.500000	6.93557   	0.500000	6.93557   	0.500000	6.78232   	0.500000	0.0348987
0.600000	20.0262   	0.600000	7.27661   	0.600000	7.25777   	0.600000	7.25777   	0.600000	7.24641   	0.600000	0.0302094
0.700000	19.9778   	0.700000	7.61378   	0.700000	7.48942   	0.700000	7.48942   	0.700000	7.58707   	0.700000	0.0267106
0.800000	20.4387   	0.800000	7.86257   	0.800000	7.65766   	0.800000	7.65766   	0.800000	7.83858   	0.800000	0.0239909
0.900000	20.6206   	0.900000	8.0063    	0.900000	7.77935   	0.900000	7.77935   	0.900000	7.98449   	0.900000	0.0218107
1.000000	20.6739   	1.000000	8.09802   	1.000000	7.8658    	1.000000	7.8658    	1.000000	8.078     	1.000000	0.0200204
1.250000	20.4618   	1.250000	8.20633   	1.250000	7.97516   	1.250000	7.97516   	1.250000	8.18965   	1.250000	0.0166785
1.500000	19.9121   	1.500000	8.16283   	1.500000	7.95084   	1.500000	7.95084   	1.500000	8.14848   	1.500000	0.0143496
1.750000	19.2142   	1.750000	8.0355    	1.750000	7.85237   	1.750000	7.85237   	1.750000	8.02287   	1.750000	0.0126264
2.000000	18.4578   	2.000000	7.86402   	2.000000	7.74263   	2.000000	7.74263   	2.000000	7.85272   	2.000000	0.0112957
2.250000	17.7825   	2.250000	7.69656   	2.250000	7.62636   	2.250000	7.62636   	2.250000	7.68633   	2.250000	0.0102348
2.500000	19.6458   	2.500000	7.51218   	2.500000	7.50679   	2.500000	7.50679   	2.500000	7.50282   	2.500000	0.00936765
3.000000	18.3377   	3.000000	7.18086   	3.000000	7.26576   	3.000000	7.26576   	3.000000	7.17283   	3.000000	0.0080318
3.500000	17.1682   	3.500000	6.93557   	3.500000	7.02983   	3.500000	7.02983   	3.500000	6.92852   	3.500000	0.00704777
4.000000	16.1313   	4.000000	6.71551   	4.000000	6.80359   	4.000000	6.80359   	4.000000	6.70922   	4.000000	0.00629062
4.500000	15.2118   	4.500000	6.50955   	4.500000	6.58884   	4.500000	6.58884   	4.500000	6.50386   	4.500000	0.00568875
5.000000	14.3935   	5.000000	6.31522   	5.000000	6.38606   	5.000000	6.38606   	5.000000	6.31003   	5.000000	0.00519803
5.500000	13.6621   	5.500000	6.13118   	5.500000	6.19501   	5.500000	6.19501   	5.500000	6.12639   	5.500000	0.00478976
6.000000	13.0051   	6.000000	5.95717   	6.000000	6.01516   	6.000000	6.01516   	6.000000	5.95273   	6.000000	0.00444441
6.500000	12.4119   	6.500000	5.79264   	6.500000	5.84582   	6.500000	5.84582   	6.500000	5.78849   	6.500000	0.00414821
7.000000	11.8739   	7.000000	5.63702   	7.000000	5.68626   	7.000000	5.68626   	7.000000	5.63313   	7.000000	0.00389117
7.500000	11.3838   	7.500000	5.48982   	7.500000	5.53577   	7.500000	5.53577   	7.500000	5.48615   	7.500000	0.00366588
8.000000	10.9354   	8.000000	5.35052   	8.000000	5.39366   	8.000000	5.39366   	8.000000	5.34705   	8.000000	0.00346669
8.500000	10.5236   	8.500000	5.2186    	8.500000	5.2593    	8.500000	5.2593    	8.500000	5.21531   	8.500000	0.00328922
9.000000	10.1442   	9.000000	5.09354   	9.000000	5.13209   	9.000000	5.13209   	9.000000	5.09041   	9.000000	0.00313004
9.500000	9.79327   	9.500000	4.97487   	9.500000	5.01149   	9.500000	5.01149   	9.500000	4.97188   	9.500000	0.00298642
10.000000	9.46783   	10.000000	4.90741   	10.000000	4.89701   	10.000000	4.89701   	10.000000	4.90456   	10.000000	0.00285612
11.000000	8.88285   	11.000000	4.7351    	11.000000	4.69989   	11.000000	4.73972   	11.000000	4.73248   	11.000000	0.00262861
12.000000	8.37166   	12.000000	4.56647   	12.000000	4.51853   	12.000000	4.58846   	12.000000	4.56404   	12.000000	0.00243646
13.000000	7.92092   	13.000000	4.40436   	13.000000	4.35129   	13.000000	4.44393   	13.000000	4.40208   	13.000000	0.00227187
14.000000	7.52037   	14.000000	4.25008   	14.000000	4.19657   	14.000000	4.30637   	14.000000	4.24795   	14.000000	0.00212923
