*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	5.05062   	0.001000	1.85894   	0.001000	1.83694   	0.001000	1.83694   	0.001000	0.342507  	0.001000	1.51644
0.002000	5.10849   	0.002000	1.92546   	0.002000	1.90429   	0.002000	1.90429   	0.002000	0.474409  	0.002000	1.45105
0.005000	5.30107   	0.005000	1.91619   	0.005000	1.90303   	0.005000	1.90303   	0.005000	0.729768  	0.005000	1.18642
0.008000	5.58016   	0.008000	1.93687   	0.008000	1.92796   	0.008000	1.92796   	0.008000	0.934081  	0.008000	1.00279
0.010000	5.77489   	0.010000	1.97867   	0.010000	1.97053   	0.010000	1.97053   	0.010000	1.06611   	0.010000	0.912566
0.015000	6.53224   	0.015000	2.16795   	0.015000	2.12858   	0.015000	2.12858   	0.015000	1.41565   	0.015000	0.752299
0.020000	7.25786   	0.020000	2.41142   	0.020000	2.33531   	0.020000	2.33531   	0.020000	1.76557   	0.020000	0.645845
0.025000	8.12104   	0.025000	2.65924   	0.025000	2.57437   	0.025000	2.57437   	0.025000	2.09005   	0.025000	0.569194
0.030000	8.91399   	0.030000	2.91357   	0.030000	2.82082   	0.030000	2.82082   	0.030000	2.40263   	0.030000	0.510934
0.035000	9.61342   	0.035000	3.1658    	0.035000	3.06945   	0.035000	3.06945   	0.035000	2.70088   	0.035000	0.46491
0.040000	10.2186   	0.040000	3.4107    	0.040000	3.31456   	0.040000	3.31456   	0.040000	2.98321   	0.040000	0.427485
0.045000	10.7179   	0.045000	3.64538   	0.045000	3.55257   	0.045000	3.55257   	0.045000	3.24902   	0.045000	0.396359
0.050000	11.1102   	0.050000	3.86867   	0.050000	3.78159   	0.050000	3.78159   	0.050000	3.49867   	0.050000	0.37
0.055000	11.7455   	0.055000	4.08666   	0.055000	4.00083   	0.055000	4.00083   	0.055000	3.73932   	0.055000	0.347348
0.060000	12.3179   	0.060000	4.29451   	0.060000	4.21029   	0.060000	4.21029   	0.060000	3.96687   	0.060000	0.327639
0.070000	13.2803   	0.070000	4.68314   	0.070000	4.60181   	0.070000	4.60181   	0.070000	4.3882    	0.070000	0.29494
0.080000	14.3037   	0.080000	5.05757   	0.080000	4.96167   	0.080000	4.96167   	0.080000	4.78874   	0.080000	0.26883
0.090000	15.1706   	0.090000	5.41072   	0.090000	5.29586   	0.090000	5.29586   	0.090000	5.16329   	0.090000	0.247432
0.100000	15.9132   	0.100000	5.74489   	0.100000	5.60723   	0.100000	5.60723   	0.100000	5.51747   	0.100000	0.227423
0.120000	16.739    	0.120000	6.32582   	0.120000	6.186     	0.120000	6.186     	0.120000	6.12643   	0.120000	0.199388
0.140000	17.3843   	0.140000	6.8644    	0.140000	6.71367   	0.140000	6.71367   	0.140000	6.68635   	0.140000	0.178056
0.160000	17.9752   	0.160000	7.36437   	0.160000	7.19938   	0.160000	7.19938   	0.160000	7.20315   	0.160000	0.161219
0.180000	18.5393   	0.180000	7.82146   	0.180000	7.64828   	0.180000	7.64828   	0.180000	7.6739    	0.180000	0.147556
0.200000	19.1027   	0.200000	8.23956   	0.200000	8.06391   	0.200000	8.06391   	0.200000	8.10334   	0.200000	0.136222
0.250000	19.8912   	0.250000	9.13651   	0.250000	8.97552   	0.250000	8.97552   	0.250000	9.02173   	0.250000	0.114775
0.300000	20.9139   	0.300000	9.98794   	0.300000	9.73385   	0.300000	9.73385   	0.300000	9.88834   	0.300000	0.0995934
0.350000	21.8681   	0.350000	10.6974   	0.350000	10.3688   	0.350000	10.3688   	0.350000	10.6091   	0.350000	0.0882264
0.400000	22.6621   	0.400000	11.2655   	0.400000	11.0635   	0.400000	11.0635   	0.400000	11.1861   	0.400000	0.0793664
0.450000	23.3138   	0.450000	11.721    	0.450000	11.9643   	0.450000	11.9643   	0.450000	11.6487   	0.450000	0.0722479
0.500000	24.0102   	0.500000	12.1776   	0.500000	12.5813   	0.500000	12.5813   	0.500000	12.1112   	0.500000	0.0663918
0.600000	24.4648   	0.600000	13.036    	0.600000	13.3257   	0.600000	13.3257   	0.600000	12.9787   	0.600000	0.0573002
0.700000	24.4057   	0.700000	13.6302   	0.700000	13.8509   	0.700000	13.8509   	0.700000	13.5796   	0.700000	0.0505448
0.800000	24.9687   	0.800000	14.156    	0.800000	14.2217   	0.800000	14.2217   	0.800000	14.1107   	0.800000	0.0453108
0.900000	25.1909   	0.900000	14.4794   	0.900000	14.4806   	0.900000	14.4806   	0.900000	14.4383   	0.900000	0.0411263
1.000000	25.2561   	1.000000	14.7063   	1.000000	14.657    	1.000000	14.657    	1.000000	14.6686   	1.000000	0.037698
1.250000	24.997    	1.250000	14.9386   	1.250000	14.8568   	1.250000	14.8568   	1.250000	14.9073   	1.250000	0.0313179
1.500000	24.3254   	1.500000	14.8783   	1.500000	14.7811   	1.500000	14.7811   	1.500000	14.8514   	1.500000	0.0268877
1.750000	23.4728   	1.750000	14.6668   	1.750000	14.5653   	1.750000	14.5653   	1.750000	14.6432   	1.750000	0.0236187
2.000000	22.5488   	2.000000	14.3704   	2.000000	14.3244   	2.000000	14.3244   	2.000000	14.3493   	2.000000	0.0211001
2.250000	21.7238   	2.250000	14.0786   	2.250000	14.0716   	2.250000	14.0716   	2.250000	14.0595   	2.250000	0.0190956
2.500000	24.0002   	2.500000	13.7526   	2.500000	13.8146   	2.500000	13.8146   	2.500000	13.7351   	2.500000	0.0174598
3.000000	22.4021   	3.000000	13.1676   	3.000000	13.3052   	3.000000	13.3052   	3.000000	13.1527   	3.000000	0.0149446
3.500000	20.9734   	3.500000	12.7357   	3.500000	12.8161   	3.500000	12.8161   	3.500000	12.7227   	3.500000	0.0130957
4.000000	19.7067   	4.000000	12.351    	4.000000	12.3542   	4.000000	12.3542   	4.000000	12.3394   	4.000000	0.0116756
4.500000	18.5833   	4.500000	11.994    	4.500000	11.9213   	4.500000	11.9213   	4.500000	11.9835   	4.500000	0.0105483
5.000000	17.5837   	5.000000	11.6596   	5.000000	11.5166   	5.000000	11.5166   	5.000000	11.65     	5.000000	0.00963031
5.500000	16.6902   	5.500000	11.262    	5.500000	11.1386   	5.500000	11.1386   	5.500000	11.2531   	5.500000	0.00886739
6.000000	15.8875   	6.000000	10.8883   	6.000000	10.7853   	6.000000	10.7853   	6.000000	10.8801   	6.000000	0.00822263
6.500000	15.1629   	6.500000	10.5368   	6.500000	10.4548   	6.500000	10.4548   	6.500000	10.5292   	6.500000	0.0076701
7.000000	14.5057   	7.000000	10.206    	7.000000	10.1451   	7.000000	10.1451   	7.000000	10.1988   	7.000000	0.007191
7.500000	13.9069   	7.500000	9.90247   	7.500000	9.85445   	7.500000	9.85445   	7.500000	9.8957    	7.500000	0.00677135
8.000000	13.3591   	8.000000	9.6163    	8.000000	9.58123   	8.000000	9.58123   	8.000000	9.6099    	8.000000	0.00640054
8.500000	12.8561   	8.500000	9.34615   	8.500000	9.32393   	8.500000	9.32393   	8.500000	9.34008   	8.500000	0.00607036
9.000000	12.3925   	9.000000	9.09081   	9.000000	9.08123   	9.000000	9.08123   	9.000000	9.08504   	9.000000	0.00577437
9.500000	11.9639   	9.500000	8.84915   	9.500000	8.85191   	9.500000	8.85191   	9.500000	8.84364   	9.500000	0.00550742
10.000000	11.5663   	10.000000	8.67157   	10.000000	8.6349    	10.000000	8.6349    	10.000000	8.66631   	10.000000	0.00526537
11.000000	10.8517   	11.000000	8.27494   	11.000000	8.22112   	11.000000	8.27938   	11.000000	8.27009   	11.000000	0.00484298
12.000000	10.2272   	12.000000	7.90874   	12.000000	7.84436   	12.000000	7.94662   	12.000000	7.90425   	12.000000	0.00448649
13.000000	9.67652   	13.000000	7.57122   	13.000000	7.50222   	13.000000	7.63773   	13.000000	7.56704   	13.000000	0.00418137
14.000000	9.18719   	14.000000	7.26011   	14.000000	7.18935   	14.000000	7.34994   	14.000000	7.2562    	14.000000	0.00391708
15.000000	8.7493    	15.000000	6.97306   	15.000000	6.90188   	15.000000	7.08146   	15.000000	6.96938   	15.000000	0.00368582
16.000000	8.35502   	16.000000	6.70778   	16.000000	6.63677   	16.000000	6.83057   	16.000000	6.7043    	16.000000	0.00348165
17.000000	7.99803   	17.000000	6.46215   	17.000000	6.39147   	17.000000	6.59571   	17.000000	6.45885   	17.000000	0.00330001
18.000000	7.67321   	18.000000	6.23425   	18.000000	6.16383   	18.000000	6.37546   	18.000000	6.23111   	18.000000	0.0031373
19.000000	7.37631   	19.000000	6.02236   	19.000000	5.95195   	19.000000	6.16854   	19.000000	6.01937   	19.000000	0.00299066
20.000000	7.10381   	20.000000	5.82495   	20.000000	5.75416   	20.000000	5.97381   	20.000000	5.8221    	20.000000	0.00285779
21.000000	6.85279   	21.000000	5.64066   	21.000000	5.56905   	21.000000	5.79024   	21.000000	5.63792   	21.000000	0.00273679
22.000000	6.62075   	22.000000	5.46826   	22.000000	5.39538   	22.000000	5.61691   	22.000000	5.46563   	22.000000	0.00262613
23.000000	6.40558   	23.000000	5.30668   	23.000000	5.23204   	23.000000	5.45299   	23.000000	5.30416   	23.000000	0.0025245
24.000000	6.20547   	24.000000	5.15497   	24.000000	5.078     	24.000000	5.29775   	24.000000	5.15254   	24.000000	0.00243083
25.000000	6.01886   	25.000000	5.01227   	25.000000	4.93255   	25.000000	5.15052   	25.000000	5.00993   	25.000000	0.00234421
27.000000	5.68096   	27.000000	4.75093   	27.000000	4.66544   	27.000000	4.87774   	27.000000	4.74874   	27.000000	0.00218907
29.000000	5.38303   	29.000000	4.51749   	29.000000	4.42528   	29.000000	4.63053   	29.000000	4.51544   	29.000000	0.00205411
31.000000	5.11826   	31.000000	4.30776   	31.000000	4.21796   	31.000000	4.40657   	31.000000	4.30583   	31.000000	0.00193556
33.000000	4.88131   	33.000000	4.11835   	33.000000	4.04012   	33.000000	4.20559   	33.000000	4.11652   	33.000000	0.00183056
35.000000	4.66795   	35.000000	3.94647   	35.000000	3.87862   	35.000000	4.02421   	35.000000	3.94473   	35.000000	0.00173687
38.000000	4.38484   	38.000000	3.71657   	38.000000	3.66236   	38.000000	3.78297   	38.000000	3.71496   	38.000000	0.00161381
41.000000	4.13826   	41.000000	3.51477   	41.000000	3.47165   	41.000000	3.57237   	41.000000	3.51326   	41.000000	0.00150776
44.000000	3.92146   	44.000000	3.33623   	44.000000	3.30175   	44.000000	3.38688   	44.000000	3.33482   	44.000000	0.00141539
47.000000	3.72927   	47.000000	3.17717   	47.000000	3.15027   	47.000000	3.22222   	47.000000	3.17584   	47.000000	0.00133416
50.000000	3.55764   	50.000000	3.03457   	50.000000	3.0143    	50.000000	3.07502   	50.000000	3.03331   	50.000000	0.00126214
55.000000	3.30891   	55.000000	2.82712   	55.000000	2.81556   	55.000000	2.86153   	55.000000	2.82596   	55.000000	0.00115866
60.000000	3.09755   	60.000000	2.6502    	60.000000	2.64517   	60.000000	2.67999   	60.000000	2.64913   	60.000000	0.00107152
65.000000	2.91557   	65.000000	2.49755   	65.000000	2.49759   	65.000000	2.52367   	65.000000	2.49655   	65.000000	0.000997098
70.000000	2.75715   	70.000000	2.36449   	70.000000	2.36858   	70.000000	2.38762   	70.000000	2.36355   	70.000000	0.000932753
75.000000	2.61791   	75.000000	2.24747   	75.000000	2.25446   	75.000000	2.2681    	75.000000	2.24659   	75.000000	0.000876544
80.000000	2.4945    	80.000000	2.14376   	80.000000	2.15316   	80.000000	2.16225   	80.000000	2.14293   	80.000000	0.000827
85.000000	2.38431   	85.000000	2.0512    	85.000000	2.06232   	85.000000	2.06782   	85.000000	2.05041   	85.000000	0.000782985
90.000000	2.28529   	90.000000	1.96808   	90.000000	1.98067   	90.000000	1.98305   	90.000000	1.96734   	90.000000	0.000743611
95.000000	2.19578   	95.000000	1.89303   	95.000000	1.90685   	95.000000	1.90651   	95.000000	1.89232   	95.000000	0.00070817
100.000000	2.11446   	100.000000	1.82492   	100.000000	1.83952   	100.000000	1.83706   	100.000000	1.82424   	100.000000	0.000676093
105.000000	2.04022   	105.000000	1.76283   	105.000000	1.7781    	105.000000	1.77374   	105.000000	1.76218   	105.000000	0.000646917
110.000000	1.97216   	110.000000	1.70599   	110.000000	1.72161   	110.000000	1.71578   	110.000000	1.70537   	110.000000	0.000620258
115.000000	1.90951   	115.000000	1.65377   	115.000000	1.66961   	115.000000	1.6625    	115.000000	1.65317   	115.000000	0.000595801
120.000000	1.85165   	120.000000	1.60561   	120.000000	1.62164   	120.000000	1.61338   	120.000000	1.60504   	120.000000	0.00057328
125.000000	1.79803   	125.000000	1.56107   	125.000000	1.57724   	125.000000	1.56792   	125.000000	1.56051   	125.000000	0.00055247
130.000000	1.7482    	130.000000	1.51974   	130.000000	1.53599   	130.000000	1.52575   	130.000000	1.51921   	130.000000	0.00053318
135.000000	1.70175   	135.000000	1.4813    	135.000000	1.49743   	135.000000	1.4865    	135.000000	1.48078   	135.000000	0.000515249
140.000000	1.65834   	140.000000	1.44544   	140.000000	1.46152   	140.000000	1.44989   	140.000000	1.44494   	140.000000	0.000498534
145.000000	1.61769   	145.000000	1.41192   	145.000000	1.42801   	145.000000	1.41566   	145.000000	1.41144   	145.000000	0.000482915
150.000000	1.57952   	150.000000	1.38051   	150.000000	1.39644   	150.000000	1.38358   	150.000000	1.38005   	150.000000	0.000468286
155.000000	1.52558   	155.000000	1.35103   	155.000000	1.36665   	155.000000	1.35345   	155.000000	1.35057   	155.000000	0.000454554
160.000000	1.49406   	160.000000	1.32329   	160.000000	1.33864   	160.000000	1.32511   	160.000000	1.32285   	160.000000	0.000441638
165.000000	1.46431   	165.000000	1.29715   	165.000000	1.31234   	165.000000	1.29839   	165.000000	1.29672   	165.000000	0.000429466
170.000000	1.4362    	170.000000	1.27247   	170.000000	1.28741   	170.000000	1.27317   	170.000000	1.27205   	170.000000	0.000417976
175.000000	1.40958   	175.000000	1.24914   	175.000000	1.26378   	175.000000	1.24932   	175.000000	1.24873   	175.000000	0.000407109
180.000000	1.38435   	180.000000	1.22704   	180.000000	1.24149   	180.000000	1.22673   	180.000000	1.22664   	180.000000	0.000396817
185.000000	1.36039   	185.000000	1.20608   	185.000000	1.22035   	185.000000	1.2053    	185.000000	1.20569   	185.000000	0.000387054
190.000000	1.33761   	190.000000	1.18618   	190.000000	1.20017   	190.000000	1.18495   	190.000000	1.1858    	190.000000	0.00037778
195.000000	1.31592   	195.000000	1.16726   	195.000000	1.18097   	195.000000	1.1656    	195.000000	1.16689   	195.000000	0.000368959
200.000000	1.29525   	200.000000	1.14924   	200.000000	1.16269   	200.000000	1.14717   	200.000000	1.14888   	200.000000	0.000360557
210.000000	1.25668   	210.000000	1.11568   	210.000000	1.12863   	210.000000	1.11285   	210.000000	1.11533   	210.000000	0.000344897
