*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.453462  	0.001000	0.580262  	0.001000	0.569801  	0.001000	0.569801  	0.001000	0.194931  	0.001000	0.385331
0.002000	0.458659  	0.002000	0.590015  	0.002000	0.579321  	0.002000	0.579321  	0.002000	0.252794  	0.002000	0.337221
0.005000	0.475949  	0.005000	0.600844  	0.005000	0.592391  	0.005000	0.592391  	0.005000	0.356446  	0.005000	0.244397
0.008000	0.501007  	0.008000	0.620548  	0.008000	0.615246  	0.008000	0.615246  	0.008000	0.425147  	0.008000	0.195401
0.010000	0.51849   	0.010000	0.635858  	0.010000	0.632759  	0.010000	0.632759  	0.010000	0.462254  	0.010000	0.173604
0.015000	0.586488  	0.015000	0.68936   	0.015000	0.681923  	0.015000	0.681923  	0.015000	0.55176   	0.015000	0.1376
0.020000	0.651637  	0.020000	0.756342  	0.020000	0.747959  	0.020000	0.747959  	0.020000	0.641076  	0.020000	0.115265
0.025000	0.729136  	0.025000	0.839294  	0.025000	0.819552  	0.025000	0.819552  	0.025000	0.739443  	0.025000	0.0998512
0.030000	0.80033   	0.030000	0.923099  	0.030000	0.898739  	0.030000	0.898739  	0.030000	0.834622  	0.030000	0.088477
0.035000	0.863127  	0.035000	1.00613   	0.035000	0.978264  	0.035000	0.978264  	0.035000	0.926446  	0.035000	0.0796883
0.040000	0.917463  	0.040000	1.08731   	0.040000	1.05717   	0.040000	1.05717   	0.040000	1.01465   	0.040000	0.0726646
0.045000	0.962292  	0.045000	1.16547   	0.045000	1.13442   	0.045000	1.13442   	0.045000	1.09895   	0.045000	0.0665193
0.050000	0.997512  	0.050000	1.24082   	0.050000	1.21037   	0.050000	1.21037   	0.050000	1.17909   	0.050000	0.0617347
0.055000	1.05455   	0.055000	1.32247   	0.055000	1.28427   	0.055000	1.28427   	0.055000	1.26481   	0.055000	0.0576602
0.060000	1.10595   	0.060000	1.40109   	0.060000	1.35568   	0.060000	1.35568   	0.060000	1.34714   	0.060000	0.0539522
0.070000	1.19235   	0.070000	1.54909   	0.070000	1.49143   	0.070000	1.49143   	0.070000	1.50089   	0.070000	0.0482016
0.080000	1.28424   	0.080000	1.6814    	0.080000	1.6166    	0.080000	1.6166    	0.080000	1.63774   	0.080000	0.0436596
0.090000	1.36207   	0.090000	1.79898   	0.090000	1.73099   	0.090000	1.73099   	0.090000	1.75901   	0.090000	0.0399715
0.100000	1.42874   	0.100000	1.90217   	0.100000	1.83477   	0.100000	1.83477   	0.100000	1.86526   	0.100000	0.0369106
0.120000	1.50289   	0.120000	2.07352   	0.120000	2.01238   	0.120000	2.01238   	0.120000	2.04141   	0.120000	0.0321089
0.140000	1.56082   	0.140000	2.20414   	0.140000	2.15443   	0.140000	2.15443   	0.140000	2.17564   	0.140000	0.0285004
0.160000	1.61388   	0.160000	2.30612   	0.160000	2.26678   	0.160000	2.26678   	0.160000	2.28044   	0.160000	0.0256794
0.180000	1.66453   	0.180000	2.38383   	0.180000	2.35506   	0.180000	2.35506   	0.180000	2.36042   	0.180000	0.0234076
0.200000	1.71511   	0.200000	2.44451   	0.200000	2.42425   	0.200000	2.42425   	0.200000	2.42297   	0.200000	0.021535
0.250000	1.7859    	0.250000	2.53651   	0.250000	2.53914   	0.250000	2.53914   	0.250000	2.51849   	0.250000	0.0180211
0.300000	1.87772   	0.300000	2.63021   	0.300000	2.60402   	0.300000	2.60402   	0.300000	2.61465   	0.300000	0.0155577
0.350000	1.9634    	0.350000	2.71247   	0.350000	2.64325   	0.350000	2.64325   	0.350000	2.69874   	0.350000	0.0137265
0.400000	2.03468   	0.400000	2.77987   	0.400000	2.69934   	0.400000	2.69934   	0.400000	2.76756   	0.400000	0.0123073
0.450000	2.09319   	0.450000	2.83795   	0.450000	2.82757   	0.450000	2.82757   	0.450000	2.82678   	0.450000	0.0111724
0.500000	2.15572   	0.500000	2.90893   	0.500000	2.89951   	0.500000	2.89951   	0.500000	2.89869   	0.500000	0.0102424
0.600000	2.19654   	0.600000	2.9789    	0.600000	2.94053   	0.600000	2.94053   	0.600000	2.9701    	0.600000	0.00880539
0.700000	2.19123   	0.700000	3.01252   	0.700000	2.96102   	0.700000	2.96102   	0.700000	3.00477   	0.700000	0.00774316
0.800000	2.24178   	0.800000	3.02365   	0.800000	2.96797   	0.800000	2.96797   	0.800000	3.01673   	0.800000	0.00692359
0.900000	2.26173   	0.900000	3.00139   	0.900000	2.96525   	0.900000	2.96525   	0.900000	2.99512   	0.900000	0.00627059
1.000000	2.26759   	1.000000	2.96585   	1.000000	2.95533   	1.000000	2.95533   	1.000000	2.96011   	1.000000	0.00573716
1.250000	2.24432   	1.250000	2.93554   	1.250000	2.90953   	1.250000	2.90953   	1.250000	2.9308    	1.250000	0.00474836
1.500000	2.18402   	1.500000	2.86761   	1.500000	2.83334   	1.500000	2.83334   	1.500000	2.86355   	1.500000	0.00406497
1.750000	2.10747   	1.750000	2.78246   	1.750000	2.74388   	1.750000	2.74388   	1.750000	2.7789    	1.750000	0.00356254
2.000000	2.02452   	2.000000	2.6905    	2.000000	2.65946   	2.000000	2.65946   	2.000000	2.68733   	2.000000	0.00317655
2.250000	1.95044   	2.250000	2.58759   	2.250000	2.57964   	2.250000	2.57964   	2.250000	2.58472   	2.250000	0.00287012
2.500000	2.15482   	2.500000	2.48521   	2.500000	2.50413   	2.500000	2.50413   	2.500000	2.48259   	2.500000	0.00262055
3.000000	2.01134   	3.000000	2.30794   	3.000000	2.36505   	3.000000	2.36505   	3.000000	2.30571   	3.000000	0.0022378
3.500000	1.88307   	3.500000	2.1728    	3.500000	2.24027   	3.500000	2.24027   	3.500000	2.17084   	3.500000	0.00195725
4.000000	1.76934   	4.000000	2.05615   	4.000000	2.12797   	4.000000	2.12797   	4.000000	2.05441   	4.000000	0.00174226
4.500000	1.66848   	4.500000	1.95206   	4.500000	2.02651   	4.500000	2.02651   	4.500000	1.95049   	4.500000	0.00157193
5.000000	1.57873   	5.000000	1.85804   	5.000000	1.93446   	5.000000	1.93446   	5.000000	1.85661   	5.000000	0.00143346
5.500000	1.49851   	5.500000	1.77449   	5.500000	1.85059   	5.500000	1.85059   	5.500000	1.77317   	5.500000	0.00131855
6.000000	1.42644   	6.000000	1.69812   	6.000000	1.77389   	6.000000	1.77389   	6.000000	1.6969    	6.000000	0.00122156
6.500000	1.36138   	6.500000	1.62804   	6.500000	1.70346   	6.500000	1.70346   	6.500000	1.6269    	6.500000	0.00113853
7.000000	1.30237   	7.000000	1.5635    	7.000000	1.63857   	7.000000	1.63857   	7.000000	1.56243   	7.000000	0.00106662
7.500000	1.24861   	7.500000	1.50389   	7.500000	1.57858   	7.500000	1.57858   	7.500000	1.50289   	7.500000	0.00100368
8.000000	1.19943   	8.000000	1.44868   	8.000000	1.52296   	8.000000	1.52296   	8.000000	1.44773   	8.000000	0.000948122
8.500000	1.15427   	8.500000	1.39741   	8.500000	1.47124   	8.500000	1.47124   	8.500000	1.39651   	8.500000	0.000898688
9.000000	1.11264   	9.000000	1.34968   	9.000000	1.42301   	9.000000	1.42301   	9.000000	1.34883   	9.000000	0.000854404
9.500000	1.07416   	9.500000	1.30513   	9.500000	1.37793   	9.500000	1.37793   	9.500000	1.30432   	9.500000	0.000814493
10.000000	1.03846   	10.000000	1.30805   	10.000000	1.33571   	10.000000	1.33571   	10.000000	1.30728   	10.000000	0.000778326
11.000000	0.974301  	11.000000	1.23717   	11.000000	1.25438   	11.000000	1.26056   	11.000000	1.23646   	11.000000	0.000715269
12.000000	0.918231  	12.000000	1.17371   	12.000000	1.1828    	12.000000	1.19365   	12.000000	1.17304   	12.000000	0.000662106
13.000000	0.868793  	13.000000	1.1166    	13.000000	1.11935   	13.000000	1.13372   	13.000000	1.11598   	13.000000	0.000616646
14.000000	0.824859  	14.000000	1.06497   	14.000000	1.06273   	14.000000	1.07976   	14.000000	1.06439   	14.000000	0.000577304
15.000000	0.785543  	15.000000	1.01808   	15.000000	1.01189   	15.000000	1.03094   	15.000000	1.01754   	15.000000	0.000542904
16.000000	0.750143  	16.000000	0.975322  	16.000000	0.966015  	16.000000	0.986572  	16.000000	0.974809  	16.000000	0.000512557
17.000000	0.718092  	17.000000	0.936172  	17.000000	0.924427  	17.000000	0.946091  	17.000000	0.935686  	17.000000	0.000485576
18.000000	0.688928  	18.000000	0.900198  	18.000000	0.886576  	18.000000	0.909024  	18.000000	0.899737  	18.000000	0.000461421
19.000000	0.662271  	19.000000	0.867033  	19.000000	0.851997  	19.000000	0.874971  	19.000000	0.866593  	19.000000	0.000439664
20.000000	0.637806  	20.000000	0.83636   	20.000000	0.820295  	20.000000	0.843593  	20.000000	0.83594   	20.000000	0.00041996
21.000000	0.615268  	21.000000	0.807912  	21.000000	0.791139  	21.000000	0.814601  	21.000000	0.80751   	21.000000	0.000402027
22.000000	0.594435  	22.000000	0.781454  	22.000000	0.764249  	22.000000	0.787746  	22.000000	0.781069  	22.000000	0.000385632
23.000000	0.575116  	23.000000	0.756787  	23.000000	0.739377  	23.000000	0.762813  	23.000000	0.756416  	23.000000	0.000370582
24.000000	0.557149  	24.000000	0.733734  	24.000000	0.716305  	24.000000	0.739614  	24.000000	0.733377  	24.000000	0.000356717
25.000000	0.540395  	25.000000	0.712142  	25.000000	0.694867  	25.000000	0.717986  	25.000000	0.711798  	25.000000	0.0003439
27.000000	0.510057  	27.000000	0.672822  	27.000000	0.656371  	27.000000	0.67889   	27.000000	0.672501  	27.000000	0.000320958
29.000000	0.483308  	29.000000	0.637927  	29.000000	0.622794  	29.000000	0.644566  	29.000000	0.637626  	29.000000	0.000301013
31.000000	0.459536  	31.000000	0.606753  	31.000000	0.593215  	31.000000	0.61322   	31.000000	0.606469  	31.000000	0.000283505
33.000000	0.438262  	33.000000	0.578733  	33.000000	0.566659  	33.000000	0.584211  	33.000000	0.578465  	33.000000	0.000268006
35.000000	0.419105  	35.000000	0.553413  	35.000000	0.542624  	35.000000	0.558067  	35.000000	0.553159  	35.000000	0.000254185
38.000000	0.393687  	38.000000	0.519699  	38.000000	0.510567  	38.000000	0.52336   	38.000000	0.519463  	38.000000	0.000236041
41.000000	0.371548  	41.000000	0.490242  	41.000000	0.482443  	41.000000	0.493127  	41.000000	0.490021  	41.000000	0.000220417
44.000000	0.352083  	44.000000	0.464283  	44.000000	0.457525  	44.000000	0.466555  	44.000000	0.464076  	44.000000	0.000206814
47.000000	0.334827  	47.000000	0.441235  	47.000000	0.435383  	47.000000	0.443014  	47.000000	0.44104   	47.000000	0.000194861
50.000000	0.319417  	50.000000	0.420633  	50.000000	0.41557   	50.000000	0.422012  	50.000000	0.420448  	50.000000	0.000184269
55.000000	0.297086  	55.000000	0.39076   	55.000000	0.386748  	55.000000	0.391624  	55.000000	0.390591  	55.000000	0.000169057
60.000000	0.278109  	60.000000	0.365375  	60.000000	0.362165  	60.000000	0.365858  	60.000000	0.365219  	60.000000	0.000156257
65.000000	0.261771  	65.000000	0.343537  	65.000000	0.340965  	65.000000	0.343732  	65.000000	0.343392  	65.000000	0.000145332
70.000000	0.247547  	70.000000	0.324549  	70.000000	0.322502  	70.000000	0.324521  	70.000000	0.324414  	70.000000	0.000135892
75.000000	0.235045  	75.000000	0.307887  	75.000000	0.306235  	75.000000	0.307683  	75.000000	0.30776   	75.000000	0.00012765
80.000000	0.223965  	80.000000	0.293147  	80.000000	0.291838  	80.000000	0.292801  	80.000000	0.293027  	80.000000	0.000120388
85.000000	0.214072  	85.000000	0.280014  	85.000000	0.278969  	85.000000	0.279552  	85.000000	0.2799    	85.000000	0.000113941
90.000000	0.205181  	90.000000	0.268237  	90.000000	0.267427  	90.000000	0.26768   	90.000000	0.268129  	90.000000	0.000108175
95.000000	0.197145  	95.000000	0.257617  	95.000000	0.257015  	95.000000	0.256979  	95.000000	0.257514  	95.000000	0.000102987
100.000000	0.189844  	100.000000	0.247991  	100.000000	0.247545  	100.000000	0.247284  	100.000000	0.247892  	100.000000	9.82937e-05
105.000000	0.183178  	105.000000	0.239224  	105.000000	0.238921  	105.000000	0.238459  	105.000000	0.23913   	105.000000	9.40259e-05
110.000000	0.177067  	110.000000	0.231206  	110.000000	0.23101   	110.000000	0.230391  	110.000000	0.231116  	110.000000	9.01278e-05
115.000000	0.171443  	115.000000	0.223846  	115.000000	0.22374   	115.000000	0.222986  	115.000000	0.223759  	115.000000	8.65527e-05
120.000000	0.166248  	120.000000	0.217064  	120.000000	0.217042  	120.000000	0.216165  	120.000000	0.216981  	120.000000	8.32615e-05
125.000000	0.161434  	125.000000	0.210795  	125.000000	0.21085   	125.000000	0.209863  	125.000000	0.210715  	125.000000	8.02212e-05
130.000000	0.15696   	130.000000	0.204984  	130.000000	0.205108  	130.000000	0.204021  	130.000000	0.204906  	130.000000	7.74039e-05
135.000000	0.152789  	135.000000	0.19958   	135.000000	0.199749  	135.000000	0.198591  	135.000000	0.199506  	135.000000	7.47855e-05
140.000000	0.148892  	140.000000	0.194544  	140.000000	0.194764  	140.000000	0.19353   	140.000000	0.194471  	140.000000	7.23454e-05
145.000000	0.145242  	145.000000	0.189838  	145.000000	0.190113  	145.000000	0.188803  	145.000000	0.189767  	145.000000	7.00658e-05
150.000000	0.141815  	150.000000	0.18543   	150.000000	0.185742  	150.000000	0.184377  	150.000000	0.185362  	150.000000	6.79311e-05
155.000000	0.136972  	155.000000	0.181294  	155.000000	0.181624  	155.000000	0.180224  	155.000000	0.181229  	155.000000	6.59278e-05
160.000000	0.134142  	160.000000	0.177405  	160.000000	0.177756  	160.000000	0.17632   	160.000000	0.177341  	160.000000	6.40439e-05
165.000000	0.131471  	165.000000	0.173742  	165.000000	0.174122  	165.000000	0.172643  	165.000000	0.17368   	165.000000	6.22689e-05
170.000000	0.128947  	170.000000	0.170285  	170.000000	0.170684  	170.000000	0.169175  	170.000000	0.170224  	170.000000	6.05935e-05
175.000000	0.126557  	175.000000	0.167017  	175.000000	0.16743   	175.000000	0.165896  	175.000000	0.166958  	175.000000	5.90094e-05
180.000000	0.124292  	180.000000	0.163923  	180.000000	0.16436   	180.000000	0.162794  	180.000000	0.163866  	180.000000	5.75093e-05
185.000000	0.122141  	185.000000	0.16099   	185.000000	0.161449  	185.000000	0.159853  	185.000000	0.160934  	185.000000	5.60866e-05
190.000000	0.120095  	190.000000	0.158206  	190.000000	0.158676  	190.000000	0.157062  	190.000000	0.158151  	190.000000	5.47354e-05
195.000000	0.118148  	195.000000	0.155559  	195.000000	0.156039  	195.000000	0.154409  	195.000000	0.155505  	195.000000	5.34503e-05
200.000000	0.116292  	200.000000	0.153039  	200.000000	0.153531  	200.000000	0.151884  	200.000000	0.152987  	200.000000	5.22265e-05
210.000000	0.11283   	210.000000	0.148348  	210.000000	0.14886   	210.000000	0.147186  	210.000000	0.148298  	210.000000	4.9946e-05
220.000000	0.109663  	220.000000	0.144069  	220.000000	0.144603  	220.000000	0.142903  	220.000000	0.144022  	220.000000	4.78636e-05
230.000000	0.106756  	230.000000	0.140151  	230.000000	0.14069   	230.000000	0.138983  	230.000000	0.140105  	230.000000	4.59543e-05
240.000000	0.104077  	240.000000	0.13655   	240.000000	0.137105  	240.000000	0.135382  	240.000000	0.136506  	240.000000	4.41972e-05
250.000000	0.101601  	250.000000	0.13323   	250.000000	0.133795  	250.000000	0.132064  	250.000000	0.133187  	250.000000	4.25744e-05
260.000000	0.0993055 	260.000000	0.130159  	260.000000	0.130732  	260.000000	0.128996  	260.000000	0.130117  	260.000000	4.10709e-05
270.000000	0.0971713 	270.000000	0.127309  	270.000000	0.127898  	270.000000	0.126153  	270.000000	0.12727   	270.000000	3.9674e-05
280.000000	0.095182  	280.000000	0.12466   	280.000000	0.125258  	280.000000	0.12351   	280.000000	0.124621  	280.000000	3.83725e-05
290.000000	0.0933234 	290.000000	0.122189  	290.000000	0.122795  	290.000000	0.121047  	290.000000	0.122152  	290.000000	3.71568e-05
300.000000	0.0915831 	300.000000	0.119881  	300.000000	0.120495  	300.000000	0.118747  	300.000000	0.119845  	300.000000	3.60187e-05
310.000000	0.0899502 	310.000000	0.117719  	310.000000	0.118342  	310.000000	0.116595  	310.000000	0.117684  	310.000000	3.49508e-05
320.000000	0.0884151 	320.000000	0.115691  	320.000000	0.116323  	320.000000	0.114577  	320.000000	0.115657  	320.000000	3.39467e-05
330.000000	0.0869695 	330.000000	0.113784  	330.000000	0.114426  	330.000000	0.112682  	330.000000	0.113751  	330.000000	3.30009e-05
340.000000	0.0856057 	340.000000	0.111989  	340.000000	0.11264   	340.000000	0.110898  	340.000000	0.111957  	340.000000	3.21083e-05
350.000000	0.0843172 	350.000000	0.110296  	350.000000	0.110956  	350.000000	0.109216  	350.000000	0.110265  	350.000000	3.12645e-05
360.000000	0.083098  	360.000000	0.108697  	360.000000	0.109369  	360.000000	0.10763   	360.000000	0.108666  	360.000000	3.04656e-05
370.000000	0.0819428 	370.000000	0.107184  	370.000000	0.107857  	370.000000	0.10612   	370.000000	0.107154  	370.000000	2.9708e-05
380.000000	0.0808467 	380.000000	0.105751  	380.000000	0.10642   	380.000000	0.10469   	380.000000	0.105722  	380.000000	2.89886e-05
390.000000	0.0798054 	390.000000	0.104391  	390.000000	0.105056  	390.000000	0.103335  	390.000000	0.104363  	390.000000	2.83045e-05
400.000000	0.0788151 	400.000000	0.103101  	400.000000	0.103766  	400.000000	0.102049  	400.000000	0.103073  	400.000000	2.76531e-05
410.000000	0.0778722 	410.000000	0.101874  	410.000000	0.102543  	410.000000	0.100827  	410.000000	0.101847  	410.000000	2.70322e-05
420.000000	0.0769735 	420.000000	0.100706  	420.000000	0.10138   	420.000000	0.0996643 	420.000000	0.100679  	420.000000	2.64395e-05
430.000000	0.0761161 	430.000000	0.0995929 	430.000000	0.10027   	430.000000	0.0985575 	430.000000	0.0995671 	430.000000	2.58733e-05
440.000000	0.0752972 	440.000000	0.0985318 	440.000000	0.0992075 	440.000000	0.0975024 	440.000000	0.0985064 	440.000000	2.53317e-05
450.000000	0.0745145 	450.000000	0.0975188 	450.000000	0.0981936 	450.000000	0.0964958 	450.000000	0.097494  	450.000000	2.48131e-05
460.000000	0.0737658 	460.000000	0.096551  	460.000000	0.0972288 	460.000000	0.0955346 	460.000000	0.0965267 	460.000000	2.43162e-05
470.000000	0.0730489 	470.000000	0.0956256 	470.000000	0.0963087 	470.000000	0.0946158 	470.000000	0.0956017 	470.000000	2.38395e-05
480.000000	0.0723619 	480.000000	0.0947399 	480.000000	0.0954263 	480.000000	0.093737  	480.000000	0.0947166 	480.000000	2.33818e-05
490.000000	0.0717032 	490.000000	0.0938917 	490.000000	0.0945784 	490.000000	0.0928957 	490.000000	0.0938688 	490.000000	2.2942e-05
500.000000	0.0710712 	500.000000	0.0930787 	500.000000	0.0937662 	500.000000	0.0920897 	500.000000	0.0930562 	500.000000	2.25191e-05
520.000000	0.0698811 	520.000000	0.0915505 	520.000000	0.0922475 	520.000000	0.0905755 	520.000000	0.0915288 	520.000000	2.172e-05
540.000000	0.0687812 	540.000000	0.090141  	540.000000	0.0908453 	540.000000	0.0891799 	540.000000	0.09012   	540.000000	2.09776e-05
560.000000	0.0677621 	560.000000	0.0888378 	560.000000	0.0895438 	560.000000	0.0878903 	560.000000	0.0888175 	560.000000	2.02861e-05
580.000000	0.0668161 	580.000000	0.0876301 	580.000000	0.0883391 	580.000000	0.086696  	580.000000	0.0876105 	580.000000	1.96404e-05
600.000000	0.0659361 	600.000000	0.0865087 	600.000000	0.0872257 	600.000000	0.0855874 	600.000000	0.0864897 	600.000000	1.90359e-05
620.000000	0.0651161 	620.000000	0.0854655 	620.000000	0.0861914 	620.000000	0.0845563 	620.000000	0.085447  	620.000000	1.84688e-05
640.000000	0.0643508 	640.000000	0.0844933 	640.000000	0.0852233 	640.000000	0.0835956 	640.000000	0.0844753 	640.000000	1.79358e-05
660.000000	0.0636355 	660.000000	0.0835858 	660.000000	0.0843178 	660.000000	0.0826988 	660.000000	0.0835684 	660.000000	1.74337e-05
680.000000	0.0629659 	680.000000	0.0827375 	680.000000	0.0834719 	680.000000	0.0818603 	680.000000	0.0827205 	680.000000	1.696e-05
700.000000	0.0623385 	700.000000	0.0819433 	700.000000	0.0826796 	700.000000	0.0810752 	700.000000	0.0819268 	700.000000	1.65122e-05
720.000000	0.0617498 	720.000000	0.081199  	720.000000	0.0819362 	720.000000	0.0803389 	720.000000	0.0811829 	720.000000	1.60883e-05
740.000000	0.0611969 	740.000000	0.0805006 	740.000000	0.081239  	740.000000	0.0796475 	740.000000	0.0804849 	740.000000	1.56864e-05
760.000000	0.0606771 	760.000000	0.0798445 	760.000000	0.0805851 	760.000000	0.0789975 	760.000000	0.0798292 	760.000000	1.53047e-05
780.000000	0.0601881 	780.000000	0.0792275 	780.000000	0.0799699 	780.000000	0.0783856 	780.000000	0.0792126 	780.000000	1.49419e-05
800.000000	0.0597275 	800.000000	0.0786469 	800.000000	0.0793894 	800.000000	0.0778089 	800.000000	0.0786323 	800.000000	1.45965e-05
820.000000	0.0592936 	820.000000	0.0780999 	820.000000	0.078841  	820.000000	0.0772649 	820.000000	0.0780857 	820.000000	1.42672e-05
840.000000	0.0588844 	840.000000	0.0775843 	840.000000	0.0783224 	840.000000	0.0767512 	840.000000	0.0775704 	840.000000	1.3953e-05
860.000000	0.0584983 	860.000000	0.077098  	860.000000	0.077832  	860.000000	0.0762656 	860.000000	0.0770843 	860.000000	1.36528e-05
880.000000	0.0581339 	880.000000	0.0766389 	880.000000	0.0773678 	880.000000	0.0758062 	880.000000	0.0766255 	880.000000	1.33658e-05
900.000000	0.0577898 	900.000000	0.0762052 	900.000000	0.0769282 	900.000000	0.0753712 	900.000000	0.0761922 	900.000000	1.30909e-05
920.000000	0.0574648 	920.000000	0.0757955 	920.000000	0.0765116 	920.000000	0.074959  	920.000000	0.0757827 	920.000000	1.28276e-05
940.000000	0.0571576 	940.000000	0.0754081 	940.000000	0.0761166 	940.000000	0.0745681 	940.000000	0.0753955 	940.000000	1.2575e-05
960.000000	0.0568673 	960.000000	0.0750418 	960.000000	0.0757416 	960.000000	0.0741971 	960.000000	0.0750294 	960.000000	1.23325e-05
980.000000	0.0565929 	980.000000	0.0746951 	980.000000	0.0753854 	980.000000	0.0738448 	980.000000	0.074683  	980.000000	1.20995e-05
1000.000000	0.0563335 	1000.000000	0.0743671 	1000.000000	0.0750469 	1000.000000	0.07351   	1000.000000	0.0743553 	1000.000000	1.18755e-05
1020.000000	0.0560882 	1020.000000	0.0740566 	1020.000000	0.074725  	1020.000000	0.0731916 	1020.000000	0.074045  	1020.000000	1.16599e-05
1040.000000	0.0558563 	1040.000000	0.0737627 	1040.000000	0.0744187 	1040.000000	0.0728888 	1040.000000	0.0737512 	1040.000000	1.14522e-05
1060.000000	0.0556371 	1060.000000	0.0734843 	1060.000000	0.0741271 	1060.000000	0.0726004 	1060.000000	0.0734731 	1060.000000	1.12521e-05
1080.000000	0.0554299 	1080.000000	0.0732207 	1080.000000	0.0738493 	1080.000000	0.0723258 	1080.000000	0.0732097 	1080.000000	1.10591e-05
1100.000000	0.0552341 	1100.000000	0.0729711 	1100.000000	0.0735845 	1100.000000	0.0720642 	1100.000000	0.0729603 	1100.000000	1.08729e-05
1120.000000	0.0550492 	1120.000000	0.0727348 	1120.000000	0.0733321 	1120.000000	0.0718147 	1120.000000	0.0727241 	1120.000000	1.0693e-05
1140.000000	0.0548745 	1140.000000	0.072511  	1140.000000	0.0730914 	1140.000000	0.0715769 	1140.000000	0.0725004 	1140.000000	1.05192e-05
1160.000000	0.0547097 	1160.000000	0.0722991 	1160.000000	0.0728616 	1160.000000	0.0713499 	1160.000000	0.0722887 	1160.000000	1.03512e-05
1180.000000	0.0545541 	1180.000000	0.0720985 	1180.000000	0.0726423 	1180.000000	0.0711332 	1180.000000	0.0720883 	1180.000000	1.01886e-05
1200.000000	0.0544075 	1200.000000	0.0719087 	1200.000000	0.0724329 	1200.000000	0.0709264 	1200.000000	0.0718987 	1200.000000	1.00312e-05
1220.000000	0.0542693 	1220.000000	0.0717292 	1220.000000	0.0722328 	1220.000000	0.0707288 	1220.000000	0.0717193 	1220.000000	9.87883e-06
1240.000000	0.0541393 	1240.000000	0.0715594 	1240.000000	0.0720416 	1240.000000	0.07054   	1240.000000	0.0715497 	1240.000000	9.73115e-06
1260.000000	0.054017  	1260.000000	0.071399  	1260.000000	0.0718589 	1260.000000	0.0703596 	1260.000000	0.0713894 	1260.000000	9.58797e-06
1280.000000	0.0539021 	1280.000000	0.0712474 	1280.000000	0.0716841 	1280.000000	0.0701871 	1280.000000	0.0712379 	1280.000000	9.44909e-06
1300.000000	0.0537943 	1300.000000	0.0711043 	1300.000000	0.0715169 	1300.000000	0.0700221 	1300.000000	0.071095  	1300.000000	9.31432e-06
1320.000000	0.0536933 	1320.000000	0.0709693 	1320.000000	0.071357  	1320.000000	0.0698644 	1320.000000	0.0709601 	1320.000000	9.18347e-06
1340.000000	0.0535987 	1340.000000	0.070842  	1340.000000	0.071204  	1340.000000	0.0697134 	1340.000000	0.0708329 	1340.000000	9.05637e-06
1360.000000	0.0535105 	1360.000000	0.0707221 	1360.000000	0.0710575 	1360.000000	0.069569  	1360.000000	0.0707132 	1360.000000	8.93287e-06
1380.000000	0.0534282 	1380.000000	0.0706093 	1380.000000	0.0709173 	1380.000000	0.0694308 	1380.000000	0.0706005 	1380.000000	8.81281e-06
1400.000000	0.0533516 	1400.000000	0.0705034 	1400.000000	0.0707831 	1400.000000	0.0692985 	1400.000000	0.0704947 	1400.000000	8.69605e-06
1420.000000	0.0532806 	1420.000000	0.0704039 	1420.000000	0.0706547 	1420.000000	0.0691719 	1420.000000	0.0703953 	1420.000000	8.58244e-06
1440.000000	0.0532149 	1440.000000	0.0703106 	1440.000000	0.0705317 	1440.000000	0.0690506 	1440.000000	0.0703022 	1440.000000	8.47187e-06
1460.000000	0.0531543 	1460.000000	0.0702234 	1460.000000	0.0704141 	1460.000000	0.0689345 	1460.000000	0.070215  	1460.000000	8.36421e-06
1480.000000	0.0530987 	1480.000000	0.0701419 	1480.000000	0.0703014 	1480.000000	0.0688233 	1480.000000	0.0701336 	1480.000000	8.25935e-06
1500.000000	0.0530477 	1500.000000	0.0700659 	1500.000000	0.0701935 	1500.000000	0.0687168 	1500.000000	0.0700577 	1500.000000	8.15718e-06
1520.000000	0.0530013 	1520.000000	0.0699952 	1520.000000	0.07009   	1520.000000	0.0686148 	1520.000000	0.0699871 	1520.000000	8.05759e-06
1540.000000	0.0529594 	1540.000000	0.0699296 	1540.000000	0.0699909 	1540.000000	0.0685171 	1540.000000	0.0699216 	1540.000000	7.96049e-06
1560.000000	0.0529216 	1560.000000	0.0698689 	1560.000000	0.0698957 	1560.000000	0.0684236 	1560.000000	0.0698611 	1560.000000	7.86578e-06
1580.000000	0.052888  	1580.000000	0.069813  	1580.000000	0.0698045 	1580.000000	0.068334  	1580.000000	0.0698052 	1580.000000	7.77338e-06
1600.000000	0.0528583 	1600.000000	0.0697616 	1600.000000	0.0697168 	1600.000000	0.0682481 	1600.000000	0.0697539 	1600.000000	7.6832e-06
