*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - Range straggling - method [0] - LISE	Energy (MeV/u)6	5 - Range straggling - method [1] - Atima	Energy (MeV/u)7	6 - Lateral range - method [0] - LISE	Energy (MeV/u)8	7 - Lateral range - method [1] - Atima	Energy (MeV/u)9	8 - Lateral range - method [2] - PDG	
0.001000	0.091538  	0.001000	0.091538  	0.001000	0.10162   	0.001000	0.10162   	0.001000	0         	0.001000	0         	0.001000	0.000512855	0.001000	0.000770534	0.001000	0.000451311	
0.002000	0.1831    	0.002000	0.183076  	0.002000	0.203241  	0.002000	0.203241  	0.002000	0.019861  	0.002000	0.019861  	0.002000	0.00150224	0.002000	0.00218089	0.002000	0.00135514	
0.005000	0.374433  	0.005000	0.374358  	0.005000	0.415845  	0.005000	0.415845  	0.005000	0.0221959 	0.005000	0.0221959 	0.005000	0.0042755 	0.005000	0.00608209	0.005000	0.00390888	
0.008000	0.518117  	0.008000	0.518004  	0.008000	0.575642  	0.008000	0.575642  	0.008000	0.0222503 	0.008000	0.0222503 	0.008000	0.00683017	0.008000	0.00960457	0.008000	0.00628916	
0.010000	0.600756  	0.010000	0.600621  	0.010000	0.667584  	0.010000	0.667584  	0.010000	0.0224221 	0.010000	0.0224221 	0.010000	0.00848852	0.010000	0.0118717 	0.010000	0.00784165	
0.015000	0.778241  	0.015000	0.778058  	0.015000	0.867048  	0.015000	0.867048  	0.015000	0.0232244 	0.015000	0.0232244 	0.015000	0.0125776 	0.015000	0.0172891 	0.015000	0.0116848 	
0.020000	0.93219   	0.020000	0.931967  	0.020000	1.03857   	0.020000	1.03857   	0.020000	0.0242505 	0.020000	0.0242505 	0.020000	0.0166239 	0.020000	0.0221594 	0.020000	0.0155023 	
0.025000	1.0713    	0.025000	1.07104   	0.025000	1.19186   	0.025000	1.19186   	0.025000	0.0253106 	0.025000	0.0253106 	0.025000	0.0206691 	0.025000	0.026626  	0.025000	0.0193291 	
0.030000	1.19921   	0.030000	1.19892   	0.030000	1.32553   	0.030000	1.32553   	0.030000	0.0262025 	0.030000	0.0262025 	0.030000	0.0245505 	0.030000	0.0306298 	0.030000	0.0230016 	
0.035000	1.31861   	0.035000	1.31828   	0.035000	1.44391   	0.035000	1.44391   	0.035000	0.0269387 	0.035000	0.0269387 	0.035000	0.0282823 	0.035000	0.0342441 	0.035000	0.026533  	
0.040000	1.43155   	0.040000	1.4312    	0.040000	1.55476   	0.040000	1.55476   	0.040000	0.0276292 	0.040000	0.0276292 	0.040000	0.0317224 	0.040000	0.0376664 	0.040000	0.0300835 	
0.045000	1.53961   	0.045000	1.53922   	0.045000	1.6612    	0.045000	1.6612    	0.045000	0.028308  	0.045000	0.028308  	0.045000	0.0350791 	0.045000	0.0409925 	0.045000	0.0336796 	
0.050000	1.64393   	0.050000	1.64352   	0.050000	1.76461   	0.050000	1.76461   	0.050000	0.0289854 	0.050000	0.0294877 	0.050000	0.0383965 	0.050000	0.044256  	0.050000	0.0369819 	
0.055000	1.7454    	0.055000	1.74496   	0.055000	1.86574   	0.055000	1.86574   	0.055000	0.0296643 	0.055000	0.0308808 	0.055000	0.0417008 	0.055000	0.0474912 	0.055000	0.0403006 	
