*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.341841  	0.001000	0.185544  	0.001000	0.20295   	0.001000	0.20295   	0.001000	0.112078  	0.001000	0.0734659
0.002000	0.378766  	0.002000	0.205492  	0.002000	0.225179  	0.002000	0.225179  	0.002000	0.145347  	0.002000	0.0601451
0.005000	0.466949  	0.005000	0.245131  	0.005000	0.267619  	0.005000	0.267619  	0.005000	0.204944  	0.005000	0.0401872
0.008000	0.535025  	0.008000	0.275476  	0.008000	0.299129  	0.008000	0.299129  	0.008000	0.244444  	0.008000	0.0310318
0.010000	0.573675  	0.010000	0.292948  	0.010000	0.317044  	0.010000	0.317044  	0.010000	0.265779  	0.010000	0.0271692
0.015000	0.670386  	0.015000	0.339656  	0.015000	0.36135   	0.015000	0.36135   	0.015000	0.318625  	0.015000	0.0210312
0.020000	0.746858  	0.020000	0.415171  	0.020000	0.424437  	0.020000	0.424437  	0.020000	0.397809  	0.020000	0.0173619
0.025000	0.830639  	0.025000	0.487565  	0.025000	0.486597  	0.025000	0.486597  	0.025000	0.472677  	0.025000	0.0148872
0.030000	0.901136  	0.030000	0.555743  	0.030000	0.540173  	0.030000	0.540173  	0.030000	0.542775  	0.030000	0.0129684
0.035000	0.951197  	0.035000	0.616914  	0.035000	0.590238  	0.035000	0.590238  	0.035000	0.605301  	0.035000	0.0116131
0.040000	0.988374  	0.040000	0.66914   	0.040000	0.636622  	0.040000	0.636622  	0.040000	0.658602  	0.040000	0.0105385
0.045000	1.01428   	0.045000	0.715983  	0.045000	0.679349  	0.045000	0.679349  	0.045000	0.706319  	0.045000	0.00966315
0.050000	1.02979   	0.050000	0.757555  	0.050000	0.718484  	0.050000	0.718484  	0.050000	0.74862   	0.050000	0.00893482
0.055000	1.06834   	0.055000	0.794085  	0.055000	0.754134  	0.055000	0.754134  	0.055000	0.785767  	0.055000	0.00831827
0.060000	1.10053   	0.060000	0.825885  	0.060000	0.786436  	0.060000	0.786436  	0.060000	0.818096  	0.060000	0.00778885
