*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - Range straggling - method [0] - LISE	Energy (MeV/u)6	5 - Range straggling - method [1] - Atima	Energy (MeV/u)7	6 - Lateral range - method [0] - LISE	Energy (MeV/u)8	7 - Lateral range - method [1] - Atima	Energy (MeV/u)9	8 - Lateral range - method [2] - PDG	
0.001000	0.0849777 	0.001000	0.0849777 	0.001000	0.0647173 	0.001000	0.0647173 	0.001000	0         	0.001000	0         	0.001000	0.000184111	0.001000	0.000289313	0.001000	0.000138395
0.002000	0.171747  	0.002000	0.169955  	0.002000	0.129435  	0.002000	0.129435  	0.002000	0.011176  	0.002000	0.011176  	0.002000	0.000539165	0.002000	0.000818496	0.002000	0.000420839
0.005000	0.359198  	0.005000	0.353535  	0.005000	0.267761  	0.005000	0.267761  	0.005000	0.0125608 	0.005000	0.0125608 	0.005000	0.00156335	0.005000	0.00232133	0.005000	0.00124699
0.008000	0.502317  	0.008000	0.493697  	0.008000	0.372738  	0.008000	0.372738  	0.008000	0.0125946 	0.008000	0.0125946 	0.008000	0.00252048	0.008000	0.00369675	0.008000	0.00203322
0.010000	0.585049  	0.010000	0.574721  	0.010000	0.433294  	0.010000	0.433294  	0.010000	0.0127015 	0.010000	0.0127015 	0.010000	0.00314327	0.010000	0.00458358	0.010000	0.00254861
0.015000	0.757746  	0.015000	0.743852  	0.015000	0.564851  	0.015000	0.564851  	0.015000	0.0132021 	0.015000	0.0132021 	0.015000	0.00467807	0.015000	0.00675192	0.015000	0.00382665
0.020000	0.896999  	0.020000	0.880228  	0.020000	0.678074  	0.020000	0.678074  	0.020000	0.0138414 	0.020000	0.0138414 	0.020000	0.00619392	0.020000	0.00887642	0.020000	0.00509664
0.025000	1.01627   	0.025000	0.99704   	0.025000	0.779295  	0.025000	0.779295  	0.025000	0.0144999 	0.025000	0.0144999 	0.025000	0.00770538	0.025000	0.0109825 	0.025000	0.00636844
0.030000	1.12246   	0.030000	1.10103   	0.030000	0.872507  	0.030000	0.872507  	0.030000	0.0151484 	0.030000	0.0151484 	0.030000	0.00923081	0.030000	0.0130973 	0.030000	0.00765677
0.035000	1.21958   	0.035000	1.19615   	0.035000	0.96044   	0.035000	0.96044   	0.035000	0.0157881 	0.035000	0.0157881 	0.035000	0.0107868 	0.035000	0.0152439 	0.035000	0.00897552
0.040000	1.31026   	0.040000	1.28495   	0.040000	1.0445    	0.040000	1.0445    	0.040000	0.0164176 	0.040000	0.0164176 	0.040000	0.0123811 	0.040000	0.0174337 	0.040000	0.0103311
0.045000	1.39627   	0.045000	1.36918   	0.045000	1.12569   	0.045000	1.12569   	0.045000	0.017039  	0.045000	0.017039  	0.045000	0.014022  	0.045000	0.0196779 	0.045000	0.0117302
0.050000	1.47888   	0.050000	1.45009   	0.050000	1.20474   	0.050000	1.20474   	0.050000	0.0176556 	0.050000	0.0181088 	0.050000	0.0157108 	0.050000	0.0219785 	0.050000	0.013174
0.055000	1.55905   	0.055000	1.52861   	0.055000	1.28224   	0.055000	1.28224   	0.055000	0.0182709 	0.055000	0.0193551 	0.055000	0.0174547 	0.055000	0.0243454 	0.055000	0.0146688
0.060000	1.63751   	0.060000	1.60544   	0.060000	1.35862   	0.060000	1.35862   	0.060000	0.0188885 	0.060000	0.0205237 	0.060000	0.0190926 	0.060000	0.0265637 	0.060000	0.0160746
0.070000	1.79143   	0.070000	1.75618   	0.070000	1.50945   	0.070000	1.50945   	0.070000	0.0201431 	0.070000	0.0227109 	0.070000	0.0220582 	0.070000	0.0304891 	0.070000	0.0186243
0.080000	1.94393   	0.080000	1.90554   	0.080000	1.65944   	0.080000	1.65944   	0.080000	0.0214422 	0.080000	0.0247864 	0.080000	0.0247947 	0.080000	0.0337973 	0.080000	0.020983
0.090000	2.09718   	0.090000	2.05562   	0.090000	1.81013   	0.090000	1.81013   	0.090000	0.0228043 	0.090000	0.0268184 	0.090000	0.0273951 	0.090000	0.0368839 	0.090000	0.0232311
0.100000	2.25263   	0.100000	2.20786   	0.100000	1.96265   	0.100000	1.96265   	0.100000	0.0242446 	0.100000	0.0288504 	0.100000	0.029834  	0.100000	0.0397327 	0.100000	0.0253467
0.120000	2.57376   	0.120000	2.52236   	0.120000	2.2763    	0.120000	2.2763    	0.120000	0.0274061 	0.120000	0.033024  	0.120000	0.0345157 	0.120000	0.0451044 	0.120000	0.0294253
0.140000	2.91202   	0.140000	2.85363   	0.140000	2.60489   	0.140000	2.60489   	0.140000	0.0309958 	0.140000	0.0374523 	0.140000	0.0389802 	0.140000	0.0501472 	0.140000	0.0333372
0.160000	3.26945   	0.160000	3.20368   	0.160000	2.95092   	0.160000	2.95092   	0.160000	0.0350507 	0.160000	0.0422053 	0.160000	0.0432764 	0.160000	0.0549535 	0.160000	0.0371233
0.180000	3.64675   	0.180000	3.57319   	0.180000	3.31573   	0.180000	3.31573   	0.180000	0.0395835 	0.180000	0.0473117 	0.180000	0.0474477 	0.180000	0.059581  	0.180000	0.0408191
0.200000	4.04395   	0.200000	3.96219   	0.200000	3.69991   	0.200000	3.69991   	0.200000	0.0445901 	0.200000	0.0527753 	0.200000	0.0514592 	0.200000	0.0640316 	0.200000	0.0443945
0.250000	5.1218    	0.250000	5.01777   	0.250000	4.74546   	0.250000	4.74546   	0.250000	0.0590681 	0.250000	0.0679115 	0.250000	0.0619679 	0.250000	0.0756349 	0.250000	0.0538132
0.300000	6.31512   	0.300000	6.18645   	0.300000	5.90911   	0.300000	5.90911   	0.300000	0.076068  	0.300000	0.0849019 	0.300000	0.0728447 	0.300000	0.0876227 	0.300000	0.0636428
0.350000	7.61717   	0.350000	7.46161   	0.350000	7.18453   	0.350000	7.18453   	0.350000	0.0952582 	0.350000	0.103432  	0.350000	0.0838968 	0.350000	0.0998049 	0.350000	0.0737093
0.400000	9.02251   	0.400000	8.83792   	0.400000	8.56541   	0.400000	8.56541   	0.400000	0.116381  	0.400000	0.123256  	0.400000	0.0955183 	0.400000	0.112587  	0.400000	0.0843464
0.450000	10.5268   	0.450000	10.3112   	0.450000	10.0463   	0.450000	10.0463   	0.450000	0.139249  	0.450000	0.1442    	0.450000	0.107532  	0.450000	0.12579   	0.450000	0.0953956
0.500000	12.1268   	0.500000	11.8781   	0.500000	11.6228   	0.500000	11.6228   	0.500000	0.163735  	0.500000	0.166144  	0.500000	0.12002   	0.500000	0.139479  	0.500000	0.106922
0.600000	15.6025   	0.600000	15.2821   	0.600000	15.0483   	0.600000	15.0483   	0.600000	0.217208  	0.600000	0.21273   	0.600000	0.146184  	0.600000	0.168095  	0.600000	0.131191
0.700000	19.4322   	0.700000	19.0326   	0.700000	18.8196   	0.700000	18.8196   	0.700000	0.27632   	0.700000	0.262607  	0.700000	0.174064  	0.700000	0.19842   	0.700000	0.157171
0.800000	23.6023   	0.800000	23.1166   	0.800000	22.9205   	0.800000	22.9205   	0.800000	0.340792  	0.800000	0.315557  	0.800000	0.203687  	0.800000	0.230444  	0.800000	0.184869
0.900000	28.102    	0.900000	27.5233   	0.900000	27.3388   	0.900000	27.3388   	0.900000	0.410441  	0.900000	0.371453  	0.900000	0.234961  	0.900000	0.26408   	0.900000	0.214195
1.000000	32.9222   	1.000000	32.244    	1.000000	32.065    	1.000000	32.065    	1.000000	0.485135  	1.000000	0.430203  	1.000000	0.267982  	1.000000	0.299357  	1.000000	0.24522
