*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - Range straggling - method [0] - LISE	Energy (MeV/u)6	5 - Range straggling - method [1] - Atima	Energy (MeV/u)7	6 - Lateral range - method [0] - LISE	Energy (MeV/u)8	7 - Lateral range - method [1] - Atima	Energy (MeV/u)9	8 - Lateral range - method [2] - PDG	
0.001000	0.0768668 	0.001000	0.0768668 	0.001000	0.104131  	0.001000	0.104131  	0.001000	0         	0.001000	0         	0.001000	0.000529483	0.001000	0.000799277	0.001000	0.000469151
0.002000	0.163289  	0.002000	0.153734  	0.002000	0.208262  	0.002000	0.208262  	0.002000	0.0187488 	0.002000	0.0187488 	0.002000	0.00155095	0.002000	0.00226228	0.002000	0.00140854
0.005000	0.350705  	0.005000	0.320427  	0.005000	0.434796  	0.005000	0.434796  	0.005000	0.0211625 	0.005000	0.0211625 	0.005000	0.00457296	0.005000	0.00652067	0.005000	0.00421495
0.008000	0.49483   	0.008000	0.448617  	0.008000	0.608806  	0.008000	0.608806  	0.008000	0.0212246 	0.008000	0.0212246 	0.008000	0.0074511 	0.008000	0.0104941 	0.008000	0.00691947
0.010000	0.57844   	0.010000	0.522981  	0.010000	0.709498  	0.010000	0.709498  	0.010000	0.0214224 	0.010000	0.0214224 	0.010000	0.0093331 	0.010000	0.01307   	0.010000	0.0086963
0.015000	0.76077   	0.015000	0.685151  	0.015000	0.92825   	0.015000	0.92825   	0.015000	0.0223459 	0.015000	0.0223459 	0.015000	0.0139704 	0.015000	0.0191269 	0.015000	0.0130913
0.020000	0.918077  	0.020000	0.825065  	0.020000	1.11599   	0.020000	1.11599   	0.020000	0.023511  	0.020000	0.023511  	0.020000	0.0185333 	0.020000	0.0245042 	0.020000	0.0174316
0.025000	1.05868   	0.025000	0.950123  	0.025000	1.2828    	0.025000	1.2828    	0.025000	0.024686  	0.025000	0.024686  	0.025000	0.023049  	0.025000	0.0293853 	0.025000	0.0217377
0.030000	1.18689   	0.030000	1.06416   	0.030000	1.42569   	0.030000	1.42569   	0.030000	0.0256202 	0.030000	0.0256202 	0.030000	0.0272857 	0.030000	0.0336449 	0.030000	0.0257758
0.035000	1.30526   	0.035000	1.16944   	0.035000	1.54932   	0.035000	1.54932   	0.035000	0.0263378 	0.035000	0.0263378 	0.035000	0.0310618 	0.035000	0.0373747 	0.035000	0.0295557
0.040000	1.41568   	0.040000	1.26765   	0.040000	1.6622    	0.040000	1.6622    	0.040000	0.0269622 	0.040000	0.0269622 	0.040000	0.0345328 	0.040000	0.0408084 	0.040000	0.0332182
0.045000	1.52004   	0.045000	1.36047   	0.045000	1.76781   	0.045000	1.76781   	0.045000	0.0275316 	0.045000	0.0275316 	0.045000	0.0378595 	0.045000	0.0440573 	0.045000	0.0365322
0.050000	1.62018   	0.050000	1.44954   	0.050000	1.86776   	0.050000	1.86776   	0.050000	0.0280589 	0.050000	0.0279078 	0.050000	0.0410676 	0.050000	0.0471529 	0.050000	0.0397571
0.055000	1.7168    	0.055000	1.53547   	0.055000	1.96301   	0.055000	1.96301   	0.055000	0.0285505 	0.055000	0.0281729 	0.055000	0.0441832 	0.055000	0.0501419 	0.055000	0.0428963
0.060000	1.81039   	0.060000	1.61871   	0.060000	2.05422   	0.060000	2.05422   	0.060000	0.0290108 	0.060000	0.0284206 	0.060000	0.0472182 	0.060000	0.053038  	0.060000	0.0459612
0.070000	1.99004   	0.070000	1.7785    	0.070000	2.22664   	0.070000	2.22664   	0.070000	0.029853  	0.070000	0.028874  	0.070000	0.0530878 	0.070000	0.058651  	0.070000	0.0518968
0.080000	2.16165   	0.080000	1.93113   	0.080000	2.38838   	0.080000	2.38838   	0.080000	0.0306122 	0.080000	0.0292846 	0.080000	0.0587515 	0.080000	0.0641206 	0.080000	0.0576292
0.090000	2.32698   	0.090000	2.07819   	0.090000	2.54187   	0.090000	2.54187   	0.090000	0.0313092 	0.090000	0.0296645 	0.090000	0.0639498 	0.090000	0.0691945 	0.090000	0.0628922
0.100000	2.48738   	0.100000	2.22085   	0.100000	2.68892   	0.100000	2.68892   	0.100000	0.0319598 	0.100000	0.0300221 	0.100000	0.068413  	0.100000	0.0735904 	0.100000	0.0674006
0.120000	2.79714   	0.120000	2.49636   	0.120000	2.96888   	0.120000	2.96888   	0.120000	0.0331656 	0.120000	0.0306939 	0.120000	0.0761833 	0.120000	0.0813338 	0.120000	0.0752356
0.140000	3.09623   	0.140000	2.76239   	0.140000	3.23583   	0.140000	3.23583   	0.140000	0.0342929 	0.140000	0.0313337 	0.140000	0.0830353 	0.140000	0.0882804 	0.140000	0.0821202
0.160000	3.38688   	0.160000	3.02089   	0.160000	3.49442   	0.160000	3.49442   	0.160000	0.0353784 	0.160000	0.0319606 	0.160000	0.0892436 	0.160000	0.0946434 	0.160000	0.0883511
0.180000	3.672     	0.180000	3.27449   	0.180000	3.74761   	0.180000	3.74761   	0.180000	0.0364444 	0.180000	0.0325863 	0.180000	0.0949026 	0.180000	0.100486  	0.180000	0.0940189
0.200000	3.9537    	0.200000	3.52504   	0.200000	3.99736   	0.200000	3.99736   	0.200000	0.0375045 	0.200000	0.0332181 	0.200000	0.100087  	0.200000	0.105878  	0.200000	0.0992181
0.250000	4.64976   	0.250000	4.14414   	0.250000	4.61433   	0.250000	4.61433   	0.250000	0.0401773 	0.250000	0.0348485 	0.250000	0.112782  	0.250000	0.119098  	0.250000	0.111916
0.300000	5.33952   	0.300000	4.75763   	0.300000	5.22857   	0.300000	5.22857   	0.300000	0.0429215 	0.300000	0.0365703 	0.300000	0.124759  	0.300000	0.131588  	0.300000	0.12391
