* Fit function: E_MeV = a * E_CH + b, then E_CH = 1/a * E_MeV - a/b 
* 1,2,3 represent using alpha peak1,peak2, and peak3 to calibrate the energy,respectively. 
* SSDNum  CHNum        a1        b1     1./a1      -a1/b1        a2        b2     1./a2      -a2/b2        a3        b3     1./a3     -a3/b3
      0    0      0.0326491  -3.43098   30.6287   105.087   0.0319908   -3.3618    31.259   105.087   0.0314487  -3.30484   31.7978   105.087
      0    1      0.0322834  -3.11735   30.9757   96.5621   0.0316152  -3.05283   31.6303   96.5621   0.0310532  -2.99856   32.2028   96.5621
      0    2      0.0320646  -2.82154   31.1871   87.9955    0.031482  -2.77027   31.7642   87.9955   0.0310261  -2.73016   32.2309   87.9955
      0    3      0.0322714  -3.98499   30.9872   123.484   0.0317053  -3.91508   31.5405   123.484   0.0312414   -3.8578   32.0089   123.484
      0    4      0.0321796  -2.65221   31.0756   82.4191   0.0315996  -2.60441    31.646   82.4191   0.0312192  -2.57306   32.0316   82.4191
      0    5      0.0313334  -3.58986   31.9148    114.57   0.0307821  -3.52669   32.4864    114.57   0.0304918  -3.49343   32.7957    114.57
      0    6      0.0318879  -3.85452   31.3599   120.877   0.0312768  -3.78065   31.9726   120.877   0.0308174  -3.72511   32.4492   120.877
      0    7      0.0313423  -3.38985   31.9058   108.156   0.0307991   -3.3311   32.4685   108.156   0.0304357  -3.29179   32.8562   108.156
      0    8      0.0325326  -3.08119   30.7384   94.7108   0.0319075  -3.02199   31.3406   94.7108   0.0314085  -2.97473   31.8385   94.7108
      0    9      0.0320118  -2.87643   31.2385   89.8553   0.0314272   -2.8239   31.8195   89.8553   0.0309585  -2.78179   32.3013   89.8553
      0   10      0.0321215  -3.51996   31.1318   109.583   0.0315513  -3.45747   31.6945   109.583   0.0310869  -3.40658   32.1679   109.583
      0   11      0.0318321  -2.63234   31.4148   82.6945   0.0312106  -2.58095   32.0403   82.6945    0.030924  -2.55725   32.3373   82.6945
      0   12      0.0317541  -3.62398   31.4919   114.126   0.0311308  -3.55284   32.1225   114.126   0.0307501  -3.50939   32.5203   114.126
      0   13      0.0319685  -3.51652   31.2808       110   0.0313709  -3.45079   31.8766       110   0.0309247  -3.40171   32.3366       110
      0   14      0.0320186  -3.31397   31.2319   103.502   0.0314023  -3.25019   31.8448   103.502   0.0310229  -3.21092   32.2343   103.502
      0   15      0.0318513  -3.63628   31.3959   114.164   0.0312457  -3.56715   32.0044   114.164   0.0309955  -3.53858   32.2627   114.164
      1    0      0.0292538   -1.7336   34.1836   59.2605   0.0289363  -1.71478   34.5586   59.2605    0.028671  -1.69905   34.8785   59.2605
      1    1      0.0281118  -2.18002   35.5723   77.5482   0.0278308  -2.15822   35.9315   77.5482   0.0276293   -2.1426   36.1935   77.5482
      1    2      0.0278174  -1.74599   35.9487   62.7661   0.0275321  -1.72809   36.3212   62.7661   0.0273487  -1.71657   36.5648   62.7661
      1    3      0.0282051  -2.07119   35.4546   73.4333   0.0278979  -2.04864   35.8449   73.4333   0.0277158  -2.03526   36.0806   73.4333
      1    4      0.0281048  -2.33359   35.5811   83.0318   0.0278131  -2.30937   35.9542   83.0318   0.0276268   -2.2939   36.1968   83.0318
      1    5      0.0284598  -1.71038   35.1373   60.0982   0.0281767  -1.69337   35.4903   60.0982   0.0280429  -1.68533   35.6597   60.0982
      1    6      0.0281958  -2.46628   35.4663   87.4699   0.0279145  -2.44168   35.8237   87.4699   0.0277515  -2.42742   36.0341   87.4699
      1    7       0.028297  -2.37859   35.3394    84.058   0.0280103  -2.35449   35.7011    84.058   0.0278861  -2.34405   35.8602    84.058
      1    8      0.0276536  -2.04175   36.1616    73.833   0.0273726    -2.021   36.5329    73.833   0.0272601  -2.01269   36.6837    73.833
      1    9      0.0279019  -2.39703   35.8398   85.9092   0.0276258  -2.37331   36.1981   85.9092    0.027442  -2.35752   36.4404   85.9092
      1   10      0.0279732   -2.2242   35.7485   79.5119   0.0276311    -2.197   36.1911   79.5119   0.0275008  -2.18664   36.3626   79.5119
      1   11      0.0273546  -2.02585    36.557   74.0591   0.0271001  -2.00701   36.9003   74.0591   0.0269541   -1.9962   37.1001   74.0591
      1   12      0.0278699  -1.91664    35.881   68.7711   0.0276216  -1.89957   36.2036   68.7711   0.0274519   -1.8879   36.4273   68.7711
      1   13       0.027973  -2.31483   35.7488   82.7524   0.0276903  -2.29144   36.1138   82.7524   0.0274754  -2.27365   36.3962   82.7524
      1   14       0.028179  -1.87026   35.4875    66.371   0.0278896  -1.85106   35.8557    66.371   0.0276131  -1.83271   36.2147    66.371
      1   15      0.0286255  -1.86442   34.9339   65.1316   0.0283075  -1.84371   35.3264   65.1316   0.0280166  -1.82476   35.6932   65.1316
      2    0      0.0301426  -2.08259   33.1756   69.0913   0.0297951  -2.05858   33.5626   69.0913   0.0295159  -2.03929     33.88   69.0913
      2    1      0.0293079  -2.04656   34.1205   69.8296   0.0290169  -2.02624   34.4627   69.8296   0.0288202   -2.0125   34.6979   69.8296
      2    2      0.0294472  -2.06986    33.959   70.2905   0.0291309  -2.04762   34.3278   70.2905   0.0288826  -2.03017   34.6229   70.2905
      2    3      0.0294358   -2.2321   33.9723   75.8296   0.0291361  -2.20938   34.3217   75.8296   0.0289036  -2.19175   34.5978   75.8296
      2    4      0.0296707  -2.30132   33.7033   77.5619   0.0293458  -2.27612   34.0764   77.5619   0.0290582  -2.25381   34.4137   77.5619
      2    5      0.0298979  -2.61194   33.4471    87.362   0.0295894  -2.58499   33.7959    87.362   0.0293668  -2.56554   34.0521    87.362
      2    6      0.0291497  -2.52708   34.3057   86.6933   0.0288615   -2.5021   34.6482   86.6933   0.0286471  -2.48351   34.9076   86.6933
      2    7      0.0294799  -2.84657   33.9215   96.5598   0.0291836  -2.81796   34.2658   96.5598   0.0289658  -2.79694   34.5234   96.5598
      2    8      0.0299448  -2.30859   33.3948   77.0948   0.0296097  -2.28276   33.7727   77.0948   0.0293572  -2.26329   34.0632   77.0948
      2    9      0.0298827  -2.20216   33.4642   73.6933   0.0295515  -2.17775   33.8393   73.6933   0.0293775  -2.16493   34.0396   73.6933
      2   10       0.029741  -2.84212   33.6236   95.5623   0.0294259    -2.812   33.9837   95.5623   0.0292124  -2.79161    34.232   95.5623
      2   11       0.029227  -2.32332    34.215   79.4923    0.028932  -2.29987   34.5638   79.4923   0.0286966  -2.28116   34.8473   79.4923
      2   12      0.0298233   -2.6272   33.5309   88.0923   0.0295235  -2.60079   33.8713   88.0923   0.0292721  -2.57865   34.1622   88.0923
