 Fit function = par[0]+par[1]*x && y = a*x + b (y=Energy, x=Ch);  so I define a = par[1], b = par[0]
 *SSDNum  CHNum     par_a       Errpar_a          par_b        Errpar_b
    0      0      0.0249348    0.000210938       -1.46738      0.0567975
    0      1      0.0247812    0.000243729       -1.25887      0.0639848
    0      2      0.0250268    0.000219448       -1.12761      0.0558951
    0      3      0.0253039    9.86599e-05       -2.07031      0.0285268
    0      4      0.0252023    5.73114e-05       -1.01508      0.0142404
    0      5      0.0248936    0.000206107       -1.84637       0.058724
    0      6       0.024765    0.000311238       -1.90252      0.0898436
    0      7      0.0246812    0.000284953       -1.63049       0.079397
    0      8      0.0253217    0.000735897       -1.31894       0.190811
    0      9      0.0251329    0.000165439       -1.20927      0.0424979
    0     10      0.0252322     0.00022014       -1.71648      0.0607481
    0     11      0.0252737    0.000496297       -1.08708       0.124381
    0     12      0.0248318    0.000325714       -1.77057      0.0920399
    0     13      0.0248418     0.00029729       -1.64393      0.0824598
    0     14      0.0249027    0.000209606       -1.49072       0.056708
    0     15      0.0256097    0.000530471       -1.97087       0.149492
    1      0      0.0250305    0.000126008      -0.777544      0.0303297
    1      1      0.0245923    0.000149816       -1.29835      0.0398728
    1      2      0.0242987    0.000185496      -0.906585      0.0469773
    1      3      0.0245509     0.00030883       -1.17363      0.0807644
    1      4      0.0243544    8.88229e-05       -1.37125      0.0241363
    1      5      0.0247215     0.00016294      -0.845201      0.0401549
    1      6      0.0244985    0.000276685       -1.50082      0.0762048
    1      7      0.0250508    0.000323073       -1.54974      0.0876499
    1      8      0.0236894    2.57699e-06       -1.04686    0.000684659
    1      9      0.0240666    2.30368e-05       -1.39155     0.00635416
    1     10       0.024085    0.000221225       -1.24074      0.0595893
    1     11      0.0239558    0.000183484        -1.1669       0.049125
    1     12      0.0240894    9.37158e-05       -0.98977      0.0242632
    1     13      0.0239584    1.16712e-06       -1.28067    0.000317979
    1     14      0.0241381    0.000235077      -0.900407      0.0598697
    1     15      0.0241692    6.67056e-05      -0.811198      0.0167209
    2      0      0.0257937    0.000731075       -1.08251       0.179396
    2      1      0.0257447    0.000239879       -1.20544      0.0601196
    2      2      0.0245871    4.09073e-05      -0.900584      0.0102284
    2      3      0.0145909     0.00333262        1.59264       0.835522
    2      4      0.0259585     0.00139167       -1.08138        0.33927
    2      5     0.00996182      0.0119579        2.49545        3.30241
    2      6      0.0254369      7.656e-05       -1.58056      0.0205481
    2      7      0.0263297    0.000357596        -2.0451      0.0990263
    2      8       0.025865    5.97785e-05       -1.32938      0.0151985
    2      9      0.0266173    0.000166167       -1.44098      0.0417495
    2     10      0.0100146     0.00326249        2.61323        0.86023
    2     11      0.0284813      0.0036906       -2.18735        0.96321
    2     12      0.0261679    4.50346e-05       -1.70513      0.0119635
    2     13     -0.0329709      0.0125762        13.2189        3.04455
    2     14      -0.014607      0.0234147        9.43683        6.72966
    2     15     0.00341467     0.00425734        4.35904        1.12005
    3      0              0              0              0              0
    3      1      0.0203843    6.73156e-05       -1.23052      0.0213903
    3      2      0.0265847     0.00766418       -3.56789        2.54069
