 *Fit function = par[0]+par[1]*x && y = a*x + b (y=Energy, x=Ch);  so I define a = par[1], b = par[0]
 *SSDNum  CHNum     par_a       Errpar_a          par_b        Errpar_b
    0      0      0.0246623    0.000609419       -1.38546       0.163883
    0      1       0.024075    0.000823772       -1.07317       0.216255
    0      2      0.0250871    8.32978e-05       -1.13943      0.0212048
    0      3      0.0247397    2.86739e-05       -1.89676     0.00827896
    0      4      0.0251445    0.000377292      -0.989247       0.093575
    0      5      0.0262081     0.00135537       -2.20533       0.385352
    0      6      0.0252472    0.000332962       -2.02965      0.0959543
    0      7      0.0244282    0.000158069       -1.54961      0.0439763
    0      8      0.0258484    0.000610326       -1.43752       0.157824
    0      9      0.0241492    0.000363449      -0.952034      0.0932973
    0     10       0.024918    3.43345e-06       -1.62529    0.000946862
    0     11      0.0249499    0.000356205      -0.996927      0.0891438
    0     12      0.0253345    0.000522457       -1.89473       0.147265
    0     13      0.0256334    0.000584488       -1.84847       0.161774
    0     14      0.0247153    5.01851e-05       -1.43211      0.0135614
    0     15      0.0262678     0.00142233       -2.13052       0.399425
    1      0      0.0247132    8.13082e-05      -0.695021      0.0195507
    1      1        0.02456    0.000116027       -1.27621       0.030816
    1      2      0.0244577    0.000373421      -0.945771      0.0945527
    1      3      0.0244432    5.38764e-05       -1.13195      0.0140599
    1      4      0.0243863    0.000181937        -1.3714      0.0493751
    1      5      0.0253889    9.22314e-05      -0.985298      0.0226405
    1      6      0.0244296    0.000227271       -1.47459      0.0625279
    1      7      0.0253387    0.000690715       -1.61382       0.187007
    1      8      0.0254962    0.000856002       -1.49708       0.226409
    1      9      0.0255137    0.000979392       -1.76975       0.269327
    1     10       0.024649    0.000737531       -1.37324       0.198076
    1     11      0.0243473     6.4592e-05       -1.26236      0.0172684
    1     12      0.0253195    0.000544382       -1.29477       0.140646
    1     13      0.0244265    2.84464e-05       -1.39747     0.00773756
    1     14      0.0242936    6.62635e-05      -0.934569      0.0168611
    1     15      0.0240304    0.000580205       -0.77329       0.145363
    2      0       0.025601    9.08203e-05       -1.03006       0.022268
    2      1      0.0257326    0.000112314       -1.19923      0.0281349
    2      2      0.0255259    0.000110361       -1.14291      0.0276263
    2      3      0.0257671     0.00020279        -1.3485       0.051905
    2      4      0.0252322     4.0046e-05       -1.22183      0.0102664
    2      5      0.0260016    0.000162128       -1.63316      0.0428967
    2      6      0.0253499    0.000181538       -1.55704      0.0487225
    2      7      0.0256804    7.66023e-05       -1.84673      0.0211578
    2      8      0.0256838    0.000104478       -1.28942      0.0265883
    2      9      0.0259344    0.000188773       -1.26311      0.0473848
    2     10      0.0256713    0.000232104        -1.7811      0.0635381
    2     11      0.0252819     1.3715e-05       -1.34643     0.00357667
    2     12      0.0256615    0.000166649       -1.57861      0.0443233
    2     13      0.0255683    0.000155243       -1.47526      0.0408132
    2     14      0.0260117    0.000259898       -1.90896      0.0714921
    2     15      0.0255172    0.000189575       -1.20249       0.047914
    3      0              0              0              0              0
    3      1      0.0198364    6.69244e-05       -1.26656      0.0219749
    3      2      0.0189944    4.34826e-05        -1.3347      0.0150664
    3      3      0.0197828    1.74765e-06       -1.31413    0.000579599
    3      4      0.0197049    6.99275e-05       -1.57811      0.0242188
    3      5      0.0193908    0.000168462       -1.19835       0.055994
    3      6      0.0190708    5.67943e-05       -1.28391      0.0194488
    3      7      0.0194626    3.54412e-05         -1.281       0.011887
    3      8       0.019253    0.000134597       -1.20061      0.0450739
    3      9      0.0200237    6.93459e-05       -1.18287      0.0222674
    3     10      0.0197079    3.24165e-05       -1.70955      0.0114415
    3     11      0.0201623    8.76671e-06       -1.30236     0.00284759
    3     12      0.0190092    5.90601e-05       -1.66967      0.0214878
    3     13      0.0197896    2.36295e-05       -1.34505      0.0078708
    3     14      0.0200063    0.000151307       -1.34481      0.0498516
    3     15      0.0197932    6.36207e-05       -1.15727      0.0205847
