* Calculate the alpha peak energies, changing the thickness of the dead layer.
* AlThickness = 0.05 + 0.50 * i (um), i=0,1,2,...
* Thres alpha peaks: E1=5.14718, E2=5.48038, E3=5.79521; E(i) = energy after mylar.
*       SSDNum  CHNum E(i=0)    E(i=1)    E(i=2)    E(i=3)    E(i=4)    E(i=5)    E(i=6)    E(i=7)    E(i=8)    E(i=9)
         0         0   5.58068   5.50368   5.42599   5.34761   5.26845   5.18855   5.10792   5.02645   4.94408    4.8609
         0         1   5.58068   5.50368   5.42599   5.34761   5.26845   5.18855   5.10792   5.02645   4.94408    4.8609
         0         2   5.58068   5.50368   5.42599   5.34761   5.26845   5.18855   5.10792   5.02645   4.94408    4.8609
         0         3   5.58068   5.50368   5.42599   5.34761   5.26845   5.18855   5.10792   5.02645   4.94408    4.8609
         0         4   5.58068   5.50368   5.42599   5.34761   5.26845   5.18855   5.10792   5.02645   4.94408    4.8609
         0         5   5.58068   5.50368   5.42599   5.34761   5.26845   5.18855   5.10792   5.02645   4.94408    4.8609
         0         6   5.58068   5.50368   5.42599   5.34761   5.26845   5.18855   5.10792   5.02645   4.94408    4.8609
         0         7   5.58068   5.50368   5.42599   5.34761   5.26845   5.18855   5.10792   5.02645   4.94408    4.8609
         0         8   5.58068   5.50368   5.42599   5.34761   5.26845   5.18855   5.10792   5.02645   4.94408    4.8609
         0         9   5.58068   5.50368   5.42599   5.34761   5.26845   5.18855   5.10792   5.02645   4.94408    4.8609
         0        10   5.58068   5.50368   5.42599   5.34761   5.26845   5.18855   5.10792   5.02645   4.94408    4.8609
         0        11   5.58068   5.50368   5.42599   5.34761   5.26845   5.18855   5.10792   5.02645   4.94408    4.8609
         0        12   5.58068   5.50368   5.42599   5.34761   5.26845   5.18855   5.10792   5.02645   4.94408    4.8609
         0        13   5.58068   5.50368   5.42599   5.34761   5.26845   5.18855   5.10792   5.02645   4.94408    4.8609
         0        14   5.58068   5.50368   5.42599   5.34761   5.26845   5.18855   5.10792   5.02645   4.94408    4.8609
         0        15   5.58068   5.50368   5.42599   5.34761   5.26845   5.18855   5.10792   5.02645   4.94408    4.8609
         1         0   5.58068   5.50368   5.42599   5.34761   5.26845   5.18855   5.10792   5.02645   4.94408    4.8609
         1         1   5.58068   5.50368   5.42599   5.34761   5.26845   5.18855   5.10792   5.02645   4.94408    4.8609
         1         2   5.58068   5.50368   5.42599   5.34761   5.26845   5.18855   5.10792   5.02645   4.94408    4.8609
         1         3   5.58068   5.50368   5.42599   5.34761   5.26845   5.18855   5.10792   5.02645   4.94408    4.8609
         1         4   5.58068   5.50368   5.42599   5.34761   5.26845   5.18855   5.10792   5.02645   4.94408    4.8609
         1         5   5.58068   5.50368   5.42599   5.34761   5.26845   5.18855   5.10792   5.02645   4.94408    4.8609
         1         6   5.58068   5.50368   5.42599   5.34761   5.26845   5.18855   5.10792   5.02645   4.94408    4.8609
         1         7   5.58068   5.50368   5.42599   5.34761   5.26845   5.18855   5.10792   5.02645   4.94408    4.8609
         1         8   5.58068   5.50368   5.42599   5.34761   5.26845   5.18855   5.10792   5.02645   4.94408    4.8609
         1         9   5.58068   5.50368   5.42599   5.34761   5.26845   5.18855   5.10792   5.02645   4.94408    4.8609
         1        10   5.58068   5.50368   5.42599   5.34761   5.26845   5.18855   5.10792   5.02645   4.94408    4.8609
         1        11   5.58068   5.50368   5.42599   5.34761   5.26845   5.18855   5.10792   5.02645   4.94408    4.8609
         1        12   5.58068   5.50368   5.42599   5.34761   5.26845   5.18855   5.10792   5.02645   4.94408    4.8609
         1        13   5.58068   5.50368   5.42599   5.34761   5.26845   5.18855   5.10792   5.02645   4.94408    4.8609
         1        14   5.58068   5.50368   5.42599   5.34761   5.26845   5.18855   5.10792   5.02645   4.94408    4.8609
         1        15   5.58068   5.50368   5.42599   5.34761   5.26845   5.18855   5.10792   5.02645   4.94408    4.8609
         2         0   5.58068   5.50368   5.42599   5.34761   5.26845   5.18855   5.10792   5.02645   4.94408    4.8609
         2         1   5.58068   5.50368   5.42599   5.34761   5.26845   5.18855   5.10792   5.02645   4.94408    4.8609
         2         2   5.58068   5.50368   5.42599   5.34761   5.26845   5.18855   5.10792   5.02645   4.94408    4.8609
         2         3   5.58068   5.50368   5.42599   5.34761   5.26845   5.18855   5.10792   5.02645   4.94408    4.8609
         2         4   5.58068   5.50368   5.42599   5.34761   5.26845   5.18855   5.10792   5.02645   4.94408    4.8609
         2         5   5.58068   5.50368   5.42599   5.34761   5.26845   5.18855   5.10792   5.02645   4.94408    4.8609
         2         6   5.58068   5.50368   5.42599   5.34761   5.26845   5.18855   5.10792   5.02645   4.94408    4.8609
         2         7   5.58068   5.50368   5.42599   5.34761   5.26845   5.18855   5.10792   5.02645   4.94408    4.8609
         2         8   5.58068   5.50368   5.42599   5.34761   5.26845   5.18855   5.10792   5.02645   4.94408    4.8609
         2         9   5.58068   5.50368   5.42599   5.34761   5.26845   5.18855   5.10792   5.02645   4.94408    4.8609
         2        10   5.58068   5.50368   5.42599   5.34761   5.26845   5.18855   5.10792   5.02645   4.94408    4.8609
         2        11   5.58068   5.50368   5.42599   5.34761   5.26845   5.18855   5.10792   5.02645   4.94408    4.8609
         2        12   5.58068   5.50368   5.42599   5.34761   5.26845   5.18855   5.10792   5.02645   4.94408    4.8609
         2        13   5.58068   5.50368   5.42599   5.34761   5.26845   5.18855   5.10792   5.02645   4.94408    4.8609
         2        14   5.58068   5.50368   5.42599   5.34761   5.26845   5.18855   5.10792   5.02645   4.94408    4.8609
         2        15   5.58068   5.50368   5.42599   5.34761   5.26845   5.18855   5.10792   5.02645   4.94408    4.8609
         3         0   5.58068   5.50368   5.42599   5.34761   5.26845   5.18855   5.10792   5.02645   4.94408    4.8609
         3         1   5.58068   5.50368   5.42599   5.34761   5.26845   5.18855   5.10792   5.02645   4.94408    4.8609
         3         2   5.58068   5.50368   5.42599   5.34761   5.26845   5.18855   5.10792   5.02645   4.94408    4.8609
         3         3   5.58068   5.50368   5.42599   5.34761   5.26845   5.18855   5.10792   5.02645   4.94408    4.8609
         3         4   5.58068   5.50368   5.42599   5.34761   5.26845   5.18855   5.10792   5.02645   4.94408    4.8609
         3         5   5.58068   5.50368   5.42599   5.34761   5.26845   5.18855   5.10792   5.02645   4.94408    4.8609
         3         6   5.58068   5.50368   5.42599   5.34761   5.26845   5.18855   5.10792   5.02645   4.94408    4.8609
         3         7   5.58068   5.50368   5.42599   5.34761   5.26845   5.18855   5.10792   5.02645   4.94408    4.8609
         3         8   5.58068   5.50368   5.42599   5.34761   5.26845   5.18855   5.10792   5.02645   4.94408    4.8609
         3         9   5.58068   5.50368   5.42599   5.34761   5.26845   5.18855   5.10792   5.02645   4.94408    4.8609
         3        10   5.58068   5.50368   5.42599   5.34761   5.26845   5.18855   5.10792   5.02645   4.94408    4.8609
         3        11   5.58068   5.50368   5.42599   5.34761   5.26845   5.18855   5.10792   5.02645   4.94408    4.8609
         3        12   5.58068   5.50368   5.42599   5.34761   5.26845   5.18855   5.10792   5.02645   4.94408    4.8609
         3        13   5.58068   5.50368   5.42599   5.34761   5.26845   5.18855   5.10792   5.02645   4.94408    4.8609
         3        14   5.58068   5.50368   5.42599   5.34761   5.26845   5.18855   5.10792   5.02645   4.94408    4.8609
         3        15   5.58068   5.50368   5.42599   5.34761   5.26845   5.18855   5.10792   5.02645   4.94408    4.8609
