*SSDNum  CHNum   mean1     mean2     mean3    sigma1    sigma2    sigma3     Chi21     Chi22     Chi23     Xmin1     Xmax1     Xmin2     Xmax2     Xmin3     Xmax3
0         0     255.462   269.436   282.222   3.79549   3.20483   3.15828   9.79063   16.8913   3.48234   247.955   260.991   264.826   274.028   277.606   288.853
0         1     248.622   262.713   275.546    3.8373   3.82487   3.49981   4.53757   8.85233   17.5508   241.573   254.597   257.406   267.875   272.217   286.006
0         2     240.945   254.874   267.606   3.83938   3.47012   3.22711    11.436   1.86663   8.39901   233.657   245.659   250.255   259.704   263.534   275.281
0         3     275.653   289.144    302.03   3.85543   3.71769   3.36782   10.0787   4.60023   5.25623   269.152   281.665   284.985   295.199    299.54   311.287
0         4     234.849   248.535    261.33   3.79679   3.43534   3.04892   14.8027   2.03727   10.2018   228.039   240.552   244.127    253.32   257.661   269.918
0         5      271.11   285.103   297.915   3.71735   3.76163   3.25281   15.6115     6.592   11.7349   264.045   276.813   280.388   290.092   294.178   305.924
0         6     274.755   288.918   301.694   3.66491   3.19163   3.23264   11.3189  0.967235   1.30135   268.514   280.005   284.602    294.05   298.391   308.606
0         7     264.673   278.861   291.705    3.9547   3.54559   3.48991   14.4818   4.23909   8.10381   257.533   270.046   274.387   284.091   287.921   300.689
0         8     245.555   259.769   271.876   3.75046   3.38791    3.5325   15.0493   7.31625   8.29278   238.764   251.532   254.597   266.343   269.408   283.453
0         9     243.192   257.013   269.743   3.83855   3.54288   3.30121   10.1568   13.3232   16.0727   236.466   249.234   252.298   263.023   265.577   277.324
0        10     262.321   276.136   288.766   4.00129   3.72223   3.30203   10.3814   8.63451   10.4443   254.597   268.386    270.94   282.431   284.985   297.753
0        11     236.911   250.946   263.299   3.71006   3.48978   3.80112    7.3294   8.00587   9.44463   229.826   242.594    246.68   255.363   259.959   272.217
0        12     268.698   282.835   295.564   3.92284   3.39557   3.10572     17.27    3.9667   9.89409   261.491   274.515    278.09   287.794    292.39   303.626
0        13       263.5   277.606   290.357    3.8677   3.68705   2.80498   19.2046   5.54621   13.2728   256.384   269.152   273.493   282.942   287.028   297.497
0        14     256.729   270.719   283.524   3.73383   3.41799   3.20295   6.69099   6.65245   8.99043       250   262.513   265.832   276.302   279.877   291.624
0        15     268.305   282.179   294.345   3.52406   3.24197   3.54802    7.2228   8.82407   4.40019   262.513    274.77    278.09   287.794   291.369   303.626
1         0      226.95   240.793   253.611   3.19221   2.93712   2.90452    9.2348   3.60046   4.53006   220.378   232.125     235.7   245.659   248.979   262.002
1         1     252.164   266.278   279.299   3.37774     3.411   3.02564   14.0684   9.13817   7.44745   245.787   258.044   261.108   271.323   275.409   288.177
1         2     239.077   253.397   266.538   3.31497   3.14825   2.85557   9.35857   17.5505   6.73052   231.997    245.02    248.34   260.087    262.64   274.898
1         3     247.462   261.749   274.636   3.36758   2.97115   2.95586   16.8786   9.79997   17.9115   240.679   253.958   257.278   267.237   271.067   282.303
1         4     257.639   271.834   285.041   3.27978   2.98356   3.10657   15.5939   15.0584   15.4261   251.149   263.151   266.726   276.941   280.771   292.007
1         5     232.512   246.564   259.505   3.33242    2.8607   2.59298   40.8183   6.60658   7.89327   225.358    237.87   241.701   252.171   256.001   266.726
1         6     261.355   275.643   288.589   3.32537   3.04079   3.02335   16.7282   13.0155   10.0529    254.98   266.982   270.812   281.027   284.857   298.647
