 *Fit function = par[0]+par[1]*x && y = a*x + b (y=Energy, x=Ch);  so I define a = par[1], b = par[0]
 *SSDNum  CHNum     par_a       Errpar_a          par_b        Errpar_b
    0      0      0.0251361    0.000350831       -1.51952      0.0944359
    0      1       0.024502    3.40323e-05       -1.18664     0.00893588
    0      2      0.0251095     0.00010241       -1.14781       0.026081
    0      3      0.0250117    0.000108356       -1.98645      0.0313334
    0      4      0.0253069    0.000211895       -1.03728      0.0526183
    0      5      0.0252097    0.000285693       -1.93313      0.0813614
    0      6      0.0246953    0.000224994       -1.88011      0.0649275
    0      7      0.0249256    0.000210065        -1.6932      0.0584849
    0      8      0.0252081    0.000209789       -1.28901      0.0543925
    0      9       0.024927     0.00010068       -1.15534      0.0258585
    0     10      0.0253529    1.35097e-05       -1.75042     0.00372836
    0     11       0.025158    0.000437197       -1.05605       0.109534
    0     12      0.0249225    0.000290865       -1.79329      0.0821578
    0     13      0.0248051    0.000400799       -1.63419       0.111177
    0     14      0.0249497    0.000280249       -1.50195      0.0758033
    0     15      0.0257437    0.000709055       -2.00435       0.199701
    1      0      0.0251036    7.57729e-05      -0.793837      0.0182344
    1      1      0.0245856    0.000108187       -1.29328       0.028779
    1      2      0.0242398    0.000135435       -0.89201      0.0343012
    1      3      0.0246333    0.000372154       -1.19063      0.0972556
    1      4      0.0244451    0.000122573       -1.39406      0.0332981
    1      5       0.025076    0.000237523       -0.92698      0.0584816
    1      6      0.0248558     0.00039122       -1.59602       0.107698
    1      7      0.0250744    0.000442662        -1.5533       0.120044
    1      8      0.0239591    0.000117986        -1.1147      0.0313277
    1      9       0.024364    0.000138632       -1.46916      0.0382129
    1     10      0.0244906    0.000484713       -1.34379       0.130438
    1     11      0.0241173    0.000294272       -1.20784       0.078758
    1     12      0.0247362    0.000246384       -1.15306      0.0637463
    1     13      0.0241823    8.93026e-05       -1.33875      0.0243194
    1     14      0.0243237    0.000224199      -0.948322      0.0571049
    1     15      0.0241869     1.4318e-05      -0.815985     0.00358925
    2      0      0.0257314    8.20443e-05       -1.06612      0.0201292
    2      1      0.0257514    0.000240842       -1.21005      0.0603883
    2      2      0.0254119    6.13277e-05       -1.11721      0.0153588
    2      3      0.0255071    6.36207e-06       -1.28068      0.0016281
    2      4       0.025141    2.90015e-05       -1.20109     0.00743802
    2      5       0.025958    0.000187432       -1.62375      0.0496071
    2      6      0.0254227    0.000122766       -1.57785      0.0329548
    2      7      0.0256779    0.000169181       -1.84836      0.0467436
    2      8      0.0255414    5.76514e-05       -1.25082      0.0146662
    2      9      0.0261446    0.000348657       -1.31841      0.0875506
    2     10      0.0256804    0.000167298       -1.78786      0.0458252
    2     11      0.0251368    2.94015e-05       -1.31389     0.00767369
    2     12      0.0257141    9.30578e-05       -1.59166      0.0247469
    2     13      0.0254805    0.000328701       -1.45612      0.0864657
    2     14      0.0263129    0.000188516       -1.99579      0.0518845
    2     15      0.0256286    8.80953e-05       -1.23153      0.0222686
    3      0              0              0              0              0
    3      1       0.019892     5.3579e-06       -1.29081     0.00176089
    3      2      0.0191439    7.89147e-06       -1.39191     0.00273654
    3      3      0.0202157    0.000293269       -1.45268      0.0971866
    3      4      0.0196879    4.10395e-05       -1.57552      0.0142205
    3      5      0.0199696    0.000189497       -1.40165      0.0630878
    3      6      0.0189364    2.32234e-05       -1.24464     0.00796101
    3      7      0.0197076    8.61964e-05       -1.36856      0.0289336
    3      8      0.0192829    7.02324e-05       -1.21473      0.0235343
    3      9      0.0194617    4.41425e-05       -1.00324      0.0141766
    3     10      0.0197701    5.28445e-05         -1.736      0.0186636
    3     11         0.0203    4.94737e-06       -1.35217     0.00160823
    3     12      0.0189882    3.49213e-05       -1.66873      0.0127177
    3     13      0.0196948    7.38382e-06       -1.31706     0.00246084
    3     14      0.0199173    6.35147e-07       -1.32073    0.000209431
    3     15      0.0196978    7.24088e-05       -1.12934      0.0234389
