*SSDNum  CHNum    mean     sigma   mean+5sigma      Chi2      Xmin      Xmax
    0     0    101.831    2.1282    112.472    176.612    93.4555    108.618
    0     1    93.8842    2.14716    104.62    46.2733    85.8741    101.554
    0     2    85.4495    2.16124    96.2557    26.2501    78.1203    92.9386
    0     3    121.228    2.14219    131.939    4.15946    114.132    130.501
    0     4    80.0924    2.1316    90.7504    10.9648    72.7788    88.9756
    0     5    111.511    2.16729    122.348    24.6968    104.138    119.991
    0     6    117.76    2.17421    128.631    456.688    108.618    125.332
    0     7    104.995    2.15814    115.785    10.6549    97.5909    111.548
    0     8    92.7885    2.12741    103.426    10.3791    85.8741    100.175
    0     9    87.5719    2.15102    98.327    75.0485    79.1541    94.834
    0     10    107.838    2.14846    118.58    28.0214    100.175    116.544
    0     11    80.008    2.13783    90.6972    9.48902    74.1573    86.391
    0     12    111.509    2.16935    122.356    7.77222    104.655    118.612
    0     13    107.082    2.16031    117.883    10.8202    99.6585    114.649
    0     14    101.193    2.1429    111.908    22.0799    92.7663    108.963
    0     15    111.447    2.13632    122.129    108.332    102.415    119.818
    1     0    74.7435    1.7024    83.2555    45.6975    68.6435    81.7387
    1     1    97.537    1.70608    106.067    10.2807    89.8371    103.966
    1     2    81.6043    1.74168    90.3127    15.0671    75.3634    87.7694
    1     3    89.4736    1.72072    98.0773    28.4126    83.1172    97.0739
    1     4    99.5777    1.70372    108.096    17.2974    92.2494    107.412
    1     5    75.1411    1.69983    83.6403    235.061    67.4373    81.911
    1     6    105.904    1.7093    114.45    10.4185    99.3139    112.409
    1     7    100.886    1.7162    109.467    37.6793    94.4893    106.895
    1     8    89.815    1.78937    98.7618    529.5    80.8772    98.6247
    1     9    103.995    1.71813    112.586    1248.68    96.2124    112.581
    1     10    98.7175    1.72023    107.319    135.517    90.8709    107.24
    1     11    90.7898    1.72783    99.429    167.87    82.4279    98.2801
    1     12    84.8127    1.69827    93.3041    12.6919    78.6372    91.2155
    1     13    100.256    1.70276    108.77    22.8929    92.4217    108.618
    1     14    83.8743    1.69335    92.341    15.0256    76.3972    92.2494
    1     15    83.0237    1.697    91.5087    9.18246    75.8803    90.354
    2     0    81.8868    0.786256    85.8181    36.9238    76.0526    87.4248
    2     1    83.8116    0.757352    87.5984    13.5368    78.9818    87.9417
    2     2    82.4596    0.751008    86.2147    68.1932    77.6034    88.114
    2     3    89.8598    0.738098    93.5503    36.2283    84.4956    95.5232
    2     4    92.1702    0.748938    95.9149    34.6915    87.7694    98.4524
    2     5    100.686    0.738765    104.38    57.6073    95.8678    105.689
    2     6    100.132    0.749281    103.879    10.3017    95.5232    105.862
    2     7    109.879    0.751709    113.637    27.8403    104.655    116.028
    2     8    91.4986    0.730117    95.1492    46.311    87.4248    95.8678
    2     9    85.5986    0.725736    89.2273    60.885    78.8095    93.2832
    2     10    109.768    0.731839    113.427    55.0762    105    115.338
    2     11    92.5082    0.738008    96.1983    23.8812    86.7356    99.1416
    2     12    101.652    0.725525    105.279    59.5077    97.2462    107.24
    2     13    93.9911    0.727993    97.6311    17.5344    87.5971    99.8308
    2     14    110.401    0.746587    114.134    43.8781    106.034    116.2
    2     15    82.7393    0.748494    86.4818    41.8547    77.2588    87.5971
    3     0    116.511    0.69172    119.969    5.02852    111.031    122.403
    3     1    79.4336    0.871212    83.7897    3336.43    73.2957    84.6679
    3     2    86.6444    0.848519    90.887    555.352    80.7049    93.6278
    3     3    82.9102    0.808752    86.9539    45.4941    78.1203    87.5971
    3     4    97.7264    0.784823    101.651    15.8955    93.1109    102.588
    3     5    78.7761    0.781576    82.684    13.9355    75.3634    82.6003
    3     6    80.9184    0.796564    84.9012    33.5403    75.5357    85.1848
    3     7    80.9264    0.796978    84.9113    13.3279    73.8127    85.7018
    3     8    76.8786    0.74508    80.604    28.0972    72.2619    80.7049
    3     9    75.6316    0.724039    79.2518    73.9166    70.7112    80.7049
    3     10    103.09    0.743557    106.807    50.8172    97.0739    109.48
    3     11    79.9299    0.71992    83.5295    51.5201    74.6742    84.3233
    3     12    104.906    0.742351    108.617    41.9708    99.3139    109.997
    3     13    83.6038    0.725457    87.2311    95.5443    78.1203    89.3202
    3     14    83.1047    0.732586    86.7677    24.2222    77.2588    90.354
    3     15    77.1602    0.744262    80.8815    38.7978    71.5727    82.4279
