*SSDNum  CHNum   mean1     mean2     mean3    sigma1    sigma2    sigma3     Chi21     Chi22     Chi23     Xmin1     Xmax1     Xmin2     Xmax2     Xmin3     Xmax3
0         0     255.292   269.124   282.247   3.87442   3.60105   2.96583   11.8143   23.2868    5.1663   249.119   260.622   262.858    274.68   278.834   289.378
0         1     248.469   262.548   275.979   3.97458   3.78341   3.13574   15.4802   11.9718   11.6708   241.005   254.092   256.646   267.818   273.244   284.417
0         2     240.939   254.684   267.569   3.87719   3.55934   3.29175   7.99964   5.97949   11.4932   233.663   246.751   248.666   262.072   263.668   276.756
0         3     275.447   288.998    301.82   3.90603     3.878   3.45757    10.308   8.41951   15.3191   267.818   281.224   284.417   295.269   296.865   314.102
0         4     234.816   248.487   260.882   3.68371   3.60227   3.25602   15.7785   3.22823   18.3075   228.716   240.526   244.037   254.252   255.848   270.212
0         5     271.082   285.048    297.29   3.83111   3.65864    3.6207   10.0164   10.9501   13.4785   264.466   277.554   279.469    290.96   293.195    307.24
0         6     274.668   288.659   301.667   3.77856   3.55701    3.1924   10.9727   11.4086   3.06559   267.658   280.426   283.299   295.748   297.983   309.155
0         7     264.624    278.54   291.213   3.85093   3.88746   3.88613   13.7001   25.3693   9.70837   258.721   268.935   271.808   283.618   285.534   299.259
0         8     245.454   259.176   272.098   3.82207   4.06366   3.50266   16.3692   62.3991   6.23479   237.653   251.379   252.337   265.424   267.658   280.746
0         9     243.051   256.834   269.821   3.84876   3.72452   3.36455    10.805   14.3875   27.9813   236.057   248.825   251.379   263.189   265.424   280.746
0        10     262.255   275.905   288.805   3.89751   3.84286   3.24634   17.6268   27.2246   12.5178   255.529   268.297   269.254    282.98   284.895   297.344
0        11     236.755   250.832   262.861   3.76451    3.5092   4.14221   4.22457   11.2615   13.3728   229.673   242.122   244.676   256.805   258.082   274.042
0        12     268.565   282.695   295.312    3.9446   3.42921    3.4759   21.1626   7.21873   11.4151   260.955   274.362   277.554   287.768    290.96   304.047
0        13     263.403   277.278   290.162   3.95441   4.17215   3.22452   24.4867   21.3933   15.3682   256.486   268.935    271.17   283.299   286.172   297.983
0        14     256.665   270.613   283.094   3.70766   3.79292   3.58718  0.740018   16.6428   14.2073   251.379   261.913   264.466       275   277.873   294.152
0        15     268.132   282.113   293.915    3.7683   3.27219   3.67455   13.3958   4.74784   4.91727   261.753   273.244   277.713    286.97   289.205   304.846
1         0     226.899   240.613   253.585   3.33269   3.13727   2.95171   11.5173   12.3927   3.50077   219.618    230.79   233.663   246.112   247.708   259.519
1         1     251.997   266.105   279.199    3.3317   3.35728   3.05466   13.8826   14.7752   7.78514   245.793   257.284   260.476    271.01   273.564   290.162
1         2     239.061   253.368   266.486   3.36806    3.1927   2.98604   10.2366   16.5724    12.855   232.067   244.516   247.389   259.519   261.434   277.075
1         3     247.305   261.536   274.455   3.37835   3.05119   3.03871   20.4586   13.7212   18.0904   241.005   253.135   256.327   267.818   269.733   286.332
1         4     257.524   271.708   284.701   3.41173   3.22771   3.12662   43.4541   21.8095   28.7844   250.262    263.03   266.222   277.075   279.309   294.631
1         5     232.414    246.34   258.775    3.1951   3.13177   3.33891   13.8176   8.49805    13.535   227.279   238.451   241.324   250.581   253.454   265.903
1         6     261.399   275.461   288.233   3.25701   3.24832   3.24404   5.34116   29.4165   10.6265   256.007   265.583   268.776   280.586   283.459   296.546
1         7     257.365   271.406   283.852   3.28698   3.39311   3.30318   16.1124   15.4989   19.9232     250.9   261.753   266.222   276.436   278.671   297.823
1         8     251.172   265.546   278.215   3.52726   3.42951   3.68923   7.28473   6.43541   33.6125   244.835   257.284   259.519    271.01   272.925   291.439
1         9      261.67   275.865   288.936   3.29436   3.21772   3.44068   2.87146   30.1359    8.4047   256.965   266.222    271.01    282.82   284.736   299.419
1        10     254.825   269.431   282.105   3.75517   3.35506   3.84425   57.6561   24.0005   13.0631    247.07   261.434   263.987    274.84   277.394   291.758
1        11     253.337     267.7   280.761   3.57176   3.40778   4.08524   25.9725   18.7639   22.4292    247.07   259.838   262.072   272.606   275.798   299.738
1        12     244.734   258.756   271.725   3.30886   3.64858   4.32658   2.18347   31.7491   15.6199   239.728   248.666   253.135   264.626    266.86   286.651
1        13     258.067   272.266   285.533   3.87899   3.87687   4.27278   96.3045   27.9486   11.1859   249.943    263.03   266.222   279.309   281.224   294.631
1        14     240.404    254.53    268.14   3.29611   3.32701     2.638   25.9499    94.036   13.8975   233.982   245.793   247.389   261.753   264.626   273.883
1        15      236.45   250.513   263.995   3.54923   3.35829   2.34733    9.2452   22.2076   16.5113   229.194   243.239   244.197   257.284   259.199   272.606
2         0     231.787   245.217   257.853   1.87936   1.60929   1.51269   56.7554   41.7857   14.0785   225.683   236.217    239.09   249.826   251.726   262.809
2         1     237.159   250.679   263.148   1.85939   1.78056   1.81595   205.521    180.89   19.7767    230.79   242.601   245.474   255.369   257.603   271.968
2         2     236.828   250.432   263.191   1.80252     1.582   1.53581   157.972   53.9605   13.5396   229.514   241.962   246.431    255.05   259.519   268.776
2         3     242.432   255.939    268.59   1.73515   1.71662    1.6513    99.043   67.8836   14.3767   237.494   246.751   251.219   259.199   264.307   273.883
2         4     242.845   256.384   269.297   1.65711   1.67025     1.361   29.0857   67.5049      6.64    238.77   246.751   251.219    263.03   266.222   275.479
2         5     251.389   264.712   277.082   1.70995   1.65208   1.43573   105.534   139.079   8.53473   246.431   255.369   258.242   270.052   272.925   283.459
2         6     254.931   268.516    281.18   1.65013   1.54081    1.4432   45.2175    38.296   19.2721   251.219    258.88   263.668   272.606   278.352   284.736
2         7     262.913   276.376   288.906   1.82279   1.63422   1.39605    67.824   43.8933   22.6035   257.923   265.903   271.968   281.224   285.374   297.185
