* Fit function: E_MeV = a * E_CH + b, then E_CH = 1/a * E_MeV - a/b 
* 1,2,3 represent using alpha peak1,peak2, and peak3 to calibrate the energy,respectively. 
* SSDNum  CHNum        a1        b1     1./a1      -a1/b1        a2        b2     1./a2      -a2/b2        a3        b3     1./a3     -a3/b3
      0    0      0.0326122   -3.4271   30.6634   105.087   0.0319726   -3.3599   31.2768   105.087   0.0314443  -3.30437   31.8023   105.087
      0    1      0.0322581  -3.11491   30.9999   96.5621   0.0316008  -3.05144   31.6448   96.5621   0.0311283  -3.00582   32.1251   96.5621
      0    2      0.0320633  -2.82143   31.1883   87.9955   0.0315007  -2.77192   31.7454   87.9955   0.0310246  -2.73002   32.2325   87.9955
      0    3      0.0322277  -3.97959   31.0292   123.484   0.0317237  -3.91735   31.5222   123.484   0.0312393  -3.85754    32.011   123.484
      0    4       0.032187  -2.65282   31.0685   82.4191   0.0316289  -2.60683   31.6166   82.4191   0.0311836  -2.57012   32.0682   82.4191
      0    5        0.03132  -3.58832   31.9285    114.57   0.0307971  -3.52841   32.4706    114.57    0.030385   -3.4812    32.911    114.57
      0    6      0.0318653  -3.85179   31.3821   120.877   0.0312856  -3.78171   31.9636   120.877   0.0308133  -3.72462   32.4535   120.877
      0    7      0.0313325  -3.38879   31.9158   108.156   0.0307369  -3.32437   32.5342   108.156   0.0304149  -3.28955   32.8786   108.156
      0    8      0.0324953  -3.07766   30.7737   94.7108   0.0317929  -3.01113   31.4536   94.7108   0.0314239  -2.97619   31.8229   94.7108
      0    9      0.0319719  -2.87285   31.2774   89.8553   0.0314069  -2.82208   31.8401   89.8553   0.0309707  -2.78288   32.2886   89.8553
      0   10       0.032119  -3.51968   31.1342   109.583   0.0315077  -3.45269   31.7383   109.583   0.0310937  -3.40733   32.1609   109.583
      0   11      0.0318003  -2.62971   31.4462   82.6945   0.0311927  -2.57946   32.0588   82.6945   0.0308485    -2.551   32.4165   82.6945
      0   12      0.0317332  -3.62159   31.5127   114.126   0.0311195  -3.55156   32.1341   114.126   0.0307204    -3.506   32.5517   114.126
      0   13      0.0319212  -3.51132   31.3271       110   0.0313824  -3.45205    31.865       110   0.0309249  -3.40173   32.3364       110
      0   14      0.0319922  -3.31125   31.2576   103.502   0.0313933  -3.24925    31.854   103.502   0.0309598  -3.20439      32.3   103.502
      0   15      0.0318137  -3.63199    31.433   114.164   0.0312573  -3.56847   31.9926   114.164   0.0309497  -3.53336   32.3104   114.164
