* Fit function: E_MeV = a * E_CH + b, then E_CH = 1/a * E_MeV - a/b 
* 1,2,3 represent using alpha peak1,peak2, and peak3 to calibrate the energy,respectively. 
* SSDNum  CHNum        a1        b1     1./a1      -a1/b1        a2        b2     1./a2      -a2/b2        a3        b3     1./a3     -a3/b3
      0    0      0.0309957  -3.00889   32.2625   97.0743    0.030501  -2.96086   32.7859   97.0743    0.030088  -2.92077   33.2359   97.0743
      0    1      0.0306998  -2.72387   32.5735   88.7261     0.03019  -2.67864   33.1236   88.7261   0.0297537  -2.63993   33.6093   88.7261
      0    2      0.0305552  -2.45788   32.7276   80.4405   0.0301169  -2.42262   33.2039   80.4405   0.0297735    -2.395   33.5869   80.4405
      0    3      0.0307787  -3.57384   32.4899   116.114   0.0303538   -3.5245   32.9448   116.114   0.0300016   -3.4836   33.3316   116.114
      0    4       0.030676  -2.29915   32.5988   74.9494   0.0302394  -2.26643   33.0694   74.9494    0.029965  -2.24586   33.3723   74.9494
      0    5      0.0298893  -3.19839   33.4568   107.008   0.0294747  -3.15402   33.9274   107.008     0.02928  -3.13319    34.153   107.008
      0    6      0.0303453  -3.43082    32.954   113.059   0.0298843   -3.3787   33.4624   113.059     0.02954  -3.33977   33.8524   113.059
      0    7      0.0298717  -3.00071   33.4765   100.453    0.029467  -2.96005   33.9363   100.453   0.0292067  -2.93391   34.2387   100.453
      0    8      0.0309713  -2.69797   32.2879   87.1118   0.0304984  -2.65677   32.7886   87.1118   0.0301183  -2.62366   33.2024   87.1118
      0    9      0.0305997  -2.53321   32.6801   82.7856   0.0301507  -2.49604   33.1667   82.7856   0.0297883  -2.46604   33.5702   82.7856
      0   10      0.0306722  -3.13986   32.6028   102.368   0.0302396  -3.09558   33.0692   102.368    0.029884  -3.05918   33.4627   102.368
      0   11      0.0302926  -2.26785   33.0114   74.8649   0.0298219  -2.23262   33.5324   74.8649   0.0296361   -2.2187   33.7426   74.8649
      0   12      0.0302577   -3.2221   33.0494   106.488   0.0297814  -3.17138    33.578   106.488   0.0295062  -3.14207   33.8911   106.488
      0   13      0.0304578  -3.11859   32.8324   102.391   0.0300061  -3.07235   33.3266   102.391   0.0296716   -3.0381   33.7023   102.391
      0   14      0.0304818  -2.91953   32.8065   95.7796   0.0300153  -2.87485   33.3163   95.7796   0.0297439  -2.84886   33.6203   95.7796
      0   15       0.030297  -3.21952   33.0066   106.265   0.0298422   -3.1712   33.5096   106.265   0.0296908  -3.15511   33.6804   106.265
      1    0      0.0292447  -1.73153   34.1942   59.2084    0.028928  -1.71278   34.5685   59.2084   0.0286633  -1.69711   34.8879   59.2084
      1    1      0.0282744  -2.22099   35.3677   78.5512   0.0279796  -2.19783   35.7403   78.5512   0.0277674  -2.18116   36.0134   78.5512
      1    2       0.027867  -1.75784   35.8848   63.0795   0.0275775  -1.73958   36.2614   63.0795   0.0273908   -1.7278   36.5086   63.0795
      1    3      0.0282366  -2.07898    35.415   73.6272   0.0279267  -2.05617    35.808   73.6272   0.0277425   -2.0426   36.0457   73.6272
      1    4      0.0281656  -2.34924   35.5043   83.4082   0.0278688  -2.32448   35.8825   83.4082   0.0276784  -2.30861   36.1292   83.4082
