* Fit function: E_MeV = a * E_CH + b, then E_CH = 1/a * E_MeV - a/b 
* 1,2,3 represent using alpha peak1,peak2, and peak3 to calibrate the energy,respectively. 
* SSDNum  CHNum        a1        b1     1./a1      -a1/b1        a2        b2     1./a2      -a2/b2        a3        b3     1./a3     -a3/b3
      0    0      0.0309664  -3.00604   32.2931   97.0743   0.0304643   -2.9573   32.8253   97.0743   0.0300922  -2.92118   33.2312   97.0743
      0    1      0.0306796  -2.72208    32.595   88.7261   0.0301423  -2.67441    33.176   88.7261   0.0298761  -2.65079   33.4716   88.7261
      0    2      0.0305562  -2.45796   32.7266   80.4405   0.0301086  -2.42195   33.2131   80.4405   0.0297697  -2.39469   33.5912   80.4405
      0    3      0.0307205  -3.56708   32.5515   116.114   0.0303492  -3.52397   32.9498   116.114   0.0299488  -3.47748   33.3903   116.114
      0    4      0.0306697  -2.29867   32.6055   74.9494   0.0302466  -2.26696   33.0616   74.9494   0.0299326  -2.24343   33.4083   74.9494
      0    5      0.0298769  -3.19706   33.4706   107.008    0.029473  -3.15384   33.9293   107.008   0.0293014  -3.13548    34.128   107.008
      0    6      0.0303331  -3.42944   32.9673   113.059   0.0298767  -3.37783   33.4709   113.059   0.0295885  -3.34525    33.797   113.059
      0    7      0.0298585  -2.99938   33.4913   100.453   0.0294232  -2.95565   33.9868   100.453   0.0291444  -2.92764   34.3119   100.453
      0    8      0.0309516  -2.69625   32.3085   87.1118    0.030416  -2.64959   32.8774   87.1118   0.0301325  -2.62489   33.1868   87.1118
      0    9      0.0305703  -2.53078   32.7115   82.7856   0.0301111  -2.49276   33.2104   82.7856   0.0297733   -2.4648   33.5871   82.7856
      0   10      0.0306488  -3.13747   32.6277   102.368    0.030225  -3.09408   33.0852   102.368   0.0298862  -3.05941   33.4602   102.368
      0   11      0.0302634  -2.26567   33.0432   74.8649   0.0298074  -2.23153   33.5488   74.8649   0.0295697  -2.21373   33.8184   74.8649
      0   12      0.0302162  -3.21767   33.0949   106.488   0.0297586  -3.16895   33.6037   106.488   0.0294933  -3.14069    33.906   106.488
      0   13      0.0304262  -3.11536   32.8664   102.391   0.0299757  -3.06924   33.3603   102.391   0.0296717  -3.03811   33.7021   102.391
      0   14      0.0304579  -2.91725   32.8322   95.7796   0.0300062  -2.87398   33.3264   95.7796   0.0296921   -2.8439    33.679   95.7796
      0   15       0.030271  -3.21676   33.0349   106.265   0.0298804  -3.17526   33.4667   106.265   0.0296488  -3.15064   33.7282   106.265
      1    0      0.0292308  -1.73071   34.2105   59.2084   0.0289185  -1.71222     34.58   59.2084   0.0286594  -1.69688   34.8925   59.2084
      1    1      0.0282355  -2.21793   35.4165   78.5512   0.0279604  -2.19632   35.7649   78.5512   0.0277516  -2.17993   36.0339   78.5512
      1    2      0.0278687  -1.75795   35.8825   63.0795   0.0275614  -1.73856   36.2826   63.0795   0.0273813   -1.7272   36.5213   63.0795
      1    3      0.0282106  -2.07707   35.4477   73.6272   0.0279012  -2.05429   35.8408   73.6272   0.0277413  -2.04251   36.0474   73.6272
      1    4      0.0281376  -2.34691   35.5396   83.4082   0.0278501  -2.32293   35.9065   83.4082   0.0276423   -2.3056   36.1764   83.4082
      1    5      0.0284648  -1.71542   35.1311   60.2646   0.0281895  -1.69883   35.4742   60.2646   0.0279777  -1.68607   35.7427   60.2646
