*SSDNum  CHNum    mean     sigma   mean+5sigma      Chi2      Xmin      Xmax
    0     0    114.108    0.582107    117.018    116634    110.514    118.095
    0     1    61.7811    0.604983    64.806    92606.7    56.4098    66.5758
    0     2    97.1877    0.581324    100.094    87903.5    92.7663    102.588
    0     3    62.1711    0.577278    65.0575    76252.4    56.4098    67.6096
    0     4    77.8289    0.59768    80.8173    128107    74.1573    82.9449
    0     5    61.5087    0.590132    64.4594    37419.6    56.9267    67.4373
    0     6    97.9189    0.604769    100.943    130534    92.0771    105.172
    0     7    60.6677    0.609178    63.7136    67025.8    55.0313    69.1604
    0     8    98.7674    0.614631    101.841    89826    91.5602    108.963
    0     9    96.7761    0.613886    99.8455    94628.7    89.8371    105.862
    0     10    100.107    0.584958    103.032    121656    95.8678    106.895
    0     11    96.5122    0.611475    99.5695    44547    91.3878    102.071
    0     12    73.9141    0.595786    76.893    113126    68.6435    77.948
    0     13    91.5628    0.605391    94.5898    47289.9    86.9079    96.557
    0     14    136.706    0.617355    139.793    76955    128.606    144.458
    0     15    83.8874    0.60771    86.9259    122666    80.188    89.3202
    1     0    125.571    0.555517    128.348    4483.72    117.578    131.707
    1     1    56.5399    0.546909    59.2744    5272.03    53.9975    61.5789
    1     2    86.5183    0.550149    89.269    5320.67    81.0495    92.0771
    1     3    80.873    0.537484    83.5604    3880.89    74.8465    87.9417
    1     4    63.4519    0.537014    66.137    5190.98    57.9605    71.4004
    1     5    65.775    0.531067    68.4303    6142.09    61.062    71.5727
    1     6    62.0721    0.538354    64.7639    275.327    57.6159    67.265
    1     7    58.0207    0.525543    60.6484    970.691    53.6529    61.4066
    1     8    58.6009    0.5452    61.3269    6163.4    54.3421    64.3358
    1     9    87.8235    0.539414    90.5206    5979.66    83.2895    92.594
    1     10    94.2651    0.54134    96.9718    2222.03    86.391    101.382
    1     11    84.705    0.542902    87.4195    5960.87    78.6372    87.4248
    1     12    100.775    0.549912    103.525    7340.64    94.1447    108.102
    1     13    77.0691    0.542797    79.7831    487.177    72.0896    85.0125
    1     14    73.6304    0.542224    76.3416    5674.61    69.505    78.6372
    1     15    69.8965    0.53764    72.5847    2828.65    66.0589    72.7788
    2     0    97.0632    0.567143    99.8989    1007.06    93.2832    103.622
    2     1    84.5131    0.567955    87.3529    8637.05    79.6711    88.8033
    2     2    103.413    0.56889    106.257    8012.73    98.9693    109.48
    2     3    102.67    0.565138    105.495    6990.61    98.2801    106.551
    2     4    112.591    0.571488    115.449    7239.64    107.412    117.234
    2     5    54.4978    0.587527    57.4354    7663.98    51.7575    59.6836
    2     6    86.3023    0.576761    89.1861    5703.99    81.911    92.0771
    2     7    68.1371    0.568852    70.9813    2238.34    62.6128    72.7788
    2     8    102.042    0.563528    104.86    749.824    95.6955    109.135
    2     9    97.527    0.5676    100.365    7784.54    93.1109    102.243
    2     10    77.2296    0.575656    80.1079    3364.92    71.5727    84.4956
    2     11    83.9592    0.55565    86.7375    389.526    78.4649    90.354
    2     12    104.43    0.578757    107.323    6533.64    97.4185    110.341
    2     13    96.8612    0.56836    99.703    2015.13    91.3878    102.76
    2     14    107.111    0.578244    110.002    1223.18    102.071    112.065
    2     15    92.5216    0.575905    95.4011    6284.8    87.4248    97.0739
    3     0    109.142    0.762916    112.957    836.34    101.554    118.268
    3     1    97.8976    0.676159    101.278    364.556    88.8033    105.345
    3     2    126.456    0.74883    130.2    355.713    119.646    132.397
    3     3    83.5937    0.657395    86.8807    1250.37    76.9142    90.5263
    3     4    115.721    0.655475    118.999    808.926    109.48    123.092
    3     5    117.371    0.654119    120.642    943.25    111.375    126.883
    3     6    106.91    0.665869    110.239    497.298    102.071    116.889
    3     7    150.177    0.668278    153.518    611.516    143.424    156.347
    3     8    122.277    0.713946    125.847    374.636    115.338    128.434
    3     9    127.275    0.655677    130.553    776.933    119.991    134.464
    3     10    122.848    0.665361    126.174    415.605    116.889    127.744
    3     11    110.768    0.653505    114.035    656.629    106.723    115.338
    3     12    113.465    0.655182    116.741    944.155    105.345    120.852
    3     13    117.964    0.6519    121.223    291.223    112.754    124.471
    3     14    100.759    0.815433    104.836    73.345    94.6617    106.551
    3     15    108.634    0.672216    111.995    746.196    101.554    116.028
