* SSDNum   CHNum  Mean  
    0      0       114.5 
    0      1        61.5 
    0      2        97.5 
    0      3        62.5 
    0      4        77.5 
    0      5        61.5 
    0      6        97.5 
    0      7        60.5 
    0      8        98.5 
    0      9        96.5 
    0     10       100.5 
    0     11        96.5 
    0     12        73.5 
    0     13        91.5 
    0     14       136.5 
    0     15        83.5 
    1      0       125.5 
    1      1        56.5 
    1      2        86.5 
    1      3        80.5 
    1      4        63.5 
    1      5        65.5 
    1      6        62.5 
    1      7        58.5 
    1      8        58.5 
    1      9        87.5 
    1     10        94.5 
    1     11        84.5 
    1     12       100.5 
    1     13        77.5 
    1     14        73.5 
    1     15        70.5 
    2      0        97.5 
    2      1        84.5 
    2      2       103.5 
    2      3       102.5 
    2      4       112.5 
    2      5        54.5 
    2      6        86.5 
    2      7        68.5 
    2      8       102.5 
    2      9        97.5 
    2     10        77.5 
    2     11        83.5 
    2     12       104.5 
    2     13        96.5 
    2     14       107.5 
    2     15        92.5 
    3      0       109.5 
    3      1        97.5 
    3      2       126.5 
    3      3        83.5 
    3      4       115.5 
    3      5       117.5 
    3      6       106.5 
    3      7       150.5 
    3      8       122.5 
    3      9       127.5 
    3     10       122.5 
    3     11       110.5 
    3     12       113.5 
    3     13       117.5 
    3     14       100.5 
    3     15       108.5 
