*SSDNum  CHNum   mean1     mean2     mean3    sigma1    sigma2    sigma3     Chi21     Chi22     Chi23     Xmin1     Xmax1     Xmin2     Xmax2     Xmin3     Xmax3
0         0     184.545   190.744   196.646   1.15978  0.980164   0.92558   122.372   2.45658   1.08687   181.029   186.798   188.591   193.347   194.673   199.818
0         1     132.381   138.608   144.413   1.08056  0.938887  0.893212   15.9969   2.43401   1.16453   129.905   134.812   136.681    141.12     142.6   147.507
0         2     167.591   173.684   179.529   1.05617   1.01988  0.926579   110.591   129.141   2.37587   165.048   169.877   171.435   175.952   177.588   182.261
0         3     133.352   139.453    145.19    1.0745   1.05562   1.00556   40.5223   52.5631     9.021   130.983   135.656   137.058   141.809   143.133   147.962
0         4     147.672   153.906    159.66   1.06419  0.981676  0.922941   116.959   14.8056   5.08867   145.126   150.188   151.668   156.497   157.977   162.417
0         5     134.463   140.498   146.293   1.03043   1.00792  0.990047   68.0618   48.2905   5.01159   132.397   136.681   138.005     142.6    144.08   149.376
0         6     167.743   173.808   179.516  0.962558  0.956997  0.989963   6.24407   2.36595     24.82   165.503   170.332   172.045   175.939   177.341   183.339
0         7     130.784    136.98    142.67   1.17636   1.03838  0.956307    98.631   29.3718   2.00192   128.347   133.176   134.812   139.563   140.653   146.806
0         8     168.927   174.939   180.714  0.967047  0.991456  0.927799   20.1047   32.0125   1.67505   166.749   170.877   172.746   177.341   178.743   183.806
0         9     167.499    173.56   179.344   1.07278    1.0581   0.97402   29.1668   38.9909   9.41407   165.126   169.643   171.279   175.718   177.354    183.04
0        10     170.146     176.2   182.016   1.02828   1.03313  0.960561     5.684   19.9789   4.22222   167.659    172.41   174.045   178.796   179.653   184.638
0        11     166.572   172.457   178.216   1.18001   1.10333  0.992685   121.851   59.4337   10.7153   163.892   169.656   170.279   174.952   176.042   181.417
0        12     142.942   149.047    154.88   1.12237   1.02077  0.859652   116.108   20.3629  0.757247   140.451    145.28   146.526   151.277   152.757   158.209
0        13     161.921   168.108   173.847   1.01997   1.07035   1.02064   10.6877    11.599   19.9483   160.099   164.383   165.941   170.302   171.393   176.845
0        14     206.683   212.801   218.633   1.00216  0.971686   0.93552  0.154861   2.04189   2.42266   204.542   208.825   210.617   215.446   217.003    221.91
0        15     154.092   160.202   165.977   1.10382   1.09239  0.902814   16.2833   19.8072   3.60482   151.775   156.604   157.617   162.602    163.77   168.988
1         0     220.842   228.381    235.35   1.01885  0.860306  0.987031   22.2866  0.822871   19.7434   218.559   223.817   226.628    231.16   233.336   238.866
1         1     152.204   159.627   166.706   1.10468   1.05663  0.997963   309.484   174.277   47.9178   149.287   154.817   157.084   162.885   164.064   169.956
1         2     181.453   188.666   195.649   1.30613   1.07764   1.01069   267.827   140.134   31.4427   178.426   183.412   186.041   191.208   193.475   199.367
1         3     175.621   183.049   190.025   1.05443  0.956539  0.943544   180.026   63.3171   7.49465   173.423   178.137   180.766   185.934   188.291   192.733
1         4      159.45   166.973   174.026   1.05506  0.982813  0.931663   145.268   35.1492   16.4255   156.514   161.863   165.035   169.296   172.197    176.73
1         5     158.539   165.725   172.654   1.04228   1.02663  0.854686   116.239   208.214   14.1392   155.976   161.052   163.228   168.123   171.024   175.557
1         6     156.817   164.149   171.164  0.976372   1.01214  0.978865    16.545    48.205    24.718   154.605   159.137   161.857   166.752     169.2   174.367
1         7     154.379   161.407   167.934   1.12518   1.32598   1.49201   57.3544   142.932   28.4176   151.528   156.333   159.052   164.038   165.942   172.106
1         8     154.204    161.73   168.755   1.04054   0.96078  0.995407   51.5983   34.7329   57.2283   151.786   157.044   159.854   165.021   166.472   172.002
1         9     182.652   190.005    197.06   1.09107   1.06641  0.967983   174.772   214.507   12.7333   179.879   185.137   187.313   193.206   195.109   200.639
1        10     191.001   198.527    205.59   1.10465   1.02769  0.986729   261.717   142.469   43.9785   187.965   193.676   195.942     201.2   203.285   209.631
1        11     180.098   187.493   194.592   1.14175   1.04943  0.931551   270.437   137.828   2.58302   176.789   182.772   184.948   190.568   192.563   198.183
