* Fit function: E_MeV = k * E_CH + h, then E_CH = 1/k * E_MeV - h/k 
* 1,2,3 represent using alpha peak1,peak2, and peak3 to calibrate the energy,respectively. 
* SSDNum  CHNum      k1        h1          k2           h2          k3          h3       k11=1./k1  h11=-h1/k1   k22=1./k2  h22=-h2/k2   k33=1./k3  h33=-h3/k3
    0       0   0.0608262    -6.32657   0.0605015    -6.29281   0.0601441    -6.25563     16.4403     104.011     16.5285     104.011     16.6267     104.011
    0       1   0.0614133    -3.22963   0.0610057    -3.20819   0.0606752    -3.19081     16.2831     52.5884     16.3919     52.5884     16.4812     52.5884
    0       2   0.0592601    -5.03248   0.0590682    -5.01619   0.0588907    -5.00111     16.8748      84.922     16.9296      84.922     16.9806      84.922
    0       3   0.0615939    -3.31447    0.061275    -3.29731   0.0608948    -3.27685     16.2354     53.8116     16.3199     53.8116     16.4218     53.8116
    0       4   0.0623768     -4.3121   0.0619005    -4.27918   0.0615428    -4.25445     16.0316     69.1299      16.155     69.1299     16.2489     69.1299
    0       5   0.0616191    -3.38696   0.0612983    -3.36933   0.0609644    -3.35098     16.2287     54.9661     16.3137     54.9661      16.403     54.9661
    0       6   0.0602558    -5.20341    0.060006    -5.18185   0.0597371    -5.15862     16.5959     86.3554      16.665     86.3554       16.74     86.3554
    0       7   0.0623495    -3.25492   0.0619009     -3.2315   0.0615866     -3.2151     16.0386     52.2044     16.1549     52.2044     16.2373     52.2044
    0       8   0.0594312    -5.14159   0.0593443    -5.13407   0.0591446     -5.1168     16.8262     86.5133     16.8508     86.5133     16.9077     86.5133
    0       9    0.059538    -5.07242   0.0593369    -5.05528   0.0591258     -5.0373      16.796     85.1963     16.8529     85.1963     16.9131     85.1963
    0      10   0.0606103    -5.40999   0.0603588    -5.38753   0.0600157    -5.35692     16.4988     89.2585     16.5676     89.2585     16.6623     89.2585
    0      11   0.0613733    -5.32263   0.0611307    -5.30159   0.0608189    -5.27455     16.2937     86.7254     16.3584     86.7254     16.4423     86.7254
    0      12   0.0628995     -4.0944    0.062518    -4.06957    0.062053     -4.0393     15.8984     65.0943     15.9954     65.0943     16.1153     65.0943
    0      13   0.0604091     -4.8784   0.0600751    -4.85143   0.0598073     -4.8298     16.5538      80.756     16.6458      80.756     16.7204      80.756
    0      14   0.0615573    -7.81877   0.0611726    -7.76991   0.0608859    -7.73349      16.245     127.016     16.3472     127.016     16.4242     127.016
    0      15    0.061791    -4.61742    0.061394    -4.58776   0.0610569    -4.56257     16.1836     74.7265     16.2882     74.7265     16.3782     74.7265
    1       0    0.047258    -5.52898   0.0471815    -5.52003   0.0470745    -5.50752     21.1604     116.996     21.1948     116.996     21.2429     116.996
    1       1    0.047436    -2.31853   0.0473041    -2.31209   0.0472455    -2.30922      21.081     48.8771     21.1398     48.8771      21.166     48.8771
    1       2   0.0473282    -3.68449   0.0473138    -3.68336   0.0472594    -3.67913      21.129     77.8497     21.1355     77.8497     21.1598     77.8497
    1       3   0.0478617    -3.50144   0.0477485    -3.49317    0.047631    -3.48457     20.8936     73.1576     20.9431     73.1576     20.9947     73.1576
    1       4   0.0474472    -2.66139    0.047356    -2.65628   0.0472421    -2.64989      21.076     56.0916     21.1166     56.0916     21.1675     56.0916
    1       5   0.0488782    -2.84909   0.0488063     -2.8449   0.0487168    -2.83968      20.459     58.2895     20.4891     58.2895     20.5268     58.2895
    1       6   0.0468123    -2.44162   0.0468579      -2.444    0.046758    -2.43879     21.3619     52.1576     21.3411     52.1576     21.3867     52.1576
    1       7   0.0483352    -2.56111   0.0483067     -2.5596   0.0484697    -2.56824     20.6888     52.9864     20.7011     52.9864     20.6315     52.9864
    1       8   0.0470592    -2.35265   0.0469656    -2.34797   0.0468736    -2.34337     21.2498     49.9934     21.2922     49.9934      21.334     49.9934
    1       9   0.0475577    -3.78692   0.0474636    -3.77942   0.0473909    -3.77363     21.0271     79.6278     21.0688     79.6278     21.1011     79.6278
    1      10   0.0469613    -4.06878   0.0468577     -4.0598   0.0467975    -4.05459     21.2941     86.6411     21.3412     86.6411     21.3687     86.6411
    1      11   0.0483678    -3.81568   0.0482727    -3.80818   0.0481532    -3.79875     20.6749     78.8889     20.7157     78.8889     20.7671     78.8889
    1      12   0.0471206     -4.2081   0.0471232    -4.20834   0.0471073    -4.20692     21.2222      89.305      21.221      89.305     21.2281      89.305
    1      13   0.0471436    -3.23122   0.0471164    -3.22935   0.0470778    -3.22671     21.2118       68.54     21.2241       68.54     21.2414       68.54
    1      14     0.04856    -3.20195   0.0484439     -3.1943   0.0484068    -3.19185     20.5931     65.9381     20.6424     65.9381     20.6583     65.9381
    1      15   0.0456577    -2.89681    0.045787    -2.90502   0.0458291    -2.90769     21.9021     63.4464     21.8402     63.4464     21.8202     63.4464
    2       0   0.0310176    -2.30128   0.0306335    -2.27278   0.0303922    -2.25488     32.2398     74.1927      32.644     74.1927     32.9032     74.1927
    2       1   0.0301523    -1.88804   0.0298041    -1.86624   0.0295742    -1.85184     33.1649     62.6168     33.5524     62.6168     33.8132     62.6168
    2       2   0.0307987    -2.50933   0.0304429    -2.48034   0.0301827    -2.45914     32.4689     81.4753     32.8484     81.4753     33.1316     81.4753
    2       3   0.0300662    -2.41607   0.0297758    -2.39273   0.0295436    -2.37407     33.2599     80.3581     33.5843     80.3581     33.8483     80.3581
    2       4   0.0303091    -2.71175   0.0299605    -2.68057   0.0296988    -2.65715     32.9934       89.47     33.3772       89.47     33.6714       89.47
    2       5   0.0291498   -0.940877   0.0288736   -0.931961   0.0286882   -0.925978     34.3055     32.2773     34.6337     32.2773     34.8575     32.2773
    2       6   0.0293892     -1.8655   0.0291002    -1.84716   0.0288816    -1.83328     34.0261     63.4758      34.364     63.4758     34.6241     63.4758
    2       7   0.0306531    -1.40065   0.0302732    -1.38329   0.0300274    -1.37206     32.6232     45.6937     33.0326     45.6937     33.3029     45.6937
    2       8   0.0297246    -2.37459   0.0294533    -2.35292   0.0291999    -2.33267     33.6422     79.8864     33.9521     79.8864     34.2467     79.8864
    2       9   0.0305371    -2.32632   0.0302312    -2.30301   0.0299914    -2.28475     32.7471     76.1801     33.0784     76.1801     33.3429     76.1801
    2      10   0.0303798    -1.66309   0.0300259    -1.64372   0.0297834    -1.63044     32.9167     54.7434     33.3045     54.7434     33.5758     54.7434
    2      11   0.0303574    -1.86975   0.0300388    -1.85013   0.0297744    -1.83385     32.9409     61.5914     33.2903     61.5914     33.5859     61.5914
    2      12   0.0301163    -2.45933   0.0297939      -2.433   0.0295415    -2.41239     33.2046     81.6611      33.564     81.6611     33.8506     81.6611
    2      13   0.0295926    -2.21423   0.0293125    -2.19327   0.0291031     -2.1776     33.7922     74.8237     34.1151     74.8237     34.3606     74.8237
    2      14   0.0296766    -2.50063   0.0293448    -2.47267   0.0291391    -2.45534     33.6966     84.2627     34.0776     84.2627     34.3181     84.2627
    2      15    0.030116    -2.10573   0.0297941    -2.08322    0.029589    -2.06888      33.205     69.9206     33.5637     69.9206     33.7964     69.9206
    3       0   0.0158017    -1.54242   0.0157674    -1.53907    0.015734    -1.53581     63.2842     97.6109      63.422     97.6109     63.5565     97.6109
    3       1    0.015802    -1.37118   0.0157891    -1.37005     0.01576    -1.36753     63.2829      86.772     63.3348      86.772     63.4517      86.772
    3       2   0.0157992    -1.81061   0.0157601    -1.80613   0.0157351    -1.80326     63.2944     114.602     63.4515     114.602     63.5524     114.602
    3       3   0.0157921    -1.13713   0.0157643    -1.13513   0.0157475    -1.13393      63.323     72.0066     63.4346     72.0066      63.502     72.0066
    3       4   0.0158948    -1.65424   0.0158614    -1.65076   0.0158292     -1.6474     62.9137     104.074      63.046     104.074     63.1745     104.074
    3       5   0.0158243    -1.67004   0.0158077    -1.66828   0.0157878    -1.66619      63.194     105.536     63.2605     105.536       63.34     105.536
    3       6   0.0158467     -1.5103   0.0158198    -1.50774   0.0157924    -1.50512     63.1046     95.3067     63.2118     95.3067     63.3216     95.3067
    3       7   0.0156743    -2.16524   0.0156523    -2.16221   0.0156267    -2.15866     63.7989      138.14     63.8883      138.14     63.9932      138.14
    3       8   0.0157258    -1.74257   0.0156863     -1.7382   0.0156594    -1.73522     63.5898      110.81     63.7499      110.81     63.8593      110.81
    3       9   0.0158062    -1.82746   0.0157804    -1.82448   0.0157455    -1.82044     63.2661     115.617     63.3696     115.617     63.5103     115.617
    3      10   0.0157149    -1.75151    0.015688    -1.74851     0.01567    -1.74651      63.634     111.456     63.7431     111.456     63.8163     111.456
    3      11   0.0161284     -1.6028   0.0161137    -1.60134   0.0160679    -1.59679     62.0025     99.3776     62.0591     99.3776     62.2357     99.3776
    3      12   0.0157677    -1.60686   0.0157399    -1.60403   0.0157197    -1.60197     63.4207     101.908     63.5329     101.908     63.6145     101.908
    3      13   0.0158803    -1.68167   0.0158583    -1.67934   0.0158302    -1.67637     62.9712     105.897     63.0586     105.897     63.1704     105.897
    3      14   0.0162369    -1.44518   0.0162126    -1.44302   0.0161828    -1.44036      61.588      89.006     61.6804      89.006     61.7941      89.006
    3      15   0.0158836     -1.5305   0.0158579    -1.52802   0.0158204     -1.5244     62.9579      96.357     63.0601      96.357     63.2097      96.357
