*SSDNum  CHNum    mean     sigma   mean+5sigma      Chi2      Xmin      Xmax
    0     0    113.801    0.540521    116.503    27.5886    109.825    116.372
    0     1    61.4875    0.533355    64.1543    52.502    57.9605    64.6805
    0     2    96.7265    0.538541    99.4192    48.005    92.594    100.175
    0     3    61.9014    0.541281    64.6078    0.95354    56.9267    67.782
    0     4    77.4544    0.532835    80.1186    25.8501    71.2281    82.7726
    0     5    61.2418    0.525993    63.8718    2.40009    57.2713    65.1974
    0     6    97.505    0.54825    100.246    18.4394    92.4217    103.622
    0     7    60.3174    0.536056    62.9977    1.91757    56.0652    66.0589
    0     8    98.4064    0.546096    101.137    7.68892    93.6278    104.138
    0     9    96.4007    0.538179    99.0916    3.05047    92.7663    100.692
    0     10    99.5737    0.5359    102.253    32.6131    95.5232    103.794
    0     11    96.0499    0.527982    98.6898    8.10618    90.5263    101.554
    0     12    73.4916    0.533534    76.1593    7.62386    68.6435    79.3264
    0     13    91.1235    0.530431    93.7756    4.02168    88.114    95.3509
    0     14    135.956    0.534332    138.628    3.24602    130.674    140.495
    0     15    83.4475    0.53149    86.1049    21.5191    78.4649    88.114
    1     0    126.19    0.54773    128.928    2.06952    119.646    132.224
    1     1    57.0857    0.521532    59.6933    0.889346    52.2744    61.9236
    1     2    86.9043    0.528172    89.5451    14.3288    79.8434    93.4555
    1     3    81.3131    0.540827    84.0172    10.5615    75.3634    85.5294
    1     4    63.8469    0.519771    66.4458    31.8425    58.3051    69.1604
    1     5    66.2881    0.520382    68.8901    17.1843    61.062    70.5388
    1     6    62.45    0.544588    65.1729    8.87417    58.1328    67.265
    1     7    64.1287    0.492544    66.5914    5.74151    60.0282    70.0219
    1     8    58.8881    0.52621    61.5192    10.683    55.3759    62.9574
    1     9    88.5813    0.539052    91.2765    6.20492    84.151    92.9386
    1     10    94.6425    0.531566    97.3004    34.8911    89.1479    100.003
    1     11    85.3448    0.536847    88.029    1.0059    80.3603    87.9417
    1     12    100.935    0.527283    103.571    0.840501    96.3847    104.828
    1     13    77.321    0.527439    79.9582    7.7418    72.6065    82.9449
    1     14    74.284    0.526196    76.915    10.0067    70.0219    78.2926
    1     15    76.4072    0.477757    78.796    0.117258    72.2619    80.7049
    2     0    96.8109    0.564567    99.6337    1.45323    92.594    102.071
    2     1    84.4385    0.571232    87.2946    22.8439    81.3941    87.7694
    2     2    103.299    0.562786    106.113    2.71728    98.4524    107.412
    2     3    102.667    0.565788    105.496    0.257267    97.9355    106.723
    2     4    112.449    0.563009    115.264    9.64137    106.895    117.578
    2     5    54.5205    0.581425    57.4277    20.5697    51.5852    58.8221
    2     6    86.1268    0.561812    88.9359    3.61805    81.0495    91.5602
    2     7    68.2304    0.568673    71.0737    3.73495    63.302    73.1234
    2     8    101.791    0.559174    104.587    3.58521    95.8678    107.068
    2     9    97.6708    0.561996    100.481    1.01247    93.2832    102.76
    2     10    77.0716    0.557777    79.8605    1.9933    73.985    80.8772
    2     11    83.999    0.560961    86.8038    2.04984    78.8095    89.3202
    2     12    104.202    0.561045    107.007    0.00614014    97.2462    109.997
    2     13    96.8663    0.561943    99.676    3.10015    91.3878    102.932
    2     14    106.925    0.575664    109.804    1.94601    102.071    112.065
    2     15    92.517    0.566056    95.3473    1.65757    86.7356    97.2462
    3     0    108.996    0.724818    112.62    4.09674    103.966    113.788
    3     1    97.7008    0.672303    101.062    1.3375    91.3878    103.449
    3     2    126.232    0.744503    129.954    13.6298    121.024    131.707
    3     3    83.5023    0.645407    86.7294    2.4758    76.9142    89.6648
    3     4    115.549    0.645044    118.774    7.43807    108.963    122.058
    3     5    117.188    0.65045    120.44    1.57215    110.686    123.781
    3     6    106.659    0.650109    109.91    18.4776    101.726    111.72
    3     7    149.843    0.64727    153.079    0.359072    143.08    154.107
    3     8    122.252    0.701197    125.758    10.6115    116.028    127.055
    3     9    126.992    0.645923    130.222    1.29107    122.403    131.535
    3     10    122.638    0.651101    125.894    6.25897    116.2    130.329
    3     11    110.594    0.643416    113.811    3.64015    103.277    116.717
    3     12    113.287    0.634603    116.46    6.96652    105.345    120.163
    3     13    117.799    0.635195    120.975    5.69625    110.686    122.92
    3     14    100.575    0.800626    104.578    1.24356    94.4893    105.517
    3     15    108.445    0.665292    111.772    9.72036    102.588    113.788
