* Silicon energy calibration parameters. Two sets of parameters: 
* 1.Just the average of the peak1 and the peak2 parameters 
* 2.Consider the dead layer effect, then the get the average of the peak1 and the peak2 parameters 
* Fit function: E_MeV = k * E_CH + h, then E_CH = 1/k * E_MeV - h/k 
* SSDNum  CHNum      k_average           h_average         k_deadlayer        h_deadlayer
    0      0      0.0606638            -6.30969           0.0604743            -6.28997
    0      1      0.0612095            -3.21891           0.0603019            -3.17118
    0      2      0.0591641            -5.02433           0.0591641            -5.02433
    0      3      0.0614345            -3.30589           0.0613298            -3.30025
    0      4      0.0621387            -4.29564           0.0606817            -4.19492
    0      5      0.0614587            -3.37814           0.0613365            -3.37143
    0      6      0.0601309            -5.19263           0.0601309            -5.19263
    0      7      0.0621252            -3.24321           0.0609008            -3.17929
    0      8      0.0593878            -5.13783           0.0593878            -5.13783
    0      9      0.0594375            -5.06385           0.0594375            -5.06385
    0     10      0.0604845            -5.39876           0.0604845            -5.39876
    0     11       0.061252            -5.31211            0.061252            -5.31211
    0     12      0.0627088            -4.08198           0.0621018            -4.04247
    0     13      0.0602421            -4.86491            0.059951            -4.84141
    0     14       0.061365            -7.79434           0.0606658            -7.70553
    0     15      0.0615925            -4.60259           0.0608028            -4.54357
    1      0      0.0472198             -5.5245           0.0472198             -5.5245
    1      1        0.04737            -2.31531             0.04737            -2.31531
    1      2       0.047321            -3.68392            0.047321            -3.68392
    1      3      0.0478051             -3.4973           0.0478051             -3.4973
    1      4      0.0474016            -2.65883           0.0474016            -2.65883
    1      5      0.0488422            -2.84699           0.0488422            -2.84699
    1      6      0.0468351            -2.44281           0.0468351            -2.44281
    1      7       0.048321            -2.56036            0.048321            -2.56036
    1      8      0.0470124            -2.35031           0.0470124            -2.35031
    1      9      0.0475107            -3.78317           0.0475107            -3.78317
    1     10      0.0469095            -4.06429           0.0469095            -4.06429
    1     11      0.0483203            -3.81193           0.0483203            -3.81193
    1     12      0.0471219            -4.20822           0.0471219            -4.20822
    1     13        0.04713            -3.23029             0.04713            -3.23029
    1     14       0.048502            -3.19813            0.048502            -3.19813
    1     15      0.0457224            -2.90091           0.0457224            -2.90091
    2      0      0.0308256            -2.28703           0.0289064            -2.14464
    2      1      0.0299782            -1.87714           0.0283064            -1.77245
    2      2      0.0306208            -2.49484           0.0289131             -2.3557
    2      3       0.029921             -2.4044           0.0287079            -2.30691
    2      4      0.0301348            -2.69616            0.028472            -2.54739
    2      5      0.0290117           -0.936419           0.0278861           -0.900089
    2      6      0.0292447            -1.85633           0.0280164            -1.77836
    2      7      0.0304632            -1.39197           0.0285665            -1.30532
    2      8       0.029589            -2.36376           0.0285186            -2.27825
    2      9      0.0303841            -2.31466           0.0290637            -2.21408
    2     10      0.0302028            -1.65341           0.0285005            -1.56021
    2     11      0.0301981            -1.85994            0.028771            -1.77204
    2     12      0.0299551            -2.44616           0.0284869            -2.32627
    2     13      0.0294526            -2.20375           0.0283099            -2.11825
    2     14      0.0295107            -2.48665           0.0279517            -2.35529
    2     15      0.0299551            -2.09448           0.0284956            -1.99243
    3      0      0.0157846            -1.54074           0.0157846            -1.54074
    3      1      0.0157955            -1.37061           0.0157955            -1.37061
    3      2      0.0157796            -1.80837           0.0157796            -1.80837
    3      3      0.0157782            -1.13613           0.0157782            -1.13613
    3      4      0.0158781             -1.6525           0.0158781             -1.6525
    3      5       0.015816            -1.66916            0.015816            -1.66916
    3      6      0.0158333            -1.50902           0.0158333            -1.50902
    3      7      0.0156633            -2.16372           0.0156633            -2.16372
    3      8       0.015706            -1.74038            0.015706            -1.74038
    3      9      0.0157933            -1.82597           0.0157933            -1.82597
    3     10      0.0157014            -1.75001           0.0157014            -1.75001
    3     11      0.0161211            -1.60207           0.0161211            -1.60207
    3     12      0.0157538            -1.60545           0.0157538            -1.60545
    3     13      0.0158693            -1.68051           0.0158693            -1.68051
    3     14      0.0162247             -1.4441           0.0162247             -1.4441
    3     15      0.0158708            -1.52926           0.0158708            -1.52926
