* Fit function: E_MeV = a * E_CH + b, then E_CH = 1/a * E_MeV - a/b 
* 1,2,3 represent using alpha peak1,peak2, and peak3 to calibrate the energy,respectively. 
* SSDNum  CHNum        a1        b1     1./a1      -a1/b1        a2        b2     1./a2      -a2/b2        a3        b3     1./a3     -a3/b3
      0    0      0.0607795  -6.32171   16.4529   104.011   0.0604855  -6.29114   16.5329   104.011   0.0601357  -6.25475   16.6291   104.011
      0    1      0.0614315  -3.23056   16.2783   52.5881   0.0610515  -3.21058   16.3796   52.5881   0.0607517  -3.19481   16.4605   52.5881
      0    2      0.0592286  -5.02981   16.8837    84.922   0.0591008  -5.01896   16.9202    84.922   0.0589174  -5.00338   16.9729    84.922
      0    3      0.0615976  -3.31471   16.2344   53.8124   0.0611934  -3.29296   16.3416   53.8124   0.0609466  -3.27968   16.4078   53.8124
      0    4      0.0623324   -4.3091    16.043   69.1309   0.0619173   -4.2804   16.1506   69.1309   0.0616033  -4.25869   16.2329   69.1309
      0    5      0.0616553    -3.389   16.2192   54.9669    0.061334  -3.37134   16.3042   54.9669    0.060971  -3.35139   16.4013   54.9669
      0    6      0.0602781  -5.20528   16.5898   86.3545   0.0600322  -5.18405   16.6577   86.3545   0.0598038  -5.16433   16.7213   86.3545
      0    7      0.0623001  -3.25232   16.0513   52.2041   0.0619422  -3.23364   16.1441   52.2041   0.0615918  -3.21534   16.2359   52.2041
      0    8      0.0595409  -5.15103   16.7952   86.5123   0.0593839  -5.13744   16.8396   86.5123   0.0591642  -5.11843   16.9021   86.5123
      0    9      0.0595533  -5.07366   16.7917   85.1954   0.0593464  -5.05604   16.8502   85.1954   0.0591378  -5.03827   16.9097   85.1954
      0   10      0.0606468  -5.41328   16.4889   89.2591   0.0603627  -5.38792   16.5665   89.2591   0.0601048  -5.36491   16.6376   89.2591
      0   11      0.0613605  -5.32159   16.2971   86.7267   0.0611494  -5.30329   16.3534   86.7267   0.0607925  -5.27233   16.4494   86.7267
      0   12      0.0629937   -4.1005   15.8746   65.0938   0.0625676  -4.07276   15.9827   65.0938   0.0620513  -4.03915   16.1157   65.0938
      0   13      0.0603473  -4.87334   16.5708   80.7549   0.0600819  -4.85191    16.644   80.7549   0.0597751  -4.82713   16.7294   80.7549
      0   14      0.0615353  -7.81595   16.2508   127.016    0.061178  -7.77057   16.3457   127.016   0.0608291  -7.72625   16.4395   127.016
      0   15      0.0617917  -4.61741   16.1834   74.7254    0.061353  -4.58463   16.2991   74.7254   0.0610608   -4.5628   16.3771   74.7254
      1    0      0.0472669     -5.53   21.1565   116.995   0.0471906  -5.52108   21.1906   116.995   0.0470771   -5.5078   21.2417   116.995
      1    1      0.0474404  -2.31873   21.0791   48.8767   0.0473843  -2.31599    21.104   48.8767   0.0472678   -2.3103    21.156   48.8767
      1    2      0.0474073  -3.69059   21.0938   77.8486   0.0473821  -3.68863    21.105   77.8486   0.0473031  -3.68248   21.1403   77.8486
      1    3      0.0478584  -3.50115    20.895   73.1565   0.0477842  -3.49572   20.9274   73.1565   0.0476942  -3.48914   20.9669   73.1565
      1    4      0.0474693  -2.66263   21.0663   56.0916   0.0473616  -2.65659   21.1142   56.0916   0.0472682  -2.65135   21.1559   56.0916
      1    5      0.0489321  -2.85221   20.4365   58.2891   0.0488407  -2.84688   20.4747   58.2891   0.0487716  -2.84285   20.5037   58.2891
      1    6      0.0468896  -2.44568   21.3267   52.1584   0.0468867  -2.44553    21.328   52.1584      0.0468  -2.44101   21.3675   52.1584
      1    7      0.0484098  -2.56508    20.657   52.9868   0.0484962  -2.56966   20.6202   52.9868   0.0485129  -2.57054   20.6131   52.9868
      1    8      0.0470964  -2.35448    21.233   49.9927    0.047012  -2.35026   21.2712   49.9927   0.0469203  -2.34567   21.3127   49.9927
      1    9      0.0476189  -3.79186   21.0001   79.6292   0.0475425  -3.78577   21.0338   79.6292   0.0474387   -3.7775   21.0799   79.6292
      1   10      0.0470068  -4.07272   21.2735   86.6411   0.0469277  -4.06587   21.3094   86.6411   0.0468416  -4.05841   21.3486   86.6411
      1   11      0.0484477  -3.82194   20.6408    78.888   0.0483448  -3.81382   20.6848    78.888   0.0482007  -3.80246   20.7466    78.888
      1   12      0.0472069  -4.21583   21.1833   89.3054   0.0471987   -4.2151    21.187   89.3054    0.047158  -4.21147   21.2053   89.3054
      1   13      0.0471942  -3.23466    21.189   68.5394   0.0471627  -3.23251   21.2032   68.5394    0.047115  -3.22924   21.2247   68.5394
      1   14      0.0485979   -3.2044    20.577   65.9369   0.0485325  -3.20008   20.6047   65.9369   0.0484357   -3.1937   20.6459   65.9369
      1   15      0.0457427  -2.90224   21.8614   63.4471   0.0458433  -2.90863   21.8134   63.4471   0.0458648  -2.90999   21.8032   63.4471
      2    0      0.0310598   -2.3044    32.196   74.1926   0.0306627  -2.27494    32.613   74.1926   0.0304336  -2.25795   32.8584   74.1926
      2    1      0.0301679  -1.88901   33.1479   62.6165   0.0298231  -1.86742   33.5311   62.6165   0.0296039  -1.85369   33.7793   62.6165
      2    2      0.0308258  -2.51154   32.4403   81.4753   0.0304691  -2.48248   32.8202   81.4753   0.0301928  -2.45997   33.1205   81.4753
      2    3      0.0301276  -2.42097   33.1922   80.3573   0.0298025  -2.39485   33.5542   80.3573   0.0295809  -2.37704   33.8056   80.3573
      2    4      0.0303403  -2.71456   32.9595   89.4705   0.0299841  -2.68269    33.351   89.4705   0.0297455  -2.66135   33.6185   89.4705
      2    5      0.0291828 -0.941952   34.2667   32.2776    0.028912 -0.933209   34.5877   32.2776   0.0287049 -0.926527   34.8372   32.2776
      2    6      0.0294274  -1.86793    33.982    63.476   0.0291208  -1.84847   34.3397    63.476   0.0289022  -1.83459   34.5995    63.476
      2    7      0.0306726  -1.40155   32.6024   45.6938   0.0303076  -1.38487    32.995   45.6938   0.0300635  -1.37372   33.2629   45.6938
      2    8      0.0297876  -2.37962    33.571   79.8863   0.0294758  -2.35471   33.9262   79.8863   0.0292555  -2.33711   34.1816   79.8863
      2    9      0.0305817  -2.32971   32.6992   76.1796   0.0302461  -2.30414   33.0621   76.1796   0.0299988  -2.28529   33.3347   76.1796
      2   10      0.0303843  -1.66335   32.9117   54.7436   0.0300507  -1.64509   33.2771   54.7436   0.0298078  -1.63179   33.5483   54.7436
      2   11       0.030398  -1.87224    32.897   61.5911   0.0300463  -1.85059   33.2819   61.5911   0.0297924  -1.83494   33.5656   61.5911
      2   12      0.0301562  -2.46261   33.1607   81.6617   0.0298004  -2.43355   33.5566   81.6617   0.0295733  -2.41501   33.8143   81.6617
      2   13      0.0296114  -2.21564   33.7708   74.8238   0.0293264  -2.19431   34.0989   74.8238   0.0291149  -2.17849   34.3466   74.8238
      2   14      0.0297115  -2.50357    33.657   84.2627   0.0293791  -2.47556   34.0378   84.2627   0.0291588    -2.457    34.295   84.2627
      2   15      0.0301278  -2.10655   33.1919   69.9204   0.0298325   -2.0859   33.5204   69.9204   0.0295992  -2.06959   33.7847   69.9204
      3    0      0.0158012  -1.54238   63.2865   97.6116   0.0157599  -1.53835   63.4521   97.6116   0.0157542  -1.53779   63.4751   97.6116
      3    1      0.0158184  -1.37261   63.2175   86.7729   0.0157872   -1.3699   63.3425   86.7729   0.0157578  -1.36735   63.4605   86.7729
      3    2      0.0158064  -1.81146   63.2656   114.603    0.015776  -1.80797   63.3876   114.603   0.0157538  -1.80543   63.4768   114.603
      3    3      0.0157997  -1.13769   63.2924   72.0069     0.01577  -1.13555   63.4115   72.0069   0.0157508  -1.13417   63.4887   72.0069
      3    4       0.015903  -1.65509    62.881   104.074   0.0158666   -1.6513   63.0256   104.074   0.0158364  -1.64816   63.1456   104.074
      3    5      0.0158311  -1.67075   63.1669   105.536   0.0158179  -1.66936   63.2194   105.536   0.0157996  -1.66743   63.2926   105.536
      3    6       0.015867  -1.51224    63.024   95.3078   0.0158257  -1.50831   63.1884   95.3078   0.0157997  -1.50583   63.2923   95.3078
      3    7      0.0156948   -2.1681   63.7154   138.141   0.0156716  -2.16489   63.8097   138.141    0.015648  -2.16163   63.9061   138.141
