* Fit function: E_MeV = a * E_CH + b, then E_CH = 1/a * E_MeV - a/b 
* 1,2,3 represent using alpha peak1,peak2, and peak3 to calibrate the energy,respectively. 
* SSDNum  CHNum        a1        b1     1./a1      -a1/b1        a2        b2     1./a2      -a2/b2        a3        b3     1./a3     -a3/b3
      0    0      0.0603301  -6.22441   16.5755   103.173   0.0600206  -6.19249   16.6609   103.173    0.059711  -6.16054   16.7473   103.173
      0    1      0.0607494  -3.12196   16.4611   51.3907   0.0603561  -3.10175   16.5683   51.3907   0.0599655  -3.08167   16.6763   51.3907
      0    2      0.0598567  -5.12056   16.7066   85.5469    0.059588  -5.09756   16.7819   85.5469   0.0593745   -5.0793   16.8423   85.5469
      0    3      0.0606568  -3.17899   16.4862   52.4095    0.060331  -3.16192   16.5752   52.4095   0.0601758  -3.15379    16.618   52.4095
      0    4      0.0612162  -4.12746   16.3355   67.4243   0.0608175  -4.10058   16.4426   67.4243   0.0604972  -4.07898   16.5297   67.4243
      0    5       0.060776  -3.25037   16.4539   53.4811   0.0604245  -3.23157   16.5496   53.4811   0.0601756  -3.21826    16.618   53.4811
      0    6      0.0605936  -5.24033   16.5034   86.4832   0.0602387  -5.20964   16.6006   86.4832   0.0598299  -5.17429    16.714   86.4832
      0    7      0.0614001  -3.12043   16.2866   50.8213   0.0609503  -3.09757   16.4068   50.8213   0.0608161  -3.09075    16.443   50.8213
      0    8      0.0596932  -5.17298   16.7523   86.6594   0.0595106  -5.15716   16.8037   86.6594   0.0593356  -5.14199   16.8533   86.6594
      0    9      0.0597063  -5.07614   16.7486   85.0185   0.0594702  -5.05607   16.8151   85.0185   0.0591926  -5.03246    16.894   85.0185
      0   10      0.0606449  -5.39568   16.4894   88.9717    0.060302  -5.36517   16.5832   88.9717   0.0599165  -5.33087   16.6899   88.9717
      0   11       0.061031  -5.24367   16.3851   85.9182   0.0607928  -5.22321   16.4493   85.9182   0.0604728  -5.19572   16.5364   85.9182
      0   12      0.0618918  -3.94565   16.1572   63.7508   0.0616459  -3.92997   16.2217   63.7508   0.0611576  -3.89884   16.3512   63.7508
      0   13      0.0604524  -4.87327   16.5419   80.6132   0.0601586  -4.84958   16.6227   80.6132   0.0598531  -4.82495   16.7076   80.6132
      0   14      0.0611224  -7.71024   16.3606   126.144   0.0607879  -7.66806   16.4506   126.144   0.0604257  -7.62236   16.5493   126.144
      0   15      0.0607569  -4.45073    16.459   73.2548   0.0604215  -4.42616   16.5504   73.2548   0.0601949  -4.40956   16.6127   73.2548
      1    0      0.0480552  -5.70734   20.8094   118.766   0.0479469  -5.69447   20.8564   118.766   0.0478124   -5.6785   20.9151   118.766
      1    1      0.0482856   -2.4466   20.7101   50.6693   0.0481789  -2.44119    20.756   50.6693   0.0480437  -2.43434   20.8144   50.6693
      1    2      0.0484656  -3.88657   20.6332   80.1923   0.0483685  -3.87878   20.6746   80.1923   0.0482271  -3.86744   20.7352   80.1923
      1    3      0.0487617  -3.65976   20.5079   75.0539   0.0486233  -3.64937   20.5663   75.0539   0.0484686  -3.63776   20.6319   75.0539
      1    4      0.0480372  -2.75508   20.8172    57.353   0.0478703  -2.74551   20.8898    57.353   0.0477791  -2.74028   20.9297    57.353
      1    5       0.049682  -2.97192    20.128   59.8189   0.0495611  -2.96469   20.1771   59.8189   0.0493517  -2.95216   20.2627   59.8189
      1    6      0.0478827  -2.60184   20.8844   54.3377   0.0477873  -2.59665   20.9261   54.3377   0.0477212  -2.59306    20.955   54.3377
      1    7      0.0484883  -2.57977   20.6235   53.2038   0.0484205  -2.57616   20.6524   53.2038   0.0483936  -2.57473   20.6639   53.2038
      1    8      0.0478463  -2.47694   20.9003   51.7687   0.0477521  -2.47206   20.9415   51.7687   0.0476006  -2.46422   21.0082   51.7687
      1    9      0.0485231  -3.95839   20.6087   81.5773   0.0484033  -3.94861   20.6597   81.5773   0.0482915  -3.93949   20.7076   81.5773
      1   10      0.0475484  -4.18475   21.0312   88.0105    0.047457  -4.17671   21.0717   88.0105   0.0473432   -4.1667   21.1224   88.0105
      1   11      0.0486586  -3.85734   20.5514   79.2737   0.0484773  -3.84297   20.6282   79.2737   0.0483562  -3.83337   20.6799   79.2737
      1   12      0.0484153  -4.45387   20.6546   91.9932   0.0483115  -4.44433    20.699   91.9932   0.0482346  -4.43725    20.732   91.9932
      1   13      0.0481527  -3.39977   20.7673   70.6039   0.0480055  -3.38938   20.8309   70.6039   0.0478702  -3.37982   20.8898   70.6039
      1   14      0.0492327  -3.31129   20.3117   67.2579   0.0491273   -3.3042   20.3553   67.2579   0.0489756    -3.294   20.4183   67.2579
      1   15      0.0484919  -3.10659    20.622   64.0642   0.0488498  -3.12952   20.4709   64.0642   0.0487601  -3.12378   20.5086   64.0642
      2    0       0.030928  -2.27763   32.3332   73.6429   0.0305543  -2.25011   32.7286   73.6429   0.0302945  -2.23098   33.0093   73.6429
      2    1      0.0299564  -1.84827   33.3819   61.6989   0.0296554  -1.82971   33.7206   61.6989    0.029454  -1.81728   33.9512   61.6989
      2    2      0.0306215  -2.46688   32.6568   80.5606   0.0302862  -2.43988   33.0183   80.5606   0.0300261  -2.41892   33.3044   80.5606
      2    3      0.0300133  -2.39367   33.3185   79.7536   0.0296841  -2.36741   33.6881   79.7536   0.0294638  -2.34984     33.94   79.7536
      2    4      0.0301536  -2.67136   33.1636   88.5916   0.0298068  -2.64063   33.5494   88.5916   0.0295507  -2.61794   33.8401   88.5916
      2    5      0.0291245 -0.933884   34.3353   32.0652   0.0288721 -0.925791   34.6355   32.0652   0.0286854 -0.919803    34.861   32.0652
      2    6      0.0293243  -1.84761   34.1015   63.0061    0.029028  -1.82894   34.4495   63.0061   0.0288183  -1.81573   34.7002   63.0061
      2    7      0.0304958  -1.36584   32.7914   44.7878   0.0301533   -1.3505   33.1638   44.7878   0.0298865  -1.33855     33.46   44.7878
      2    8      0.0295758    -2.331   33.8114   78.8145   0.0292608  -2.30618   34.1754   78.8145   0.0290667  -2.29088   34.4036   78.8145
