 *Fit function = par[0]+par[1]*x && y = a*x + b (y=Energy, x=Ch);  so I define a = par[1], b = par[0]
 *SSDNum  CHNum     par_a       Errpar_a          par_b        Errpar_b
    0      0      0.0824909    5.57708e-05          -5.49     0.00725745
    0      1      0.0835914    0.000416996       -4.99799      0.0510957
    0      2      0.0791285     0.00015993       -5.26699      0.0212454
    0      3      0.0810211    0.000197523       -5.14524      0.0253297
    0      4       0.081991    0.000517423       -5.64679      0.0687319
    0      5      0.0784745    0.000134022       -5.40949      0.0181954
    0      6      0.0784775    0.000865198       -6.37663       0.128118
    0      7      0.0792311     0.00079222       -5.58511       0.108284
    0      8       0.078692    0.000174006       -6.70371      0.0264195
    0      9      0.0781666    0.000130364       -5.01228      0.0171063
    0     10      0.0783835     0.00060753       -7.94734       0.102242
    0     11       0.080882      0.0010485       -5.19129       0.135284
    0     12      0.0838975    0.000222753       -4.01302      0.0245808
    0     13      0.0779803     0.00081578       -6.02141       0.117855
    0     14      0.0767258    0.000735676       -5.22804       0.100416
    0     15      0.0841678    0.000460411       -5.51112      0.0588351
    1      0       0.080264    0.000594887       -5.26562       0.077898
    1      1      0.0811218    0.000601363       -5.77587      0.0816945
    1      2      0.0627629    2.88799e-05       -4.44841     0.00446031
    1      3      0.0639481     0.00027096       -4.07146      0.0394758
    1      4      0.0649864    0.000681367       -6.05604       0.118482
    1      5      0.0621742    0.000638082       -5.25661       0.107772
    1      6      0.0637056    7.76079e-05       -4.20934      0.0115175
    1      7      0.0633182    5.63245e-05       -4.98579     0.00910051
    1      8      0.0639833    0.000744944       -5.67618       0.127147
    1      9      0.0631503     0.00088991       -4.09378       0.131602
    1     10      0.0627973    0.000518536       -5.17803       0.086063
    1     11      0.0634193    0.000607332       -5.48427       0.102744
    1     12      0.0625081    6.75174e-05       -4.15099       0.010149
    1     13      0.0642909     0.00069419       -4.63109       0.106637
    1     14      0.0648116    0.000389861       -6.26101      0.0692078
    1     15      0.0668723    0.000565348       -6.36701      0.0981634
    2      0      0.0256648    0.000124443       -1.54026      0.0329076
    2      1      0.0253089    3.97694e-05      -0.994924     0.00980833
    2      2      0.0256798    0.000129042       -1.19074       0.032349
    2      3      0.0257172    3.37286e-05      -0.469203     0.00749765
    2      4      0.0257994    0.000222783      -0.909887       0.053167
    2      5      0.0257227    0.000283282      -0.680794      0.0652859
    2      6      0.0251636    3.14252e-05       -0.74645     0.00748516
    2      7      0.0256683    0.000120138      -0.691929      0.0277981
    2      8      0.0254784    1.37258e-05       -1.18675     0.00346594
    2      9      0.0257579    0.000292288      -0.764811       0.068222
    2     10      0.0259594    5.64481e-05      -0.700124      0.0129326
    2     11      0.0254726    1.19589e-05       -1.03565     0.00294957
    2     12      0.0256075    0.000113902      -0.915002      0.0274091
    2     13      0.0255743    7.98878e-05      -0.728584      0.0186671
    2     14      0.0261204    0.000128341       -1.63427      0.0338083
    2     15      0.0254857    4.06987e-05      -0.426906     0.00906179
    3      0      0.0155614    4.83159e-05       -1.25744      0.0201947
    3      1      0.0155951    6.24429e-05       -1.19583      0.0257964
    3      2       0.015419    0.000124973       -1.10651      0.0514951
    3      3      0.0155068     4.2071e-05      -0.959476      0.0168387
    3      4      0.0155471    2.64905e-05      -0.910973      0.0104926
    3      5      0.0156411    3.73406e-05       -1.16311      0.0153028
    3      6      0.0154328    3.11329e-05       -1.28815       0.013183
    3      7      0.0153937    3.97507e-05       -1.18759      0.0166154
    3      8      0.0155295    2.80333e-05        -1.1993      0.0116364
    3      9      0.0153546    4.94617e-05       -1.04644      0.0202729
    3     10      0.0155239    8.10726e-05       -1.34698      0.0344351
    3     11      0.0156349    3.89721e-05       -1.24825      0.0161898
    3     12       0.015627    0.000114768       -1.37199      0.0486089
    3     13      0.0199556    0.000154205       -1.69407      0.0536321
    3     14      0.0200655    9.18973e-05       -1.74325      0.0320116
    3     15       0.015549    5.27429e-05       -1.38494      0.0224947
