*SSDNum  CHNum    mean     sigma   mean+5sigma      Chi2      Xmin      Xmax
    0     0    73.7191    0.530621    76.3722    3382.72    68.9881    79.4987
    0     1    66.873    0.530942    69.5277    1582.63    61.7513    71.2281
    0     2    76.7969    0.543899    79.5163    2294.05    71.4004    81.7387
    0     3    72.0988    0.534877    74.7731    404.972    67.6096    76.3972
    0     4    77.3801    0.538275    80.0715    2876.99    73.468    84.4956
    0     5    80.3744    0.538994    83.0694    2951.32    75.3634    87.7694
    0     6    93.4278    0.540325    96.1294    3426.09    88.4586    99.6585
    0     7    81.3753    0.552183    84.1362    2448.44    74.3296    89.8371
    0     8    95.774    0.522542    98.3867    3267.37    92.0771    102.76
    0     9    75.6516    0.530578    78.3045    3649.34    70.3665    80.3603
    0     10    112.94    0.521708    115.548    599.286    106.206    120.508
    0     11    72.9109    0.524429    75.5331    1142.63    67.4373    77.2588
    0     12    54.1823    0.519758    56.7811    1901.33    51.5852    57.4436
    0     13    89.3165    0.53053    91.9692    2901.05    84.151    95.3509
    0     14    81.1751    0.525443    83.8023    1236.76    74.8465    87.4248
    0     15    71.7131    0.530056    74.3634    3520.35    65.542    77.7757
    1     0    77.9651    0.562162    80.7759    1108.42    72.9511    83.1172
    1     1    80.8947    0.560866    83.6991    2103.9    74.1573    87.5971
    1     2    79.5438    0.587485    82.4812    5933.4    73.2957    84.6679
    1     3    71.223    0.581631    74.1312    2605.56    65.8866    79.1541
    1     4    100.716    0.579241    103.612    3960.48    92.9386    107.929
    1     5    93.3083    0.574351    96.1801    4199.12    87.7694    100.175
    1     6    74.4493    0.584025    77.3694    5939.01    70.1942    77.948
    1     7    86.8137    0.579694    89.7122    2112.97    80.3603    93.4555
    1     8    97.1506    0.566729    99.9842    13026.5    89.6648    104.655
    1     9    73.0817    0.561286    75.8881    18693.2    66.7481    83.8064
    1     10    91.5829    0.589147    94.5286    9972.69    84.151    99.8308
    1     11    95.7311    0.576915    98.6157    14528.8    89.1479    102.243
    1     12    75.7897    0.554771    78.5635    6912.26    69.8496    82.4279
    1     13    80.1342    0.553394    82.9011    1903.21    73.1234    85.8741
    1     14    104.806    0.561346    107.612    4915.2    95.6955    112.409
    1     15    102.626    0.568543    105.469    5246.73    93.8001    111.72
    2     0    102.431    0.530496    105.084    3311.58    96.557    108.791
    2     1    82.1717    0.524026    84.7918    2031.3    75.708    90.8709
    2     2    92.2261    0.525988    94.8561    2531.82    83.6341    99.6585
    2     3    63.6822    0.534339    66.3539    3549    57.099    71.5727
    2     4    80.9523    0.522468    83.5646    290.281    75.3634    87.9417
    2     5    71.7731    0.52378    74.392    3199.73    65.542    78.1203
    2     6    73.3796    0.539171    76.0755    3154.71    66.9204    81.911
    2     7    73.0827    0.523791    75.7016    488.599    67.0927    79.1541
    2     8    91.3753    0.507432    93.9125    8112.97    86.7356    96.7293
    2     9    74.5375    0.50995    77.0872    9525.63    68.8158    81.2218
    2     10    69.204    0.50799    71.744    1109.75    63.4743    75.1911
    2     11    87.4403    0.510979    89.9952    3263.7    82.2556    93.1109
    2     12    82.6899    0.509424    85.237    4525.74    75.5357    89.3202
    2     13    74.5563    0.509721    77.1049    4378.77    69.3327    80.5326
    2     14    109.057    0.49808    111.547    347.074    103.449    115.166
    2     15    61.7267    0.515912    64.3062    3753.03    55.7206    67.4373
    3     0    101.64    0.586035    104.57    2103.09    95.8678    107.585
    3     1    95.5378    0.591244    98.494    2181.67    91.2155    102.588
    3     2    90.2878    0.606483    93.3202    1390.38    86.2187    95.5232
    3     3    78.5685    0.612569    81.6314    2293.91    73.1234    84.4956
    3     4    78.9475    0.59409    81.918    474.642    72.4342    85.8741
    3     5    92.6112    0.67521    95.9872    652.841    87.2525    98.9693
    3     6    105.302    0.602441    108.314    1416    99.3139    111.72
    3     7    95.5089    0.665009    98.8339    1028.55    88.631    103.277
    3     8    96.4552    0.810984    100.51    3833.15    87.0802    105.517
    3     9    87.5482    0.580566    90.451    5609.89    82.4279    94.834
    3     10    104.368    0.609224    107.414    2077.56    97.9355    111.031
    3     11    100.064    0.591834    103.023    4836.33    95.1786    108.102
    3     12    108.088    0.566095    110.919    421.306    100.175    115.683
    3     13    102.603    0.5446    105.326    3350.23    96.557    108.618
    3     14    104.066    0.55499    106.841    228.407    97.5909    113.271
    3     15    109.319    0.596383    112.301    1695.74    101.898    116.372
