* SSDNum   CHNum  Mean  
    0      0        73.5 
    0      1        66.5 
    0      2        76.5 
    0      3        72.5 
    0      4        77.5 
    0      5        80.5 
    0      6        93.5 
    0      7        81.5 
    0      8        95.5 
    0      9        75.5 
    0     10       112.5 
    0     11        72.5 
    0     12        54.5 
    0     13        89.5 
    0     14        81.5 
    0     15        71.5 
    1      0        77.5 
    1      1        80.5 
    1      2        79.5 
    1      3        71.5 
    1      4       100.5 
    1      5        93.5 
    1      6        74.5 
    1      7        86.5 
    1      8        97.5 
    1      9        73.5 
    1     10        91.5 
    1     11        95.5 
    1     12        75.5 
    1     13        80.5 
    1     14       104.5 
    1     15       102.5 
    2      0       102.5 
    2      1        82.5 
    2      2        92.5 
    2      3        63.5 
    2      4        80.5 
    2      5        71.5 
    2      6        73.5 
    2      7        73.5 
    2      8        91.5 
    2      9        74.5 
    2     10        69.5 
    2     11        87.5 
    2     12        82.5 
    2     13        74.5 
    2     14       109.5 
    2     15        61.5 
    3      0       101.5 
    3      1        95.5 
    3      2        90.5 
    3      3        78.5 
    3      4        78.5 
    3      5        92.5 
    3      6       105.5 
    3      7        95.5 
    3      8        96.5 
    3      9        87.5 
    3     10       104.5 
    3     11       100.5 
    3     12       108.5 
    3     13       102.5 
    3     14       104.5 
    3     15       109.5 
