*SSDNum  CHNum   mean1     mean2     mean3    sigma1    sigma2    sigma3     Chi21     Chi22     Chi23     Xmin1     Xmax1     Xmin2     Xmax2     Xmin3     Xmax3
0         0     126.001   130.171   134.092  0.719501  0.658741  0.6295495.09048e-103.06533e-086.03843e-09   124.711   127.938   128.807   131.868   132.819   136.667
0         1     118.447   122.592    126.43  0.722827   0.73602  0.6569961.43071e-08  0.594067   20.2642    117.25   120.297   121.265   124.528    124.85   129.296
0         2     128.543   132.871   136.978  0.726976   0.76646   0.612411.00887e-08   29.14431.42524e-07   127.174   130.311   130.725   134.827   135.689   139.791
0         3     124.028   128.286   132.265   0.81364  0.827879  0.697588   108.001   161.399   9.05653   122.258   125.501   126.428   130.135    130.73   134.503
0         4     128.669   132.904   136.808  0.809443   0.75888  0.736224   22.7662   57.2584    16.803   127.381   130.752   131.289   134.731   135.484   139.535
0         5     131.421   135.813   139.926  0.756313   0.84913  0.5934581.64469e-073.00123e-081.17388e-09   130.033   133.413   134.356   137.447     138.6   142.059
0         6     143.719   148.177    152.22  0.794969  0.697947  0.7205034.35918e-071.27166e-096.76854e-10   141.892   145.341   146.585    149.92   150.655   153.878
0         7     132.364   136.773   140.785  0.764479  0.810446  0.7893893.8154e-075.27329e-09   11.5415   131.242   133.962   135.001    138.28    139.48   143.039
0         8     147.514   151.865   155.996  0.728964  0.754657  0.6631691.41563e-08   82.19583.19847e-07   145.795   149.449   150.311   153.896    154.62   157.998
0         9     126.858   131.266   135.396  0.820627  0.806389   0.64846   15.3329   126.475   7.46446    124.76   128.725   129.449   133.379   133.999   138.171
0        10     163.974   168.301    172.49  0.847192   0.86157  0.7196815.67337e-09   114.366 0.0395021   161.561   165.325   166.472   170.488   170.918   174.969
0        11     124.787   129.126   133.035  0.810621  0.677196  0.616386   1.496271.18749e-071.47195e-08   123.393   126.584   127.552   130.994   131.711   135.619
0        12     106.291   110.369   114.247  0.687016  0.675198  0.6423612.10627e-094.25202e-091.8901e-07   104.868   107.909   108.931   112.234   112.994   116.297
0        13     140.081   144.564   148.637  0.836552  0.753266  0.721497   115.448   1.17868   14.8947   137.993   142.122   142.858   146.761   147.383   151.852
0        14      132.08   136.486   140.779  0.845193  0.730913  0.575337   8.69579 1.586e-091.15168e-09   130.439   133.803   134.628   138.436   139.546   142.656
0        15     123.731   127.851    131.66  0.805116  0.843235  0.7718461.23481e-07   12.8715   3.65806   122.351   125.326   125.982   129.845   130.425   134.443
1         0      126.72   130.948   135.036  0.917574  0.814029  0.680814   13.5063   3.714841.11091e-08   124.381   128.553   129.403    132.88   133.536   137.284
1         1     131.636   135.924   139.862  0.812044  0.723259  0.6072663.21942e-093.73769e-078.68562e-10   130.059   133.219     134.7   137.581   138.621   142.262
1         2     149.014   154.485   159.648  0.878785  0.823345  0.828352   104.243   4.90335   2.59972   147.366   151.306   152.929   157.391   158.086   163.475
1         3     140.369   145.704   150.806  0.792318  0.808966   0.875481.20043e-09   28.4729   5.24285    138.78   142.461   143.858   147.729   149.379   154.456
1         4     168.683   173.878   178.954   0.83073  0.841712  0.814476  0.221475   78.3284   28.6264   166.758   170.674    171.63    175.91   177.276   182.375
1         5     163.454   168.886   174.189  0.868619  0.847561  0.722964    14.296   36.1742   1.13132   161.547   165.532   166.528   170.985   172.662   177.905
1         6     143.059   148.441   153.535  0.872973  0.800196  0.749274    94.223  0.769156   3.29042   141.342   145.116   146.742   150.569   152.194   156.546
1         7     156.196   161.614   166.736  0.935641  0.813218  0.775647   174.023   14.0333   17.2768   154.357   158.546   159.957   164.009   165.466   171.385
