* Fit function: E_MeV = k * E_CH + h, then E_CH = 1/k * E_MeV - h/k 
* 1,2,3 represent using alpha peak1,peak2, and peak3 to calibrate the energy,respectively. 
* SSDNum  CHNum      k1        h1          k2           h2          k3          h3       k11=1./k1  h11=-h1/k1   k22=1./k2  h22=-h2/k2   k33=1./k3  h33=-h3/k3
    0       0   0.0708401    -4.02193   0.0714979    -4.05927   0.0720598    -4.09117     14.1163     56.7747     13.9864     56.7747     13.8774     56.7747
    0       1   0.0712521    -3.53553   0.0719176    -3.56855   0.0725357    -3.59922     14.0347       49.62     13.9048       49.62     13.7863       49.62
    0       2   0.0700591    -4.10153   0.0706025    -4.13335   0.0710338     -4.1586     14.2737     58.5439     14.1638     58.5439     14.0778     58.5439
    0       3   0.0697449    -3.76181   0.0705103    -3.80309   0.0711297     -3.8365      14.338     53.9367     14.1823     53.9367     14.0588     53.9367
    0       4   0.0706524    -4.18501   0.0711326    -4.21345   0.0718211    -4.25424     14.1538     59.2338     14.0583     59.2338     13.9235     59.2338
    0       5   0.0700076     -4.2964    0.070493    -4.32619    0.071076    -4.36196     14.2842     61.3705     14.1858     61.3705     14.0695     61.3705
    0       6   0.0694313    -5.07453   0.0698852     -5.1077   0.0704064     -5.1458     14.4027      73.087     14.3092      73.087     14.2032      73.087
    0       7   0.0692309    -4.25961   0.0697408    -4.29098   0.0702959    -4.32513     14.4444     61.5276     14.3388     61.5276     14.2256     61.5276
    0       8   0.0691101    -5.29064   0.0696799    -5.33426   0.0702181    -5.37546     14.4697     76.5538     14.3513     76.5538     14.2413     76.5538
    0       9   0.0701699    -3.99755    0.070567    -4.02017   0.0710271    -4.04638     14.2511     56.9695     14.1709     56.9695     14.0791     56.9695
    0      10   0.0692354    -6.44922   0.0697599    -6.49808    0.070222    -6.54111     14.4435     93.1491     14.3349     93.1491     14.2406     93.1491
    0      11   0.0706019    -3.90613   0.0711522    -3.93658   0.0716967     -3.9667     14.1639     55.3261     14.0544     55.3261     13.9476     55.3261
    0      12   0.0710032    -2.63349   0.0716688    -2.65817   0.0722729    -2.68058     14.0839     37.0897     13.9531     37.0897     13.8364     37.0897
    0      13   0.0694135    -4.82625   0.0699317    -4.86227   0.0704286    -4.89682     14.4064     69.5289     14.2997     69.5289     14.1988     69.5289
    0      14   0.0705503    -4.41915   0.0710608    -4.45113   0.0714367    -4.47467     14.1743     62.6383     14.0724     62.6383     13.9984     62.6383
    0      15   0.0700794    -3.77778   0.0707885    -3.81601   0.0716562    -3.86279     14.2695     53.9072     14.1266     53.9072     13.9555     53.9072
    1       0   0.0693742    -3.89001   0.0700016    -3.92519   0.0705578    -3.95638     14.4146     56.0728     14.2854     56.0728     14.1728     56.0728
    1       1    0.066339    -3.82853   0.0671768    -3.87688   0.0678212    -3.91407     15.0741     57.7116     14.8861     57.7116     14.7447     57.7116
    1       2   0.0560069    -3.44174   0.0564019    -3.46601   0.0567383    -3.48669     17.8549     61.4521     17.7299     61.4521     17.6248     61.4521
    1       3   0.0562999    -2.99868   0.0567395     -3.0221   0.0571179    -3.04226      17.762     53.2627     17.6244     53.2627     17.5076     53.2627
    1       4   0.0560599    -4.55211   0.0566233    -4.59786   0.0569953    -4.62807     17.8381     81.2009     17.6606     81.2009     17.5453     81.2009
    1       5   0.0555705     -4.1786   0.0560102    -4.21166   0.0562806    -4.23199     17.9952     75.1945     17.8539     75.1945     17.7681     75.1945
    1       6   0.0563719    -3.16112   0.0568147    -3.18595   0.0571674    -3.20573     17.7393     56.0761     17.6011     56.0761     17.4925     56.0761
    1       7   0.0548708    -3.67092   0.0554062    -3.70674   0.0558069    -3.73355     18.2246     66.9012     18.0485     66.9012     17.9189     66.9012
    1       8   0.0551731     -4.2166   0.0556871    -4.25588   0.0561419    -4.29064     18.1248     76.4249     17.9575     76.4249      17.812     76.4249
    1       9   0.0559464    -3.06617   0.0564051    -3.09131   0.0567466    -3.11002     17.8742     54.8055     17.7289     54.8055     17.6222     54.8055
    1      10   0.0553563    -3.98908   0.0558834    -4.02707   0.0562803    -4.05566     18.0648     72.0619     17.8944     72.0619     17.7682     72.0619
    1      11   0.0530566    -3.78835   0.0536277    -3.82913   0.0541156    -3.86397     18.8478     71.4021     18.6471     71.4021     18.4789     71.4021
    1      12    0.056511    -3.28246   0.0569244    -3.30647    0.057168    -3.32062     17.6957     58.0852     17.5671     58.0852     17.4923     58.0852
    1      13   0.0562666    -3.43886   0.0567134    -3.46617   0.0570796    -3.48855     17.7725     61.1172     17.6325     61.1172     17.5194     61.1172
    1      14   0.0560244    -4.74674   0.0564907    -4.78625   0.0569548    -4.82558     17.8494     84.7264      17.702     84.7264     17.5578     84.7264
    1      15   0.0584635    -4.95111   0.0589901    -4.99571    0.059357    -5.02679     17.1047     84.6873      16.952     84.6873     16.8472     84.6873
    2       0   0.0288534    -2.33989    0.028617    -2.32073   0.0284443    -2.30672      34.658      81.096     34.9442      81.096     35.1564      81.096
    2       1   0.0284642    -1.73003   0.0282163    -1.71496   0.0280456    -1.70459     35.1318     60.7792     35.4406     60.7792     35.6563     60.7792
