*SSDNum  CHNum    mean     sigma   mean+5sigma      Chi2      Xmin      Xmax
    0     0    73.7883    0.518884    76.3828    6.05089    70.0815    78.2268
    0     1    66.8234    0.528061    69.4637    4.39546    62.5627    71.9612
    0     2    76.8723    0.539382    79.5692    6.00475    72.5877    82.2995
    0     3    72.1582    0.535113    74.8338    0.131161    66.1654    77.9135
    0     4    77.4272    0.534992    80.1022    1.41529    73.9975    82.2995
    0     5    80.3819    0.532931    83.0465    5.89801    76.3471    85.2757
    0     6    93.2392    0.527861    95.8785    10.8465    88.8784    97.4937
    0     7    81.3545    0.545008    84.0795    8.39885    78.6967    85.2757
    0     8    95.7202    0.52106    98.3255    2.44874    91.2281    101.566
    0     9    75.7281    0.519096    78.3235    11.6647    70.0815    81.9862
    0     10    112.894    0.510151    115.444    3.1809    107.989    116.917
    0     11    72.8193    0.524673    75.4427    3.39301    68.0451    78.6967
    0     12    54.2577    0.516597    56.8407    11.3484    51.1278    58.6466
    0     13    89.2708    0.525854    91.9    9.50004    84.4925    95.1441
    0     14    81.1926    0.519368    83.7895    4.76908    72.5877    88.0952
    0     15    71.5599    0.526346    74.1916    0.493434    66.4787    77.7569
    1     0    78.223    0.547149    80.9588    2.51095    72.7444    83.5526
    1     1    81.1794    0.552056    83.9397    0.464827    76.1905    86.6855
    1     2    79.7944    0.573753    82.6632    4.46145    75.4073    84.6491
    1     3    71.6299    0.571935    74.4896    5.62484    67.8885    76.0338
    1     4    101.002    0.560545    103.805    8.05177    96.5539    106.736
    1     5    93.5511    0.559465    96.3484    29.4833    89.6617    100.157
    1     6    74.7887    0.562096    77.5992    8.3394    68.8283    80.7331
    1     7    87.1601    0.564035    89.9803    2.4332    82.9261    92.9511
    1     8    97.3737    0.546324    100.105    5.03096    92.3246    101.723
    1     9    73.4802    0.547778    76.2191    17.4158    69.1416    79.1667
    1     10    92.2059    0.552622    94.969    14.4094    86.2155    98.9035
    1     11    95.9495    0.549545    98.6972    2.83757    90.6015    102.193
    1     12    75.9982    0.544456    78.7205    3.3012    70.8647    80.2632
    1     13    80.668    0.544912    83.3925    22.0254    76.5038    84.9624
    1     14    105.214    0.538191    107.905    7.90437    99.8434    110.965
    1     15    103.189    0.552504    105.952    18.471    98.9035    108.302
    2     0    102.841    0.516956    105.426    4.03244    94.5175    110.025
    2     1    82.751    0.526464    85.3834    2.02755    76.817    88.2519
    2     2    92.6249    0.529269    95.2713    6.13073    86.9987    97.807
    2     3    64.1921    0.52021    66.7932    8.27633    59.1165    69.1416
    2     4    81.269    0.527034    83.9041    4.31447    76.5038    86.0589
    2     5    72.2992    0.526823    74.9333    1.74155    66.6353    77.9135
    2     6    73.6134    0.530822    76.2676    33.8222    68.3584    78.8534
    2     7    73.4589    0.531722    76.1175    2.95262    68.8283    78.6967
    2     8    91.6446    0.499298    94.1411    8.75352    86.6855    96.3972
    2     9    74.9257    0.48756    77.3635    2.43305    68.8283    80.4198
    2     10    69.4422    0.510552    71.9949    0.0561961    64.4424    75.2506
    2     11    87.8293    0.496317    90.3109    10.2401    83.2393    92.7945
    2     12    82.7962    0.500787    85.3002    8.70005    77.287    87.312
    2     13    74.9286    0.493413    77.3957    14.2479    69.7682    80.4198
    2     14    109.126    0.493706    111.595    2.30043    103.289    115.038
    2     15    62.0311    0.501051    64.5363    0.280157    57.0802    66.792
    3     0    101.954    0.562189    104.765    1.7449    95.7707    107.989
    3     1    95.6615    0.581167    98.5673    5.10004    91.3847    100.627
    3     2    90.4512    0.600847    93.4554    15.0539    85.589    95.3008
    3     3    78.7428    0.601762    81.7516    8.86151    72.901    84.1792
    3     4    79.1798    0.578406    82.0719    5.28039    74.4674    84.4925
    3     5    92.6767    0.66292    95.9913    0.376878    87.782    97.9637
    3     6    105.405    0.589388    108.352    4.98252    98.4336    113.784
    3     7    95.5518    0.657554    98.8396    2.75324    90.7581    102.506
    3     8    96.6148    0.777341    100.502    39.7593    91.0714    102.976
    3     9    87.4551    0.572867    90.3194    22.8311    82.2995    92.0113
    3     10    104.519    0.608303    107.56    24.1479    98.7469    111.905
    3     11    100.194    0.595741    103.172    29.6251    95.4574    104.856
    3     12    108.048    0.556637    110.831    1.58593    102.036    113.941
    3     13    102.528    0.541391    105.235    5.66602    97.6504    108.302
    3     14    104.079    0.555948    106.859    1.02785    98.4336    109.398
    3     15    109.205    0.59225    112.166    1.7862    104.229    114.568
