* Silicon energy calibration parameters. Two sets of parameters: 
* 1.Just the average of the peak1 and the peak2 parameters 
* 2.Consider the dead layer effect, then the get the average of the peak1 and the peak2 parameters 
* Fit function: E_MeV = k * E_CH + h, then E_CH = 1/k * E_MeV - h/k 
* SSDNum  CHNum      k_average           h_average         k_deadlayer        h_deadlayer
    0      0       0.071169             -4.0406            0.071169             -4.0406
    0      1      0.0715849            -3.55204           0.0715849            -3.55204
    0      2      0.0703308            -4.11744           0.0703308            -4.11744
    0      3      0.0701276            -3.78245           0.0701276            -3.78245
    0      4      0.0708925            -4.19923           0.0708925            -4.19923
    0      5      0.0702503             -4.3113           0.0702503             -4.3113
    0      6      0.0696583            -5.09112           0.0696583            -5.09112
    0      7      0.0694859            -4.27529           0.0694859            -4.27529
    0      8       0.069395            -5.31245            0.069395            -5.31245
    0      9      0.0703684            -4.00886           0.0703684            -4.00886
    0     10      0.0694976            -6.47365           0.0694976            -6.47365
    0     11       0.070877            -3.92136            0.070877            -3.92136
    0     12       0.071336            -2.64583            0.071336            -2.64583
    0     13      0.0696726            -4.84426           0.0696726            -4.84426
    0     14      0.0708055            -4.43514           0.0708055            -4.43514
    0     15      0.0704339             -3.7969           0.0704339             -3.7969
    1      0      0.0696879             -3.9076           0.0696879             -3.9076
    1      1      0.0667579            -3.85271           0.0667579            -3.85271
    1      2      0.0562044            -3.45388           0.0562044            -3.45388
    1      3      0.0565197            -3.01039           0.0565197            -3.01039
    1      4      0.0563416            -4.57498           0.0563416            -4.57498
    1      5      0.0557904            -4.19513           0.0557904            -4.19513
    1      6      0.0565933            -3.17354           0.0565933            -3.17354
    1      7      0.0551385            -3.68883           0.0551385            -3.68883
    1      8      0.0554301            -4.23624           0.0554301            -4.23624
    1      9      0.0561757            -3.07874           0.0561757            -3.07874
    1     10      0.0556198            -4.00807           0.0556198            -4.00807
    1     11      0.0533422            -3.80874           0.0533422            -3.80874
    1     12      0.0567177            -3.29446           0.0567177            -3.29446
    1     13        0.05649            -3.45252             0.05649            -3.45252
    1     14      0.0562576            -4.76649           0.0562576            -4.76649
    1     15      0.0587268            -4.97341           0.0587268            -4.97341
    2      0      0.0287352            -2.33031           0.0279288            -2.26492
    2      1      0.0283402            -1.72249           0.0274136            -1.66618
    2      2      0.0293312            -2.08028           0.0281164            -1.99412
    2      3      0.0292105            -1.22307           0.0279751            -1.17134
    2      4      0.0292992            -1.71819           0.0280173            -1.64301
    2      5      0.0292224            -1.46396           0.0281822            -1.41186
    2      6      0.0281431            -1.43503           0.0274266            -1.39848
    2      7      0.0292451            -1.49522           0.0279828            -1.43068
    2      8      0.0287386            -1.98369           0.0277655            -1.91653
    2      9      0.0290918            -1.51558           0.0279801            -1.45766
    2     10      0.0289978             -1.3772            0.028033            -1.33137
    2     11      0.0291321            -1.91677            0.028306            -1.86243
    2     12      0.0291425             -1.7404           0.0280289            -1.67389
    2     13      0.0290556             -1.5186           0.0281814            -1.47291
    2     14      0.0297585            -2.57254           0.0288113            -2.49067
    2     15       0.028766             -1.1345           0.0277922             -1.0961
    3      0      0.0161077            -1.47813           0.0161077            -1.47813
    3      1      0.0160232             -1.3695           0.0160232             -1.3695
    3      2      0.0158236            -1.26675           0.0158236            -1.26675
    3      3      0.0158022            -1.07538           0.0158022            -1.07538
    3      4      0.0160416            -1.10256           0.0160416            -1.10256
    3      5      0.0160088            -1.30949           0.0160088            -1.30949
    3      6      0.0159854            -1.51688           0.0159854            -1.51688
    3      7      0.0158208            -1.36083           0.0158208            -1.36083
    3      8      0.0159596            -1.37269           0.0159596            -1.37269
    3      9      0.0157285            -1.19849           0.0157285            -1.19849
    3     10      0.0158876            -1.49784           0.0158876            -1.49784
    3     11      0.0161164            -1.44388           0.0161164            -1.44388
    3     12      0.0161011             -1.5692           0.0161011             -1.5692
    3     13      0.0161376            -1.48186           0.0161376            -1.48186
    3     14      0.0161545            -1.50566           0.0161545            -1.50566
    3     15      0.0160049            -1.57403           0.0160049            -1.57403
