* Fit function: E_MeV = a * E_CH + b, then E_CH = 1/a * E_MeV - a/b 
* 1,2,3 represent using alpha peak1,peak2, and peak3 to calibrate the energy,respectively. 
* SSDNum  CHNum        a1        b1     1./a1      -a1/b1        a2        b2     1./a2      -a2/b2        a3        b3     1./a3     -a3/b3
      0    0      0.0708647  -4.02332   14.1114   56.7747   0.0715417  -4.06176   13.9779   56.7747   0.0721074  -4.09387   13.8682   56.7747
      0    1      0.0712545   -3.5356   14.0342   49.6193   0.0718942  -3.56734   13.9093   49.6193    0.072537  -3.59924   13.7861   49.6193
      0    2       0.070136  -4.10603    14.258   58.5437   0.0705748  -4.13171   14.1694   58.5437   0.0711152  -4.16335   14.0617   58.5437
      0    3      0.0697908  -3.76429   14.3285   53.9368   0.0704432  -3.79948   14.1958   53.9368   0.0710219   -3.8307   14.0802   53.9368
      0    4      0.0706202  -4.18306   14.1603   59.2331   0.0710982  -4.21137    14.065   59.2331   0.0716018   -4.2412   13.9661   59.2331
      0    5      0.0699052  -4.29007   14.3051   61.3698   0.0704385   -4.3228   14.1968   61.3698   0.0709767  -4.35583   14.0891   61.3698
      0    6      0.0693986  -5.07219   14.4095   73.0878   0.0699735  -5.11421   14.2911   73.0878   0.0704169  -5.14661   14.2011   73.0878
      0    7      0.0691464  -4.25444   14.4621    61.528   0.0696884  -4.28779   14.3496    61.528     0.07019  -4.31865    14.247    61.528
      0    8      0.0690505  -5.28598   14.4822   76.5525   0.0696436  -5.33139   14.3588   76.5525   0.0701904  -5.37325    14.247   76.5525
      0    9      0.0700519  -3.99077   14.2751   56.9687   0.0705141   -4.0171   14.1816   56.9687   0.0709703  -4.04309   14.0904   56.9687
      0   10      0.0690738  -6.43412   14.4773   93.1485   0.0697519  -6.49728   14.3365   93.1485   0.0701993  -6.53896   14.2452   93.1485
      0   11      0.0703475  -3.89204   14.2151    55.326   0.0710663  -3.93181   14.0714    55.326   0.0716947  -3.96658    13.948    55.326
      0   12      0.0709321  -2.63083    14.098   37.0894   0.0716519  -2.65753   13.9564   37.0894   0.0721632  -2.67649   13.8575   37.0894
      0   13      0.0694041  -4.82563   14.4084   69.5294   0.0698623  -4.85748   14.3139   69.5294   0.0703667  -4.89256   14.2113   69.5294
      0   14      0.0706346  -4.42443   14.1574   62.6383   0.0711282  -4.45535   14.0591   62.6383   0.0714688  -4.47668   13.9921   62.6383
      0   15      0.0701147  -3.77963   14.2623   53.9064   0.0709313  -3.82366   14.0981   53.9064    0.071214   -3.8389   14.0422   53.9064
      1    0      0.0693723  -3.88991    14.415   56.0729   0.0700185  -3.92614   14.2819   56.0729    0.070425  -3.94894   14.1995   56.0729
      1    1      0.0663354  -3.82832   15.0749   57.7116   0.0671631  -3.87609   14.8891   57.7116   0.0679154  -3.91951   14.7242   57.7116
      1    2      0.0559705  -3.43946   17.8665   61.4512   0.0564371  -3.46813   17.7188   61.4512    0.056758  -3.48785   17.6187   61.4512
      1    3      0.0563555  -3.00165   17.7445   53.2627    0.056764  -3.02341   17.6168   53.2627   0.0571138  -3.04204   17.5089   53.2627
      1    4      0.0560979  -4.55526    17.826   81.2021    0.056649  -4.60002   17.6525   81.2021   0.0570106  -4.62938   17.5406   81.2021
      1    5      0.0556068  -4.18136   17.9834   75.1951   0.0560207  -4.21248   17.8505   75.1951   0.0563185  -4.23487   17.7562   75.1951
      1    6      0.0563717  -3.16108   17.7394   56.0757   0.0568476  -3.18777   17.5909   56.0757   0.0571871  -3.20681   17.4865   56.0757
      1    7      0.0549024  -3.67301   18.2141   66.9007   0.0554334  -3.70853   18.0397   66.9007   0.0558284  -3.73496    17.912   66.9007
      1    8      0.0551075  -4.21154   18.1463    76.424   0.0556606  -4.25381    17.966    76.424   0.0561233  -4.28917   17.8179    76.424
      1    9      0.0559448   -3.0661   17.8748   54.8059   0.0564035  -3.09124   17.7294   54.8059   0.0567769  -3.11171   17.6128   54.8059
      1   10      0.0554489  -3.99582   18.0346    72.063   0.0559633  -4.03288   17.8688    72.063   0.0563389  -4.05995   17.7497    72.063
      1   11      0.0529865  -3.78339   18.8727   71.4029   0.0536122  -3.82807   18.6525   71.4029   0.0540898  -3.86217   18.4878   71.4029
      1   12      0.0564755  -3.28035   17.7068   58.0846   0.0568876  -3.30429   17.5785   58.0846   0.0571665  -3.32049   17.4928   58.0846
      1   13      0.0562487  -3.43773   17.7782   61.1166   0.0567431  -3.46794   17.6233   61.1166   0.0571044  -3.49002   17.5118   61.1166
      1   14      0.0559601  -4.74121   17.8699   84.7249   0.0564782  -4.78511   17.7059   84.7249    0.056908  -4.82152   17.5722   84.7249
      1   15      0.0585411  -4.95776    17.082   84.6886    0.058981  -4.99501   16.9546   84.6886   0.0593762  -5.02848   16.8418   84.6886
      2    0      0.0288595   -2.3404   34.6506   81.0961   0.0286444  -2.32295   34.9108   81.0961   0.0284346  -2.30594   35.1684   81.0961
      2    1       0.028476  -1.73075   35.1173   60.7792   0.0282279  -1.71567   35.4259   60.7792   0.0281003  -1.70792   35.5868   60.7792
      2    2      0.0294877   -2.0914   33.9124   70.9243   0.0291812  -2.06966   34.2686   70.9243   0.0289631  -2.05418   34.5267   70.9243
      2    3      0.0293754  -1.22996   34.0421   41.8703   0.0291047  -1.21862   34.3587   41.8703   0.0289033  -1.21019   34.5982   41.8703
      2    4      0.0294439  -1.72666   33.9629   58.6424   0.0291808  -1.71123   34.2692   58.6424   0.0289643  -1.69853   34.5253   58.6424
      2    5      0.0293815  -1.47194   34.0351   50.0977   0.0291063  -1.45816   34.3568   50.0977   0.0289119  -1.44842   34.5879   50.0977
      2    6      0.0282728  -1.44166   35.3696   50.9909   0.0280301  -1.42928    35.676   50.9909    0.027887  -1.42198    35.859   50.9909
      2    7      0.0294122  -1.50376   33.9995    51.127   0.0291161  -1.48862   34.3453    51.127   0.0289439  -1.47982   34.5496    51.127
      2    8      0.0288735  -1.99299   34.6339    69.025    0.028594   -1.9737   34.9724    69.025   0.0284101  -1.96101   35.1988    69.025
      2    9       0.029235  -1.52304   34.2056   52.0966    0.028959  -1.50867   34.5315   52.0966    0.028759  -1.49825   34.7717   52.0966
      2   10      0.0291176  -1.38288   34.3435   47.4929    0.028894  -1.37226   34.6092   47.4929   0.0287146  -1.36374   34.8255   47.4929
      2   11      0.0293193   -1.9291   34.1073   65.7965   0.0290369  -1.91053   34.4389   65.7965   0.0288188  -1.89618   34.6995   65.7965
      2   12      0.0292793  -1.74857   34.1538   59.7203   0.0290064  -1.73227   34.4752   59.7203   0.0287728  -1.71832   34.7551   59.7203
      2   13      0.0292079  -1.52657   34.2373   52.2658   0.0289375  -1.51244   34.5572   52.2658   0.0287195  -1.50105   34.8196   52.2658
      2   14       0.029917  -2.58627   33.4259   86.4483   0.0296438  -2.56265   33.7339   86.4483   0.0294524  -2.54611   33.9531   86.4483
      2   15       0.028878  -1.13892   34.6284   39.4388   0.0286459  -1.12976    34.909   39.4388   0.0284735  -1.12296   35.1204   39.4388
      3    0      0.0161486   -1.4819   61.9249   91.7662    0.016108  -1.47817   62.0809   91.7662   0.0160871  -1.47625   62.1615   91.7662
      3    1        0.01605  -1.37181   62.3052   85.4708   0.0160217  -1.36939   62.4152   85.4708   0.0160009  -1.36761   62.4965   85.4708
      3    2      0.0158419  -1.26822   63.1237   80.0548   0.0158226  -1.26667   63.2009   80.0548   0.0157851  -1.26367   63.3508   80.0548
      3    3      0.0158343  -1.07754   63.1542   68.0512   0.0158203  -1.07659   63.2098   68.0512   0.0158005  -1.07524   63.2892   68.0512
      3    4      0.0160693  -1.10448   62.2303   68.7324   0.0160362  -1.10221   62.3587   68.7324   0.0160125  -1.10058   62.4513   68.7324
      3    5      0.0160311   -1.3113   62.3786   81.7971   0.0160022  -1.30893   62.4916   81.7971   0.0159807  -1.30717   62.5756   81.7971
      3    6      0.0160086  -1.51905   62.4663   94.8897   0.0159867  -1.51697   62.5521   94.8897   0.0159515  -1.51363     62.69   94.8897
      3    7      0.0158512  -1.36344   63.0867   86.0152   0.0158171  -1.36051   63.2228   86.0152   0.0157965  -1.35873   63.3053   86.0152
      3    8      0.0159937  -1.37561   62.5245   86.0094   0.0159616  -1.37285   62.6503   86.0094   0.0159348  -1.37054   62.7559   86.0094
      3    9      0.0157651  -1.20127   63.4312    76.198   0.0157455  -1.19977   63.5103    76.198   0.0157214  -1.19794   63.6076    76.198
      3   10      0.0159199  -1.50088   62.8144    94.277   0.0158891  -1.49797   62.9364    94.277   0.0158654  -1.49574   63.0302    94.277
      3   11      0.0161479  -1.44672   61.9276   89.5918   0.0161196  -1.44419   62.0362   89.5918   0.0160988  -1.44232   62.1165   89.5918
      3   12      0.0161262  -1.57165   62.0109   97.4594   0.0161046  -1.56954   62.0942   97.4594   0.0160801  -1.56716   62.1887   97.4594
      3   13      0.0205551  -1.88748   48.6497   91.8254    0.020519  -1.88416   48.7354   91.8254   0.0205027  -1.88266   48.7741   91.8254
      3   14      0.0206149  -1.92142   48.5086   93.2055   0.0205686  -1.91711   48.6178   93.2055   0.0205378  -1.91424   48.6906   93.2055
      3   15      0.0160336  -1.57685   62.3691   98.3466   0.0160089  -1.57442   62.4652   98.3466   0.0159973  -1.57328   62.5105   98.3466
