* Fit function: E_MeV = a * E_CH + b, then E_CH = 1/a * E_MeV - a/b 
* 1,2,3 represent using alpha peak1,peak2, and peak3 to calibrate the energy,respectively. 
* SSDNum  CHNum        a1        b1     1./a1      -a1/b1        a2        b2     1./a2      -a2/b2        a3        b3     1./a3     -a3/b3
      0    0      0.0686177  -3.74093   14.5735   54.5185   0.0694804  -3.78797   14.3926   54.5185    0.070148  -3.82436   14.2556   54.5185
      0    1      0.0692367  -3.29688   14.4432   47.6175   0.0700311  -3.33471   14.2794   47.6175    0.070673  -3.36527   14.1497   47.6175
      0    2      0.0674105  -3.76627   14.8345   55.8707   0.0681611  -3.80821   14.6711   55.8707   0.0688309  -3.84563   14.5284   55.8707
      0    3      0.0684652  -3.58637    14.606   52.3824   0.0691543  -3.62247   14.4604   52.3824   0.0697623  -3.65431   14.3344   52.3824
      0    4      0.0680035  -3.84574   14.7051    56.552   0.0687319  -3.88693   14.5493    56.552   0.0694516  -3.92763   14.3985    56.552
      0    5      0.0678835  -4.01589   14.7311   59.1586   0.0685332  -4.05432   14.5915   59.1586   0.0691503  -4.09084   14.4612   59.1586
      0    6      0.0676399  -4.81652   14.7842   71.2083    0.068285  -4.86246   14.6445   71.2083   0.0688757  -4.90453   14.5189   71.2083
      0    7      0.0676184  -4.04407   14.7889   59.8073   0.0682717  -4.08314   14.6474   59.8073    0.068834  -4.11677   14.5277   59.8073
      0    8      0.0672052  -5.00715   14.8798   74.5054   0.0678437  -5.05472   14.7398   74.5054   0.0684577  -5.10047   14.6076   74.5054
      0    9      0.0676613  -3.67762   14.7795   54.3534   0.0682531  -3.70978   14.6514   54.3534   0.0687499  -3.73679   14.5455   54.3534
      0   10      0.0685635  -6.33856    14.585    92.448   0.0691987  -6.39728   14.4511    92.448   0.0696582  -6.43976   14.3558    92.448
      0   11      0.0686555  -3.65927   14.5655   53.2989    0.069344  -3.69596   14.4209   53.2989   0.0700382  -3.73296   14.2779   53.2989
      0   12      0.0722061    -2.763   13.8492   38.2654   0.0728423  -2.78734   13.7283   38.2654   0.0733401  -2.80639   13.6351   38.2654
      0   13      0.0675853   -4.5618   14.7961   67.4969   0.0681524  -4.60008    14.673   67.4969   0.0686809  -4.63574   14.5601   67.4969
      0   14      0.0678603  -4.08247   14.7362   60.1599   0.0682935  -4.10853   14.6427   60.1599   0.0691489  -4.15999   14.4616   60.1599
      0   15      0.0681709  -3.53031    14.669   51.7862   0.0689977  -3.57313   14.4932   51.7862   0.0698058  -3.61498   14.3255   51.7862
      1    0      0.0694813  -3.90929   14.3924   56.2639   0.0702932  -3.95497   14.2261   56.2639   0.0709867  -3.99399   14.0871   56.2639
      1    1      0.0668109  -3.89172   14.9676   58.2498   0.0676472  -3.94044   14.7826   58.2498   0.0684227  -3.98561    14.615   58.2498
      1    2      0.0542253  -3.17316   18.4416   58.5182   0.0547478  -3.20374   18.2656   58.5182   0.0551282    -3.226   18.1395   58.5182
      1    3       0.054498  -2.74085   18.3493   50.2927   0.0550364  -2.76793   18.1698   50.2927   0.0554611  -2.78929   18.0307   50.2927
      1    4      0.0546816  -4.31673   18.2877   78.9429   0.0552771  -4.36374   18.0907   78.9429   0.0557019  -4.39727   17.9527   78.9429
      1    5       0.054139  -3.94088    18.471    72.792   0.0546292  -3.97657   18.3052    72.792   0.0550019   -4.0037   18.1812    72.792
      1    6      0.0546237  -2.90799   18.3071   53.2368   0.0551573   -2.9364     18.13   53.2368    0.055584  -2.95911   17.9908   53.2368
      1    7      0.0535569  -3.46077   18.6717   64.6186   0.0541459  -3.49883   18.4686   64.6186   0.0545525   -3.5251    18.331   64.6186
      1    8      0.0538447  -3.99414   18.5719   74.1789   0.0544511  -4.03912   18.3651   74.1789   0.0549064   -4.0729   18.2128   74.1789
      1    9      0.0541563  -2.81109   18.4651   51.9069   0.0547363  -2.84119   18.2694   51.9069    0.055109  -2.86054   18.1459   51.9069
      1   10      0.0538884  -3.75035   18.5569   69.5948   0.0544567   -3.7899   18.3632   69.5948   0.0548799  -3.81935   18.2216   69.5948
      1   11      0.0527195  -3.72763   18.9683    70.707   0.0533409  -3.77157   18.7473    70.707   0.0538379  -3.80672   18.5743    70.707
      1   12      0.0546379  -3.00701   18.3023   55.0352   0.0551158  -3.03331   18.1436   55.0352    0.055495  -3.05418   18.0196   55.0352
      1   13      0.0546585  -3.19992   18.2954    58.544   0.0551603   -3.2293    18.129    58.544   0.0556312  -3.25687   17.9755    58.544
      1   14      0.0544512  -4.47237   18.3651   82.1354   0.0550149  -4.51867   18.1769   82.1354   0.0555322  -4.56117   18.0076   82.1354
      1   15      0.0567117  -4.65253   17.6331   82.0383    0.057293  -4.70022   17.4541   82.0383   0.0577218   -4.7354   17.3245   82.0383
      2    0      0.0287157  -2.30277   34.8242   80.1919   0.0284748  -2.28345   35.1188   80.1919   0.0283163  -2.27074   35.3153   80.1919
      2    1      0.0284097  -1.71578   35.1993   60.3942   0.0281705  -1.70133   35.4981   60.3942   0.0280028  -1.69121   35.7107   60.3942
      2    2      0.0292998  -2.04795   34.1299   69.8965   0.0290242  -2.02869    34.454   69.8965   0.0288276  -2.01495    34.689   69.8965
      2    3      0.0292642  -1.20732   34.1714   41.2559   0.0289842  -1.19577   34.5016   41.2559   0.0287959    -1.188   34.7271   41.2559
      2    4      0.0293232  -1.69662   34.1027   57.8592   0.0290406  -1.68026   34.4346   57.8592   0.0288552  -1.66954   34.6558   57.8592
      2    5      0.0293057  -1.45476   34.1231   49.6409   0.0290408  -1.44161   34.4343   49.6409   0.0288486  -1.43207   34.6638   49.6409
      2    6        0.02826  -1.43819   35.3856   50.8913   0.0280297  -1.42647   35.6765   50.8913   0.0278433  -1.41698   35.9152   50.8913
      2    7      0.0292547  -1.47085   34.1826   50.2773   0.0289867  -1.45737   34.4986   50.2773   0.0288034  -1.44816   34.7181   50.2773
      2    8       0.028758  -1.96628   34.7729   68.3733   0.0285106  -1.94936   35.0747   68.3733   0.0283154  -1.93602   35.3165   68.3733
      2    9      0.0291197  -1.49598    34.341   51.3734   0.0288439  -1.48181   34.6693   51.3734   0.0286612  -1.47242   34.8904   51.3734
      2   10      0.0290822   -1.3709   34.3853    47.139   0.0288364  -1.35932   34.6784    47.139   0.0286722  -1.35158    34.877    47.139
      2   11      0.0291751  -1.89896   34.2758   65.0882   0.0289106  -1.88174   34.5893   65.0882   0.0287287   -1.8699   34.8084   65.0882
      2   12      0.0291662  -1.72098   34.2862    59.006   0.0288904  -1.70471   34.6136    59.006   0.0287139  -1.69429   34.8263    59.006
      2   13      0.0291262  -1.50905   34.3333   51.8109   0.0288645  -1.49549   34.6447   51.8109   0.0286694  -1.48539   34.8804   51.8109
      2   14      0.0298284   -2.5586   33.5251   85.7775    0.029544  -2.53421   33.8478   85.7775   0.0293468  -2.51729   34.0753   85.7775
      2   15      0.0288578  -1.13043   34.6527   39.1726   0.0286217  -1.12118   34.9386   39.1726   0.0284531  -1.11458   35.1456   39.1726
      3    0      0.0162759  -1.54122   61.4406   94.6938   0.0162462  -1.53841    61.553   94.6938   0.0162038   -1.5344   61.7139   94.6938
      3    1      0.0162018  -1.43096   61.7217   88.3216   0.0161626  -1.42751   61.8712   88.3216   0.0161277  -1.42442   62.0053   88.3216
      3    2      0.0160022  -1.33205   62.4914   83.2418   0.0159545  -1.32808   62.6782   83.2418   0.0159306  -1.32609   62.7723   83.2418
      3    3      0.0160063  -1.14356   62.4756   71.4445   0.0159668  -1.14074   62.6299   71.4445   0.0159333  -1.13835   62.7616   71.4445
      3    4      0.0162302  -1.16464   61.6136   71.7577   0.0161896  -1.16173   61.7679   71.7577   0.0161491  -1.15882    61.923   71.7577
      3    5      0.0162199  -1.38596   61.6527    85.448   0.0161834  -1.38284   61.7917    85.448   0.0161607   -1.3809   61.8786    85.448
      3    6      0.0161489   -1.5785   61.9238   97.7465   0.0161214  -1.57581   62.0294   97.7465   0.0160841  -1.57217   62.1731   97.7465
      3    7      0.0159984  -1.42576   62.5061   89.1187   0.0159557  -1.42195   62.6737   89.1187   0.0159295  -1.41962   62.7765   89.1187
      3    8      0.0161455  -1.44048   61.9369   89.2191   0.0161087   -1.4372   62.0783   89.2191   0.0160825  -1.43486   62.1794   89.2191
      3    9      0.0159336  -1.26847   62.7603   79.6093   0.0159031  -1.26603   62.8809   79.6093   0.0158797  -1.26417   62.9735   79.6093
      3   10      0.0160748  -1.56601   62.2091   97.4201   0.0160438  -1.56299   62.3292   97.4201   0.0160132  -1.56001   62.4483   97.4201
      3   11      0.0163086  -1.51233   61.3174   92.7322   0.0162737   -1.5091   61.4488   92.7322   0.0162448  -1.50641   61.5582   92.7322
      3   12      0.0163082  -1.64333    61.319   100.767   0.0162636  -1.63884   61.4871   100.767   0.0162458  -1.63705   61.5542   100.767
      3   13      0.0208095  -1.97202   48.0551   94.7655   0.0207565    -1.967   48.1778   94.7655   0.0207037  -1.96199   48.3006   94.7655
      3   14      0.0209135  -2.01858   47.8159   96.5205   0.0208527  -2.01271   47.9554   96.5205   0.0208159  -2.00916   48.0402   96.5205
      3   15      0.0162213  -1.65367   61.6474   101.945   0.0161789  -1.64935   61.8089   101.945   0.0161502  -1.64643   61.9187   101.945
