* SSDNum     ChNum     CsIEChCut
    0         0          150
    0         1          150
    0         2          150
    0         3          150
    0         4          150
    0         5          150
    0         6          150
    0         7          150
    0         8          150
    1         0          150
    1         1          150
    1         2          150
    1         3          150
    1         4          150
    1         5          150
    1         6          150
    1         7          150
    1         8          150
    2         0          150
    2         1          150
    2         2          150
    2         3          150
    2         4          150
    2         5          150
    2         6          150
    2         7          150
    2         8          150
    3         0          150
    3         1          150
    3         2          150
    3         3          150
    3         4          150
    3         5          150
    3         6          150
    3         7          150
    3         8          150
