* Fit function: E_MeV = a * E_CH + b, then E_CH = 1/a * E_MeV - a/b 
* 1,2,3 represent using alpha peak1,peak2, and peak3 to calibrate the energy,respectively. 
* SSDNum  CHNum        a1        b1     1./a1      -a1/b1        a2        b2     1./a2      -a2/b2        a3        b3     1./a3     -a3/b3
      0    0      0.0272084  -2.64123   36.7534   97.0743   0.0271859  -2.63905   36.7838   97.0743    0.027141  -2.63469   36.8446   97.0743
      0    1      0.0269574  -2.39183   37.0955   88.7261   0.0269115  -2.38775   37.1589   88.7261   0.0269053   -2.3872   37.1674   88.7261
      0    2      0.0268495  -2.15979   37.2446   80.4405   0.0268734  -2.16171   37.2116   80.4405   0.0268597  -2.16061   37.2305   80.4405
      0    3       0.027012  -3.13647   37.0206   116.114   0.0270843  -3.14487   36.9217   116.114    0.027065  -3.14262   36.9481   116.114
      0    4      0.0269626  -2.02083   37.0885   74.9494   0.0269913  -2.02298    37.049   74.9494   0.0270041  -2.02394   37.0314   74.9494
      0    5      0.0262546  -2.80945   38.0885   107.008   0.0262976  -2.81405   38.0263   107.008   0.0263269  -2.81718   37.9839   107.008
      0    6      0.0266481  -3.01281   37.5261   113.059   0.0266578  -3.01391   37.5125   113.059   0.0266469  -3.01268   37.5278   113.059
      0    7      0.0262421   -2.6361   38.1068   100.453   0.0262277  -2.63465   38.1277   100.453   0.0263324  -2.64517   37.9761   100.453
      0    8      0.0271865  -2.36826    36.783   87.1118   0.0271049  -2.36115   36.8938   87.1118   0.0271848  -2.36812   36.7853   87.1118
      0    9      0.0268576  -2.22342   37.2335   82.7856   0.0268715  -2.22457   37.2141   82.7856   0.0268845  -2.22565   37.1961   82.7856
      0   10      0.0269513  -2.75896    37.104   102.368   0.0269318  -2.75697   37.1308   102.368   0.0269663  -2.76049   37.0834   102.368
      0   11      0.0265944  -1.99099   37.6019   74.8649   0.0265804  -1.98994   37.6217   74.8649   0.0266744  -1.99698   37.4891   74.8649
      0   12      0.0265724  -2.82965   37.6331   106.488   0.0265497  -2.82724   37.6652   106.488   0.0265952  -2.83208   37.6008   106.488
