* Fit function: E_MeV = a * E_CH + b, then E_CH = 1/a * E_MeV - a/b 
* 1,2,3 represent using alpha peak1,peak2, and peak3 to calibrate the energy,respectively. 
* SSDNum  CHNum        a1        b1     1./a1      -a1/b1        a2        b2     1./a2      -a2/b2        a3        b3     1./a3     -a3/b3
      0    0      0.0530153  -5.46973   18.8625   103.173    0.053526  -5.52242   18.6825   103.173   0.0538698  -5.55789   18.5633   103.173
      0    1      0.0533837  -2.74343   18.7323   51.3907   0.0538253  -2.76612   18.5786   51.3907   0.0540995  -2.78021   18.4845   51.3907
      0    2      0.0525993  -4.49971   19.0116   85.5469   0.0531402  -4.54598   18.8182   85.5469   0.0535663  -4.58243   18.6685   85.5469
      0    3      0.0533024  -2.79355   18.7609   52.4095   0.0538028  -2.81978   18.5864   52.4095   0.0542892  -2.84527   18.4199   52.4095
      0    4       0.053794  -3.62702   18.5894   67.4243   0.0542367  -3.65687   18.4377   67.4243   0.0545792  -3.67996    18.322   67.4243
      0    5      0.0534071  -2.85627   18.7241   53.4811   0.0538862  -2.88189   18.5576   53.4811    0.054289  -2.90344   18.4199   53.4811
      0    6      0.0532469  -4.60496   18.7804   86.4832   0.0537205  -4.64592   18.6149   86.4832   0.0539772  -4.66812   18.5263   86.4832
      0    7      0.0539556  -2.74209   18.5338   50.8213   0.0543551   -2.7624   18.3975   50.8213   0.0548669  -2.78841   18.2259   50.8213
      0    8      0.0524556  -4.54578   19.0637   86.6594   0.0530712  -4.59912   18.8426   86.6594   0.0535312  -4.63898   18.6807   86.6594
      0    9      0.0524672  -4.46068   19.0595   85.0185   0.0530352  -4.50897   18.8554   85.0185   0.0534021  -4.54017   18.7258   85.0185
      0   10       0.053292  -4.74148   18.7646   88.9717    0.053777  -4.78463   18.5953   88.9717   0.0540552  -4.80939   18.4996   88.9717
      0   11      0.0536312   -4.6079   18.6459   85.9182   0.0542146  -4.65803   18.4452   85.9182   0.0545572  -4.68746   18.3294   85.9182
      0   12      0.0543876  -3.46725   18.3865   63.7508   0.0549754  -3.50473   18.1899   63.7508   0.0551749  -3.51745   18.1242   63.7508
      0   13      0.0531228   -4.2824   18.8243   80.6132   0.0536491  -4.32482   18.6397   80.6132    0.053998  -4.35296   18.5192   80.6132
      0   14      0.0537115   -6.7754    18.618   126.144   0.0542103  -6.83833   18.4467   126.144   0.0545147  -6.87672   18.3437   126.144
      0   15      0.0533904   -3.9111     18.73   73.2548   0.0538835  -3.94722   18.5586   73.2548   0.0543064   -3.9782    18.414   73.2548
      1    0      0.0439703  -5.22219   22.7426   118.766   0.0443053  -5.26197   22.5707   118.766   0.0445263  -5.28822   22.4586   118.766
      1    1      0.0441811  -2.23862   22.6341   50.6693   0.0445196  -2.25578    22.462   50.6693   0.0447417  -2.26703   22.3505   50.6693
      1    2      0.0443458  -3.55619   22.5501   80.1923   0.0446949  -3.58418   22.3739   80.1923   0.0449125  -3.60164   22.2655   80.1923
      1    3      0.0446167  -3.34866   22.4131   75.0539   0.0449303   -3.3722   22.2567   75.0539   0.0451374  -3.38774   22.1546   75.0539
      1    4      0.0439538  -2.52089   22.7511    57.353   0.0442344  -2.53698   22.6068    57.353   0.0444953  -2.55194   22.4743    57.353
      1    5      0.0454588  -2.71929   21.9979   59.8189   0.0457968  -2.73951   21.8356   59.8189   0.0459598  -2.74927   21.7581   59.8189
      1    6      0.0438125  -2.38067   22.8246   54.3377   0.0441577  -2.39943   22.6461   54.3377   0.0444414  -2.41484   22.5015   54.3377
      1    7      0.0443666  -2.36047   22.5395   53.2038   0.0447429  -2.38049   22.3499   53.2038   0.0450676  -2.39777   22.1889   53.2038
      1    8      0.0437791  -2.26639   22.8419   51.7687   0.0441252   -2.2843   22.6628   51.7687    0.044329  -2.29485   22.5586   51.7687
      1    9      0.0443984   -3.6219   22.5233   81.5773    0.044727  -3.64871   22.3578   81.5773   0.0449725  -3.66873   22.2358   81.5773
      1   10      0.0435065  -3.82903   22.9851   88.0105   0.0438526  -3.85949   22.8037   88.0105   0.0440894  -3.88033   22.6812   88.0105
      1   11      0.0445224  -3.52945   22.4606   79.2737   0.0447953  -3.55109   22.3237   79.2737   0.0450327  -3.56991   22.2061   79.2737
      1   12      0.0442997  -4.07527   22.5735   91.9932   0.0446421  -4.10677   22.4004   91.9932   0.0449195  -4.13229   22.2621   91.9932
      1   13      0.0440595  -3.11077   22.6966   70.6039   0.0443594  -3.13195   22.5431   70.6039   0.0445801  -3.14753   22.4315   70.6039
