 *Fit function = par[0]+par[1]*x && y = a*x + b (y=Energy, x=Ch);  so I define a = par[1], b = par[0]
 *SSDNum  CHNum     par_a       Errpar_a          par_b        Errpar_b
    0      0      0.0248943     5.1657e-05       -1.45509      0.0139064
    0      1       0.024753     0.00016535       -1.25047      0.0434017
    0      2      0.0250601    7.82712e-05       -1.13345       0.019928
    0      3      0.0254953     0.00025805       -2.12187      0.0745747
    0      4      0.0253712    9.84619e-06       -1.05267      0.0024448
    0      5      0.0249179    2.90605e-05       -1.85261     0.00827911
    0      6      0.0247972    2.30511e-05       -1.90943     0.00665185
    0      7      0.0250089    0.000523254       -1.71887       0.145733
    0      8      0.0252693    0.000617236       -1.30711       0.160086
    0      9      0.0251763    5.74456e-05        -1.2203      0.0147562
    0     10      0.0251797    0.000246812       -1.70154      0.0681041
    0     11      0.0252702    0.000476911       -1.08608        0.11952
    0     12      0.0248759    0.000299907       -1.78148      0.0847285
    0     13       0.025157    7.95906e-05       -1.72747      0.0220636
    0     14       0.025022    0.000151461       -1.52246      0.0409738
    0     15       0.025784    0.000482103       -2.01752       0.135815
    1      0      0.0250437    0.000109353      -0.780757       0.026321
    1      1       0.024588    9.88752e-05       -1.29707      0.0263145
    1      2      0.0243128    0.000185784      -0.910354      0.0470515
    1      3      0.0246703    0.000373964       -1.20278      0.0977661
    1      4      0.0244256    3.60072e-05       -1.38959     0.00978291
    1      5      0.0249595    0.000248537      -0.901148      0.0612221
    1      6      0.0244932    0.000210251       -1.49894      0.0579039
    1      7      0.0249462    0.000145392       -1.51935      0.0394332
    1      8      0.0238129    2.41177e-06       -1.07902    0.000640693
    1      9       0.024297    2.71554e-05       -1.45221     0.00748693
    1     10      0.0242579    0.000173289       -1.28399      0.0466532
    1     11      0.0242157    0.000329383       -1.23272      0.0881346
    1     12      0.0240492    0.000368233      -0.978851      0.0953286
    1     13      0.0240834    0.000156384       -1.31198      0.0425887
    1     14      0.0244037    0.000185458      -0.964533      0.0472055
    1     15      0.0243765    5.55673e-05      -0.860169      0.0139219
    2      0      0.0257239    0.000755561       -1.06609       0.185426
    2      1      0.0257414    0.000148396       -1.20541      0.0371965
    2      2      0.0245871    4.09073e-05      -0.900584      0.0102284
    2      3      0.0257355    5.12561e-06       -1.34142     0.00131213
    2      4      0.0259585     0.00139167       -1.08138        0.33927
    2      5      0.0263849     0.00218186       -1.74116       0.577823
    2      6      0.0254118    3.72865e-05       -1.57321      0.0100065
    2      7      0.0263611    0.000377686       -2.05353       0.104586
    2      8      0.0257275    0.000106546       -1.29026      0.0270719
    2      9      0.0268743    0.000327459       -1.50332      0.0822462
    2     10      0.0252147    0.000794998       -1.65731        0.21767
    2     11      0.0260699     0.00142648       -1.57047       0.373008
    2     12      0.0262086    3.76225e-05       -1.71583     0.00999432
    2     13      0.0270352    0.000151603       -1.82872      0.0396742
    2     14      0.0278845    0.000332518       -2.42991      0.0915329
    2     15      0.0259703    4.56549e-05       -1.32913      0.0115601
    3      0              0              0              0              0
    3      1      0.0202125    2.43022e-05       -1.17512     0.00772139
    3      2      0.0194058    4.26359e-05       -1.26459       0.014306
    3      3      0.0196634    0.000361819       -1.22852        0.11915
    3      4      0.0207236    0.000153065       -1.78325      0.0519209
    3      5       0.020679    5.45915e-05       -1.34891      0.0174121
    3      6      0.0194884    7.99415e-05       -1.20252      0.0264553
    3      7      0.0200645    0.000102709       -1.28888      0.0334557
    3      8      0.0195688    0.000129125       -1.09355      0.0418377
    3      9      0.0198659    0.000105692       -1.02749      0.0333821
    3     10      0.0202697    9.52093e-05       -1.69976      0.0326271
    3     11      0.0207541    0.000198572       -1.30506      0.0626865
    3     12      0.0195917    7.42765e-05       -1.65815      0.0261769
    3     13      0.0199721    0.000108601       -1.25691      0.0353648
    3     14       0.020317    1.97627e-05       -1.30356     0.00637159
    3     15      0.0200853     9.6542e-05       -1.14604      0.0307283
