*SSDNum  CHNum   mean1     mean2     mean3    sigma1    sigma2    sigma3     Chi21     Chi22     Chi23     Xmin1     Xmax1     Xmin2     Xmax2     Xmin3     Xmax3
0         0     255.462   269.217   282.272   3.79549    3.7313   3.44805   9.79063    28.724   2.23453   248.119   261.094   263.256   276.051   277.673   288.305
0         1     248.588   262.624   275.546   3.78983   3.64915   3.49981   3.66537   13.9123   17.5508   242.297   253.639     256.7   269.482   271.642   284.604
0         2     240.945   254.585   267.578   3.83938   3.81341   3.30443    11.436   26.3864   8.99279   234.377   245.899    248.42   261.022   263.722   276.145
0         3     275.653   288.902   301.832   3.85543   4.05121   3.60743   10.0787   10.4524   10.1974   269.477   281.719     282.8   294.682   296.662   309.459
0         4     234.781   248.333   261.086   3.70355   3.79104    3.2298   11.3543   15.5845   10.7868   227.937   239.819    241.62   254.582   256.922   266.824
0         5     271.149   284.965   297.932   3.52214   3.84763   3.38101   10.6159   28.8289   10.5729   265.598    275.86    278.02   291.163   294.043   303.585
0         6     274.777   288.612   301.691   3.70505   3.76746   3.26365   11.7893   21.0602   1.24372   268.818    280.52     281.6   294.202   297.983   307.884
0         7     264.673   278.885   291.338    3.9547   3.41054   3.69963   14.4818   9.74209   11.1135   257.978     270.4   274.647   285.828   286.715   301.511
0         8     245.627   259.769   272.011     3.686   3.38791   3.44242   8.43268   7.31625   8.36956   241.647   251.189    254.97   266.132   268.292   280.714
0         9     243.242   256.942    269.75   3.87243   3.65563   3.27084   11.3801   15.7265    16.164   237.368    249.97    251.05   264.732   265.632   277.694
0        10     262.267   276.135   288.766   3.92865   3.71843   3.30203   12.5891   8.63701   10.4443   255.083   268.749   271.056   282.947     284.9     297.5
0        11     236.909   250.929   263.302   3.70178   3.39343   3.98437   5.07613   8.70151   8.64128   232.888    243.51   246.009   257.012   259.497   270.145
0        12     268.667   282.756   295.487   3.94415   3.58597   3.44208   18.7576   10.6489   5.79485   259.567    275.59    277.39   289.992   291.973   302.055
0        13      263.63   277.217   290.161   3.77463   3.92929   2.97755    15.196   24.6292   17.4409   257.548    269.61    270.87   284.012   286.142    298.92
0        14     256.791   270.661    283.46   3.62946   3.50588   3.38689  0.846737   8.22189   6.19041   251.188    263.07    264.87   276.572   279.632   289.894
0        15     268.314   282.051   294.181   3.52808   3.53359   3.65323    6.5329   18.3634   4.63509   262.628    273.25    275.77   287.112   289.992   304.935
1         0     226.964   240.784   253.611   3.21608     2.916   2.90452   10.3592   3.73711   4.53006   219.967   234.189   235.989   246.791   249.132   259.933
1         1     252.171   266.239   279.312   3.42488   3.34355    3.0157   15.4932   10.3703   7.46467   245.127   258.629    260.61   272.492   273.932   288.334
1         2     239.093   253.405   266.538   3.33638   3.17768   2.85557   10.1213   18.8336   6.73052   232.188    245.51    247.67   260.812   262.613   274.855
1         3     247.427   261.703   274.466     3.423   3.02756   3.09154   22.5493   12.3362   21.1424   240.448    253.77    255.75   268.353   269.433   281.855
1         4     257.678   271.711   285.003    3.1947   3.06933    3.1359   8.09783   30.5751   15.5175   252.078    263.24    265.76   277.642   279.803   291.865
1         5     232.512   246.506   259.245   3.33242   2.93952   2.79546   40.8183   11.1365   13.9489   225.098    238.06    240.58   253.002   254.263   266.145
1         6     261.355   275.583   288.598   3.32537   3.17771     3.006   16.7282   18.4218   9.64438   255.377   267.079     269.6   281.842   284.542   295.884
1         7     257.448   271.355   284.198   3.24463   3.16234   3.17799   37.3739   18.5401   7.14111   250.197    262.98     265.5   278.462   279.902   291.965
1         8     251.255   265.682   279.282   3.44303   3.24518   2.83412   6.67735   5.31169   5.13077   244.598    257.38   259.721   272.503   274.843   285.465
1         9       261.6   275.768   289.068   3.32147   3.26376   3.03099   19.5482   66.6353   24.0967   254.638    267.96     269.4   281.462   283.082   295.865
1        10      255.04   269.373   282.548   3.34194   3.19623    3.0938   17.3475   44.2184    17.577   249.098     260.8    262.96   275.922   277.182   289.784
1        11     253.319   267.828   280.868   3.42127   3.14562   3.51657   20.1993   14.6032   32.9618   246.138   258.741   262.521   273.323   274.403   288.986
1        12     244.742   258.662   272.494   3.19616   3.34863    2.6811   6.78354   54.6921   3.82884   239.058    250.58    252.38   267.683   268.943   280.285
1        13     258.157   272.269   285.871   3.31654   3.36582   3.15019   17.6948   44.5946   6.30271   251.718    263.78     265.4   278.902   280.703   292.225
1        14     240.422    254.68   267.765   3.32789   3.21499   3.02216   27.4496   29.6931   15.1408   233.557    246.52     247.6   260.742   261.822   274.604
1        15     236.485   250.527   263.865   3.41677   3.45938   2.53316   7.69722   29.8319   22.7399   229.857   242.279   243.179   256.682   257.762   272.884
2         0      232.31   245.003   258.246    2.5079   1.88099   2.69441   1.30469   2.38513   5.72231   227.446   235.699   239.439   249.627     250.4   262.909
2         1     237.299   250.776   263.223   1.77449   1.74679   1.80696   37.5689   87.1356   15.0468    232.67   241.955   246.339    256.14   258.848   268.133
2         2     236.098   250.035   263.243  0.991374   1.89446   0.96194    1.8458    1.1465   5.63267    232.83   239.536   246.242   253.593   257.204   268.939
2         3     242.679   256.035   268.612  0.248856   1.68804   1.690861.10271e-08   8.19817   4.77222   241.829   243.119   251.114   259.626   263.236   273.037
2         4         231    243.02    256.66   1.66718  0.969022   3.104331.42915e-13  0.934356  0.317813   228.096     233.9   239.703   246.022   253.243   260.465
2         5     252.526    263.68   277.685  0.739008  0.249339  0.252899  0.8061374.29452e-105.47452e-11   249.218   256.221    262.92    264.31   277.077   278.215
2         6     254.904   268.392   281.168   1.45352   1.73557   1.38393  0.797622   15.3518   27.2356   251.184   258.406   263.049   272.978   276.331   285.616
2         7     263.836   277.179   289.142   1.68134   1.13208    1.3649  0.286087   4.67288   8.99604   259.637   267.374   273.436   280.141   284.397     295.1
2         8     240.737   254.185   266.676   1.77981   1.71828   1.77466   59.5303   104.079   36.4185   236.221   244.861   248.859   259.304   261.239   271.555
2         9     238.337   251.381   263.163   1.77812   1.54383    1.7273   11.0731    20.664   8.48645   235.057   242.536   246.921   255.948   257.882   267.554
2        10         260   274.329   286.428  0.555728   1.47757   1.535113.12572e-13   6.39498  0.710258   258.799   260.733   270.921   277.885   282.914   290.136
2        11         248   262.338     273.5   1.20091   1.23556   1.111461.97097e-07  0.8599121.42915e-13   245.668   250.826    260.24   264.753   270.685   276.231
2        12     252.595   265.675   278.061   1.72211   1.73997   1.84341   24.9091   29.9005   21.7443   247.962   257.634     260.6   270.142   271.819   282.522
2        13         249   261.828   273.683   1.66718  0.498072  0.2518161.42915e-136.56736e-115.02843e-08   246.539   250.794   261.369   263.303   272.975   274.265
2        14     262.934     275.5   286.861  0.542037  0.849114   1.867291.63513e-092.57625e-07    1.3864   261.507   264.602   274.016   277.498   285.493   291.167
2        15         240    253.27   265.698  0.555728  0.815388   1.426221.42915e-131.64167e-09   1.11707   238.376   241.342   251.916   255.011   263.265   268.423
3         0           0         0         0         0         0         0         0         0         0   334.871   349.138   361.862   374.587   386.926   399.073
3         1     300.775   317.741   333.795   2.72665   2.24229   2.05359   114.717   40.3919   5.67585   294.243   307.739   312.559   323.356   329.526   339.165
3         2     317.899   335.541   352.292   2.46833   2.36369   2.02444   90.2667   122.404   29.6109   311.618   323.765   328.585   342.081   346.708   359.047
3         3     311.709   329.713   345.629   1.45002   1.99794   1.96071  0.405531   4.26358    11.067   309.582   315.174   326.356   333.875   340.623   351.227
3         4     322.758   339.134   354.965   1.71311   2.13223   2.07831   3.97873   21.3564   26.4976   319.341   326.282   333.222   345.176   349.996   360.793
3         5     302.407    318.95   334.683   2.32461   2.05209   1.93065   4.88335   44.4573   20.0728   298.027   307.474   313.258   324.441   329.839   339.672
3         6     313.306   331.058    347.55   2.59395    2.3432   2.33352   125.563    85.596   39.6116   307.161   320.657   325.284   337.045   341.479   354.397
3         7       308.7   325.679   341.965    2.1702   2.29496   2.06281   34.2656   71.9911   18.4872    303.69   314.102   320.078   331.646   336.659   349.962
3         8     306.553   323.919   340.661   2.47826   2.25658   2.14322   162.094   114.371   10.0716   299.883   312.994   318.199   330.731   337.093   344.998
3         9      298.63   315.773   332.228   2.41943   2.31083   1.94349   71.6235   110.647   6.88482   293.485    304.86   309.487   321.248   328.767   335.901
3        10     325.756    342.84   358.678   2.24108   1.99499   2.02506   50.1645   32.1857   17.8815   321.835   331.089   338.608   349.405   354.225   366.178
3        11     299.263   315.554   331.423   2.11167   2.10013   2.45551   13.3418   85.4464   15.8186   293.629   304.426   310.402   320.814   326.212   336.237
3        12     334.913   352.562   368.976    2.4727   2.40161   2.27063   122.135     113.2    27.656    329.04   340.222   346.199   358.346   363.937   374.155
