 *Fit function = par[0]+par[1]*x && y = a*x + b (y=Energy, x=Ch);  so I define a = par[1], b = par[0]
 *SSDNum  CHNum     par_a       Errpar_a          par_b        Errpar_b
    0      0      0.0557997    0.000459098       -5.40042      0.0875828
    0      1      0.0561857    4.93213e-05        -2.5361      0.0068312
    0      2      0.0567314    0.000358657       -4.60979      0.0623011
    0      3      0.0565486    0.000360955       -2.64223      0.0503499
    0      4      0.0567211    0.000110413       -3.48004      0.0169847
    0      5      0.0563804    0.000418256        -2.6781      0.0587829
    0      6      0.0565374    0.000115651       -4.57757      0.0200924
    0      7      0.0568505    0.000236839       -2.53809      0.0324279
    0      8      0.0565405    0.000406224       -4.64297      0.0710403
    0      9      0.0562563    0.000169895       -4.52073      0.0294923
    0     10      0.0564012    0.000105965       -4.69066      0.0186665
    0     11      0.0569248    0.000794715       -4.57971       0.137159
    0     12        0.05591    0.000670595       -3.08564      0.0999255
    0     13      0.0558868    0.000382075       -4.14938      0.0642256
    0     14      0.0561013    0.000237196       -6.69188      0.0504655
    0     15       0.056172    0.000282431       -3.75239      0.0452396
    1      0      0.0457298    0.000237757       -5.18971        0.05425
    1      1      0.0460416    0.000328976       -2.10443      0.0525212
    1      2      0.0465543    0.000279164        -3.5348      0.0526501
    1      3      0.0465258    0.000133867        -3.2666      0.0244914
    1      4      0.0458414    2.01749e-05       -2.40308     0.00336634
    1      5      0.0476223    3.31664e-05        -2.6447     0.00549529
    1      6      0.0461559    0.000405393       -2.32901       0.066532
    1      7      0.0492857    0.000279855       -2.69914      0.0451129
    1      8      0.0456684    0.000104034       -2.13399       0.016812
    1      9      0.0461603    0.000188822       -3.52474      0.0358745
    1     10      0.0456623    9.65829e-05       -3.81556      0.0191648
    1     11      0.0464603    0.000271892       -3.46286      0.0509615
    1     12       0.046807     0.00016725       -4.13793       0.033527
    1     13      0.0465426    0.000102933       -3.12187      0.0185052
    1     14      0.0472805    0.000202813       -2.98378      0.0353005
    1     15      0.0467873    0.000320217       -3.07922      0.0569754
    2      0      0.0264972    0.000350271       -1.24793      0.0858548
    2      1      0.0260222    0.000233597      -0.957166      0.0556942
    2      2      0.0262336    5.10457e-05       -1.40718      0.0129471
    2      3      0.0260975    0.000164839        -1.4423       0.042249
    2      4      0.0259953    0.000192413       -1.62486      0.0508607
    2      5       0.025621    5.50957e-05       -0.22884      0.0117771
    2      6      0.0255487    0.000119508       -0.97622      0.0291102
    2      7      0.0262308    0.000197993      -0.489803      0.0433061
    2      8      0.0258589    0.000130143       -1.41991      0.0335516
    2      9      0.0263118     9.7344e-05       -1.32039       0.024296
    2     10      0.0261574    0.000107598      -0.750475      0.0246716
    2     11      0.0259853    0.000119004      -0.889432      0.0281034
    2     12      0.0258885     0.00023476       -1.42173      0.0604697
    2     13      0.0259198    8.25435e-05       -1.32861      0.0209396
    2     14      0.0256475     0.00019155        -1.4917      0.0503252
    2     15       0.026218    2.87261e-05       -1.19695     0.00706022
    3      0      0.0154142    0.000134827       -1.38612      0.0580164
    3      1      0.0153271    1.69551e-05       -1.17746     0.00710668
    3      2      0.0153776    1.39404e-05       -1.62946     0.00623331
    3      3      0.0154003    2.53678e-05      -0.985245       0.010266
    3      4      0.0153632    3.57596e-07       -1.43245    0.000155463
    3      5      0.0155731    3.58867e-05       -1.56317      0.0156923
    3      6      0.0153219    3.78283e-05        -1.2923      0.0161443
    3      7      0.0153126    2.10733e-05       -1.99563     0.00996626
    3      8      0.0153097    9.89766e-06       -1.56449      0.0044033
    3      9      0.0154479    6.48266e-05       -1.67213      0.0290336
    3     10       0.015375     5.6791e-05       -1.60454      0.0253058
    3     11      0.0157358    2.15993e-06       -1.43964     0.00091777
    3     12      0.0153897    1.31834e-05       -1.44907     0.00573581
    3     13      0.0155519    4.52623e-05       -1.54212      0.0197578
    3     14      0.0157702    8.62084e-06       -1.25717     0.00355542
    3     15      0.0153981     1.4194e-05       -1.32727     0.00605991
