*SSDNum  CHNum    mean     sigma   mean+5sigma      Chi2      Xmin      Xmax
    0    0        114.241  0.600981   117.245    262918   110.514   118.784
    0    1        61.9114  0.617223   64.9975    343300   56.0652    67.265
    0    2         97.298  0.605192   100.324    210145    92.594   101.037
    0    3        62.3015  0.600978   65.3064    168001   57.9605   69.3327
    0    4        77.9628  0.606544   80.9955    417846   71.4004   83.9787
    0    5        61.6611  0.617513   64.7487    211337   57.7882   65.7143
    0    6         98.073    0.6083   101.114    395500   93.9724   102.415
    0    7         60.873  0.631834   64.0322    330288   55.5482   65.1974
    0    8        98.8194  0.625716   101.948    339289   95.1786   102.415
    0    9         97.017  0.628137   100.158    351807   93.2832   102.243
    0   10        100.221  0.608225   103.263    305928   95.8678       105
    0   11        96.7287  0.652578   99.9916    292690   92.7663    102.76
    0   12        74.1054   0.60599   77.1354    263576   70.3665   80.7049
    0   13        91.7592  0.633455   94.9265    273839   85.5294   96.7293
    0   14        136.948  0.641004   140.153    322650   131.018   143.424
    0   15         84.076  0.617749   87.1647    353309   78.9818   89.3202
    1    0        125.498  0.554392    128.27   12038.3   119.991   132.569
    1    1        56.5146   0.54524   59.2408   14931.2   52.7914   60.2005
    1    2        86.4228  0.551554   89.1806   12189.1   80.3603   92.9386
    1    3        80.8661  0.536946   83.5509   12092.3   75.3634   87.7694
    1    4        63.4381   0.53611   66.1186     14942    57.099   68.9881
    1    5        65.7632   0.53101   68.4182     18967   59.8559   71.9173
    1    6        62.0473  0.537277   64.7336    1223.3    57.099   69.3327
    1    7        63.6962  0.496768     66.18   718.648   60.3728   67.9543
    1    8        58.5183   0.54771   61.2569   16001.3   55.2036   63.4743
    1    9        87.8265  0.540301    90.528   15018.8   83.8064   92.4217
    1   10        94.1901  0.539785    96.889   3447.96   90.1817   101.037
    1   11        84.6912  0.542629   87.4043   18105.9   80.7049   87.4248
    1   12        100.687   0.55639   103.469   22877.7   96.7293   105.172
    1   13        77.0179  0.542688   79.7314   3539.55    71.745   83.4618
    1   14        73.5941  0.540293   76.2956   16016.1   69.1604   80.5326
    1   15        75.9559  0.469713   78.3044   10424.9   72.4342   79.1541
    2    0        97.0049  0.569642   99.8531   1145.49   92.7663   101.554
    2    1        84.4913  0.566499   87.3238   25939.7   80.7049   87.9417
    2    2        103.357  0.570083   106.207   21192.5   99.6585   108.618
    2    3        102.644  0.563283    105.46   22387.1   97.5909   106.895
    2    4        112.537  0.575182   115.413   21891.8   108.618   117.234
    2    5        54.4626  0.584887    57.387   24502.3   51.4129   58.9944
    2    6        86.2445  0.578525   89.1371   11562.5   81.3941   92.9386
    2    7        68.1207  0.565546   70.9484   6001.84   63.4743   73.1234
    2    8        101.992  0.567628    104.83   4654.73   97.0739   106.895
    2    9        97.5299  0.565442   100.357   24240.4   93.1109   103.622
    2   10        77.1559  0.578116   80.0465    5274.2    73.468   82.4279
    2   11        83.9573  0.554385   86.7292   1090.11   79.1541   88.8033
    2   12        104.353  0.584004   107.273   15370.9   99.1416   109.308
    2   13        96.8549   0.56748   99.6923   6602.29   91.2155       105
    2   14        107.048  0.581188   109.954   1605.66   101.726   112.926
    2   15        92.5131  0.575063   95.3884   18473.6   87.9417   98.2801
    3    0        109.143  0.775314    113.02     24597    102.76   117.406
    3    1        97.9441  0.682789   101.358   783.871   91.0432   105.517
    3    2        126.448   0.75236    130.21   868.459   120.508   132.914
    3    3        83.6315  0.659192   86.9275   3478.29   79.4987   90.1817
    3    4        115.716   0.65745   119.004   2517.99   108.791   121.886
    3    5        117.411  0.656043   120.692   3069.83   112.581   122.747
    3    6        106.932  0.666902   110.267   1182.86   100.003   113.443
    3    7        150.209  0.669921   153.559   2052.63   142.735   156.347
    3    8         122.25  0.719375   125.847   815.916   116.544   129.467
    3    9        127.307  0.657015   130.592   2620.98   122.403   133.603
    3   10        122.856  0.667242   126.193   1288.36   117.234   130.157
    3   11        110.806  0.655247   114.082   1823.61   104.655   116.372
    3   12        113.469  0.657056   116.754   2473.91   108.446   119.646
    3   13        117.998  0.653643   121.266   767.738   112.409    125.16
    3   14        100.773  0.817405    104.86   296.824   95.1786   108.274
    3   15        108.663  0.673936   112.033    2140.2   103.277   115.855
