*SSDNum  CHNum    mean     sigma   mean+5sigma      Chi2      Xmin      Xmax
    0    0        113.801  0.540521   116.503   27.5886   110.686   116.544
    0    1        61.4875  0.533355   64.1543    52.502   58.1328   65.1974
    0    2        96.7265  0.538541   99.4192    48.005   91.3878   101.037
    0    3        61.9014  0.541281   64.6078   0.95354   58.1328   66.4035
    0    4        77.4544  0.532835   80.1186   25.8501   73.2957   82.6003
    0    5        61.2418  0.525993   63.8718   2.40009   56.2375   66.2312
    0    6         97.505   0.54825   100.246   18.4394    92.594   104.138
    0    7        60.3174  0.536056   62.9977   1.91757   55.8929   66.0589
    0    8        98.4064  0.546096   101.137   7.68892   92.7663   103.966
    0    9        96.4007  0.538179   99.0916   3.05047   91.9048   101.382
    0   10        99.5737    0.5359   102.253   32.6131   92.4217   106.034
    0   11        96.0499  0.527982   98.6898   8.10618   90.6986   101.726
    0   12        73.4916  0.533534   76.1593   7.62386   68.4712   79.3264
    0   13        91.1235  0.530431   93.7756   4.02168   86.7356   95.1786
    0   14        135.956  0.534332   138.628   3.24602    129.64    143.08
    0   15        83.4475   0.53149   86.1049   21.5191   79.1541   89.4925
    1    0         126.19   0.54773   128.928   2.06952   119.646   132.741
    1    1        57.0857  0.521532   59.6933  0.889346   52.7914   62.0959
    1    2        86.9043  0.528172   89.5451   14.3288   80.7049   93.6278
    1    3        81.3131  0.540827   84.0172   10.5615   76.2249   85.0125
    1    4        63.8469  0.519771   66.4458   31.8425   58.9944    67.782
    1    5        66.2881  0.520382   68.8901   17.1843   62.7851   69.1604
    1    6          62.45  0.544588   65.1729   8.87417   57.7882    69.505
    1    7        64.1287  0.492544   66.5914   5.74151   60.0282   69.1604
    1    8        58.8881   0.52621   61.5192    10.683   53.6529   66.0589
    1    9        88.5813  0.539052   91.2765   6.20492    84.151   92.4217
    1   10        94.6425  0.531566   97.3004   34.8911   89.4925   100.789
    1   11        85.3448  0.536847    88.029    1.0059   81.3941   87.9417
    1   12        100.935  0.527283   103.571  0.840501   96.0401   106.895
    1   13         77.321  0.527439   79.9582    7.7418   72.9511   83.9787
    1   14         74.284  0.526196    76.915   10.0067   71.0558   78.6372
    1   15        76.4072  0.477757    78.796  0.117258   72.7788   81.2218
    2    0        96.8109  0.564567   99.6337   1.45323   91.5602   102.243
    2    1        84.4385  0.571232   87.2946   22.8439   79.8434   90.1817
    2    2        103.299  0.562786   106.113   2.71728   97.9355   110.858
    2    3        102.667  0.565788   105.496  0.257267   97.7632   109.308
    2    4        112.449  0.563009   115.264   9.64137   107.585    118.44
    2    5        54.5205  0.581425   57.4277   20.5697   50.3791   59.1667
    2    6        86.1268  0.561812   88.9359   3.61805    81.911    90.354
    2    7        68.2304  0.568673   71.0737   3.73495   63.6466   73.1234
    2    8        101.791  0.559174   104.587   3.58521   96.2124   107.585
    2    9        97.6708  0.561996   100.481   1.01247   92.9386    102.76
    2   10        77.0716  0.557777   79.8605    1.9933   72.2619   82.7726
    2   11         83.999  0.560961   86.8038   2.04984   79.4987    88.631
    2   12        104.202  0.561045   107.0070.00614014   97.0739   109.308
    2   13        96.8663  0.561943    99.676   3.10015   92.2494   101.037
    2   14        106.925  0.575664   109.804   1.94601   99.1416   114.132
    2   15         92.517  0.566056   95.3473   1.65757   87.0802   97.2462
    3    0        108.996  0.724818    112.62   4.09674   103.794   114.132
    3    1        97.7008  0.672303   101.062    1.3375   91.5602   103.622
    3    2        126.232  0.744503   129.954   13.6298   121.024   131.707
    3    3        83.5023  0.645407   86.7294    2.4758   78.6372   89.1479
    3    4        115.549  0.645044   118.774   7.43807   110.169   121.369
    3    5        117.188   0.65045    120.44   1.57215   112.065   122.575
    3    6        106.659  0.650109    109.91   18.4776   100.003   115.166
    3    7        149.843   0.64727   153.079  0.359072   143.941   155.486
    3    8        122.252  0.701197   125.758   10.6115   115.855   127.917
    3    9        126.992  0.645923   130.222   1.29107   120.852   132.914
    3   10        122.638  0.651101   125.894   6.25897   116.372   128.606
    3   11        110.594  0.643416   113.811   3.64015   104.655   116.028
    3   12        113.287  0.634603    116.46   6.96652   107.412   118.612
    3   13        117.799  0.635195   120.975   5.69625   111.031   123.264
    3   14        100.575  0.800626   104.578   1.24356   94.4893   106.551
    3   15        108.445  0.665292   111.772   9.72036   102.415   115.338
