*SSDNum  CHNum   mean1     mean2     mean3    sigma1    sigma2    sigma3     Chi21     Chi22     Chi23     Xmin1     Xmax1     Xmin2     Xmax2     Xmin3     Xmax3
0         0     125.988   130.046   133.943  0.874158  0.775378  0.7615814.4297e-08   108.892   24.9418   123.775   127.496    128.02   131.792   132.159    135.67
0         1     118.448   122.551   126.452  0.715331  0.762084  0.6514826.68983e-09     143.2   8.78296   116.621   120.128   120.442    124.63   124.944   128.766
0         2      128.62    132.86   136.815  0.718931  0.765265  0.6994436.70442e-09   26.5503   26.3865    127.04    130.39   130.704   134.787   135.206   139.185
0         3     124.011   128.266   132.246  0.810374  0.833239  0.741036   77.7766   134.6153.2327e-09   121.621   125.547   125.809    130.52   130.782    134.08
0         4     128.667   132.902   136.773  0.805276  0.753562  0.732846   21.0714   41.0309   10.5884   126.521   130.657   130.971   134.636   135.054   138.771
0         5     131.401    135.73   139.729  0.745955  0.777999  0.7141256.34137e-08   21.1772   12.2673   129.521   133.081   133.605   137.583    137.74   142.033
0         6     143.711   148.058     152.1   0.79245  0.814482  0.8249172.30781e-07   78.3259   12.7854   141.678   145.238   145.709   150.264   150.368   153.876
0         7     132.333   136.672   140.748  0.767234  0.803463  0.7764526.36216e-08   170.296   11.0727   130.626   134.238     134.5   138.531   139.316   143.766
0         8     147.477   151.855   155.891  0.874601  0.753751    0.7401   207.914   68.7621   7.76624   145.411   149.599   150.018    153.84   154.154   158.708
0         9     126.833   131.239   135.393  0.810772  0.831152  0.682039   10.9906   125.9041.42961e-09   124.521   129.076   129.495   133.578   133.683   137.661
0        10     163.974   168.283   172.431  0.883921  0.866756  0.772452   88.2568    68.899   37.5217   161.312   165.343    166.39   170.264   170.473   175.132
0        11     124.729   128.975   132.848  0.861856  0.777504  0.739916   218.123   66.1657   19.9393   122.307   126.599   126.756   131.101   131.363   135.499
0        12     106.183   110.307   114.233  0.831377  0.775471  0.647437    438.97   143.9111.14049e-07   103.464   108.018   108.437   112.154   112.573   116.185
0        13     140.058   144.496   148.618  0.832153   0.80154  0.709016    85.764   123.836   10.3503   137.521   141.762   142.181   146.735   147.206   151.499
0        14     132.427       137   140.732   2.34937  0.588203  0.693168  0.4713085.0715e-09  0.802889   130.987   134.861   135.542   138.578    138.63    143.26
0        15     123.724   127.842     131.6   1.00991   0.83579  0.799273   17.6921   11.0315  0.957209   121.202   125.495   125.966   129.526    129.84   133.713
1         0     126.845   130.918    134.75   1.05986  0.809248  0.846235   3.82701   5.99887   1.87199   123.652   128.457    128.82   132.718   133.352   137.885
1         1     131.652   135.824   139.677      1.01  0.800521  0.724609   358.599   21.1521   23.6224   127.831    133.18   133.995   137.622   138.256   142.154
1         2     148.957    154.37   159.582  0.942209  0.912257  0.886023   595.898   121.131   25.9485   144.962   151.035   151.851   156.837     157.2   161.642
1         3     140.279   145.642    150.75  0.979097  0.876726  0.958239   428.804   194.059   21.4387   137.052    142.31   143.035   147.749   148.384    153.37
1         4     168.627   173.877   178.966  0.899469  0.851752  0.812911   203.753   86.6751   27.4592   166.143   170.676   171.582   176.749   177.021   181.917
1         5     163.375   168.852   174.088  0.955248  0.887794  0.824779   167.208   146.181   7.70938   160.412   165.851   166.123   171.472   171.835   176.458
1         6     143.016   148.377   153.472  0.910132  0.920385  0.768223    306.21   116.327   50.0008   140.415    145.22   145.764   150.296    150.84   157.277
1         7     156.186   161.536   166.749  0.933876  0.883227  0.778132   119.999   183.026   10.9794   153.775   158.579   158.942   163.565   164.653    169.73
1         8     165.257   170.553   175.651  0.922992  0.884682  0.790417   154.994   194.558   4.45832   163.143   167.313   168.129   172.934   173.568   178.101
1         9     142.461   147.779   153.006  0.978476  0.872636  0.853613   177.829   225.556   13.2389   139.506   144.492   145.126   150.203   150.837   156.095
1        10     160.599   165.959   171.116  0.933641  0.963411  0.945577   116.531   193.454   15.1473   157.959   162.672   163.024   168.398   169.103   173.332
1        11     163.729   169.087   174.193  0.923991  0.923232  0.849081   450.484   211.314   73.3192   160.418   166.038   166.492   171.387   171.478   176.735
1        12     144.791   150.247   155.431   0.88602  0.917247  0.849918    346.37   295.028   62.6822   141.959   146.854   147.398   152.475   152.656   157.823
1        13     148.266   153.679   158.694  0.895287   1.01744  0.858682   127.911   123.905   39.9552   146.052   150.222   150.676   155.299   155.752   160.557
1        14     172.199   177.522   182.464  0.912186  0.830608  0.783904   331.204   180.807   47.2821   169.418   174.404   174.676   179.752   180.115   184.557
1        15     168.512   173.632   178.561  0.921502   0.81413  0.753261   244.715   1.56936   8.03333   166.149   170.953   171.588   176.121   176.755   180.925
2         0     250.972   264.484    276.95   1.40633   1.34461   1.25378   206.249   135.756   14.4427   247.118   255.887   259.627   270.201   273.554   282.065
2         1     233.014   246.677   259.355   1.41727   1.33977   1.28094   475.587   509.044   107.682   228.665   237.563   241.303   250.459    255.36   264.387
2         2     237.272     250.7   263.165   1.42138   1.34279   1.23265   465.471   515.807   54.3066   233.378    241.76     245.5   254.785   259.299   268.841
2         3     208.835   222.309   234.737   1.42419   1.31732   1.26185   636.061   371.628   50.1424   203.604   213.663    217.79   226.301    231.33   239.068
2         4     225.101   238.561   250.943   1.40678   1.24178   1.32617   409.454   608.516   93.8659   220.991   228.858     233.5   241.882   246.009   255.165
